cik,filingDate,issuerTradingSymbol,reportingOwnerName,reportingOwnerRelationship,accessionNumber,transactionDate,transactionCode,transactionShares,transactionPricePerShare,sharesOwnedFollowingTransaction,directOrIndirectOwnership,transactionType,securityTitle,underlyingSecurityTitle,underlyingSecurityShares,exercisePrice,expirationDate
814453,2016-02-08,NWL,COWEN SCOTT S,,0000814453-16-000154,2016-02-05,M,5713,27.8,74974.0,D,,,,,,
814453,2016-02-10,NWL,Burke William A III,,0000814453-16-000156,2016-02-08,M,66611,34.26,203705.0,D,,,,,,
814453,2016-02-10,NWL,Garber Scott,,0000814453-16-000158,2016-02-08,F,1256,34.26,2827.0,D,,,,,,
814453,2016-02-10,NWL,Garber Scott,,0000814453-16-000158,2016-02-08,M,3321,34.26,4083.0,D,,,,,,
814453,2016-02-10,NWL,Tarchetti Mark,,0000814453-16-000159,2016-02-08,F,30622,34.26,154063.0,D,,,,,,
814453,2016-02-10,NWL,Tarchetti Mark,,0000814453-16-000159,2016-02-08,M,62171,34.26,184685.0,D,,,,,,
814453,2016-02-10,NWL,Turner Bradford R,,0000814453-16-000160,2016-02-08,F,2501,34.26,5735.0,D,,,,,,
814453,2016-02-10,NWL,Burke William A III,,0000814453-16-000156,2016-02-08,F,27155,34.26,176550.0,D,,,,,,
814453,2016-02-10,NWL,POLK MICHAEL B,,0000814453-16-000161,2016-02-08,F,177764,34.26,490516.0,D,,,,,,
814453,2016-02-10,NWL,POLK MICHAEL B,,0000814453-16-000161,2016-02-08,M,351054,34.26,668280.0,D,,,,,,
814453,2016-02-10,NWL,Stipancich John K,,0000814453-16-000162,2016-02-08,F,15960,34.26,72851.0,D,,,,,,
814453,2016-02-10,NWL,Stipancich John K,,0000814453-16-000162,2016-02-08,M,41997,34.26,88811.0,D,,,,,,
814453,2016-02-10,NWL,DAVIES RICHARD B,,0000814453-16-000163,2016-02-08,D,11274,34.26,0.0,D,,,,,,
814453,2016-02-10,NWL,DAVIES RICHARD B,,0000814453-16-000163,2016-02-08,M,11274,,11274.0,D,,,,,,
814453,2016-02-10,NWL,Turner Bradford R,,0000814453-16-000160,2016-02-08,M,7158,34.26,8236.0,D,,,,,,
814453,2016-02-12,NWL,MONTGOMERY CYNTHIA ANN,,0000814453-16-000168,2016-02-11,M,5713,27.8,56791.0,D,,,,,,
814453,2016-02-12,NWL,MONTGOMERY CYNTHIA ANN,,0000814453-16-000168,2016-02-11,S,4235,34.0,52556.0,D,,,,,,
814453,2016-02-16,NWL,DE SOLE DOMENICO,,0000814453-16-000170,2016-02-16,P,5670,35.28,46002.0,D,,,,,,
814453,2016-02-17,NWL,COWEN SCOTT S,,0000814453-16-000171,2016-02-16,M,5353,31.2,80327.0,D,,,,,,
814453,2016-02-19,NWL,CLARKE THOMAS E,,0000814453-16-000172,2016-02-18,M,5713,27.8,56138.0,D,,,,,,
814453,2016-03-01,NWL,STROBEL STEVEN J,,0000814453-16-000177,2016-02-26,M,4000,25.52,48425.0,D,,,,,,
814453,2016-03-01,NWL,STROBEL STEVEN J,,0000814453-16-000177,2016-02-26,S,4000,38.96,44425.0,D,,,,,,
814453,2016-03-14,NWL,Tarchetti Mark,,0000814453-16-000178,2016-03-11,P,1200,40.75,165379.0,D,,,,,,
814453,2016-03-22,NWL,VIAULT RAYMOND G,,0000814453-16-000179,2016-03-21,M,5713,27.8,65613.0,D,,,,,,
814453,2016-04-14,NWL,Cowhig Michael T.,,0000814453-16-000180,2016-04-13,M,5713,27.8,54970.0,D,,,,,,
814453,2016-04-18,NWL,COWEN SCOTT S,,0000814453-16-000183,2016-04-14,M,3287,44.19,84834.0,D,,,,,,
814453,2016-04-18,NWL,Perez Lizaur Jose Ignacio,,0000814453-16-000188,2016-04-14,M,3287,44.19,12147.0,D,,,,,,
814453,2016-04-18,NWL,TODMAN MICHAEL,,0000814453-16-000189,2016-04-14,M,3287,44.19,45372.0,D,,,,,,
814453,2016-04-18,NWL,VIAULT RAYMOND G,,0000814453-16-000186,2016-04-14,M,3287,44.19,68900.0,D,,,,,,
814453,2016-04-18,NWL,Cowhig Michael T.,,0000814453-16-000192,2016-04-14,M,3287,44.19,58257.0,D,,,,,,
