cik,filingDate,issuerTradingSymbol,reportingOwnerName,reportingOwnerRelationship,accessionNumber,transactionDate,transactionCode,transactionShares,transactionPricePerShare,sharesOwnedFollowingTransaction,directOrIndirectOwnership,transactionType,securityTitle,underlyingSecurityTitle,underlyingSecurityShares,exercisePrice,expirationDate
1660134,2017-04-12,OKTA,"SC US (TTGP), LTD.",,0000899243-17-010142,2017-04-12,C,10356116,0.0,10356116,I,,,,,,
1660134,2017-04-12,OKTA,"SC US (TTGP), LTD.",,0000899243-17-010142,2017-04-12,J,10356116,0.0,0,I,,,,,,
1660134,2017-04-12,OKTA,McKinnon Todd,,0000899243-17-010139,2017-04-12,J,5868133,,0,I,,,,,,
1660134,2017-04-12,OKTA,"Andreessen Horowitz Fund I, L.P.",,0000899243-17-010138,2017-04-12,C,12685586,0.0,12685586,I,,,,,,
1660134,2017-04-12,OKTA,"Andreessen Horowitz Fund I, L.P.",,0000899243-17-010138,2017-04-12,J,12685586,,0,I,,,,,,
1660134,2017-04-12,OKTA,Grady Patrick W,,0000899243-17-010137,2017-04-12,C,10356116,0.0,10356116,I,,,,,,
1660134,2017-04-12,OKTA,Grady Patrick W,,0000899243-17-010137,2017-04-12,J,10356116,0.0,0,I,,,,,,
1660134,2017-04-12,OKTA,HOROWITZ BENJAMIN A,,0000899243-17-010136,2017-04-12,C,12685586,,12685586,I,,,,,,
1660134,2017-04-12,OKTA,HOROWITZ BENJAMIN A,,0000899243-17-010136,2017-04-12,J,12685586,,0,I,,,,,,
1660134,2017-04-12,OKTA,WILSON L MICHELLE,,0000899243-17-010131,2017-04-12,J,190000,,190000,D,,,,,,
1660134,2017-04-12,OKTA,Kerrest Jacques Frederic,,0000899243-17-010128,2017-04-12,J,3274189,,0,I,,,,,,
1660134,2017-04-12,OKTA,Losch William E,,0000899243-17-010121,2017-04-12,J,361422,,0,I,,,,,,
1660134,2017-04-12,OKTA,"Khosla Ventures IV, L.P.",,0000899243-17-010087,2017-04-12,C,6197759,,6197759,I,,,,,,
1660134,2017-04-12,OKTA,"Khosla Ventures IV, L.P.",,0000899243-17-010087,2017-04-12,J,6197759,,0,I,,,,,,
1660134,2017-04-12,OKTA,Greylock XIII GP LLC,,0000899243-17-010054,2017-04-12,C,12255309,0.0,12255309,I,,,,,,
1660134,2017-04-12,OKTA,Greylock XIII GP LLC,,0000899243-17-010054,2017-04-12,J,12255309,0.0,0,I,,,,,,
1660134,2017-10-04,OKTA,Greylock XIII GP LLC,,0000899243-17-023528,2017-10-04,J,3119410,0.0,0,I,,,,,,
1660134,2017-10-04,OKTA,Greylock XIII GP LLC,,0000899243-17-023528,2017-10-03,C,3119410,0.0,3119410,I,,,,,,
1660134,2017-10-06,OKTA,"Khosla Ventures IV, L.P.",,0000899243-17-023744,2017-10-04,C,1644842,0.0,1644842,I,,,,,,
1660134,2017-10-06,OKTA,"Khosla Ventures IV, L.P.",,0000899243-17-023744,2017-10-04,J,1644842,0.0,0,I,,,,,,
1660134,2017-10-06,OKTA,Runyan Jonathan T,,0001209191-17-056289,2017-10-04,C,300000,0.0,300000,D,,,,,,
1660134,2017-10-06,OKTA,Runyan Jonathan T,,0001209191-17-056289,2017-10-04,S,267811,27.0109,32189,D,,,,,,
1660134,2017-10-13,OKTA,Losch William E,,0001209191-17-056909,2017-10-11,C,12200,0.0,12200,D,,,,,,
1660134,2017-10-13,OKTA,Kerrest Jacques Frederic,,0001209191-17-056910,2017-10-11,C,85225,0.0,85225,I,,,,,,
1660134,2017-10-13,OKTA,Kerrest Jacques Frederic,,0001209191-17-056910,2017-10-11,S,85225,28.616,0,I,,,,,,
1660134,2017-10-13,OKTA,Kerrest Jacques Frederic,,0001209191-17-056910,2017-10-12,C,33879,0.0,33879,I,,,,,,
1660134,2017-10-13,OKTA,Kerrest Jacques Frederic,,0001209191-17-056910,2017-10-12,S,33879,28.5188,0,I,,,,,,
1660134,2017-10-13,OKTA,Losch William E,,0001209191-17-056909,2017-10-11,S,12200,28.6331,0,D,,,,,,
1660134,2017-10-13,OKTA,McKinnon Todd,,0001209191-17-056906,2017-10-11,C,40158,0.0,40158,I,,,,,,
1660134,2017-10-13,OKTA,McKinnon Todd,,0001209191-17-056906,2017-10-11,S,40158,28.6132,0,I,,,,,,
1660134,2017-10-13,OKTA,McKinnon Todd,,0001209191-17-056906,2017-10-12,C,9387,0.0,9387,I,,,,,,
1660134,2017-10-13,OKTA,McKinnon Todd,,0001209191-17-056906,2017-10-12,S,9387,28.5161,0,I,,,,,,
1660134,2017-10-17,OKTA,Kerrest Jacques Frederic,,0001209191-17-057170,2017-10-13,S,33505,27.648,800,I,,,,,,
1660134,2017-10-17,OKTA,Kerrest Jacques Frederic,,0001209191-17-057170,2017-10-16,S,5400,27.3932,0,I,,,,,,
1660134,2017-10-17,OKTA,Kerrest Jacques Frederic,,0001209191-17-057170,2017-10-13,C,34305,0.0,34305,I,,,,,,
1660134,2017-10-17,OKTA,Kerrest Jacques Frederic,,0001209191-17-057170,2017-10-16,C,5400,0.0,5400,I,,,,,,
1660134,2017-10-17,OKTA,McKinnon Todd,,0001209191-17-057172,2017-10-13,S,15099,27.6287,300,I,,,,,,
1660134,2017-10-17,OKTA,McKinnon Todd,,0001209191-17-057172,2017-10-16,S,9422,26.7555,634,I,,,,,,
1660134,2017-10-17,OKTA,McKinnon Todd,,0001209191-17-057172,2017-10-16,C,10056,0.0,10056,I,,,,,,
1660134,2017-10-17,OKTA,McKinnon Todd,,0001209191-17-057172,2017-10-13,C,15399,0.0,15399,I,,,,,,
1660134,2017-10-20,OKTA,Kerrest Jacques Frederic,,0001209191-17-057689,2017-10-18,C,95366,0.0,95366,I,,,,,,
1660134,2017-10-20,OKTA,Kerrest Jacques Frederic,,0001209191-17-057689,2017-10-18,S,95366,27.1352,0,I,,,,,,
1660134,2017-10-31,OKTA,Runyan Jonathan T,,0001209191-17-058498,2017-10-27,C,23065,0.0,23065,D,,,,,,
1660134,2017-10-31,OKTA,Runyan Jonathan T,,0001209191-17-058498,2017-10-27,S,9375,29.0,13690,D,,,,,,
1660134,2017-11-02,OKTA,Runyan Jonathan T,,0001209191-17-058958,2017-10-31,C,19366,0.0,19366,D,,,,,,
1660134,2017-11-02,OKTA,Runyan Jonathan T,,0001209191-17-058958,2017-10-31,S,11270,29.0,8066,D,,,,,,
1660134,2017-11-02,OKTA,Runyan Jonathan T,,0001209191-17-058958,2017-11-01,C,45060,0.0,45060,D,,,,,,
1660134,2017-11-02,OKTA,Runyan Jonathan T,,0001209191-17-058958,2017-11-01,S,1042,29.0,44018,D,,,,,,
1660134,2017-11-03,OKTA,McKinnon Todd,,0001209191-17-059304,2017-11-01,C,75000,0.0,75000,I,,,,,,
1660134,2017-11-03,OKTA,McKinnon Todd,,0001209191-17-059304,2017-11-01,S,75000,28.9799,0,I,,,,,,
1660134,2017-11-13,OKTA,Kerrest Jacques Frederic,,0001209191-17-060459,2017-11-10,C,32380,0.0,32380,I,,,,,,
1660134,2017-11-13,OKTA,Kerrest Jacques Frederic,,0001209191-17-060459,2017-11-10,S,32380,29.1367,0,I,,,,,,
1660134,2017-11-13,OKTA,Kerrest Jacques Frederic,,0001209191-17-060459,2017-11-09,C,52345,0.0,52345,I,,,,,,
1660134,2017-11-13,OKTA,Kerrest Jacques Frederic,,0001209191-17-060459,2017-11-09,S,52345,28.8776,0,I,,,,,,
1660134,2017-11-15,OKTA,Losch William E,,0001209191-17-061001,2017-11-13,C,12200,0.0,12200,D,,,,,,
1660134,2017-11-15,OKTA,Losch William E,,0001209191-17-061001,2017-11-13,S,12200,29.0455,0,D,,,,,,
1660134,2017-11-21,OKTA,Kerrest Jacques Frederic,,0001209191-17-062189,2017-11-17,C,4800,0.0,4800,I,,,,,,
