cik,filingDate,issuerTradingSymbol,reportingOwnerName,reportingOwnerRelationship,accessionNumber,transactionDate,transactionCode,transactionShares,transactionPricePerShare,sharesOwnedFollowingTransaction,directOrIndirectOwnership,transactionType,securityTitle,underlyingSecurityTitle,underlyingSecurityShares,exercisePrice,expirationDate
29989,2016-01-20,OMC,Nelson Jonathan B.,,0000891092-16-011529,2016-01-15,F,1561.0,69.67,29472.0,D,,,,,,
29989,2016-01-20,OMC,ANGELASTRO PHILIP J,,0000891092-16-011528,2016-01-15,F,1892.0,69.67,115210.0,D,,,,,,
29989,2016-01-20,OMC,Castellaneta Andrew,,0000891092-16-011527,2016-01-15,F,810.0,69.67,20933.0,D,,,,,,
29989,2016-02-17,OMC,Hewitt Dennis E.,,0000891092-16-012460,2016-02-12,S,2000.0,72.64,29722.0,D,,,,,,
29989,2016-02-18,OMC,COOK ERROL M,,0000891092-16-012494,2016-02-16,S,7417.0,74.13,28162.25,D,,,,,,
29989,2016-04-05,OMC,CLARK ROBERT C,,0000891092-16-013973,2016-04-01,A,375.47,0.0,32713.98,D,,,,,,
29989,2016-04-05,OMC,CHOKSI MARY C,,0000891092-16-013974,2016-04-01,A,375.47,0.0,14045.95,D,,,,,,
29989,2016-04-05,OMC,BATKIN ALAN R,,0000891092-16-013975,2016-04-01,A,375.47,0.0,20368.33,D,,,,,,
29989,2016-04-05,OMC,COOK ERROL M,,0000891092-16-013976,2016-04-01,A,375.47,0.0,28741.0,D,,,,,,
29989,2016-04-05,OMC,Kissire Deborah J.,,0000891092-16-013977,2016-04-01,A,500.62,0.0,500.62,D,,,,,,
29989,2016-04-05,OMC,ROUBOS GARY L,,0000891092-16-013978,2016-04-01,A,375.0,0.0,42460.0,D,,,,,,
29989,2016-04-05,OMC,HENNING MICHAEL A,,0000891092-16-013979,2016-04-01,A,375.47,0.0,53534.07,D,,,,,,
29989,2016-04-05,OMC,DENISON SUSAN S,,0000891092-16-013980,2016-04-01,A,375.47,0.0,32821.73,D,,,,,,
29989,2016-04-05,OMC,COLEMAN LEONARD S JR,,0000891092-16-013981,2016-04-01,A,375.47,0.0,26877.78,D,,,,,,
29989,2016-04-05,OMC,PURCELL JOHN R,,0000891092-16-013982,2016-04-01,A,375.47,0.0,34718.0,D,,,,,,
29989,2016-04-05,OMC,RICE LINDA JOHNSON,,0000891092-16-013983,2016-04-01,A,375.73,0.0,30700.17,D,,,,,,
29989,2016-04-05,OMC,MURPHY JOHN R,,0000891092-16-013984,2016-04-01,A,375.47,0.0,53044.49,D,,,,,,
29989,2016-04-13,OMC,Nelson Jonathan B.,,0000891092-16-014136,2016-04-11,A,12961.0,0.0,42433.0,D,,,,,,
29989,2016-04-13,OMC,Hewitt Dennis E.,,0000891092-16-014135,2016-04-11,A,5401.0,0.0,35123.0,D,,,,,,
29989,2016-04-13,OMC,OBRIEN MICHAEL J,,0000891092-16-014134,2016-04-11,A,14701.0,0.0,54378.0,D,,,,,,
29989,2016-04-19,OMC,Nelson Jonathan B.,,0000891092-16-014249,2016-04-15,F,1048.0,84.3,41385.0,D,,,,,,
29989,2016-04-19,OMC,OBRIEN MICHAEL J,,0000891092-16-014248,2016-04-15,F,1394.0,84.3,52984.0,D,,,,,,
29989,2016-04-19,OMC,Hewitt Dennis E.,,0000891092-16-014247,2016-04-15,F,420.0,84.3,34703.0,D,,,,,,
29989,2016-04-26,OMC,ANGELASTRO PHILIP J,,0000891092-16-014356,2016-04-22,F,845.0,83.77,114365.0,D,,,,,,
29989,2016-04-26,OMC,Hewitt Dennis E.,,0000891092-16-014355,2016-04-22,F,282.0,83.77,34421.0,D,,,,,,
29989,2016-04-26,OMC,OBRIEN MICHAEL J,,0000891092-16-014354,2016-04-22,F,529.0,83.77,52455.0,D,,,,,,
29989,2016-04-26,OMC,WREN JOHN,,0000891092-16-014353,2016-04-22,F,5446.0,83.77,881754.0,D,,,,,,
29989,2016-05-26,OMC,ANGELASTRO PHILIP J,,0000891092-16-015133,2016-05-24,F,7986.0,82.88,121863.0,D,,,,,,
29989,2016-05-26,OMC,ANGELASTRO PHILIP J,,0000891092-16-015133,2016-05-24,A,15484.0,0.0,129849.0,D,,,,,,
29989,2016-05-26,OMC,OBRIEN MICHAEL J,,0000891092-16-015132,2016-05-24,F,4815.0,82.88,56976.0,D,,,,,,
29989,2016-05-26,OMC,OBRIEN MICHAEL J,,0000891092-16-015132,2016-05-24,A,9336.0,0.0,61791.0,D,,,,,,
29989,2016-05-26,OMC,WREN JOHN,,0000891092-16-015134,2016-05-26,S,12846.0,82.13,896754.0,D,,,,,,
29989,2016-05-26,OMC,WREN JOHN,,0000891092-16-015134,2016-05-25,S,22258.0,82.48,909600.0,D,,,,,,
29989,2016-05-26,OMC,WREN JOHN,,0000891092-16-015134,2016-05-24,A,90044.0,0.0,971798.0,D,,,,,,
29989,2016-05-26,OMC,Hewitt Dennis E.,,0000891092-16-015135,2016-05-24,F,2712.0,82.88,38575.0,D,,,,,,
29989,2016-05-26,OMC,Hewitt Dennis E.,,0000891092-16-015135,2016-05-24,A,6866.0,0.0,41287.0,D,,,,,,
29989,2016-05-26,OMC,WREN JOHN,,0000891092-16-015134,2016-05-24,F,39940.0,82.88,931858.0,D,,,,,,
29989,2016-06-10,OMC,CRAWFORD BRUCE,,0000891092-16-015456,2016-06-09,S,22800.0,84.31,128650.0,D,,,,,,
29989,2016-07-05,OMC,Castellaneta Andrew,,0000891092-16-015928,2016-06-30,A,4295.0,0.0,25290.0,D,,,,,,
29989,2016-07-05,OMC,Castellaneta Andrew,,0000891092-16-015928,2016-06-30,F,370.0,81.49,24920.0,D,,,,,,
29989,2016-07-05,OMC,Nelson Jonathan B.,,0000891092-16-015927,2016-06-30,F,418.0,81.49,40967.0,D,,,,,,
29989,2016-07-06,OMC,MURPHY JOHN R,,0000891092-16-015976,2016-07-01,A,383.48,0.0,53728.0,D,,,,,,
29989,2016-07-06,OMC,RICE LINDA JOHNSON,,0000891092-16-015977,2016-07-01,A,383.74,0.0,31264.11,D,,,,,,
29989,2016-07-06,OMC,PURCELL JOHN R,,0000891092-16-015978,2016-07-01,A,383.48,0.0,35278.08,D,,,,,,
29989,2016-07-06,OMC,HENNING MICHAEL A,,0000891092-16-015980,2016-07-01,A,383.48,0.0,54436.28,D,,,,,,
29989,2016-07-06,OMC,Kissire Deborah J.,,0000891092-16-015979,2016-07-01,A,383.48,0.0,884.1,D,,,,,,
29989,2016-07-06,OMC,COLEMAN LEONARD S JR,,0000891092-16-015982,2016-07-01,A,383.48,0.0,27347.22,D,,,,,,
29989,2016-07-06,OMC,CHOKSI MARY C,,0000891092-16-015984,2016-07-01,A,383.48,0.0,14737.15,D,,,,,,
29989,2016-07-06,OMC,DENISON SUSAN S,,0000891092-16-015981,2016-07-01,A,383.48,0.0,33391.48,D,,,,,,
29989,2016-07-06,OMC,BATKIN ALAN R,,0000891092-16-015985,2016-07-01,A,383.48,0.0,20862.21,D,,,,,,
29989,2016-07-06,OMC,CLARK ROBERT C,,0000891092-16-015983,2016-07-01,A,383.48,0.0,33274.06,D,,,,,,
29989,2016-07-19,OMC,Castellaneta Andrew,,0000891092-16-016225,2016-07-15,F,296.0,82.78,24638.0,D,,,,,,
29989,2016-07-19,OMC,Nelson Jonathan B.,,0000891092-16-016224,2016-07-15,F,1393.0,82.78,39574.0,D,,,,,,
29989,2016-08-17,OMC,Castellaneta Andrew,,0000891092-16-016761,2016-08-15,F,373.0,85.28,24265.0,D,,,,,,
29989,2016-08-18,OMC,RICE LINDA JOHNSON,,0000891092-16-016783,2016-08-16,S,824.0,84.55,30440.11,D,,,,,,
29989,2016-10-04,OMC,COLEMAN LEONARD S JR,,0000891092-16-017829,2016-10-01,A,367.65,0.0,27811.27,D,,,,,,
