cik,filingDate,issuerTradingSymbol,reportingOwnerName,reportingOwnerRelationship,accessionNumber,transactionDate,transactionCode,transactionShares,transactionPricePerShare,sharesOwnedFollowingTransaction,directOrIndirectOwnership,transactionType,securityTitle,underlyingSecurityTitle,underlyingSecurityShares,exercisePrice,expirationDate
1097864,2016-02-16,ON,JACKSON KEITH D,,0001225208-16-026543,2016-02-11,P,20000.0,7.1743,2604252.0,D,,,,,,
1097864,2016-02-16,ON,RESSEL TERESA,,0001225208-16-026466,2016-02-11,P,50000.0,7.02,151380.0,D,,,,,,
1097864,2016-02-16,ON,RESSEL TERESA,,0001225208-16-026466,2016-02-12,P,4000.0,7.06,185380.0,D,,,,,,
1097864,2016-02-16,ON,MCCRANIE J DANIEL,,0001225208-16-026465,2016-02-11,P,100000.0,7.102,360781.0,D,,,,,,
1097864,2016-02-26,ON,OZCELIK TANER,,0001225208-16-028396,2016-02-24,A,40859.0,0.0,108995.0,D,,,,,,
1097864,2016-02-26,ON,OZCELIK TANER,,0001225208-16-028396,2016-02-24,F,5630.0,8.295,103365.0,D,,,,,,
1097864,2016-03-04,ON,Rolls Paul E,,0001225208-16-029260,2016-03-03,F,5206.0,8.94,229227.21,D,,,,,,
1097864,2016-03-04,ON,Rolls Paul E,,0001225208-16-029260,2016-03-03,S,40782.0,8.8936,178033.21,D,,,,,,
1097864,2016-03-04,ON,RASHID MAMOON,,0001225208-16-029258,2016-03-02,F,3965.0,8.82,198377.0,D,,,,,,
1097864,2016-03-04,ON,RASHID MAMOON,,0001225208-16-029258,2016-03-03,F,4485.0,8.94,193892.0,D,,,,,,
1097864,2016-03-04,ON,OZCELIK TANER,,0001225208-16-029257,2016-03-02,F,3808.0,8.82,99557.0,D,,,,,,
1097864,2016-03-04,ON,OSTRANDER DARYL,,0001225208-16-029255,2016-03-04,S,400.0,9.055,86265.0,D,,,,,,
1097864,2016-03-04,ON,CAVE GEORGE H,,0001225208-16-029250,2016-03-03,F,4628.0,8.94,293839.0,D,,,,,,
1097864,2016-03-04,ON,CAVE GEORGE H,,0001225208-16-029250,2016-03-02,F,3316.0,8.82,298467.0,D,,,,,,
1097864,2016-03-04,ON,GUTMANN BERNARD,,0001225208-16-029251,2016-03-03,F,6187.0,8.94,308705.0,D,,,,,,
1097864,2016-03-04,ON,Rolls Paul E,,0001225208-16-029260,2016-03-02,F,4657.0,8.82,234433.21,D,,,,,,
1097864,2016-03-04,ON,Schromm William A.,,0001225208-16-029261,2016-03-03,F,4286.0,8.94,393321.0,D,,,,,,
1097864,2016-03-04,ON,Schromm William A.,,0001225208-16-029261,2016-03-02,F,4113.0,8.82,397607.0,D,,,,,,
1097864,2016-03-04,ON,KLOSTERBOER ROBERT A.,,0001225208-16-029254,2016-03-02,F,3642.0,8.82,305050.0,D,,,,,,
1097864,2016-03-04,ON,KLOSTERBOER ROBERT A.,,0001225208-16-029254,2016-03-03,F,4628.0,8.93,300422.0,D,,,,,,
1097864,2016-03-04,ON,JACKSON KEITH D,,0001225208-16-029253,2016-03-02,F,17261.0,8.82,2586991.0,D,,,,,,
1097864,2016-03-04,ON,JACKSON KEITH D,,0001225208-16-029253,2016-03-03,F,24602.0,8.94,2562389.0,D,,,,,,
1097864,2016-03-04,ON,Hall William,,0001225208-16-029252,2016-03-02,F,4059.0,8.82,347240.0,D,,,,,,
1097864,2016-03-04,ON,Hall William,,0001225208-16-029252,2016-03-03,F,4628.0,8.94,342612.0,D,,,,,,
1097864,2016-03-04,ON,GUTMANN BERNARD,,0001225208-16-029251,2016-03-02,F,4934.0,8.82,314892.0,D,,,,,,
1097864,2016-03-09,ON,JACKSON KEITH D,,0001225208-16-029536,2016-03-07,A,255272.0,0.0,2758952.0,D,,,,,,
1097864,2016-03-09,ON,GUTMANN BERNARD,,0001225208-16-029534,2016-03-07,A,77692.0,0.0,374024.0,D,,,,,,
1097864,2016-03-09,ON,OZCELIK TANER,,0001225208-16-029538,2016-03-07,A,55494.0,0.0,155051.0,D,,,,,,
1097864,2016-03-09,ON,Hall William,,0001225208-16-029535,2016-03-07,A,72143.0,0.0,405500.0,D,,,,,,
1097864,2016-03-09,ON,Rolls Paul E,,0001225208-16-029540,2016-03-07,A,63818.0,0.0,241851.21,D,,,,,,
1097864,2016-03-09,ON,CAVE GEORGE H,,0001225208-16-029533,2016-03-07,A,55494.0,0.0,340078.0,D,,,,,,
1097864,2016-03-09,ON,RASHID MAMOON,,0001225208-16-029539,2016-03-07,A,44396.0,0.0,229229.0,D,,,,,,
1097864,2016-03-09,ON,KLOSTERBOER ROBERT A.,,0001225208-16-029537,2016-03-07,A,66593.0,0.0,357760.0,D,,,,,,
1097864,2016-03-09,ON,Schromm William A.,,0001225208-16-029541,2016-03-07,A,94340.0,0.0,479090.0,D,,,,,,
1097864,2016-03-24,ON,GUTMANN BERNARD,,0001225208-16-030225,2016-03-22,M,30000.0,6.83,404024.0,D,,,,,,
1097864,2016-03-24,ON,GUTMANN BERNARD,,0001225208-16-030225,2016-03-22,S,30000.0,9.4385,374024.0,D,,,,,,
1097864,2016-03-29,ON,JACKSON KEITH D,,0001225208-16-030417,2016-03-25,F,30279.0,9.39,2728673.0,D,,,,,,
1097864,2016-03-29,ON,Schromm William A.,,0001225208-16-030421,2016-03-25,F,4593.0,9.39,474497.0,D,,,,,,
1097864,2016-03-29,ON,RASHID MAMOON,,0001225208-16-030420,2016-03-25,F,671.0,9.39,228558.0,D,,,,,,
1097864,2016-03-29,ON,Hall William,,0001225208-16-030416,2016-03-25,F,5221.0,9.39,400279.0,D,,,,,,
1097864,2016-03-29,ON,GUTMANN BERNARD,,0001225208-16-030415,2016-03-25,F,2538.0,9.39,371486.0,D,,,,,,
1097864,2016-03-29,ON,CAVE GEORGE H,,0001225208-16-030414,2016-03-25,F,5221.0,9.39,334857.0,D,,,,,,
