cik,filingDate,issuerTradingSymbol,reportingOwnerName,reportingOwnerRelationship,accessionNumber,transactionDate,transactionCode,transactionShares,transactionPricePerShare,sharesOwnedFollowingTransaction,directOrIndirectOwnership,transactionType,securityTitle,underlyingSecurityTitle,underlyingSecurityShares,exercisePrice,expirationDate
1801169,2020-12-21,OPEN,Osborne Ian,,0001209191-20-064739,2020-12-18,A,5000000,10.0,5000000,I,,,,,,
1801169,2020-12-21,OPEN,Osborne Ian,,0001209191-20-064739,2020-12-18,M,10150000,,15950000,I,,,,,,
1801169,2020-12-21,OPEN,Palihapitiya Chamath,,0001209191-20-064738,2020-12-18,A,10000000,10.0,10000000,I,,,,,,
1801169,2020-12-21,OPEN,Palihapitiya Chamath,,0001209191-20-064738,2020-12-18,M,10150000,,20150000,I,,,,,,
1801169,2020-12-22,OPEN,Stevens Elizabeth Ann,,0001104659-20-138695,2020-12-18,A,275740,,275740,D,,,,,,
1801169,2020-12-22,OPEN,Bain Adam,,0001104659-20-138692,2020-12-18,A,25610,,25610,D,,,,,,
1801169,2020-12-22,OPEN,Todaro Julie Marie,,0001104659-20-138696,2020-12-18,A,1023857,,1023857,D,,,,,,
1801169,2020-12-22,OPEN,Herman Cipora,,0001104659-20-138693,2020-12-18,M,100000,,100000,D,,,,,,
1801169,2020-12-22,OPEN,Willerer Tom Joseph,,0001104659-20-138698,2020-12-18,A,868277,,868277,D,,,,,,
1801169,2020-12-22,OPEN,Wu Eric Chung-Wei,,0001104659-20-138700,2020-12-18,A,29425504,,29425504,D,,,,,,
1801169,2020-12-22,OPEN,WHEELER CARRIE,,0001104659-20-138697,2020-12-18,A,3898278,,3898278,D,,,,,,
1801169,2020-12-22,OPEN,Wong Ian Hoi Ming,,0001104659-20-138699,2020-12-18,A,6397294,,6397294,D,,,,,,
1801169,2021-03-11,OPEN,Low Ah Kee Andrew,,0001104659-21-035091,2021-03-09,A,4642348,0.0,4642348,D,,,,,,
1801169,2021-03-12,OPEN,Herman Cipora,,0001104659-21-035577,2021-03-11,A,13342,0.0,113342,D,,,,,,
1801169,2021-03-19,OPEN,Rice E. John Jr,,0001104659-21-039099,2021-03-17,A,13342,0.0,13342,D,,,,,,
1801169,2021-04-02,OPEN,Stevens Elizabeth Ann,,0001104659-21-046113,2021-04-01,A,275000,0.0,793446,D,,,,,,
1801169,2021-04-02,OPEN,Wu Eric Chung-Wei,,0001104659-21-046112,2021-04-01,A,5438506,0.0,35415816,D,,,,,,
1801169,2021-04-15,OPEN,Solomon Glenn,,0001104659-21-050845,2020-12-18,A,19380847,,19380847,I,,,,,,
1801169,2021-05-20,OPEN,Keffer Pueo,,0001801169-21-000025,2021-05-19,P,67700,14.7486,67700,D,,,,,,
1801169,2021-05-24,OPEN,Stevens Elizabeth Ann,,0001801169-21-000029,2021-05-20,S,129388,14.93,664058,D,,,,,,
1801169,2021-05-24,OPEN,Wu Eric Chung-Wei,,0001801169-21-000030,2021-05-20,S,625687,14.93,34815129,D,,,,,,
1801169,2021-05-24,OPEN,WHEELER CARRIE,,0001801169-21-000031,2021-05-20,S,8919,14.93,4089518,D,,,,,,
1801169,2021-05-27,OPEN,Keffer Pueo,,0001801169-21-000033,2021-05-26,P,63250,15.8545,130950,D,,,,,,
1801169,2021-06-09,OPEN,Stevens Elizabeth Ann,,0001801169-21-000044,2021-06-08,S,75000,17.7916,589058,D,,,,,,
1801169,2021-06-11,OPEN,Keffer Pueo,,0001801169-21-000046,2021-06-10,P,59347,16.8974,190297,D,,,,,,
1801169,2021-06-14,OPEN,Keffer Pueo,,0001801169-21-000048,2021-06-14,P,56818,17.3666,247115,D,,,,,,
1801169,2021-06-21,OPEN,Bain Adam,,0001801169-21-000050,2021-06-17,A,12277,0.0,37887,D,,,,,,
1801169,2021-06-21,OPEN,Keffer Pueo,,0001801169-21-000054,2021-06-17,A,12277,0.0,259392,D,,,,,,
1801169,2021-06-21,OPEN,Herman Cipora,,0001801169-21-000056,2021-06-17,A,12277,0.0,125619,D,,,,,,
1801169,2021-06-21,OPEN,JAFFE JONATHAN M,,0001801169-21-000052,2021-06-17,A,12277,0.0,12277,D,,,,,,
1801169,2021-06-21,OPEN,Rice E. John Jr,,0001801169-21-000060,2021-06-17,A,12277,0.0,25619,D,,,,,,
1801169,2021-06-21,OPEN,Solomon Glenn,,0001801169-21-000062,2021-06-17,A,12277,0.0,12277,D,,,,,,
1801169,2021-06-21,OPEN,KILAR JASON,,0001801169-21-000058,2021-06-17,A,12277,0.0,12277,D,,,,,,
1801169,2021-06-22,OPEN,WHEELER CARRIE,,0001801169-21-000070,2021-06-18,S,8576,16.6975,4080942,D,,,,,,
1801169,2021-06-22,OPEN,Stevens Elizabeth Ann,,0001801169-21-000068,2021-06-18,S,59471,16.6975,529587,D,,,,,,
