cik,filingDate,issuerTradingSymbol,reportingOwnerName,reportingOwnerRelationship,accessionNumber,transactionDate,transactionCode,transactionShares,transactionPricePerShare,sharesOwnedFollowingTransaction,directOrIndirectOwnership,transactionType,securityTitle,underlyingSecurityTitle,underlyingSecurityShares,exercisePrice,expirationDate
1341439,2015-12-17,ORCL,GARCIA-MOLINA HECTOR,,0001127602-15-034508,2015-12-15,M,1430.0,14.02,6430.0,D,,,,,,
1341439,2015-12-17,ORCL,GARCIA-MOLINA HECTOR,,0001127602-15-034508,2015-12-15,S,3305.0,37.99,5000.0,D,,,,,,
1341439,2015-12-22,ORCL,CONRADES GEORGE H,,0001127602-15-034769,2015-12-21,M,45000.0,22.57,55000.0,D,,,,,,
1341439,2015-12-22,ORCL,CONRADES GEORGE H,,0001127602-15-034769,2015-12-21,S,78750.0,36.3194,10000.0,D,,,,,,
1341439,2015-12-24,ORCL,Daley Dorian,,0001127602-15-034890,2015-12-23,M,50000.0,21.55,75977.0,D,,,,,,
1341439,2015-12-24,ORCL,Daley Dorian,,0001127602-15-034890,2015-12-23,S,53477.0,36.957,22500.0,D,,,,,,
1341439,2015-12-31,ORCL,ELLISON LAWRENCE JOSEPH,,0001127602-15-035201,2015-12-30,M,2540000.0,14.57,1116218824.0,D,,,,,,
1341439,2016-01-28,ORCL,GARCIA-MOLINA HECTOR,,0001127602-16-038191,2016-01-26,M,1430.0,14.02,6430.0,D,,,,,,
1341439,2016-01-28,ORCL,GARCIA-MOLINA HECTOR,,0001127602-16-038191,2016-01-26,S,3305.0,35.0,5000.0,D,,,,,,
1341439,2016-02-17,ORCL,GARCIA-MOLINA HECTOR,,0001127602-16-041824,2016-02-16,M,1430.0,14.02,6430.0,D,,,,,,
1341439,2016-02-17,ORCL,GARCIA-MOLINA HECTOR,,0001127602-16-041824,2016-02-16,S,3305.0,35.84,5000.0,D,,,,,,
1341439,2016-02-17,ORCL,ELLISON LAWRENCE JOSEPH,,0001127602-16-041758,2016-02-12,M,1260000.0,14.57,1117478824.0,D,,,,,,
1341439,2016-03-16,ORCL,GARCIA-MOLINA HECTOR,,0001127602-16-046621,2016-03-15,S,3305.0,38.31,5000.0,D,,,,,,
1341439,2016-03-16,ORCL,GARCIA-MOLINA HECTOR,,0001127602-16-046621,2016-03-15,M,1430.0,14.02,6430.0,D,,,,,,
1341439,2016-03-23,ORCL,Daley Dorian,,0001127602-16-047288,2016-03-22,M,50000.0,21.55,72500.0,D,,,,,,
1341439,2016-03-23,ORCL,Daley Dorian,,0001127602-16-047288,2016-03-22,S,47500.0,41.5313,25000.0,D,,,,,,
1341439,2016-03-23,ORCL,Kurian Thomas,,0001127602-16-047271,2016-03-22,M,200000.0,32.43,233533.0,D,,,,,,
1341439,2016-03-23,ORCL,Kurian Thomas,,0001127602-16-047271,2016-03-22,S,200000.0,41.6039,33533.0,D,,,,,,
1341439,2016-03-23,ORCL,Kurian Thomas,,0001127602-16-047240,2016-03-21,M,200000.0,32.43,233533.0,D,,,,,,
1341439,2016-03-23,ORCL,Kurian Thomas,,0001127602-16-047240,2016-03-21,S,200000.0,41.6062,33533.0,D,,,,,,
1341439,2016-03-29,ORCL,CATZ SAFRA,,0001127602-16-047748,2016-03-28,M,4000000.0,20.49,4312424.0,D,,,,,,
1341439,2016-03-29,ORCL,CATZ SAFRA,,0001127602-16-047748,2016-03-28,S,4000000.0,40.6646,312424.0,D,,,,,,
