cik,filingDate,issuerTradingSymbol,reportingOwnerName,reportingOwnerRelationship,accessionNumber,transactionDate,transactionCode,transactionShares,transactionPricePerShare,sharesOwnedFollowingTransaction,directOrIndirectOwnership,transactionType,securityTitle,underlyingSecurityTitle,underlyingSecurityShares,exercisePrice,expirationDate
1070423,2016-02-10,PAA,ARMSTRONG GREG L,,0001237769-16-000041,2016-02-10,P,158066,16.0615,1425416,D,,,,,,
1070423,2016-02-11,PAA,PETERSEN GARY R,,0001237769-16-000045,2016-02-10,P,10000,15.423,46950,D,,,,,,
1070423,2016-02-11,PAA,ARMSTRONG GREG L,,0001237769-16-000043,2016-02-11,P,50000,15.6477,1475416,D,,,,,,
1070423,2016-08-16,PAA,SYMONDS J TAFT,,0001615619-16-000041,2016-08-12,M,5000,0.0,77225,D,,,,,,
1070423,2016-08-16,PAA,GOYANES EVERARDO,,0001615619-16-000043,2016-08-12,M,5000,0.0,88400,D,,,,,,
1070423,2016-08-16,PAA,SINNOTT ROBERT V,,0001615619-16-000045,2016-08-12,M,2500,0.0,187257,I,,,,,,
1070423,2016-08-16,PAA,PETERSEN GARY R,,0001615619-16-000049,2016-08-12,M,2500,0.0,49450,D,,,,,,
1070423,2016-08-16,PAA,RAYMOND JOHN T,,0001615619-16-000051,2016-08-12,M,2500,0.0,1599616,D,,,,,,
1070423,2016-08-16,PAA,KRAMER PHIL D,,0001615619-16-000053,2016-08-12,F,11103,29.15,392521,D,,,,,,
1070423,2016-08-16,PAA,KRAMER PHIL D,,0001615619-16-000053,2016-08-12,M,30000,0.0,403624,D,,,,,,
1070423,2016-08-16,PAA,McGee Richard K.,,0001615619-16-000055,2016-08-12,F,12027,29.0,113420,D,,,,,,
1070423,2016-08-16,PAA,McGee Richard K.,,0001615619-16-000055,2016-08-12,M,30000,0.0,125447,D,,,,,,
1070423,2016-08-16,PAA,Herbold Chris,,0001615619-16-000057,2016-08-12,F,3829,29.0,34227,D,,,,,,
1070423,2016-08-16,PAA,Herbold Chris,,0001615619-16-000057,2016-08-12,M,14000,0.0,38056,D,,,,,,
1070423,2016-08-16,PAA,Temple Chris,,0001615619-16-000047,2016-08-12,M,5000,0.0,31250,D,,,,,,
1070423,2016-08-16,PAA,DUCKETT W DAVID,,0001615619-16-000059,2016-08-12,M,33333,0.0,33333,D,,,,,,
1070423,2016-08-16,PAA,Swanson Al,,0001615619-16-000061,2016-08-12,F,13984,29.0,165998,D,,,,,,
1070423,2016-08-16,PAA,Swanson Al,,0001615619-16-000061,2016-08-12,M,33333,0.0,179982,D,,,,,,
1070423,2016-08-16,PAA,GORMAN MARK J,,0001615619-16-000063,2016-08-12,F,13984,29.0,174654,D,,,,,,
1070423,2016-08-16,PAA,GORMAN MARK J,,0001615619-16-000063,2016-08-12,M,33333,0.0,188638,D,,,,,,
1070423,2016-08-16,PAA,vonBerg John,,0001615619-16-000065,2016-08-12,F,10488,29.0,157769,D,,,,,,
1070423,2016-08-16,PAA,vonBerg John,,0001615619-16-000065,2016-08-12,M,25000,0.0,168257,D,,,,,,
1070423,2016-08-16,PAA,PEFANIS HARRY N,,0001615619-16-000067,2016-08-12,F,15289,29.15,747532,D,,,,,,
1070423,2016-08-16,PAA,DUCKETT W DAVID,,0001615619-16-000059,2016-08-12,F,16000,29.0,17333,D,,,,,,
1070423,2016-08-16,PAA,PEFANIS HARRY N,,0001615619-16-000067,2016-08-12,M,45000,0.0,762821,D,,,,,,
1070423,2016-08-16,PAA,ARMSTRONG GREG L,,0001615619-16-000069,2016-08-12,F,17545,29.15,1507871,D,,,,,,
1070423,2016-08-16,PAA,ARMSTRONG GREG L,,0001615619-16-000069,2016-08-12,M,50000,0.0,1525416,D,,,,,,
1070423,2016-08-22,PAA,DUCKETT W DAVID,,0001237769-16-000050,2016-08-18,S,17333,29.7585,0,D,,,,,,
1070423,2016-08-22,PAA,vonBerg John,,0001237769-16-000049,2016-08-18,S,35410,29.953,122359,D,,,,,,
1070423,2016-12-05,PAA,vonBerg John,,0001615619-16-000124,2016-12-01,S,86660,32.58,35699,D,,,,,,
1070423,2016-12-05,PAA,Swanson Al,,0001615619-16-000122,2016-12-01,S,43551,32.36,122447,D,,,,,,
1070423,2016-12-12,PAA,vonBerg John,,0001237769-16-000060,2016-12-12,S,6675,32.56,0,D,,,,,,
1070423,2016-12-30,PAA,PAA GP Holdings LLC,,0001615619-16-000126,2016-12-28,P,168063,,244875989,I,,,,,,
1070423,2016-12-30,PAA,PAA GP Holdings LLC,,0001615619-16-000126,2016-12-29,P,124800,,245000789,I,,,,,,
1070423,2017-01-04,PAA,"KAFU HOLDINGS, L.P.",,0001304186-17-000002,2016-12-30,A,3035517,0.0,3035517,I,,,,,,
1070423,2017-01-04,PAA,"KAFU HOLDINGS, L.P.",,0001304186-17-000002,2016-12-30,J,3035517,0.0,0,I,,,,,,
1070423,2017-01-04,PAA,PAA GP Holdings LLC,,0001615619-17-000008,2016-12-30,A,227145,,245227934,I,,,,,,
1070423,2017-01-04,PAA,PAA GP Holdings LLC,,0001615619-17-000008,2016-12-30,J,3035517,0.0,242192417,I,,,,,,
1070423,2017-01-04,PAA,PAA GP Holdings LLC,,0001615619-17-000008,2017-01-03,A,139009,,242331426,I,,,,,,
1070423,2017-01-06,PAA,PAA GP Holdings LLC,,0001615619-17-000010,2017-01-04,A,116000,,242447426,I,,,,,,
1070423,2017-01-06,PAA,PAA GP Holdings LLC,,0001615619-17-000010,2017-01-05,A,147052,,242594478,I,,,,,,
1070423,2017-01-10,PAA,PAA GP Holdings LLC,,0001615619-17-000012,2017-01-06,A,137522,,242732000,I,,,,,,
1070423,2017-01-10,PAA,PAA GP Holdings LLC,,0001615619-17-000012,2017-01-09,A,181819,,242913819,I,,,,,,
1070423,2017-01-12,PAA,PAA GP Holdings LLC,,0001615619-17-000014,2017-01-10,A,162851,,243076670,I,,,,,,
1070423,2017-01-12,PAA,PAA GP Holdings LLC,,0001615619-17-000014,2017-01-11,A,208132,,243284802,I,,,,,,
1070423,2017-01-13,PAA,PAA GP Holdings LLC,,0001615619-17-000016,2017-01-12,A,123338,,243408140,I,,,,,,
1070423,2017-01-13,PAA,PAA GP Holdings LLC,,0001615619-17-000016,2017-01-13,A,50595,,243458735,I,,,,,,
1070423,2017-02-28,PAA,PAA GP Holdings LLC,,0001615619-17-000026,2017-02-14,A,7810,0.0,243391545,I,,,,,,
1070423,2017-02-28,PAA,PAA GP Holdings LLC,,0001615619-17-000026,2017-02-28,J,80000,,243311545,I,,,,,,
1070423,2017-02-28,PAA,PAA GP Holdings LLC,,0001615619-17-000026,2017-02-02,J,75000,,243383735,I,,,,,,
1070423,2017-03-01,PAA,PAA GP Holdings LLC,,0001615619-17-000028,2017-03-01,A,48300000,,291611545,I,,,,,,
1070423,2017-03-20,PAA,PAA GP Holdings LLC,,0001615619-17-000032,2017-03-17,J,1463953,,290147592,I,,,,,,
1070423,2017-03-31,PAA,PAA GP Holdings LLC,,0001615619-17-000034,2017-03-31,J,1835421,,288312171,I,,,,,,
