cik,filingDate,issuerTradingSymbol,reportingOwnerName,reportingOwnerRelationship,accessionNumber,transactionDate,transactionCode,transactionShares,transactionPricePerShare,sharesOwnedFollowingTransaction,directOrIndirectOwnership,transactionType,securityTitle,underlyingSecurityTitle,underlyingSecurityShares,exercisePrice,expirationDate
1327567,2018-12-06,PANW,MERESMAN STANLEY J,,0001209191-18-061226,2018-12-04,S,300,176.027,1658.0,D,,,,,,
1327567,2018-12-11,PANW,ZUK NIR,,0001209191-18-062051,2018-12-07,S,7077,175.048,1076683.0,D,,,,,,
1327567,2018-12-11,PANW,Eschenbach Carl M.,,0001209191-18-062048,2018-12-07,A,1865,0.0,7744.0,D,,,,,,
1327567,2018-12-11,PANW,WARMENHOVEN DANIEL J,,0001209191-18-062031,2018-12-07,A,2181,0.0,3371.0,D,,,,,,
1327567,2018-12-11,PANW,Ramaswamy Sridhar,,0001209191-18-062029,2018-12-07,A,1779,0.0,9093.0,D,,,,,,
1327567,2018-12-11,PANW,McCarthy Mary Pat,,0001209191-18-062026,2018-12-07,A,1836,0.0,10542.0,D,,,,,,
1327567,2018-12-11,PANW,Donovan John,,0001209191-18-062018,2018-12-07,A,1836,0.0,7172.0,D,,,,,,
1327567,2018-12-11,PANW,Chandna Asheem,,0001209191-18-062016,2018-12-07,A,1922,0.0,8442.0,D,,,,,,
1327567,2018-12-11,PANW,CALDERONI FRANK,,0001209191-18-062015,2018-12-07,A,1836,0.0,13290.0,D,,,,,,
1327567,2018-12-13,PANW,Klarich Lee,,0001209191-18-062434,2018-12-11,S,4500,185.0,327483.0,D,,,,,,
1327567,2019-01-04,PANW,ZUK NIR,,0001209191-19-001903,2019-01-02,S,4512,182.62,1049248.0,D,,,,,,
1327567,2019-01-11,PANW,MCLAUGHLIN MARK D,,0001209191-19-003406,2019-01-10,M,33264,10.77,249174.0,D,,,,,,
1327567,2019-01-11,PANW,MCLAUGHLIN MARK D,,0001209191-19-003406,2019-01-10,S,33264,195.042,215910.0,D,,,,,,
1327567,2019-01-11,PANW,MCLAUGHLIN MARK D,,0001209191-19-003406,2019-01-09,S,6736,195.0,215910.0,D,,,,,,
1327567,2019-01-11,PANW,MCLAUGHLIN MARK D,,0001209191-19-003406,2019-01-09,M,6736,10.77,221926.0,D,,,,,,
1327567,2019-01-14,PANW,Klarich Lee,,0001209191-19-003537,2019-01-10,S,1800,190.817,325683.0,D,,,,,,
