cik,filingDate,issuerTradingSymbol,reportingOwnerName,reportingOwnerRelationship,accessionNumber,transactionType,transactionDate,transactionCode,transactionShares,transactionPricePerShare,sharesOwnedFollowingTransaction,directOrIndirectOwnership,securityTitle,underlyingSecurityTitle,underlyingSecurityShares,exercisePrice,expirationDate
813828,2016-08-16,"CBS, CBS.A",Jones Richard M,,0001225208-16-038013,non_derivative,2016-08-14,M,1261.0,0.0,85895.0,D,CBS Class B common stock,,,,
813828,2016-08-16,"CBS, CBS.A",Jones Richard M,,0001225208-16-038013,non_derivative,2016-08-14,F,467.0,52.35,85428.0,D,CBS Class B common stock,,,,
813828,2016-08-16,"CBS, CBS.A",Jones Richard M,,0001225208-16-038013,derivative,2016-08-14,M,1261.0,0.0,2523.0,D,Restricted Share Units,CBS Class B common stock,1261.0,,
813828,2016-08-16,"CBS, CBS.A",Liding Lawrence,,0001225208-16-038012,non_derivative,2016-08-14,M,1261.0,0.0,20307.0,D,CBS Class B common stock,,,,
813828,2016-08-16,"CBS, CBS.A",Liding Lawrence,,0001225208-16-038012,non_derivative,2016-08-14,F,467.0,52.35,19840.0,D,CBS Class B common stock,,,,
813828,2016-08-16,"CBS, CBS.A",Liding Lawrence,,0001225208-16-038012,derivative,2016-08-14,M,1261.0,0.0,2523.0,D,Restricted Share Units,CBS Class B common stock,1261.0,,
813828,2016-08-23,"CBS, CBS.A",Goldberg Leonard,,0001225208-16-038292,derivative,2016-08-19,M,1698.0,0.0,0.0,D,Director Stock Option (right to buy),CBS Class B common stock,1698.0,19.83,2021-01-31
813828,2016-08-23,"CBS, CBS.A",Goldberg Leonard,,0001225208-16-038292,non_derivative,2016-08-19,M,1698.0,19.83,52414.0,D,CBS Class B common stock,,,,
813828,2016-08-23,"CBS, CBS.A",Goldberg Leonard,,0001225208-16-038292,non_derivative,2016-08-19,S,698.0,51.77,51716.0,D,CBS Class B common stock,,,,
813828,2016-09-29,"CBS, CBS.A",Ambrosio Anthony G,,0001225208-16-039754,non_derivative,2016-09-27,M,15120.0,13.43,15120.0,D,CBS Class B common stock,,,,
813828,2016-09-29,"CBS, CBS.A",Ambrosio Anthony G,,0001225208-16-039754,non_derivative,2016-09-27,S,15120.0,52.0236,0.0,D,CBS Class B common stock,,,,
813828,2016-09-29,"CBS, CBS.A",Ambrosio Anthony G,,0001225208-16-039754,derivative,2016-09-27,M,15120.0,0.0,105847.0,D,Employee Stock Option (right to buy),CBS Class B common stock,15120.0,13.43,2018-03-01
813828,2016-10-04,"CBS, CBS.A",COHEN WILLIAM S,,0001225208-16-040092,derivative,2016-10-01,A,337.0,55.38,31044.0,D,Phantom Class A Common Stock Units,CBS Class A common stock,337.0,,
