cik,filingDate,issuerTradingSymbol,reportingOwnerName,reportingOwnerRelationship,accessionNumber,transactionDate,transactionCode,transactionShares,transactionPricePerShare,sharesOwnedFollowingTransaction,directOrIndirectOwnership,transactionType,securityTitle,underlyingSecurityTitle,underlyingSecurityShares,exercisePrice,expirationDate
1734722,2021-04-23,PATH,Sturdy Laela,,0001209191-21-028133,2021-04-23,C,10004580.0,,10004580.0,I,,,,,,
1734722,2021-04-23,PATH,Wong Rich,,0001209191-21-028119,2021-04-23,C,62132346.0,,62132346.0,I,,,,,,
1734722,2021-04-23,PATH,Accel London V L.P.,,0001209191-21-028111,2021-04-23,S,3106618.0,56.0,59025728.0,D,,,,,,
1734722,2021-04-23,PATH,Digital East Fund 2013 SCA SICAR,,0001209191-21-028124,2021-04-23,S,2100400.0,56.0,39848631.0,D,,,,,,
1734722,2021-04-23,PATH,Eschenbach Carl M.,,0001209191-21-028129,2021-04-23,C,3235377.0,,3235377.0,I,,,,,,
1734722,2021-04-23,PATH,Accel London V L.P.,,0001209191-21-028113,2021-04-23,C,161979.0,,161979.0,I,,,,,,
1734722,2021-04-23,PATH,Accel London V L.P.,,0001209191-21-028111,2021-04-23,C,62132346.0,,62132346.0,D,,,,,,
1734722,2021-04-23,PATH,MENDOZA THOMAS F,,0001209191-21-028131,2021-04-23,C,57180.0,,1668300.0,I,,,,,,
1734722,2021-04-23,PATH,Wong Rich,,0001209191-21-028119,2021-04-23,S,3106618.0,56.0,59025728.0,I,,,,,,
1734722,2021-04-23,PATH,MENDOZA THOMAS F,,0001209191-21-028131,2021-04-23,S,120726.0,56.0,1611120.0,I,,,,,,
1734722,2021-04-23,PATH,Digital East Fund 2013 SCA SICAR,,0001209191-21-028124,2021-04-23,C,13718203.0,,13718203.0,D,,,,,,
1734722,2021-04-23,PATH,Wong Rich,,0001209191-21-028122,2021-04-23,C,161979.0,,161979.0,I,,,,,,
1734722,2021-04-23,PATH,Botteri Philippe,,0001209191-21-028115,2021-04-23,C,62132346.0,,62132346.0,I,,,,,,
1734722,2021-04-23,PATH,Accel London V L.P.,,0001209191-21-028113,2021-04-23,S,10046.0,56.0,151933.0,I,,,,,,
1734722,2021-04-23,PATH,Botteri Philippe,,0001209191-21-028115,2021-04-23,S,3106618.0,56.0,59025728.0,I,,,,,,
1734722,2021-04-23,PATH,Sturdy Laela,,0001209191-21-028133,2021-04-23,S,1527673.0,56.0,15363242.0,I,,,,,,
1734722,2021-04-23,PATH,Wong Rich,,0001209191-21-028122,2021-04-23,S,10046.0,56.0,151933.0,I,,,,,,
1734722,2021-04-23,PATH,Botteri Philippe,,0001209191-21-028117,2021-04-23,S,10046.0,56.0,151933.0,I,,,,,,
1734722,2021-04-23,PATH,Dines Daniel,,0001209191-21-028127,2021-04-23,S,1383168.0,56.0,24964327.0,D,,,,,,
1734722,2021-04-23,PATH,Botteri Philippe,,0001209191-21-028117,2021-04-23,C,161979.0,,161979.0,I,,,,,,
1734722,2021-06-01,PATH,Eschenbach Carl M.,,0001062993-21-005250,2021-05-27,J,1787331.0,,4173458.0,I,,,,,,
1734722,2021-06-14,PATH,Botteri Philippe,"isDirector,isTenPercentOwner",0001562180-21-004242,2021-06-10,J,1428739.0,0.0,25275532.0,I,,,,,,
1734722,2021-06-14,PATH,Accel Growth Fund IV L.P.,isTenPercentOwner,0001562180-21-004241,2021-06-10,J,1428739.0,0.0,25275532.0,D,,,,,,
1734722,2021-06-14,PATH,Wong Rich,"isDirector,isTenPercentOwner",0001562180-21-004243,2021-06-10,J,1428739.0,0.0,25275532.0,I,,,,,,
1734722,2021-06-17,PATH,Wong Rich,"isDirector,isTenPercentOwner",0001562180-21-004371,2021-06-15,J,1395512.0,0.0,23880020.0,I,,,,,,
1734722,2021-06-17,PATH,Accel Growth Fund IV L.P.,isTenPercentOwner,0001562180-21-004370,2021-06-15,J,1395512.0,0.0,23880020.0,D,,,,,,
1734722,2021-06-17,PATH,Botteri Philippe,"isDirector,isTenPercentOwner",0001562180-21-004372,2021-06-15,J,1395512.0,0.0,23880020.0,I,,,,,,
1734722,2021-06-21,PATH,Gupta Ashim,isOfficer,0001562180-21-004402,2021-06-17,S,5300.0,70.5,632416.0,D,,,,,,
1734722,2021-06-21,PATH,Gupta Ashim,isOfficer,0001562180-21-004402,2021-06-16,G,1000.0,0.0,637716.0,D,,,,,,
1734722,2021-06-24,PATH,Botteri Philippe,"isDirector,isTenPercentOwner",0001562180-21-004494,2021-06-22,J,1395512.0,0.0,22484508.0,I,,,,,,
1734722,2021-06-24,PATH,Wong Rich,"isDirector,isTenPercentOwner",0001562180-21-004493,2021-06-22,J,1395512.0,0.0,22484508.0,I,,,,,,
1734722,2021-06-24,PATH,Accel Growth Fund IV L.P.,isTenPercentOwner,0001562180-21-004492,2021-06-22,J,1395512.0,0.0,22484508.0,D,,,,,,
1734722,2021-06-30,PATH,Gupta Ashim,isOfficer,0001562180-21-004598,2021-06-28,M,10000.0,0.7533,648716.0,D,,,,,,
1734722,2021-06-30,PATH,Gupta Ashim,isOfficer,0001562180-21-004598,2021-06-28,S,10000.0,70.3843,638716.0,D,,,,,,
1734722,2021-06-30,PATH,Wong Rich,"isDirector,isTenPercentOwner",0001562180-21-004597,2021-06-28,J,1395512.0,0.0,21088996.0,I,,,,,,
1734722,2021-06-30,PATH,Botteri Philippe,"isDirector,isTenPercentOwner",0001562180-21-004596,2021-06-28,J,1395512.0,0.0,21088996.0,I,,,,,,
1734722,2021-06-30,PATH,Accel Growth Fund IV L.P.,isTenPercentOwner,0001562180-21-004595,2021-06-28,J,1395512.0,0.0,21088996.0,D,,,,,,
1734722,2021-07-01,PATH,Ramani Hitesh,isOfficer,0001562180-21-004644,2021-06-29,A,15678.0,0.0,115678.0,D,,,,,,
1734722,2021-07-13,PATH,Botteri Philippe,"isDirector,isTenPercentOwner",0001562180-21-004922,2021-07-09,J,1395512.0,0.0,19693484.0,I,,,,,,
1734722,2021-07-13,PATH,Wong Rich,"isDirector,isTenPercentOwner",0001562180-21-004921,2021-07-09,J,1395512.0,0.0,19693484.0,I,,,,,,
1734722,2021-07-13,PATH,Accel Growth Fund IV L.P.,isTenPercentOwner,0001562180-21-004920,2021-07-09,J,1395512.0,0.0,19693484.0,D,,,,,,
1734722,2021-08-17,PATH,Brubaker Brad,isOfficer,0001562180-21-005385,2021-08-13,S,6700.0,62.1263,0.0,D,,,,,,
1734722,2021-08-17,PATH,Brubaker Brad,isOfficer,0001562180-21-005385,2021-08-13,M,6700.0,5.06,6700.0,D,,,,,,
1734722,2021-08-18,PATH,Botteri Philippe,"isDirector,isTenPercentOwner",0001562180-21-005438,2021-08-16,S,163539.0,60.1789,544338.0,D,,,,,,
1734722,2021-08-18,PATH,Botteri Philippe,"isDirector,isTenPercentOwner",0001562180-21-005438,2021-08-17,S,37326.0,60.0664,507012.0,D,,,,,,
