cik,filingDate,issuerTradingSymbol,reportingOwnerName,reportingOwnerRelationship,accessionNumber,transactionDate,transactionCode,transactionShares,transactionPricePerShare,sharesOwnedFollowingTransaction,directOrIndirectOwnership,transactionType,securityTitle,underlyingSecurityTitle,underlyingSecurityShares,exercisePrice,expirationDate
75362,2020-12-03,PCAR,SIVER DARRIN C,,0000075362-20-000205,2020-12-01,J,47.279,87.28,13090.839,D,,,,,,
75362,2020-12-03,PCAR,DOZIER C MICHAEL,,0000075362-20-000204,2020-09-01,J,37.788,87.28,10463.043,D,,,,,,
75362,2020-12-03,PCAR,WALTON MICHAEL K,,0000075362-20-000203,2020-12-01,J,10.868,87.28,3020.632,D,,,,,,
75362,2020-12-03,PCAR,HUBBARD TODD R,,0000075362-20-000199,2020-12-01,J,11.501,87.28,3184.367,D,,,,,,
75362,2020-12-03,PCAR,PIGOTT MARK C,,0000075362-20-000198,2020-12-01,J,344.722,87.28,95449.082,D,,,,,,
75362,2020-12-03,PCAR,LeVier Jack K.,,0000075362-20-000197,2020-12-01,J,26.979,87.28,7470.219,D,,,,,,
75362,2020-12-03,PCAR,Quinn T. Kyle,,0000075362-20-000196,2020-12-01,J,27.252,87.28,7545.8,D,,,,,,
75362,2020-12-03,PCAR,SCHIPPERS HARRIE,,0000075362-20-000189,2020-12-01,J,4.123,87.28,1141.698,D,,,,,,
75362,2020-12-03,PCAR,FEIGHT R PRESTON,,0000075362-20-000188,2020-12-01,J,32.38,87.28,8965.693,D,,,,,,
75362,2021-01-05,PCAR,FEIGHT R PRESTON,,0001225208-21-000373,2021-01-04,F,1165.0,86.28,16192.0,D,,,,,,
75362,2021-01-05,PCAR,HUBBARD TODD R,,0001225208-21-000378,2021-01-01,M,699.0,0.0,2713.0,D,,,,,,
75362,2021-01-05,PCAR,HUBBARD TODD R,,0001225208-21-000378,2021-01-04,F,567.0,86.28,2146.0,D,,,,,,
75362,2021-01-05,PCAR,BARKLEY MICHAEL T,,0001225208-21-000352,2021-01-04,F,621.0,86.28,26706.0,D,,,,,,
75362,2021-01-05,PCAR,SCHIPPERS HARRIE,,0001225208-21-000353,2021-01-04,F,2274.0,86.28,41907.0,D,,,,,,
75362,2021-01-05,PCAR,SIVER DARRIN C,,0001225208-21-000355,2021-01-01,M,2528.0,0.0,26875.0,D,,,,,,
75362,2021-01-05,PCAR,Quinn T. Kyle,,0001225208-21-000388,2021-01-01,M,2401.0,0.0,27641.0,D,,,,,,
75362,2021-01-05,PCAR,BARKLEY MICHAEL T,,0001225208-21-000352,2021-01-01,M,2424.0,0.0,27327.0,D,,,,,,
