cik,filingDate,issuerTradingSymbol,reportingOwnerName,reportingOwnerRelationship,accessionNumber,transactionDate,transactionCode,transactionShares,transactionPricePerShare,sharesOwnedFollowingTransaction,directOrIndirectOwnership,transactionType,securityTitle,underlyingSecurityTitle,underlyingSecurityShares,exercisePrice,expirationDate
1126328,2020-06-30,PFG,STRABLE-SOETHOUT DEANNA D,,0001126328-20-000167,2020-06-26,A,162.0,0.0,48239.0,I,,,,,,
1126328,2020-06-30,PFG,GELATT DANIEL,,0001126328-20-000152,2020-06-26,P,22065.0,35.41,187741.0,D,,,,,,
1126328,2020-06-30,PFG,CARTER MILLER JOYCELYN,,0001126328-20-000144,2020-06-26,A,848.0,0.0,60298.0,D,,,,,,
1126328,2020-06-30,PFG,Tallett Elizabeth E,,0001126328-20-000145,2020-06-26,A,887.0,,64968.0,D,,,,,,
1126328,2020-06-30,PFG,Auerbach Jonathan,,0001126328-20-000143,2020-06-26,A,95.0,0.0,5102.0,D,,,,,,
1126328,2020-06-30,PFG,DAN MICHAEL T,,0001126328-20-000151,2020-06-26,A,464.0,0.0,46159.0,D,,,,,,
1126328,2020-06-30,PFG,Friedrich Amy Christine,,0001126328-20-000154,2020-06-26,A,206.0,0.0,31937.0,D,,,,,,
1126328,2020-06-30,PFG,HELTON SANDRA L,,0001126328-20-000155,2020-06-26,A,815.0,0.0,58387.0,D,,,,,,
1126328,2020-06-30,PFG,Kay Kathleen B,,0001126328-20-000157,2020-06-26,A,208.0,0.0,208.0,D,,,,,,
1126328,2020-06-30,PFG,Halter Patrick Gregory,,0001126328-20-000153,2020-06-26,A,92.0,0.0,80002.0,D,,,,,,
1126328,2020-06-30,PFG,HOCHSCHILD ROGER C,,0001126328-20-000159,2020-06-26,A,286.0,0.0,20285.0,D,,,,,,
1126328,2020-06-30,PFG,LAWLER JULIA M,,0001126328-20-000158,2020-06-26,A,102.0,0.0,53513.0,D,,,,,,
1126328,2020-06-30,PFG,Schaaf Renee V.,,0001126328-20-000164,2020-06-26,A,36.0,0.0,23690.0,D,,,,,,
1126328,2020-06-30,PFG,SHAFF KAREN E,,0001126328-20-000165,2020-06-26,A,203.0,0.0,102780.0,D,,,,,,
1126328,2020-06-30,PFG,Richer Clare Stack,,0001126328-20-000166,2020-06-26,A,59.0,0.0,4194.0,D,,,,,,
1126328,2020-06-30,PFG,Nordin Diane C,,0001126328-20-000162,2020-06-26,A,172.0,0.0,12172.0,D,,,,,,
1126328,2020-06-30,PFG,Pickerell Blair,,0001126328-20-000161,2020-06-26,A,267.0,0.0,18962.0,D,,,,,,
1126328,2020-06-30,PFG,Mills Scott,,0001126328-20-000160,2020-06-26,A,226.0,0.0,16007.0,D,,,,,,
