cik,filingDate,issuerTradingSymbol,reportingOwnerName,reportingOwnerRelationship,accessionNumber,transactionDate,transactionCode,transactionShares,transactionPricePerShare,sharesOwnedFollowingTransaction,directOrIndirectOwnership,transactionType,securityTitle,underlyingSecurityTitle,underlyingSecurityShares,exercisePrice,expirationDate
75677,2016-01-27,PKG,Carter Charles J.,,0001209191-16-093712,2016-01-25,F,559.0,50.19,27381.0,D,,,,,,
75677,2016-01-27,PKG,Pflederer Kent A.,,0001209191-16-093711,2016-01-25,F,636.0,50.19,34267.0,D,,,,,,
75677,2016-03-09,PKG,Maurer Thomas P.,,0001209191-16-107228,2016-03-09,P,2000.0,53.47,3175.0,D,,,,,,
75677,2016-04-26,PKG,Carter Charles J.,,0001209191-16-115585,2016-04-22,S,6463.0,65.63,20918.0,D,,,,,,
75677,2016-05-18,PKG,Farrington Duane C,,0001209191-16-121190,2016-05-17,A,768.0,0.0,1220.0,D,,,,,,
75677,2016-05-18,PKG,LYONS ROBERT C,,0001209191-16-121195,2016-05-17,A,768.0,0.0,6406.0,D,,,,,,
75677,2016-05-18,PKG,Maurer Thomas P.,,0001209191-16-121197,2016-05-17,A,768.0,0.0,3943.0,D,,,,,,
75677,2016-05-18,PKG,PORTER ROGER B,,0001209191-16-121203,2016-05-17,A,768.0,0.0,16581.0,D,,,,,,
75677,2016-05-18,PKG,Woodrum James D,,0001209191-16-121208,2016-05-17,A,768.0,0.0,5581.0,D,,,,,,
75677,2016-05-18,PKG,MENCOFF SAMUEL M,,0001209191-16-121226,2016-05-17,A,768.0,0.0,226774.0,D,,,,,,
75677,2016-05-18,PKG,MENCOFF SAMUEL M,,0001209191-16-121226,2016-05-17,J,768.0,0.0,226006.0,D,,,,,,
75677,2016-05-18,PKG,SOULELES THOMAS S,,0001209191-16-121228,2016-05-17,J,768.0,0.0,10000.0,D,,,,,,
75677,2016-05-18,PKG,SOULELES THOMAS S,,0001209191-16-121228,2016-05-17,A,768.0,0.0,10768.0,D,,,,,,
75677,2016-05-18,PKG,Jameel Hasan,,0001209191-16-121229,2016-05-17,A,768.0,0.0,7581.0,D,,,,,,
75677,2016-05-18,PKG,STECKO PAUL T,,0001209191-16-121398,2016-05-17,F,238.0,65.08,69687.0,D,,,,,,
75677,2016-05-18,PKG,STECKO PAUL T,,0001209191-16-121398,2016-05-17,A,768.0,0.0,69925.0,D,,,,,,
