cik,filingDate,issuerTradingSymbol,reportingOwnerName,reportingOwnerRelationship,accessionNumber,transactionDate,transactionCode,transactionShares,transactionPricePerShare,sharesOwnedFollowingTransaction,directOrIndirectOwnership,transactionType,securityTitle,underlyingSecurityTitle,underlyingSecurityShares,exercisePrice,expirationDate
1045609,2018-07-25,PLD,ZOLLARS WILLIAM D,,0001209191-18-043923,2018-07-23,S,8020.0,62.45,11490.0,D,,,,,,
1045609,2018-07-31,PLD,LYONS IRVING F III,,0001209191-18-044581,2018-07-27,S,1.0,65.29,32954.0,D,,,,,,
1045609,2018-08-09,PLD,REILLY EUGENE F,,0001209191-18-045968,2018-08-07,G,390.0,0.0,52075.0,D,,,,,,
1045609,2018-08-09,PLD,REILLY EUGENE F,,0001209191-18-045968,2018-08-08,G,390.0,0.0,51685.0,D,,,,,,
1045609,2018-08-13,PLD,LOSH J MICHAEL,,0001209191-18-046361,2018-08-09,M,6762.0,26.58,28101.0,D,,,,,,
1045609,2018-08-13,PLD,LOSH J MICHAEL,,0001209191-18-046361,2018-08-09,S,6762.0,65.63,21339.0,D,,,,,,
1045609,2018-09-21,PLD,NEKRITZ EDWARD S,,0001209191-18-051997,2018-09-21,S,18098.8416,67.66,106102.4688,D,,,,,,
1045609,2018-09-21,PLD,REILLY EUGENE F,,0001209191-18-051981,2018-09-20,S,15000.0,67.2,36685.0,D,,,,,,
1045609,2018-09-24,PLD,NEKRITZ EDWARD S,,0001209191-18-052027,2018-09-24,G,5752.0,0.0,100350.4688,D,,,,,,
1045609,2018-10-02,PLD,LYONS IRVING F III,,0001209191-18-053513,2018-09-28,S,4808.0,67.45,110816.0,I,,,,,,
1045609,2018-10-03,PLD,LYONS IRVING F III,,0001209191-18-054137,2018-09-28,P,70.7758,66.89,9933.7758,D,,,,,,
1045609,2018-11-13,PLD,HAWKINS PHILIP L,,0001209191-18-058392,2018-11-09,S,5000.0,67.3135,69511.0,D,,,,,,
1045609,2018-12-21,PLD,ZOLLARS WILLIAM D,,0001209191-18-063935,2018-12-19,S,1610.0,61.53,9880.0,D,,,,,,
1045609,2018-12-21,PLD,ZOLLARS WILLIAM D,,0001209191-18-063935,2018-12-19,G,1610.0,0.0,8270.0,D,,,,,,
1045609,2019-01-03,PLD,ZOLLARS WILLIAM D,,0001209191-19-001430,2019-01-02,M,557.0,0.0,8827.0,D,,,,,,
1045609,2019-01-03,PLD,LYONS IRVING F III,,0001209191-19-001436,2019-01-01,M,183.0,0.0,10116.7758,D,,,,,,
1045609,2019-01-11,PLD,Olinger Thomas S,,0001209191-19-003389,2019-01-09,M,9952.0,0.0,17974.0,D,,,,,,
1045609,2019-01-11,PLD,Olinger Thomas S,,0001209191-19-003389,2019-01-09,F,3542.0,61.31,14432.0,D,,,,,,
1045609,2019-02-01,PLD,HAWKINS PHILIP L,,0001209191-19-006485,2019-01-30,S,15000.0,68.2,44511.0,D,,,,,,
1045609,2019-02-01,PLD,NEKRITZ EDWARD S,,0001209191-19-006478,2019-01-30,S,9192.2688,68.26,91158.2,D,,,,,,
1045609,2019-02-08,PLD,SKELTON JEFFREY L,,0001209191-19-008453,2019-02-06,M,14380.0,17.71,58470.0,D,,,,,,
1045609,2019-02-08,PLD,SKELTON JEFFREY L,,0001209191-19-008453,2019-02-06,S,14380.0,69.42,44090.0,D,,,,,,
1045609,2019-02-08,PLD,KENNARD LYDIA H,,0001209191-19-008452,2019-02-07,M,14380.0,17.71,46703.0,D,,,,,,
1045609,2019-02-08,PLD,KENNARD LYDIA H,,0001209191-19-008452,2019-02-07,S,14380.0,70.24,32323.0,D,,,,,,
1045609,2019-02-12,PLD,REILLY EUGENE F,,0001209191-19-009194,2019-02-11,S,19000.0,71.07,17685.0,D,,,,,,
1045609,2019-02-12,PLD,MOGHADAM HAMID R,,0001209191-19-009193,2019-02-11,G,70000.0,0.0,1609089.0,I,,,,,,
1045609,2019-02-15,PLD,LYONS IRVING F III,,0001209191-19-010745,2019-02-13,S,2216.0,70.88,7971.7758,D,,,,,,
1045609,2019-03-25,PLD,NEKRITZ EDWARD S,,0001209191-19-021125,2019-03-21,S,16059.2912,71.86,51792.0912,D,,,,,,
1045609,2019-04-25,PLD,NEKRITZ EDWARD S,,0001209191-19-025984,2019-04-24,S,30671.0912,75.01,21121.0,D,,,,,,
1045609,2019-05-07,PLD,SKELTON JEFFREY L,,0001209191-19-027923,2019-05-06,M,3939.0,0.0,48029.0,D,,,,,,
1045609,2019-05-07,PLD,KENNARD LYDIA H,,0001209191-19-027922,2019-05-06,M,3939.0,0.0,36262.0,D,,,,,,
1045609,2019-05-07,PLD,ZOLLARS WILLIAM D,,0001209191-19-027925,2019-05-06,M,3939.0,0.0,12984.0,D,,,,,,
1045609,2019-05-07,PLD,WEBB CARL B,,0001209191-19-027924,2019-05-06,M,3939.0,0.0,75194.0,D,,,,,,
1045609,2019-05-22,PLD,OCONNOR DAVID P,,0001209191-19-031981,2019-05-21,G,15000.0,0.0,4035.0,D,,,,,,
1045609,2019-06-07,PLD,MOGHADAM HAMID R,,0001209191-19-035543,2019-06-06,G,150000.0,0.0,1459089.0,I,,,,,,
1045609,2019-06-12,PLD,HAWKINS PHILIP L,,0001209191-19-036554,2019-06-12,S,9000.0,78.72,35511.0,D,,,,,,
1045609,2019-06-21,PLD,Olinger Thomas S,,0001209191-19-038439,2019-06-19,M,2054.0,0.0,16486.0,D,,,,,,
1045609,2019-06-21,PLD,Olinger Thomas S,,0001209191-19-038439,2019-06-19,F,1019.0,81.53,15467.0,D,,,,,,
1045609,2019-07-24,PLD,Olinger Thomas S,,0001209191-19-043131,2019-07-23,M,5200.0,22.14,20667.0,D,,,,,,
1045609,2019-07-24,PLD,Olinger Thomas S,,0001209191-19-043131,2019-07-23,S,5200.0,82.24,15467.0,D,,,,,,
1045609,2019-07-30,PLD,NEKRITZ EDWARD S,,0001209191-19-043626,2019-07-29,G,5500.0,0.0,15621.0,D,,,,,,
1045609,2019-07-31,PLD,REILLY EUGENE F,,0001209191-19-043814,2019-07-30,S,7000.0,81.6,10685.0,D,,,,,,
1045609,2019-07-31,PLD,REILLY EUGENE F,,0001209191-19-043814,2019-07-31,S,5500.0,81.88,5185.0,D,,,,,,
1045609,2019-12-09,PLD,Olinger Thomas S,,0001209191-19-059625,2019-12-06,M,316.0,0.0,7932.0,D,,,,,,
1045609,2019-12-09,PLD,Olinger Thomas S,,0001209191-19-059625,2019-12-06,F,157.0,91.43,7775.0,D,,,,,,
1045609,2020-01-03,PLD,ZOLLARS WILLIAM D,,0001209191-20-000709,2020-01-02,M,557.0,0.0,13541.0,D,,,,,,
1045609,2020-01-13,PLD,Olinger Thomas S,,0001209191-20-003217,2020-01-09,F,3514.0,88.96,14213.0,D,,,,,,
1045609,2020-01-13,PLD,Olinger Thomas S,,0001209191-20-003217,2020-01-09,M,9952.0,0.0,17727.0,D,,,,,,
1045609,2020-02-06,PLD,NEKRITZ EDWARD S,,0001209191-20-007193,2020-02-04,A,6.0,0.0,15627.0,D,,,,,,
1045609,2020-03-06,PLD,REILLY EUGENE F,,0001209191-20-017093,2020-03-05,G,5185.0,0.0,0.0,D,,,,,,
1045609,2020-04-27,PLD,SKELTON JEFFREY L,,0001209191-20-025874,2020-04-24,M,6762.0,26.58,54791.0,D,,,,,,
1045609,2020-04-27,PLD,SKELTON JEFFREY L,,0001209191-20-025874,2020-04-24,S,6762.0,89.2,48029.0,D,,,,,,
1045609,2020-04-29,PLD,KENNARD LYDIA H,,0001209191-20-026226,2020-04-27,M,6762.0,26.58,43024.0,D,,,,,,
1045609,2020-04-29,PLD,KENNARD LYDIA H,,0001209191-20-026226,2020-04-27,S,6762.0,91.0,36262.0,D,,,,,,
1045609,2020-05-01,PLD,WEBB CARL B,,0001209191-20-026657,2020-04-29,M,3335.0,0.0,78529.0,D,,,,,,
1045609,2020-05-01,PLD,ZOLLARS WILLIAM D,,0001209191-20-026658,2020-04-29,M,3335.0,0.0,17115.0,D,,,,,,
1045609,2020-05-01,PLD,SKELTON JEFFREY L,,0001209191-20-026655,2020-04-29,M,3335.0,0.0,51364.0,D,,,,,,
1045609,2020-05-01,PLD,Piani Olivier,,0001209191-20-026654,2020-04-29,M,3335.0,0.0,3335.0,D,,,,,,
1045609,2020-05-01,PLD,LOSH J MICHAEL,,0001209191-20-026652,2020-04-29,M,29743.0,0.0,51082.0,D,,,,,,
1045609,2020-05-01,PLD,KENNARD LYDIA H,,0001209191-20-026647,2020-04-29,M,3335.0,0.0,39597.0,D,,,,,,
