cik,filingDate,issuerTradingSymbol,reportingOwnerName,reportingOwnerRelationship,accessionNumber,transactionDate,transactionCode,transactionShares,transactionPricePerShare,sharesOwnedFollowingTransaction,directOrIndirectOwnership,transactionType,securityTitle,underlyingSecurityTitle,underlyingSecurityShares,exercisePrice,expirationDate
1321655,2020-10-02,PLTR,Taylor Ryan D.,,0001209191-20-053426,2020-09-30,A,2611664,0.0,2611664,D,,,,,,
1321655,2020-10-02,PLTR,Schiff Alexandra W.,,0001209191-20-053407,2020-09-30,A,148305,0.0,148305,D,,,,,,
1321655,2020-10-02,PLTR,Cohen Stephen Andrew,,0001209191-20-053421,2020-09-30,S,1000000,10.0,2402647,D,,,,,,
1321655,2020-10-02,PLTR,Cohen Stephen Andrew,,0001209191-20-053421,2020-10-01,C,1000000,0.0,3402647,D,,,,,,
1321655,2020-10-02,PLTR,Moore Alexander D.,,0001209191-20-053409,2020-09-30,A,148305,0.0,2714249,D,,,,,,
1321655,2020-10-02,PLTR,Karp Alexander C.,,0001209191-20-053419,2020-09-30,S,1600000,9.7239,18926496,D,,,,,,
1321655,2020-10-02,PLTR,Karp Alexander C.,,0001209191-20-053419,2020-10-01,S,7900000,9.4322,9026496,D,,,,,,
1321655,2020-10-02,PLTR,Rascoff Spencer M,,0001209191-20-053412,2020-09-30,A,148305,0.0,148305,D,,,,,,
1321655,2020-10-02,PLTR,Cohen Stephen Andrew,,0001209191-20-053421,2020-10-01,S,1000000,9.4221,2402647,D,,,,,,
1321655,2020-10-02,PLTR,Moore Alexander D.,,0001209191-20-053409,2020-09-30,S,50000,10.2735,2664249,D,,,,,,
1321655,2020-10-02,PLTR,Moore Alexander D.,,0001209191-20-053409,2020-10-01,S,235000,9.3857,2429249,D,,,,,,
1321655,2020-10-02,PLTR,Glazer David A.,,0001209191-20-053422,2020-10-01,S,253700,9.5779,3940152,D,,,,,,
1321655,2020-10-02,PLTR,Cohen Stephen Andrew,,0001209191-20-053421,2020-09-30,C,1000000,0.0,3402647,D,,,,,,
1321655,2020-10-02,PLTR,Glazer David A.,,0001209191-20-053422,2020-09-30,A,5555773,0.0,5555773,D,,,,,,
1321655,2020-10-02,PLTR,Taylor Ryan D.,,0001209191-20-053426,2020-09-30,S,433979,9.7566,2177685,D,,,,,,
1321655,2020-10-02,PLTR,Long Matthew A.,,0001209191-20-053424,2020-10-01,S,140000,9.9,874006,D,,,,,,
1321655,2020-10-02,PLTR,Long Matthew A.,,0001209191-20-053424,2020-10-01,C,200,0.0,874206,D,,,,,,
1321655,2020-10-02,PLTR,Glazer David A.,,0001209191-20-053422,2020-09-30,S,864733,9.7566,4691040,D,,,,,,
1321655,2020-10-02,PLTR,Long Matthew A.,,0001209191-20-053424,2020-09-30,A,1313410,0.0,1313410,D,,,,,,
1321655,2020-10-02,PLTR,Taylor Ryan D.,,0001209191-20-053426,2020-10-01,S,73588,9.9152,1898164,D,,,,,,
1321655,2020-10-02,PLTR,Sankar Shyam,,0001209191-20-053425,2020-09-30,A,4210115,0.0,5666667,D,,,,,,
1321655,2020-10-02,PLTR,Long Matthew A.,,0001209191-20-053424,2020-09-30,S,278993,9.7566,1034417,D,,,,,,
1321655,2020-10-02,PLTR,Taylor Ryan D.,,0001209191-20-053426,2020-10-01,C,43588,0.0,1971752,D,,,,,,
1321655,2020-10-02,PLTR,Taylor Ryan D.,,0001209191-20-053426,2020-09-30,C,14500,0.0,1942644,D,,,,,,
1321655,2020-10-02,PLTR,Sankar Shyam,,0001209191-20-053425,2020-09-30,S,892540,9.7566,4774127,D,,,,,,
1321655,2020-10-05,PLTR,THIEL PETER,,0001209191-20-053428,2020-10-01,S,418672,9.7547,268840,I,,,,,,
1321655,2020-10-05,PLTR,THIEL PETER,,0001209191-20-053427,2020-10-02,S,908,9.14,24,I,,,,,,
1321655,2020-10-05,PLTR,THIEL PETER,,0001209191-20-053427,2020-09-30,J,276772,0.0,1157,I,,,,,,
1321655,2020-10-05,PLTR,THIEL PETER,,0001209191-20-053427,2020-09-30,S,18367343,10.131,5661683,I,,,,,,
1321655,2020-10-05,PLTR,Cohen Stephen Andrew,,0001209191-20-053908,2020-10-02,S,2000000,9.0861,2402647,D,,,,,,
1321655,2020-10-05,PLTR,THIEL PETER,,0001209191-20-053428,2020-10-02,C,96116105,0.0,97851188,I,,,,,,
1321655,2020-10-05,PLTR,Glazer David A.,,0001209191-20-053909,2020-10-02,S,186000,9.1602,3754152,D,,,,,,
1321655,2020-10-05,PLTR,Karp Alexander C.,,0001209191-20-053910,2020-10-02,S,2600000,9.0997,6426496,D,,,,,,
1321655,2020-10-05,PLTR,Moore Alexander D.,,0001209191-20-053911,2020-10-02,S,88000,9.1512,2341249,D,,,,,,
1321655,2020-10-05,PLTR,Taylor Ryan D.,,0001209191-20-053912,2020-10-02,S,33177,9.1627,1898164,D,,,,,,
1321655,2020-10-05,PLTR,Taylor Ryan D.,,0001209191-20-053912,2020-10-02,C,33177,0.0,1931341,D,,,,,,
1321655,2020-10-05,PLTR,Cohen Stephen Andrew,,0001209191-20-053908,2020-10-02,C,2000000,0.0,4402647,D,,,,,,
1321655,2020-11-18,PLTR,Glazer David A.,,0001209191-20-059306,2020-11-17,S,180000,18.0068,3298367,D,,,,,,
1321655,2020-11-18,PLTR,Taylor Ryan D.,,0001209191-20-059305,2020-11-16,C,132931,0.0,2031095,D,,,,,,
1321655,2020-11-18,PLTR,Sankar Shyam,,0001209191-20-059303,2020-11-17,S,300000,17.0272,3260952,D,,,,,,
1321655,2020-11-18,PLTR,Cohen Stephen Andrew,,0001209191-20-059294,2020-11-18,S,366244,18.0984,903403,D,,,,,,
1321655,2020-11-18,PLTR,Karp Alexander C.,,0001209191-20-059300,2020-11-16,C,1285123,0.0,7711619,D,,,,,,
1321655,2020-11-18,PLTR,Long Matthew A.,,0001209191-20-059302,2020-11-16,S,277042,15.795,877004,D,,,,,,
1321655,2020-11-18,PLTR,Long Matthew A.,,0001209191-20-059302,2020-11-16,C,280040,0.0,1154046,D,,,,,,
1321655,2020-11-18,PLTR,Glazer David A.,,0001209191-20-059306,2020-11-17,M,180000,4.72,3478367,D,,,,,,
1321655,2020-11-18,PLTR,Cohen Stephen Andrew,,0001209191-20-059294,2020-11-17,S,82125,16.8187,1720522,D,,,,,,
