cik,filingDate,issuerTradingSymbol,reportingOwnerName,reportingOwnerRelationship,accessionNumber,transactionDate,transactionCode,transactionShares,transactionPricePerShare,sharesOwnedFollowingTransaction,directOrIndirectOwnership,transactionType,securityTitle,underlyingSecurityTitle,underlyingSecurityShares,exercisePrice,expirationDate
1413329,2017-02-17,PM,Whitson Jerry,,0001182489-17-000203,2017-02-15,F,7822,102.404,52572,D,,,,,,
1413329,2017-02-17,PM,Brunel Patrick,,0001182489-17-000189,2017-02-15,F,2717,102.404,62616,D,,,,,,
1413329,2017-02-17,PM,CALANTZOPOULOS ANDRE,,0001182489-17-000190,2017-02-15,S,35000,102.65,752671,D,,,,,,
1413329,2017-02-17,PM,CALANTZOPOULOS ANDRE,,0001182489-17-000190,2017-02-15,F,3753,102.404,787671,D,,,,,,
1413329,2017-02-17,PM,de Rooij Frank,,0001182489-17-000191,2017-02-15,F,133,102.404,13657,D,,,,,,
1413329,2017-02-17,PM,Azinovic Drago,,0001182489-17-000186,2017-02-15,F,6042,102.404,93407,D,,,,,,
1413329,2017-02-17,PM,Barth Werner,,0001182489-17-000187,2017-02-15,F,3177,102.404,48072,D,,,,,,
1413329,2017-02-17,PM,De Wilde Frederic,,0001182489-17-000192,2017-02-15,F,5876,102.404,140122,D,,,,,,
1413329,2017-02-17,PM,FIRESTONE MARC S,,0001182489-17-000194,2017-02-15,S,17088,102.568,177643,D,,,,,,
1413329,2017-02-17,PM,Bendotti Charles,,0001182489-17-000188,2017-02-15,F,229,102.404,18280,D,,,,,,
1413329,2017-02-17,PM,King Martin G.,,0001182489-17-000195,2017-02-15,F,9321,102.404,146016,D,,,,,,
1413329,2017-02-17,PM,Janelle Paul,,0001182489-17-000196,2017-02-15,F,2192,102.404,22378,D,,,,,,
1413329,2017-02-17,PM,Polles Jeanne,,0001182489-17-000201,2017-02-15,F,2978,102.404,52297,D,,,,,,
1413329,2017-02-17,PM,Zielinski Miroslaw,,0001182489-17-000202,2017-02-15,F,6932,102.404,209293,D,,,,,,
1413329,2017-02-17,PM,FIRESTONE MARC S,,0001182489-17-000194,2017-02-15,F,2448,102.404,194731,D,,,,,,
1413329,2017-02-17,PM,Kurali Andreas,,0001182489-17-000197,2017-02-15,F,1798,102.404,33308,D,,,,,,
1413329,2017-02-17,PM,Mariotti Marco,,0001182489-17-000198,2017-02-15,F,1857,102.404,90402,D,,,,,,
1413329,2017-02-17,PM,Marques Antonio,,0001182489-17-000199,2017-02-15,F,377,102.404,163442,D,,,,,,
1413329,2017-02-17,PM,Olczak Jacek,,0001182489-17-000200,2017-02-15,F,10857,102.404,226486,D,,,,,,
1413329,2017-02-22,PM,CAMILLERI LOUIS C,,0001182489-17-000204,2017-02-17,S,60000,103.325,753806,D,,,,,,
1413329,2017-02-24,PM,Janelle Paul,,0001182489-17-000207,2017-02-22,G,8458,0.0,13920,D,,,,,,
