cik,filingDate,issuerTradingSymbol,reportingOwnerName,reportingOwnerRelationship,accessionNumber,transactionDate,transactionCode,transactionShares,transactionPricePerShare,sharesOwnedFollowingTransaction,directOrIndirectOwnership,transactionType,securityTitle,underlyingSecurityTitle,underlyingSecurityShares,exercisePrice,expirationDate
713676,2021-01-28,PNC,Deborah Guild,,0001209191-21-005869,2021-01-26,S,3840,151.37,18804,D,,,,,,
713676,2021-02-05,PNC,HANNON MICHAEL J,,0001209191-21-008048,2021-02-03,S,3162,151.703,48248,D,,,,,,
713676,2021-02-08,PNC,Larrimer Karen L.,,0001209191-21-008438,2021-02-05,S,3205,156.915,24580,D,,,,,,
713676,2021-02-12,PNC,HANNON MICHAEL J,,0001209191-21-010310,2021-02-10,A,2748,160.11,50996,D,,,,,,
713676,2021-02-12,PNC,Jordan Gregory B.,,0001209191-21-010341,2021-02-10,F,2296,160.11,61426,D,,,,,,
713676,2021-02-12,PNC,Jordan Gregory B.,,0001209191-21-010341,2021-02-10,A,7375,160.11,63722,D,,,,,,
713676,2021-02-12,PNC,Jordan Gregory B.,,0001209191-21-010341,2020-12-08,G,700,0.0,56347,D,,,,,,
713676,2021-02-12,PNC,DEMCHAK WILLIAM S,,0001209191-21-010300,2021-02-10,F,16489,160.11,420834,D,,,,,,
713676,2021-02-12,PNC,DEMCHAK WILLIAM S,,0001209191-21-010300,2021-02-10,A,38317,160.11,437323,D,,,,,,
713676,2021-02-12,PNC,Juchno Stacy M.,,0001209191-21-010359,2021-02-10,F,716,160.11,8857,D,,,,,,
713676,2021-02-12,PNC,Juchno Stacy M.,,0001209191-21-010359,2021-02-10,A,2424,160.11,9573,D,,,,,,
713676,2021-02-12,PNC,Henn Vicki C.,,0001209191-21-010364,2021-02-10,F,1559,160.11,15194,D,,,,,,
713676,2021-02-12,PNC,Henn Vicki C.,,0001209191-21-010364,2021-02-10,A,4344,160.11,16753,D,,,,,,
713676,2021-02-12,PNC,HANNON MICHAEL J,,0001209191-21-010310,2021-02-10,F,812,160.11,50184,D,,,,,,
713676,2021-02-12,PNC,Larrimer Karen L.,,0001209191-21-010366,2021-02-10,A,8083,160.11,32663,D,,,,,,
