cik,filingDate,issuerTradingSymbol,reportingOwnerName,reportingOwnerRelationship,accessionNumber,transactionDate,transactionCode,transactionShares,transactionPricePerShare,sharesOwnedFollowingTransaction,directOrIndirectOwnership,transactionType,securityTitle,underlyingSecurityTitle,underlyingSecurityShares,exercisePrice,expirationDate
764622,2016-02-18,PNW,McLEOD TAMMY D,,0001209191-16-100239,2016-02-16,A,749,0.0,6753,D,,,,,,
764622,2016-02-18,PNW,GULDNER JEFFREY B.,,0001209191-16-100195,2016-02-16,A,1498,0.0,12123,D,,,,,,
764622,2016-02-18,PNW,GULDNER JEFFREY B.,,0001209191-16-100195,2016-02-16,F,756,67.25,11367,D,,,,,,
764622,2016-02-18,PNW,GOMEZ BARBARA M,,0001209191-16-100193,2016-02-16,A,856,0.0,856,D,,,,,,
764622,2016-02-18,PNW,GOMEZ BARBARA M,,0001209191-16-100193,2016-02-16,F,449,67.25,407,D,,,,,,
764622,2016-02-18,PNW,Falck David P,,0001209191-16-100188,2016-02-16,F,1392,67.25,41849,D,,,,,,
764622,2016-02-18,PNW,Falck David P,,0001209191-16-100188,2016-02-16,A,2997,0.0,43241,D,,,,,,
764622,2016-02-18,PNW,BRANDT DONALD E,,0001209191-16-100161,2016-02-16,F,8054,67.25,190934,D,,,,,,
764622,2016-02-18,PNW,Edington Randall K,,0001209191-16-100182,2016-02-16,A,2140,0.0,11887,D,,,,,,
764622,2016-02-18,PNW,Edington Randall K,,0001209191-16-100182,2016-02-16,F,1007,67.25,10880,D,,,,,,
764622,2016-02-18,PNW,Edington Randall K,,0001209191-16-100182,2016-02-16,G,1259,0.0,9747,D,,,,,,
764622,2016-02-18,PNW,Schiavoni Mark A.,,0001209191-16-100173,2016-02-16,A,2997,0.0,24958,D,,,,,,
764622,2016-02-18,PNW,Schiavoni Mark A.,,0001209191-16-100173,2016-02-16,F,1139,67.25,23819,D,,,,,,
764622,2016-02-18,PNW,BRANDT DONALD E,,0001209191-16-100161,2016-02-16,A,17125,0.0,198988,D,,,,,,
764622,2016-02-18,PNW,HATFIELD JAMES R,,0001209191-16-100202,2016-02-16,G,2003,0.0,0,D,,,,,,
764622,2016-02-18,PNW,GOMEZ BARBARA M,,0001209191-16-100193,2016-02-16,G,452,0.0,0,D,,,,,,
764622,2016-02-18,PNW,HATFIELD JAMES R,,0001209191-16-100202,2016-02-16,A,2997,0.0,2997,D,,,,,,
764622,2016-02-18,PNW,Nickloy Lee R.,,0001209191-16-100207,2016-02-16,F,381,67.25,4341,D,,,,,,
764622,2016-02-18,PNW,Nickloy Lee R.,,0001209191-16-100207,2016-02-16,A,749,0.0,4722,D,,,,,,
764622,2016-02-18,PNW,Danner Denise R,,0001209191-16-100212,2016-02-16,F,441,67.25,13867,D,,,,,,
764622,2016-02-18,PNW,Danner Denise R,,0001209191-16-100212,2016-02-16,A,856,0.0,14308,D,,,,,,
764622,2016-02-18,PNW,FROETSCHER DANIEL T,,0001209191-16-100219,2016-02-16,F,441,67.25,9350,D,,,,,,
764622,2016-02-18,PNW,FROETSCHER DANIEL T,,0001209191-16-100219,2016-02-16,A,856,0.0,9791,D,,,,,,
764622,2016-02-18,PNW,BEMENT ROBERT S,,0001209191-16-100227,2016-02-16,G,760,0.0,0,D,,,,,,
764622,2016-02-18,PNW,BEMENT ROBERT S,,0001209191-16-100227,2016-02-16,F,599,67.25,685,D,,,,,,
764622,2016-02-18,PNW,BEMENT ROBERT S,,0001209191-16-100227,2016-02-16,A,1284,0.0,1284,D,,,,,,
764622,2016-02-18,PNW,HATFIELD JOHN S.,,0001209191-16-100231,2016-02-16,F,243,67.25,6006,D,,,,,,
764622,2016-02-18,PNW,HATFIELD JOHN S.,,0001209191-16-100231,2016-02-16,A,642,0.0,6249,D,,,,,,
764622,2016-02-18,PNW,DINKEL PATRICK,,0001209191-16-100237,2016-02-16,F,375,67.25,3645,D,,,,,,
764622,2016-02-18,PNW,DINKEL PATRICK,,0001209191-16-100237,2016-02-16,A,749,0.0,4020,D,,,,,,
764622,2016-02-18,PNW,HATFIELD JAMES R,,0001209191-16-100202,2016-02-16,F,1196,67.25,1801,D,,,,,,
764622,2016-02-18,PNW,McLEOD TAMMY D,,0001209191-16-100239,2016-02-16,F,381,67.25,6372,D,,,,,,
764622,2016-02-23,PNW,HATFIELD JAMES R,,0001209191-16-101479,2016-02-19,M,1188,0.0,1188,D,,,,,,
764622,2016-02-23,PNW,Edington Randall K,,0001209191-16-101485,2016-02-19,G,2012,0.0,9747,D,,,,,,
764622,2016-02-23,PNW,Danner Denise R,,0001209191-16-101492,2016-02-19,M,476,0.0,14389,D,,,,,,
764622,2016-02-23,PNW,Danner Denise R,,0001209191-16-101492,2016-02-19,F,220,68.25,14169,D,,,,,,
764622,2016-02-23,PNW,Danner Denise R,,0001209191-16-101492,2016-02-19,D,205,68.25,14169,D,,,,,,
764622,2016-02-23,PNW,BEMENT ROBERT S,,0001209191-16-101494,2016-02-19,G,734,0.0,0,D,,,,,,
764622,2016-02-23,PNW,Danner Denise R,,0001209191-16-101492,2016-02-19,A,114,0.0,14609,D,,,,,,
764622,2016-02-23,PNW,Edington Randall K,,0001209191-16-101485,2016-02-19,F,532,68.25,10403,D,,,,,,
764622,2016-02-23,PNW,Edington Randall K,,0001209191-16-101485,2016-02-19,D,513,68.25,10969,D,,,,,,
764622,2016-02-23,PNW,Edington Randall K,,0001209191-16-101485,2016-02-19,A,342,0.0,11917,D,,,,,,
764622,2016-02-23,PNW,HATFIELD JAMES R,,0001209191-16-101479,2016-02-19,F,466,68.25,722,D,,,,,,
764622,2016-02-23,PNW,Edington Randall K,,0001209191-16-101485,2016-02-19,M,1188,0.0,10935,D,,,,,,
764622,2016-02-23,PNW,HATFIELD JAMES R,,0001209191-16-101479,2016-02-19,D,650,68.25,2459,D,,,,,,
764622,2016-02-23,PNW,Falck David P,,0001209191-16-101468,2016-02-19,D,831,68.25,42030,D,,,,,,
