cik,filingDate,issuerTradingSymbol,reportingOwnerName,reportingOwnerRelationship,accessionNumber,transactionDate,transactionCode,transactionShares,transactionPricePerShare,sharesOwnedFollowingTransaction,directOrIndirectOwnership,transactionType,securityTitle,underlyingSecurityTitle,underlyingSecurityShares,exercisePrice,expirationDate
857005,2016-02-02,PTC,HEPPELMANN JAMES E,,0001140361-16-049817,2016-02-01,S,25000,30.037,628181,D,,,,,,
857005,2016-02-16,PTC,Miller Andrew,,0001140361-16-053269,2015-02-15,M,44550,0.0,50814,D,,,,,,
857005,2016-02-16,PTC,Miller Andrew,,0001140361-16-053269,2016-02-15,F,15962,28.63,34852,D,,,,,,
857005,2016-02-16,PTC,Cohen Matthew Lessner,,0001140361-16-053266,2016-02-15,M,88,0.0,22641,D,,,,,,
857005,2016-02-16,PTC,Cohen Matthew Lessner,,0001140361-16-053266,2016-02-15,F,34,28.63,22607,D,,,,,,
857005,2016-03-03,PTC,SCHECHTER ROBERT,,0001140361-16-056378,2016-03-02,M,8920,0.0,63849,D,,,,,,
857005,2016-03-03,PTC,ZAMBONINI RENATO,,0001140361-16-056372,2016-03-02,M,7136,0.0,59148,D,,,,,,
857005,2016-03-03,PTC,LACY PAUL A,,0001140361-16-056375,2016-03-02,M,7136,0.0,68922,D,,,,,,
857005,2016-03-03,PTC,GRIERSON DONALD K,,0001140361-16-056385,2016-03-02,M,7136,0.0,79829,D,,,,,,
857005,2016-03-03,PTC,HOEHN KLAUS,,0001140361-16-056379,2016-03-02,M,4352,0.0,4352,D,,,,,,
857005,2016-03-03,PTC,CHAFFIN JANICE,,0001140361-16-056380,2016-03-02,M,7136,0.0,29715,D,,,,,,
857005,2016-04-21,PTC,Gremley Robert C,,0001140361-16-061699,2016-04-20,S,3978,34.0,7954,D,,,,,,
857005,2016-04-25,PTC,SCHECHTER ROBERT,,0001140361-16-061977,2016-04-21,S,1430,36.08,62419,D,,,,,,
857005,2016-04-25,PTC,DIBONA ANTHONY,,0001140361-16-061976,2016-04-21,S,7500,36.08,30289,D,,,,,,
857005,2016-04-25,PTC,DIBONA ANTHONY,,0001140361-16-061976,2016-04-25,S,5000,36.7958,25289,D,,,,,,
857005,2016-05-04,PTC,Gremley Robert C,,0001140361-16-063402,2016-05-02,S,3978,36.5277,3976,D,,,,,,
857005,2016-05-04,PTC,HEPPELMANN JAMES E,,0001140361-16-063407,2016-05-02,S,25000,36.5334,603181,D,,,,,,
857005,2016-06-01,PTC,COHEN BARRY F,,0001140361-16-068107,2016-05-31,S,30000,35.7682,102368,D,,,,,,
857005,2016-06-17,PTC,HOEHN KLAUS,,0001140361-16-070204,2016-06-15,M,4352,0.0,8704,D,,,,,,
857005,2016-07-21,PTC,LACY PAUL A,,0001354488-16-008098,2016-07-21,S,8779,40.4226,60143,D,,,,,,
857005,2016-07-25,PTC,SCHECHTER ROBERT,,0001354488-16-008102,2016-07-22,S,1248,39.98,61171,D,,,,,,
857005,2016-07-26,PTC,DIBONA ANTHONY,,0001354488-16-008118,2016-07-25,S,3238,40.2623,22051,D,,,,,,
857005,2016-08-02,PTC,Gremley Robert C,,0001354488-16-008128,2016-08-01,S,3976,40.4269,0,D,,,,,,
857005,2016-08-02,PTC,HEPPELMANN JAMES E,,0001354488-16-008126,2016-08-01,S,25000,40.4096,578181,D,,,,,,
857005,2016-08-04,PTC,GRIERSON DONALD K,,0001354488-16-008140,2016-08-03,S,5000,39.4123,74829,D,,,,,,
857005,2016-08-16,PTC,Cohen Matthew Lessner,,0001354488-16-008194,2016-08-15,S,8000,42.5709,14607,D,,,,,,
857005,2016-10-04,PTC,SCHECHTER ROBERT,,0001354488-16-008355,2016-10-03,S,1136,45.02,60035,D,,,,,,
857005,2016-11-02,PTC,HEPPELMANN JAMES E,,0001354488-16-008453,2016-11-01,S,17175,46.2413,561006,D,,,,,,
857005,2016-11-17,PTC,COHEN BARRY F,,0001354488-16-008533,2016-11-15,M,61948,0.0,164316,D,,,,,,
857005,2016-11-17,PTC,Cohen Matthew Lessner,,0001354488-16-008535,2016-11-15,F,12332,47.53,32803,D,,,,,,
857005,2016-11-17,PTC,Cohen Matthew Lessner,,0001354488-16-008535,2016-11-15,M,30528,0.0,45135,D,,,,,,
857005,2016-11-17,PTC,COHEN BARRY F,,0001354488-16-008533,2016-11-15,F,27213,47.53,137103,D,,,,,,
857005,2016-11-17,PTC,Gremley Robert C,,0001354488-16-008539,2016-11-15,F,16786,47.53,23232,D,,,,,,
857005,2016-11-17,PTC,DIBONA ANTHONY,,0001354488-16-008537,2016-11-16,S,3857,47.5502,43909,D,,,,,,
857005,2016-11-17,PTC,DIBONA ANTHONY,,0001354488-16-008537,2016-11-15,M,44385,0.0,66436,D,,,,,,
857005,2016-11-17,PTC,Gremley Robert C,,0001354488-16-008539,2016-11-16,S,14621,47.4503,8611,D,,,,,,
