cik,filingDate,issuerTradingSymbol,reportingOwnerName,reportingOwnerRelationship,accessionNumber,transactionDate,transactionCode,transactionShares,transactionPricePerShare,sharesOwnedFollowingTransaction,directOrIndirectOwnership,transactionType,securityTitle,underlyingSecurityTitle,underlyingSecurityShares,exercisePrice,expirationDate
1633917,2016-01-20,PYPL,Ready William J,,0001633917-16-000092,2016-01-15,M,150560.0,0.0,251597,D,,,,,,
1633917,2016-01-20,PYPL,Ready William J,,0001633917-16-000092,2016-01-15,F,90934.0,32.31,192702,D,,,,,,
1633917,2016-01-29,PYPL,SCHULMAN DANIEL H,,0001633917-16-000097,2016-01-28,M,121965.0,0.0,157815,D,,,,,,
1633917,2016-01-29,PYPL,SCHULMAN DANIEL H,,0001633917-16-000097,2016-01-28,F,59650.0,34.24,98165,D,,,,,,
1633917,2016-02-03,PYPL,MOFFETT DAVID M,,0001633917-16-000105,2016-02-01,A,924.0,0.0,59554,D,,,,,,
1633917,2016-02-03,PYPL,MOFFETT DAVID M,,0001633917-16-000105,2016-02-01,S,15971.0,36.0814,59554,D,,,,,,
1633917,2016-02-03,PYPL,Yeary Frank D,,0001633917-16-000107,2016-02-01,A,661.0,0.0,5460,D,,,,,,
1633917,2016-02-03,PYPL,CHRISTODORO JONATHAN,,0001633917-16-000099,2016-02-01,A,621.0,0.0,5353,D,,,,,,
1633917,2016-02-03,PYPL,MOFFETT DAVID M,,0001633917-16-000105,2016-02-01,M,15971.0,10.34,75525,D,,,,,,
1633917,2016-02-03,PYPL,DORMAN DAVID W,,0001633917-16-000103,2016-02-01,A,708.0,0.0,18594,D,,,,,,
1633917,2016-02-03,PYPL,Donahoe John J,,0001633917-16-000101,2016-02-01,A,1214.0,0.0,135142,D,,,,,,
1633917,2016-02-17,PYPL,Ready William J,,0001633917-16-000115,2016-02-15,M,25093.0,0.0,217795,D,,,,,,
1633917,2016-02-17,PYPL,Ready William J,,0001633917-16-000115,2016-02-15,F,15881.0,34.3,207254,D,,,,,,
1633917,2016-03-01,PYPL,Ready William J,,0001633917-16-000117,2016-02-29,S,77689.0,38.2232,129565,D,,,,,,
1633917,2016-03-03,PYPL,SCHULMAN DANIEL H,,0001633917-16-000123,2016-03-01,F,21512.0,39.25,159153,D,,,,,,
1633917,2016-03-03,PYPL,SCHULMAN DANIEL H,,0001633917-16-000123,2016-03-01,A,82500.0,0.0,180665,D,,,,,,
1633917,2016-03-03,PYPL,Marino Gary J,,0001633917-16-000121,2016-03-01,M,3234.0,0.0,3234,D,,,,,,
1633917,2016-03-03,PYPL,Marino Gary J,,0001633917-16-000121,2016-03-01,A,13960.0,0.0,17194,D,,,,,,
1633917,2016-03-03,PYPL,Marino Gary J,,0001633917-16-000121,2016-03-01,F,1098.0,39.25,16096,D,,,,,,
1633917,2016-03-03,PYPL,Barrese James,,0001633917-16-000119,2016-03-01,F,4460.0,39.25,19355,D,,,,,,
1633917,2016-03-03,PYPL,Barrese James,,0001633917-16-000119,2016-03-01,A,23731.0,0.0,23815,D,,,,,,
