cik,filingDate,issuerTradingSymbol,reportingOwnerName,reportingOwnerRelationship,accessionNumber,transactionDate,transactionCode,transactionShares,transactionPricePerShare,sharesOwnedFollowingTransaction,directOrIndirectOwnership,transactionType,securityTitle,underlyingSecurityTitle,underlyingSecurityShares,exercisePrice,expirationDate
1315098,2021-07-06,RBLX,Tolley Brett,,0001209191-21-045671,2021-07-01,M,1048,5.21,35843,D,,,,,,
1315098,2021-07-06,RBLX,Tolley Brett,,0001209191-21-045671,2021-07-01,S,1048,89.5,34795,D,,,,,,
1315098,2021-07-08,RBLX,Guthrie Michael,,0001209191-21-046070,2021-07-06,M,45000,0.53,135000,D,,,,,,
1315098,2021-07-08,RBLX,Guthrie Michael,,0001209191-21-046070,2021-07-06,S,14696,85.8637,120304,D,,,,,,
1315098,2021-07-15,RBLX,Donato Craig,,0001209191-21-046832,2021-07-14,S,6179,79.5793,1499188,D,,,,,,
1315098,2021-08-23,RBLX,Tolley Brett,,0001209191-21-053048,2021-08-20,M,1047,5.21,35842,D,,,,,,
1315098,2021-08-23,RBLX,Tolley Brett,,0001209191-21-053048,2021-08-20,S,1047,83.0,34795,D,,,,,,
1315098,2021-08-23,RBLX,Donato Craig,,0001209191-21-053045,2021-08-19,S,2239,80.6425,1490628,D,,,,,,
1315098,2021-08-25,RBLX,Bronstein Manuel,,0001209191-21-053398,2021-08-23,S,11575,81.5236,838425,D,,,,,,
1315098,2021-08-25,RBLX,Guthrie Michael,,0001209191-21-053402,2021-08-23,S,1616,81.5236,88384,D,,,,,,
1315098,2021-08-25,RBLX,Donato Craig,,0001209191-21-053400,2021-08-23,S,25000,85.0011,1455367,D,,,,,,
1315098,2021-08-25,RBLX,Bronstein Manuel,,0001209191-21-053398,2021-08-24,S,22284,88.404,792682,D,,,,,,
1315098,2021-08-25,RBLX,Tolley Brett,,0001209191-21-053405,2021-08-23,S,446,81.5236,34349,D,,,,,,
1315098,2021-08-25,RBLX,Bronstein Manuel,,0001209191-21-053398,2021-08-25,S,1790,90.0,789906,D,,,,,,
1315098,2021-08-25,RBLX,Donato Craig,,0001209191-21-053400,2021-08-24,S,5702,88.2073,1442091,D,,,,,,
1315098,2021-08-25,RBLX,Sturman Daniel,,0001209191-21-053404,2021-08-25,S,16668,90.0,58736,D,,,,,,
1315098,2021-08-25,RBLX,Sturman Daniel,,0001209191-21-053404,2021-08-25,M,16668,3.405,75404,D,,,,,,
1315098,2021-08-27,RBLX,Guthrie Michael,,0001209191-21-053704,2021-08-25,M,56140,0.53,141250,D,,,,,,
1315098,2021-08-27,RBLX,Guthrie Michael,,0001209191-21-053704,2021-08-25,S,6510,88.6501,134740,D,,,,,,
1315098,2021-08-31,RBLX,"Altos Ventures IV, L.P.",,0001209191-21-054130,2021-08-27,J,114136,0.0,361446,I,,,,,,
1315098,2021-08-31,RBLX,Lee Anthony P,,0001209191-21-054134,2021-05-27,G,50000,0.0,914222,I,,,,,,
1315098,2021-08-31,RBLX,Lee Anthony P,,0001209191-21-054134,2021-08-27,J,272237,0.0,641985,I,,,,,,
1315098,2021-08-31,RBLX,"Altos Ventures IV, L.P.",,0001209191-21-054132,2021-08-27,J,114136,0.0,361446,I,,,,,,
1315098,2021-09-01,RBLX,Baszucki David,,0001209191-21-054329,2021-08-31,C,750000,0.0,1875000,I,,,,,,
1315098,2021-09-01,RBLX,Baszucki David,,0001209191-21-054329,2021-08-30,S,65542,80.8195,1434458,I,,,,,,
1315098,2021-09-01,RBLX,Baszucki David,,0001209191-21-054329,2021-06-09,G,125000,0.0,1500000,I,,,,,,
1315098,2021-09-02,RBLX,Tolley Brett,,0001209191-21-054536,2021-09-01,M,1049,5.21,34852,D,,,,,,
1315098,2021-09-02,RBLX,Tolley Brett,,0001209191-21-054536,2021-09-01,S,1049,83.0,33803,D,,,,,,
1315098,2021-09-03,RBLX,Altos Ventures Management Inc.,,0001209191-21-054912,2021-08-31,S,25000,82.1608,60336,I,,,,,,
1315098,2021-09-10,RBLX,Guthrie Michael,,0001209191-21-055555,2021-09-08,M,45000,0.53,125625,D,,,,,,
1315098,2021-09-10,RBLX,Guthrie Michael,,0001209191-21-055555,2021-09-08,S,21862,82.5084,103763,D,,,,,,
1315098,2021-09-10,RBLX,Guthrie Michael,,0001209191-21-055555,2021-09-10,M,1800,0.053,82425,D,,,,,,
1315098,2021-09-10,RBLX,Guthrie Michael,,0001209191-21-055555,2021-09-10,S,1800,90.07,80625,D,,,,,,
1315098,2021-09-16,RBLX,Donato Craig,,0001209191-21-056494,2021-09-14,S,4987,82.1734,1437463,D,,,,,,
1315098,2021-10-07,RBLX,Guthrie Michael,,0001315098-21-000016,2021-10-05,M,40000,0.53,120625,D,,,,,,
1315098,2021-10-07,RBLX,Guthrie Michael,,0001315098-21-000016,2021-10-05,S,11996,72.9083,108629,D,,,,,,
1315098,2021-10-18,RBLX,Donato Craig,,0001315098-21-000018,2021-10-14,S,12500,75.0955,1404950,D,,,,,,
1315098,2021-10-25,RBLX,Tolley Brett,,0001315098-21-000020,2021-10-21,S,1047,83.0,33803,D,,,,,,
1315098,2021-10-25,RBLX,Tolley Brett,,0001315098-21-000020,2021-10-21,M,1047,5.21,34850,D,,,,,,
1315098,2021-10-27,RBLX,Nam Hodong,,0001209191-21-061824,2021-04-05,G,45000,0.0,1161194,I,,,,,,
1315098,2021-10-27,RBLX,Nam Hodong,,0001209191-21-061824,2021-05-27,G,50000,0.0,1111194,I,,,,,,
1315098,2021-10-27,RBLX,Kim Han,,0001209191-21-061822,2021-05-27,G,50000,0.0,1106192,I,,,,,,
1315098,2021-10-27,RBLX,Kim Han,,0001209191-21-061822,2021-04-06,G,20000,0.0,1156192,I,,,,,,
1315098,2021-10-27,RBLX,Nam Hodong,,0001209191-21-061824,2021-03-12,L,36,69.51,36,I,,,,,,
1315098,2021-10-27,RBLX,Lee Anthony P,,0001209191-21-061826,2021-09-28,G,50000,0.0,1056194,I,,,,,,
1315098,2021-10-27,RBLX,Nam Hodong,,0001209191-21-061824,2021-08-12,G,47000,0.0,1064194,I,,,,,,
1315098,2021-10-27,RBLX,Donato Craig,,0001315098-21-000022,2021-10-25,S,1200,85.0033,1403750,D,,,,,,
1315098,2021-10-27,RBLX,Kim Han,,0001209191-21-061822,2021-03-23,S,17620,68.1252,1188572,I,,,,,,
1315098,2021-11-02,RBLX,Donato Craig,,0001315098-21-000024,2021-10-29,S,11300,85.0735,1392450,D,,,,,,
1315098,2021-11-12,RBLX,Lee Anthony P,,0001209191-21-064238,2021-11-11,J,20000,0.0,40336,I,,,,,,
1315098,2021-11-12,RBLX,Altos Ventures Management Inc.,,0001209191-21-064265,2021-11-11,J,20000,0.0,40336,I,,,,,,
1315098,2021-11-12,RBLX,Altos Ventures Management Inc.,,0001209191-21-064266,2021-11-11,J,20000,0.0,40336,I,,,,,,
1315098,2021-11-15,RBLX,Sturman Daniel,,0001315098-21-000037,2021-11-12,M,84323,3.405,143059,D,,,,,,
1315098,2021-11-15,RBLX,Reinstra Mark,,0001315098-21-000041,2021-11-11,S,3000,94.0447,203548,I,,,,,,
1315098,2021-11-15,RBLX,Sturman Daniel,,0001315098-21-000037,2021-11-11,S,16668,96.26,100401,D,,,,,,
1315098,2021-11-15,RBLX,Sturman Daniel,,0001315098-21-000037,2021-11-12,S,84323,105.0488,58736,D,,,,,,
1315098,2021-11-15,RBLX,Sturman Daniel,,0001315098-21-000037,2021-11-11,M,58333,3.405,117069,D,,,,,,
1315098,2021-11-15,RBLX,Tolley Brett,,0001315098-21-000039,2021-11-11,S,1048,96.26,33803,D,,,,,,
1315098,2021-11-15,RBLX,Tolley Brett,,0001315098-21-000039,2021-11-11,M,1048,5.21,34851,D,,,,,,
1315098,2021-11-15,RBLX,Donato Craig,,0001315098-21-000043,2021-11-11,S,195722,95.0948,1196728,D,,,,,,
1315098,2021-11-15,RBLX,Messing Barbara,,0001315098-21-000035,2021-11-11,M,20000,5.21,20359,D,,,,,,
1315098,2021-11-15,RBLX,Donato Craig,,0001315098-21-000043,2021-11-12,S,500,97.512,1191950,D,,,,,,
1315098,2021-11-15,RBLX,Messing Barbara,,0001315098-21-000035,2021-11-11,S,20000,100.0,359,D,,,,,,
1315098,2021-11-17,RBLX,Messing Barbara,,0001315098-21-000051,2021-11-15,M,20000,5.21,20359,D,,,,,,
1315098,2021-11-17,RBLX,Reinstra Mark,,0001315098-21-000047,2021-11-15,S,25000,110.0,106548,I,,,,,,
1315098,2021-11-17,RBLX,Messing Barbara,,0001315098-21-000051,2021-11-15,S,20000,110.0,359,D,,,,,,
1315098,2021-11-17,RBLX,Sturman Daniel,,0001315098-21-000049,2021-11-17,M,33333,3.405,92069,D,,,,,,
1315098,2021-11-17,RBLX,Sturman Daniel,,0001315098-21-000049,2021-11-17,S,33333,121.2442,58736,D,,,,,,
1315098,2021-11-17,RBLX,Messing Barbara,,0001315098-21-000051,2021-11-17,M,43958,5.21,44317,D,,,,,,
1315098,2021-11-17,RBLX,Sturman Daniel,,0001315098-21-000049,2021-11-16,M,51548,3.405,110284,D,,,,,,
1315098,2021-11-17,RBLX,Messing Barbara,,0001315098-21-000051,2021-11-17,S,43958,125.0,359,D,,,,,,
1315098,2021-11-17,RBLX,Sturman Daniel,,0001315098-21-000049,2021-11-15,S,32777,110.0786,58736,D,,,,,,
1315098,2021-11-17,RBLX,Sturman Daniel,,0001315098-21-000049,2021-11-16,S,51548,110.0232,58736,D,,,,,,
1315098,2021-11-17,RBLX,Messing Barbara,,0001315098-21-000051,2021-11-16,S,20000,115.0,359,D,,,,,,
1315098,2021-11-17,RBLX,Messing Barbara,,0001315098-21-000051,2021-11-16,M,20000,5.21,20359,D,,,,,,
1315098,2021-11-17,RBLX,Tolley Brett,,0001315098-21-000045,2021-11-16,S,26775,115.0,7028,D,,,,,,
1315098,2021-11-17,RBLX,Sturman Daniel,,0001315098-21-000049,2021-11-15,M,32777,3.405,91513,D,,,,,,
1315098,2021-11-17,RBLX,Reinstra Mark,,0001315098-21-000047,2021-11-16,S,50000,120.0,56548,I,,,,,,
1315098,2021-11-19,RBLX,Nam Hodong,,0001209191-21-065967,2021-11-15,G,16000,0.0,1048694,I,,,,,,
1315098,2021-11-19,RBLX,Lee Anthony P,,0001209191-21-065966,2021-11-18,G,50000,0.0,1006194,I,,,,,,
1315098,2021-11-22,RBLX,Messing Barbara,,0001315098-21-000055,2021-11-18,M,20000,5.21,20359,D,,,,,,
1315098,2021-11-22,RBLX,Kim Han,,0001209191-21-066213,2021-11-16,G,70000,0.0,1036192,I,,,,,,
1315098,2021-11-22,RBLX,Messing Barbara,,0001315098-21-000055,2021-11-18,S,20000,135.0,359,D,,,,,,
1315098,2021-11-22,RBLX,Tolley Brett,,0001315098-21-000053,2021-11-18,S,25000,135.0,7028,D,,,,,,
