cik,filingDate,issuerTradingSymbol,reportingOwnerName,reportingOwnerRelationship,accessionNumber,transactionDate,transactionCode,transactionShares,transactionPricePerShare,sharesOwnedFollowingTransaction,directOrIndirectOwnership,transactionType,securityTitle,underlyingSecurityTitle,underlyingSecurityShares,exercisePrice,expirationDate
1713445,2024-03-22,RDDT,Lee Benjamin Seong,,0001628280-24-012772,2024-03-20,F,32881,34.0,279346,D,,,,,,
1713445,2024-03-22,RDDT,Lee Benjamin Seong,,0001628280-24-012772,2024-03-20,F,32881,34.0,279346,D,non_derivative,Class A Common Stock,,,,
1713445,2024-03-22,RDDT,Huffman Steve Ladd,,0001628280-24-012767,2024-03-20,F,421943,34.0,1073312,D,,,,,,
1713445,2024-03-22,RDDT,Reynolds Michelle Marie,,0001628280-24-012770,2024-03-20,F,24510,34.0,99446,D,,,,,,
1713445,2024-03-22,RDDT,Wong Jennifer L.,,0001628280-24-012769,2024-03-20,F,551921,34.0,1736813,D,non_derivative,Class A Common Stock,,,,
1713445,2024-03-22,RDDT,Slowe Christopher Brian,,0001628280-24-012771,2024-03-20,F,90629,34.0,413684,D,,,,,,
1713445,2024-03-22,RDDT,Slowe Christopher Brian,,0001628280-24-012771,2024-03-20,C,185000,0.0,0,D,derivative,Class B Common Stock,Class A Common Stock,185000.0,,2024-03-20
1713445,2024-03-22,RDDT,Wong Jennifer L.,,0001628280-24-012769,2024-03-20,M,325000,5.35,2061813,D,,,,,,
1713445,2024-03-22,RDDT,Wong Jennifer L.,,0001628280-24-012769,2024-03-20,F,551921,34.0,1736813,D,,,,,,
1713445,2024-03-22,RDDT,Slowe Christopher Brian,,0001628280-24-012771,2024-03-20,C,185000,,598684,D,,,,,,
1713445,2024-03-22,RDDT,Huffman Steve Ladd,,0001628280-24-012767,2024-03-20,F,421943,34.0,1073312,D,non_derivative,Class A Common Stock,,,,
1713445,2024-03-22,RDDT,Slowe Christopher Brian,,0001628280-24-012771,2024-03-20,F,90629,34.0,413684,D,non_derivative,Class A Common Stock,,,,
1713445,2024-03-22,RDDT,Huffman Steve Ladd,,0001628280-24-012767,2024-03-20,C,136994,,1210306,D,non_derivative,Class A Common Stock,,,,
1713445,2024-03-22,RDDT,Huffman Steve Ladd,,0001628280-24-012767,2024-03-20,F,723341,34.0,1859815,D,derivative,Class B Common Stock,Class A Common Stock,723341.0,,
1713445,2024-03-22,RDDT,Vollero Andrew,,0001628280-24-012768,2024-03-20,F,333617,34.0,753425,D,non_derivative,Class A Common Stock,,,,
1713445,2024-03-22,RDDT,Wong Jennifer L.,,0001628280-24-012769,2024-03-20,M,189000,0.0,61000,I,derivative,Stock Option (Right to Buy),Class A Common Stock,189000.0,5.35,2028-06-12
1713445,2024-03-22,RDDT,Wong Jennifer L.,,0001628280-24-012769,2024-03-20,M,325000,5.35,2061813,D,non_derivative,Class A Common Stock,,,,
1713445,2024-03-22,RDDT,Vollero Andrew,,0001628280-24-012768,2024-03-20,F,333617,34.0,753425,D,,,,,,
1713445,2024-03-22,RDDT,Reynolds Michelle Marie,,0001628280-24-012770,2024-03-20,F,24510,34.0,99446,D,non_derivative,Class A Common Stock,,,,
1713445,2024-03-22,RDDT,Huffman Steve Ladd,,0001628280-24-012767,2024-03-20,C,136994,,1210306,D,,,,,,
1713445,2024-03-22,RDDT,Huffman Steve Ladd,,0001628280-24-012767,2024-03-20,C,136994,0.0,2583156,D,derivative,Class B Common Stock,Class A Common Stock,136994.0,,
1713445,2024-03-22,RDDT,Slowe Christopher Brian,,0001628280-24-012771,2024-03-20,M,185000,0.0,185000,D,derivative,Class B Common Stock,Class A Common Stock,185000.0,,2024-03-20
1713445,2024-03-22,RDDT,Slowe Christopher Brian,,0001628280-24-012771,2024-03-20,M,5000,0.0,0,D,derivative,Stock Option (Right to Buy),Class B Common Stock,5000.0,1.93,2025-12-01
1713445,2024-03-22,RDDT,Slowe Christopher Brian,,0001628280-24-012771,2024-03-20,C,185000,,598684,D,non_derivative,Class A Common Stock,,,,
1713445,2024-03-27,RDDT,Tencent Holdings Ltd,isTenPercentOwner,0001140361-24-015743,2024-03-25,C,7984891,,0,I,derivative,Series D Preferred Stock,Class B Common Stock,7984891.0,,
1713445,2024-03-27,RDDT,Tencent Holdings Ltd,isTenPercentOwner,0001140361-24-015743,2024-03-25,C,3543124,,0,I,derivative,Series D-1 Preferred Stock,Class B Common Stock,3543124.0,,
1713445,2024-03-27,RDDT,Tencent Holdings Ltd,isTenPercentOwner,0001140361-24-015743,2024-03-25,C,7984891,,7984891,I,derivative,Class B Common Stock,Class A Common Stock,7984891.0,,
1713445,2024-03-27,RDDT,Tencent Holdings Ltd,isTenPercentOwner,0001140361-24-015743,2024-03-25,C,1076997,,0,I,derivative,Series F-1 Preferred Stock,Class A Common Stock,1076997.0,,
1713445,2024-03-27,RDDT,Habiger David C,,0001628280-24-013417,2024-03-25,P,3000,34.0,24906,D,,,,,,
1713445,2024-03-27,RDDT,Newhouse Steven O,,0000947871-24-000320,2024-03-25,C,588592,,0,I,derivative,Series E preferred stock,Class B common stock,588592.0,,
1713445,2024-03-27,RDDT,Advance Magazine Publishers Inc.,,0000947871-24-000319,2024-03-25,C,16182,,16182,D,non_derivative,"Class A common stock, par value $0.0001 per share",,,,
1713445,2024-03-27,RDDT,Habiger David C,,0001628280-24-013417,2024-03-25,P,3000,34.0,24906,D,non_derivative,Class A Common Stock,,,,
1713445,2024-03-27,RDDT,Sauerberg Robert A.,,0001628280-24-013415,2024-03-25,C,47087,,47087,I,derivative,Class B Common Stock,Class A Common Stock,47087.0,,
1713445,2024-03-27,RDDT,Vollero Andrew,,0001628280-24-013419,2024-03-25,S,71765,32.3,681660,D,,,,,,
1713445,2024-03-27,RDDT,Sauerberg Robert A.,,0001628280-24-013415,2024-03-25,C,47087,,0,I,derivative,Series E Preferred Stock,Class B Common Stock,47087.0,,
1713445,2024-03-27,RDDT,Sauerberg Robert A.,,0001628280-24-013415,2024-03-25,P,10000,34.0,10000,D,non_derivative,Class A Common Stock,,,,
1713445,2024-03-27,RDDT,Newhouse Steven O,,0000947871-24-000320,2024-03-25,C,7500000,,0,I,derivative,Series A preferred stock,Class B common stock,7500000.0,,
1713445,2024-03-27,RDDT,Newhouse Steven O,,0000947871-24-000320,2024-03-25,C,8088592,,42191092,I,derivative,Class B Common Stock,Class A common stock,8088592.0,,
1713445,2024-03-27,RDDT,Tencent Holdings Ltd,isTenPercentOwner,0001140361-24-015743,2024-03-25,C,2354370,,0,I,derivative,Series E Preferred Stock,Class B Common Stock,2354370.0,,
1713445,2024-03-27,RDDT,Newhouse Steven O,,0000947871-24-000320,2024-03-25,C,16182,,16182,I,non_derivative,"Class A common stock, par value $0.0001 per share",,,,
1713445,2024-03-27,RDDT,Wong Jennifer L.,,0001628280-24-013418,2024-03-25,S,325000,32.3,1736813,D,,,,,,
1713445,2024-03-27,RDDT,Reynolds Michelle Marie,,0001628280-24-013416,2024-03-25,S,3033,32.3,96413,D,non_derivative,Class A Common Stock,,,,
1713445,2024-03-27,RDDT,Newhouse Steven O,,0000947871-24-000320,2024-03-25,C,16182,,16182,I,,,,,,
1713445,2024-03-27,RDDT,Tencent Holdings Ltd,isTenPercentOwner,0001140361-24-015743,2024-03-25,C,3200000,,3200000,I,non_derivative,Class A Common Stock,,,,
1713445,2024-03-27,RDDT,Advance Magazine Publishers Inc.,,0000947871-24-000319,2024-03-25,C,588592,,0,D,derivative,Series E preferred stock,Class B common stock,588592.0,,
1713445,2024-03-27,RDDT,Vollero Andrew,,0001628280-24-013419,2024-03-25,S,71765,32.3,681660,D,non_derivative,Class A Common Stock,,,,
1713445,2024-03-27,RDDT,Slowe Christopher Brian,,0001628280-24-013421,2024-03-25,S,185000,32.3,413684,D,non_derivative,Class A Common Stock,,,,
1713445,2024-03-27,RDDT,Seibel Michael,,0001628280-24-013422,2024-03-25,C,31697,,31697,I,derivative,Class B Common Stock,Class A Common Stock,31697.0,,
1713445,2024-03-27,RDDT,Seibel Michael,,0001628280-24-013422,2024-03-25,C,31697,,0,I,derivative,Series C Preferred Stock,Class B Common Stock,31697.0,,
1713445,2024-03-27,RDDT,Advance Magazine Publishers Inc.,,0000947871-24-000319,2024-03-25,C,8088592,,42191092,D,derivative,Class B Common Stock,Class A common stock,8088592.0,,
1713445,2024-03-27,RDDT,Advance Magazine Publishers Inc.,,0000947871-24-000319,2024-03-25,C,7500000,,0,D,derivative,Series A preferred stock,Class B common stock,7500000.0,,
1713445,2024-03-27,RDDT,Advance Magazine Publishers Inc.,,0000947871-24-000319,2024-03-25,C,16182,,0,D,derivative,Series F-1 preferred stock,Class A common stock,16182.0,,
1713445,2024-03-27,RDDT,Newhouse Steven O,,0000947871-24-000320,2024-03-25,C,16182,,0,I,derivative,Series F-1 preferred stock,Class A common stock,16182.0,,
1713445,2024-03-27,RDDT,Reynolds Michelle Marie,,0001628280-24-013416,2024-03-25,S,3033,32.3,96413,D,,,,,,
1713445,2024-03-27,RDDT,Sauerberg Robert A.,,0001628280-24-013415,2024-03-25,P,10000,34.0,10000,D,,,,,,
1713445,2024-03-27,RDDT,Wong Jennifer L.,,0001628280-24-013418,2024-03-25,S,325000,32.3,1736813,D,non_derivative,Class A Common Stock,,,,
1713445,2024-03-27,RDDT,Huffman Steve Ladd,,0001628280-24-013420,2024-03-25,S,500000,32.3,710306,D,,,,,,
1713445,2024-03-27,RDDT,Slowe Christopher Brian,,0001628280-24-013421,2024-03-25,S,185000,32.3,413684,D,,,,,,
1713445,2024-03-27,RDDT,Huffman Steve Ladd,,0001628280-24-013420,2024-03-25,S,500000,32.3,710306,D,non_derivative,Class A Common Stock,,,,
1713445,2024-03-27,RDDT,Advance Magazine Publishers Inc.,,0000947871-24-000319,2024-03-25,C,16182,,16182,D,,,,,,
