cik,filingDate,issuerTradingSymbol,reportingOwnerName,reportingOwnerRelationship,accessionNumber,transactionDate,transactionCode,transactionShares,transactionPricePerShare,sharesOwnedFollowingTransaction,directOrIndirectOwnership,transactionType,securityTitle,underlyingSecurityTitle,underlyingSecurityShares,exercisePrice,expirationDate
910606,2016-02-22,REG,"CHANDLER, III DAN M.",,0001140361-16-054277,2016-02-18,S,1000,70.36,14862.0,I,,,,,,
910606,2016-02-23,REG,"CHANDLER, III DAN M.",,0001140361-16-054526,2016-02-23,G,8861,0.0,143.0,D,,,,,,
910606,2016-02-24,REG,PALMER LISA,,0001140361-16-054650,2016-02-23,G,1448,0.0,37901.0,D,,,,,,
910606,2016-03-10,REG,LEAVITT J CHRISTIAN,,0001140361-16-057247,2016-03-08,G,285,0.0,17469.0,D,,,,,,
910606,2016-05-02,REG,FIALA MARY LOU,,0001140361-16-062704,2016-04-29,M,2000,,22573.0,D,,,,,,
910606,2016-05-02,REG,BLANKENSHIP C RONALD,,0001140361-16-062705,2016-04-29,M,2000,,49190.0,D,,,,,,
910606,2016-05-02,REG,DRUCE J DIX,,0001140361-16-062706,2016-04-29,M,2000,,27978.0,D,,,,,,
910606,2016-05-02,REG,BANK RAYMOND L,,0001140361-16-062707,2016-04-29,M,2000,,47141.0,D,,,,,,
910606,2016-05-02,REG,BLANKENSHIP C RONALD,,0001140361-16-062705,2016-05-02,A,350,,49699.0,D,,,,,,
910606,2016-05-02,REG,WATTLES THOMAS G,,0001140361-16-062709,2016-04-29,M,2000,,41821.0,D,,,,,,
910606,2016-05-02,REG,SCHWEITZER JOHN C,,0001140361-16-062710,2016-04-29,M,2000,,53646.0,D,,,,,,
910606,2016-05-02,REG,BLAIR BRYCE,,0001140361-16-062715,2016-04-29,M,1000,,3008.0,D,,,,,,
910606,2016-05-02,REG,OCONNOR DAVID P,,0001140361-16-062708,2016-04-29,M,2000,,22697.0,D,,,,,,
910606,2016-05-09,REG,WIBBENMEYER NICHOLAS ANDREW,,0001140361-16-064067,2016-05-06,S,1969,78.1,0.43,D,,,,,,
910606,2016-05-09,REG,PALMER LISA,,0001140361-16-064064,2016-05-06,S,10000,77.8,27901.0,D,,,,,,
910606,2016-05-10,REG,ROTH ALAN TODD,,0001140361-16-064305,2016-05-10,S,3000,79.77,5961.64,D,,,,,,
910606,2016-05-10,REG,LEAVITT J CHRISTIAN,,0001140361-16-064304,2016-05-09,S,3000,79.28,14469.0,D,,,,,,
910606,2016-05-10,REG,"CHANDLER, III DAN M.",,0001140361-16-064303,2016-05-09,S,2000,78.97,21723.0,I,,,,,,
910606,2016-05-10,REG,RAMEY H CRAIG,,0001140361-16-064302,2016-05-06,S,4920,77.65,17504.25,D,,,,,,
910606,2016-05-12,REG,Delatour John S.,,0001140361-16-064767,2016-05-11,S,5000,78.05,78653.0,D,,,,,,
910606,2016-06-03,REG,OCONNOR DAVID P,,0001140361-16-068603,2016-06-03,M,2000,,24856.0,D,,,,,,
910606,2016-06-03,REG,DRUCE J DIX,,0001140361-16-068598,2016-06-03,M,2000,,30137.0,D,,,,,,
910606,2016-06-03,REG,SCHWEITZER JOHN C,,0001140361-16-068606,2016-06-03,M,2000,,55805.0,D,,,,,,
910606,2016-06-03,REG,BLANKENSHIP C RONALD,,0001140361-16-068595,2016-06-03,M,2000,,51699.0,D,,,,,,
910606,2016-06-03,REG,BLAIR BRYCE,,0001140361-16-068593,2016-06-03,M,1000,,4039.0,D,,,,,,
910606,2016-06-03,REG,FIALA MARY LOU,,0001140361-16-068601,2016-06-03,M,2000,,24732.0,D,,,,,,
910606,2016-06-03,REG,BANK RAYMOND L,,0001140361-16-068591,2016-06-03,M,2000,,49300.0,D,,,,,,
910606,2016-06-03,REG,THOMPSON JAMES D.,,0001140361-16-068585,2016-06-03,S,3500,78.0,59654.0,D,,,,,,
910606,2016-06-03,REG,WATTLES THOMAS G,,0001140361-16-068609,2016-06-03,M,2000,,43980.0,D,,,,,,
910606,2016-06-06,REG,STEIN MARTIN E JR,,0001140361-16-068726,2016-06-06,G,3900,0.0,659725.0,D,,,,,,
910606,2016-06-09,REG,THOMPSON JAMES D.,,0001140361-16-069333,2016-06-09,S,4000,79.75,55654.0,D,,,,,,
910606,2016-06-14,REG,"CHANDLER, III DAN M.",,0001140361-16-069745,2016-06-13,S,2000,79.55,19723.0,I,,,,,,
910606,2016-07-29,REG,BLANKENSHIP C RONALD,,0001140361-16-073870,2016-07-29,A,325,,52212.0,D,,,,,,
910606,2016-08-24,REG,BLAIR BRYCE,,0001140361-16-077745,2016-08-23,P,1251,79.79,1251.0,I,,,,,,
910606,2016-09-13,REG,PALMER LISA,,0001140361-16-079680,2016-09-12,G,350,0.0,27551.0,D,,,,,,
910606,2016-10-04,REG,"CHANDLER, III DAN M.",,0001140361-16-081504,2016-10-04,G,207,0.0,19516.0,I,,,,,,
910606,2016-10-28,REG,BLANKENSHIP C RONALD,,0001140361-16-083897,2016-10-28,A,309,,52521.0,D,,,,,,
910606,2016-12-22,REG,BLAIR BRYCE,,0001140361-16-090639,2016-12-22,P,1486,66.92,2737.0,I,,,,,,
910606,2016-12-23,REG,LEAVITT J CHRISTIAN,,0001140361-16-090734,2016-12-22,G,135,0.0,14334.0,D,,,,,,
910606,2016-12-23,REG,ROTH ALAN TODD,,0001140361-16-090736,2016-12-23,G,150,0.0,5811.64,D,,,,,,
910606,2016-12-27,REG,STEIN MARTIN E JR,,0001140361-16-090835,2016-12-27,G,5700,0.0,654025.0,D,,,,,,
910606,2016-12-27,REG,THOMPSON JAMES D.,,0001140361-16-090838,2016-12-22,G,3401,0.0,52253.0,D,,,,,,
910606,2016-12-30,REG,OCONNOR DAVID P,,0001140361-16-091220,2016-12-29,G,3700,0.0,21344.0,D,,,,,,
910606,2017-01-06,REG,RAMEY H CRAIG,,0001140361-17-001013,2017-01-06,F,752,68.89,16752.25,D,,,,,,
910606,2017-02-08,REG,BLANKENSHIP C RONALD,,0001140361-17-005132,2017-02-08,A,359,,52880.0,D,,,,,,
910606,2017-02-13,REG,"CHANDLER, III DAN M.",,0001140361-17-006213,2017-02-09,F,7250,69.76,6931.0,D,,,,,,
910606,2017-02-13,REG,"CHANDLER, III DAN M.",,0001140361-17-006213,2017-02-09,A,14038,,14181.0,D,,,,,,
910606,2017-02-13,REG,Delatour John S.,,0001140361-17-006215,2017-02-09,A,13568,,92221.0,D,,,,,,
910606,2017-02-13,REG,LEAVITT J CHRISTIAN,,0001140361-17-006216,2017-02-09,F,1426,69.76,16569.0,D,,,,,,
910606,2017-02-13,REG,LEAVITT J CHRISTIAN,,0001140361-17-006216,2017-02-09,M,3661,,17995.0,D,,,,,,
910606,2017-02-13,REG,PALMER LISA,,0001140361-17-006218,2017-02-09,F,13925,69.76,46728.0,D,,,,,,
910606,2017-02-13,REG,PALMER LISA,,0001140361-17-006218,2017-02-09,A,30911,,60653.0,D,,,,,,
910606,2017-02-13,REG,PALMER LISA,,0001140361-17-006218,2017-02-09,M,2191,,29742.0,D,,,,,,
910606,2017-02-13,REG,RAMEY H CRAIG,,0001140361-17-006222,2017-02-09,M,5996,,22748.25,D,,,,,,
910606,2017-02-13,REG,RAMEY H CRAIG,,0001140361-17-006222,2017-02-09,F,2661,69.76,20087.25,D,,,,,,
910606,2017-02-13,REG,ROTH ALAN TODD,,0001140361-17-006227,2017-02-09,F,3569,69.76,9859.64,D,,,,,,
910606,2017-02-13,REG,ROTH ALAN TODD,,0001140361-17-006227,2017-02-09,M,7617,,13428.64,D,,,,,,
910606,2017-02-13,REG,STEIN MARTIN E JR,,0001140361-17-006230,2017-02-09,F,45400,69.76,716814.0,D,,,,,,
910606,2017-02-13,REG,STEIN MARTIN E JR,,0001140361-17-006230,2017-02-09,M,108189,,762214.0,D,,,,,,
910606,2017-02-13,REG,THOMPSON JAMES D.,,0001140361-17-006233,2017-02-09,F,6184,69.76,60697.0,D,,,,,,
910606,2017-02-13,REG,THOMPSON JAMES D.,,0001140361-17-006233,2017-02-09,A,14628,,66881.0,D,,,,,,
910606,2017-02-13,REG,Delatour John S.,,0001140361-17-006215,2017-02-09,F,2262,69.76,89959.0,D,,,,,,
910606,2017-02-13,REG,WIBBENMEYER NICHOLAS ANDREW,,0001140361-17-006237,2017-02-09,F,1450,69.76,2096.43,D,,,,,,
910606,2017-02-13,REG,WIBBENMEYER NICHOLAS ANDREW,,0001140361-17-006237,2017-02-09,M,3546,,3546.43,D,,,,,,
910606,2017-02-21,REG,FIALA MARY LOU,,0001140361-17-008347,2017-02-16,J,4000,,0.0,D,,,,,,
910606,2017-02-24,REG,STEIN MARTIN E JR,,0001140361-17-009162,2017-02-23,G,350,0.0,717231.0,D,,,,,,
910606,2017-03-06,REG,THOMPSON JAMES D.,,0001140361-17-010713,2017-03-03,G,222,0.0,60512.0,D,,,,,,
910606,2017-03-06,REG,KATZMAN CHAIM,,0001140361-17-010712,2017-03-02,S,2050000,68.45,546613.0,I,,,,,,
910606,2017-03-06,REG,KATZMAN CHAIM,,0001140361-17-010710,2017-03-02,S,2050000,68.45,546613.0,I,,,,,,
910606,2017-03-08,REG,PALMER LISA,,0001140361-17-011010,2017-03-07,S,10000,66.52,36728.0,D,,,,,,
910606,2017-03-08,REG,PALMER LISA,,0001140361-17-011010,2017-03-07,G,1450,0.0,35278.0,D,,,,,,
910606,2017-03-10,REG,"CHANDLER, III DAN M.",,0001140361-17-011629,2017-03-09,G,6531,0.0,404.0,D,,,,,,
910606,2017-03-14,REG,RAMEY H CRAIG,,0001140361-17-011924,2017-03-13,S,3000,62.7983,17567.25,D,,,,,,
910606,2017-03-24,REG,THOMPSON JAMES D.,,0001140361-17-013282,2017-03-23,G,3536,0.0,56976.0,D,,,,,,
910606,2017-03-30,REG,RAMEY H CRAIG,,0001140361-17-014022,2017-03-30,S,750,66.44,16817.25,D,,,,,,
910606,2017-05-01,REG,Azrack Joseph F,,0001140361-17-017623,2017-04-28,A,85,,3235.0,D,,,,,,
910606,2017-05-01,REG,LINNEMAN PETER,,0001140361-17-017619,2017-04-28,A,91,,23578.0,D,,,,,,
910606,2017-05-01,REG,BLANKENSHIP C RONALD,,0001140361-17-017611,2017-04-28,A,365,,52184.0,D,,,,,,
910606,2017-05-15,REG,SCHWEITZER JOHN C,,0001140361-17-020837,2017-05-15,S,4000,61.13,2909.0,I,,,,,,
910606,2017-05-23,REG,SCHWEITZER JOHN C,,0001140361-17-021961,2017-05-19,M,2000,,48694.0,D,,,,,,
910606,2017-05-23,REG,BLAIR BRYCE,,0001140361-17-021953,2017-05-19,M,1500,,7312.0,D,,,,,,
910606,2017-05-23,REG,BANK RAYMOND L,,0001140361-17-021951,2017-05-19,M,2000,,49435.0,D,,,,,,
910606,2017-05-23,REG,WATTLES THOMAS G,,0001140361-17-021962,2017-05-19,M,2000,,45108.0,D,,,,,,
910606,2017-05-23,REG,BLANKENSHIP C RONALD,,0001140361-17-021952,2017-05-19,M,2000,,54184.0,D,,,,,,
910606,2017-05-23,REG,OCONNOR DAVID P,,0001140361-17-021956,2017-05-19,M,2000,,21370.0,D,,,,,,
910606,2017-05-23,REG,FIALA MARY LOU,,0001140361-17-021954,2017-05-19,M,2000,,16986.0,D,,,,,,
910606,2017-06-13,REG,RAMEY H CRAIG,,0001140361-17-024861,2017-06-09,S,1048,62.17,15769.25,D,,,,,,
910606,2017-08-03,REG,LINNEMAN PETER,,0001140361-17-030037,2017-08-03,A,297,,23875.0,D,,,,,,
910606,2017-08-03,REG,BLANKENSHIP C RONALD,,0001140361-17-030033,2017-08-03,A,475,,54818.0,D,,,,,,
910606,2017-08-03,REG,Azrack Joseph F,,0001140361-17-030031,2017-08-03,A,277,,3512.0,D,,,,,,
910606,2017-08-24,REG,FIALA MARY LOU,,0001140361-17-033176,2017-08-23,S,7775,65.74,0.0,I,,,,,,
910606,2017-09-13,REG,KATZMAN CHAIM,,0001140361-17-035361,2017-09-11,S,243605,64.3,0.0,I,,,,,,
910606,2017-09-13,REG,KATZMAN CHAIM,,0001140361-17-035358,2017-09-11,S,243605,64.3,0.0,I,,,,,,
910606,2017-11-03,REG,Azrack Joseph F,,0001140361-17-040957,2017-11-02,A,272,,3784.0,D,,,,,,
910606,2017-11-03,REG,LINNEMAN PETER,,0001140361-17-040962,2017-11-02,A,291,,24166.0,D,,,,,,
910606,2017-11-03,REG,BLANKENSHIP C RONALD,,0001140361-17-040959,2017-11-02,A,466,,55284.0,D,,,,,,
910606,2017-11-09,REG,"CHANDLER, III DAN M.",,0001140361-17-041862,2017-11-07,G,275,0.0,25772.0,I,,,,,,
910606,2017-11-22,REG,LEAVITT J CHRISTIAN,,0001140361-17-043706,2017-11-21,G,300,0.0,16314.0,D,,,,,,
910606,2017-12-11,REG,LEAVITT J CHRISTIAN,,0001140361-17-045722,2017-12-08,S,2000,67.61,14314.0,D,,,,,,
910606,2017-12-11,REG,BANK RAYMOND L,,0001140361-17-045721,2017-12-07,G,600,0.0,48994.0,D,,,,,,
910606,2017-12-13,REG,THOMPSON JAMES D.,,0001140361-17-046049,2017-12-12,S,8000,68.45,48976.0,D,,,,,,
910606,2017-12-18,REG,ROTH ALAN TODD,,0001140361-17-046529,2017-12-15,S,2500,69.89,7452.64,D,,,,,,
910606,2017-12-21,REG,ROTH ALAN TODD,,0001140361-17-047007,2017-12-20,G,650,0.0,6802.64,D,,,,,,
910606,2017-12-27,REG,STEIN MARTIN E JR,,0001140361-17-047509,2017-12-27,G,6000,0.0,711231.0,D,,,,,,
910606,2018-01-12,REG,KATZMAN CHAIM,,0001140361-18-001942,2018-01-11,S,84441,64.61,3645798.0,I,,,,,,
910606,2018-01-12,REG,KATZMAN CHAIM,,0001140361-18-001942,2018-01-10,S,119761,65.11,3730239.0,I,,,,,,
910606,2018-01-17,REG,KATZMAN CHAIM,,0001140361-18-002247,2018-01-12,S,300,64.11,3645098.0,I,,,,,,
910606,2018-01-17,REG,KATZMAN CHAIM,,0001140361-18-002247,2018-01-16,S,46930,64.32,3598168.0,I,,,,,,
910606,2018-01-19,REG,KATZMAN CHAIM,,0001140361-18-002632,2018-01-17,S,30138,64.23,3568030.0,I,,,,,,
910606,2018-01-22,REG,KATZMAN CHAIM,,0001140361-18-002801,2018-01-18,S,17500,64.06,3550530.0,I,,,,,,
910606,2018-01-22,REG,KATZMAN CHAIM,,0001140361-18-002801,2018-01-19,S,100,64.0,3550430.0,I,,,,,,
910606,2018-01-24,REG,KATZMAN CHAIM,,0001140361-18-003108,2018-01-22,S,136030,64.18,3414400.0,I,,,,,,
910606,2018-01-24,REG,KATZMAN CHAIM,,0001140361-18-003108,2018-01-23,S,121046,64.49,3293354.0,I,,,,,,
910606,2018-01-26,REG,KATZMAN CHAIM,,0001140361-18-003422,2018-01-24,S,131326,64.24,3162028.0,I,,,,,,
910606,2018-01-29,REG,KATZMAN CHAIM,,0001140361-18-003571,2018-01-25,S,52271,64.14,3109757.0,I,,,,,,
910606,2018-01-29,REG,KATZMAN CHAIM,,0001140361-18-003571,2018-01-26,S,500,64.3,3109257.0,I,,,,,,
910606,2018-02-12,REG,MAS MICHAEL J,,0001140361-18-006611,2018-02-09,F,1419,60.34,4759.0,D,,,,,,
910606,2018-02-12,REG,PALMER LISA,,0001140361-18-006609,2018-02-09,A,24220,,59498.0,D,,,,,,
910606,2018-02-12,REG,PALMER LISA,,0001140361-18-006609,2018-02-09,F,9575,60.34,49923.0,D,,,,,,
910606,2018-02-12,REG,RAMEY H CRAIG,,0001140361-18-006608,2018-02-09,M,6056,,21825.25,D,,,,,,
910606,2018-02-12,REG,RAMEY H CRAIG,,0001140361-18-006608,2018-02-09,F,2088,60.34,19737.25,D,,,,,,
910606,2018-02-12,REG,Delatour John S.,,0001140361-18-006613,2018-02-09,A,10123,,102315.0,D,,,,,,
910606,2018-02-12,REG,Delatour John S.,,0001140361-18-006613,2018-02-09,F,3005,60.34,99310.0,D,,,,,,
910606,2018-02-12,REG,LEAVITT J CHRISTIAN,,0001140361-18-006612,2018-02-09,M,4359,,18673.0,D,,,,,,
910606,2018-02-12,REG,MAS MICHAEL J,,0001140361-18-006611,2018-02-09,M,4163,,6178.0,D,,,,,,
910606,2018-02-12,REG,WIBBENMEYER NICHOLAS ANDREW,,0001140361-18-006615,2018-02-09,F,1513,60.34,4181.43,D,,,,,,
910606,2018-02-12,REG,LEAVITT J CHRISTIAN,,0001140361-18-006612,2018-02-09,F,1622,60.34,17051.0,D,,,,,,
910606,2018-02-12,REG,THOMPSON JAMES D.,,0001140361-18-006627,2018-02-09,F,4265,60.34,55411.0,D,,,,,,
910606,2018-02-12,REG,ROTH ALAN TODD,,0001140361-18-006618,2018-02-09,F,3020,60.34,10480.64,D,,,,,,
910606,2018-02-12,REG,"CHANDLER, III DAN M.",,0001140361-18-006623,2018-02-09,F,4921,60.34,6093.0,D,,,,,,
910606,2018-02-12,REG,STEIN MARTIN E JR,,0001140361-18-006620,2018-02-09,M,88309,,799540.0,D,,,,,,
910606,2018-02-12,REG,STEIN MARTIN E JR,,0001140361-18-006620,2018-02-09,F,34764,60.34,764776.0,D,,,,,,
910606,2018-02-12,REG,WIBBENMEYER NICHOLAS ANDREW,,0001140361-18-006615,2018-02-09,M,3584,,5694.43,D,,,,,,
910606,2018-02-12,REG,ROTH ALAN TODD,,0001140361-18-006618,2018-02-09,M,6698,,13500.64,D,,,,,,
910606,2018-02-12,REG,Johnston Barbara C,,0001140361-18-006629,2018-02-09,M,4260,,21619.0,D,,,,,,
910606,2018-02-12,REG,Johnston Barbara C,,0001140361-18-006629,2018-02-09,F,1108,60.34,20511.0,D,,,,,,
910606,2018-02-12,REG,THOMPSON JAMES D.,,0001140361-18-006627,2018-02-09,A,10700,,59676.0,D,,,,,,
910606,2018-02-12,REG,"CHANDLER, III DAN M.",,0001140361-18-006623,2018-02-09,A,10610,,11014.0,D,,,,,,
910606,2018-02-16,REG,LINNEMAN PETER,,0001140361-18-008769,2018-02-08,A,284,,24450.0,D,,,,,,
910606,2018-02-16,REG,BLANKENSHIP C RONALD,,0001140361-18-008768,2018-02-08,A,454,,55738.0,D,,,,,,
910606,2018-02-16,REG,Azrack Joseph F,,0001140361-18-008767,2018-02-08,A,265,,4049.0,D,,,,,,
910606,2018-02-20,REG,KATZMAN CHAIM,,0001213900-18-002144,2018-02-15,S,1759257,57.56,1350000.0,I,,,,,,
910606,2018-02-26,REG,SCHWEITZER JOHN C,,0001140361-18-010016,2018-02-22,S,1221,58.36,0.0,I,,,,,,
910606,2018-03-05,REG,BLAIR BRYCE,,0001140361-18-011980,2018-03-05,P,1709,58.5,9103.0,D,,,,,,
910606,2018-03-08,REG,STEIN MARTIN E JR,,0001140361-18-012621,2018-03-08,G,400,0.0,768864.0,D,,,,,,
910606,2018-03-09,REG,RAMEY H CRAIG,,0001140361-18-012833,2018-03-08,S,1400,59.11,18337.25,D,,,,,,
910606,2018-03-12,REG,BANK RAYMOND L,,0001140361-18-013042,2018-03-09,G,173,0.0,48821.0,D,,,,,,
910606,2018-03-19,REG,BLAIR BRYCE,,0001140361-18-014048,2018-03-19,P,1739,57.5,10842.0,D,,,,,,
910606,2018-03-26,REG,"CHANDLER, III DAN M.",,0001140361-18-014997,2018-03-23,G,5270,0.0,885.0,D,,,,,,
910606,2018-03-28,REG,LEAVITT J CHRISTIAN,,0001140361-18-015488,2018-03-26,G,172,0.0,16879.0,D,,,,,,
910606,2018-03-29,REG,THOMPSON JAMES D.,,0001140361-18-015887,2018-03-28,G,4322,0.0,51196.0,D,,,,,,
910606,2018-04-27,REG,LINNEMAN PETER,,0001140361-18-020173,2018-04-27,A,310,,24760.0,D,,,,,,
910606,2018-04-27,REG,BLANKENSHIP C RONALD,,0001140361-18-020166,2018-04-27,A,497,,56235.0,D,,,,,,
910606,2018-04-27,REG,Azrack Joseph F,,0001140361-18-020163,2018-04-27,A,290,,4339.0,D,,,,,,
910606,2018-05-09,REG,RAMEY H CRAIG,,0001140361-18-022515,2018-05-08,S,1200,58.8,17137.25,D,,,,,,
910606,2018-05-15,REG,OCONNOR DAVID P,,0001140361-18-023981,2018-05-14,M,2000,,23529.0,D,,,,,,
910606,2018-05-15,REG,LINNEMAN PETER,,0001140361-18-023975,2018-05-14,M,500,,25260.0,D,,,,,,
910606,2018-05-15,REG,Azrack Joseph F,,0001140361-18-023970,2018-05-14,M,500,,4839.0,D,,,,,,
910606,2018-05-15,REG,BANK RAYMOND L,,0001140361-18-023971,2018-05-14,M,5000,,53821.0,D,,,,,,
910606,2018-05-15,REG,SCHWEITZER JOHN C,,0001140361-18-023984,2018-05-14,M,2000,,47847.0,D,,,,,,
910606,2018-05-15,REG,BLAIR BRYCE,,0001140361-18-023972,2018-05-14,M,2000,,12842.0,D,,,,,,
910606,2018-05-15,REG,WATTLES THOMAS G,,0001140361-18-023987,2018-05-14,M,2000,,47267.0,D,,,,,,
910606,2018-05-15,REG,FIALA MARY LOU,,0001140361-18-023977,2018-05-14,M,2000,,19145.0,D,,,,,,
910606,2018-05-15,REG,BLANKENSHIP C RONALD,,0001140361-18-023973,2018-05-14,M,2000,,58235.0,D,,,,,,
910606,2018-05-18,REG,Johnston Barbara C,,0001140361-18-024698,2018-05-17,S,180,56.34,20331.0,D,,,,,,
910606,2018-06-06,REG,OCONNOR DAVID P,,0001140361-18-027580,2018-06-04,G,7000,0.0,16692.0,D,,,,,,
910606,2018-08-06,REG,LINNEMAN PETER,,0001140361-18-035625,2018-08-03,A,362,,25639.0,D,,,,,,
910606,2018-08-06,REG,BLANKENSHIP C RONALD,,0001140361-18-035624,2018-08-03,A,469,,58867.0,D,,,,,,
910606,2018-08-06,REG,Azrack Joseph F,,0001140361-18-035623,2018-05-14,M,500,,4839.0,D,,,,,,
910606,2018-08-08,REG,RAMEY H CRAIG,,0001567619-18-000116,2018-08-07,S,1365,63.27,15772.25,D,,,,,,
910606,2018-08-08,REG,STEIN MARTIN E JR,,0001567619-18-000117,2018-08-07,G,3968,0.0,764896.0,D,,,,,,
910606,2018-08-08,REG,STEIN MARTIN E JR,,0001567619-18-000117,2018-08-08,G,21032,0.0,743864.0,D,,,,,,
910606,2018-08-14,REG,"CHANDLER, III DAN M.",,0001567619-18-001116,2018-08-09,S,2500,63.35,28542.0,I,,,,,,
