cik,filingDate,issuerTradingSymbol,reportingOwnerName,reportingOwnerRelationship,accessionNumber,transactionDate,transactionCode,transactionShares,transactionPricePerShare,sharesOwnedFollowingTransaction,directOrIndirectOwnership,transactionType,securityTitle,underlyingSecurityTitle,underlyingSecurityShares,exercisePrice,expirationDate
720005,2019-03-20,RJF,Curtis Scott A,,0001225208-19-005606,2019-03-19,M,2503.0,48.2,75149.0,D,,,,,,
720005,2019-03-22,RJF,Elwyn Tashtego S,,0001225208-19-005705,2019-03-19,G,600.0,0.0,21032.0,D,,,,,,
720005,2019-04-26,RJF,JULIEN JEFFREY P,,0001225208-19-007212,2019-04-24,M,200.0,48.2,6060.0,I,,,,,,
720005,2019-04-30,RJF,REILLY PAUL C,,0001225208-19-007353,2019-04-29,S,60000.0,91.3508,80382.0,D,,,,,,
720005,2019-05-01,RJF,TROCIN JEFFREY E,,0001225208-19-007406,2019-04-29,S,13157.0,91.1087,182201.0,D,,,,,,
720005,2019-05-01,RJF,JULIEN JEFFREY P,,0001225208-19-007363,2019-04-29,S,10683.0,90.2601,67738.0,D,,,,,,
720005,2019-05-07,RJF,Allison Paul D,,0001223203-19-000005,2019-05-03,S,5000.0,90.4568,24352.0,D,,,,,,
720005,2019-05-08,RJF,Raney Steven M,,0001223203-19-000022,2019-05-06,S,2926.0,90.6003,33605.0,D,,,,,,
720005,2019-05-08,RJF,Raney Steven M,,0001223203-19-000022,2019-05-06,M,2500.0,48.2,34031.0,D,,,,,,
720005,2019-05-23,RJF,Elwyn Tashtego S,,0001225208-19-008455,2019-05-06,G,114.0,0.0,20918.0,D,,,,,,
720005,2019-05-30,RJF,Santelli Jonathan N,,0001225208-19-008643,2019-05-25,M,3000.0,0.0,3003.0,D,,,,,,
720005,2019-05-30,RJF,Santelli Jonathan N,,0001225208-19-008643,2019-05-29,S,725.0,84.8242,2278.0,D,,,,,,
720005,2019-06-19,RJF,Allaire Bella Loykhter,,0001225208-19-009407,2019-06-17,M,2500.0,55.49,60802.0,D,,,,,,
720005,2019-06-19,RJF,Allaire Bella Loykhter,,0001225208-19-009407,2019-06-17,F,2175.0,82.24,59053.0,D,,,,,,
720005,2019-08-05,RJF,JULIEN JEFFREY P,,0001225208-19-010835,2019-08-01,M,2500.0,55.49,52848.0,D,,,,,,
720005,2019-08-07,RJF,TROCIN JEFFREY E,,0001225208-19-010957,2019-08-05,M,10426.0,48.2,192696.0,D,,,,,,
720005,2019-08-30,RJF,JULIEN JEFFREY P,,0001225208-19-011987,2019-08-30,S,15756.0,78.592,39592.0,D,,,,,,
720005,2019-09-13,RJF,Santelli Jonathan N,,0001225208-19-012387,2019-09-11,S,1200.0,84.7968,1078.0,D,,,,,,
720005,2019-09-16,RJF,Dowdle Jeffrey A,,0001225208-19-012452,2019-09-12,S,8398.0,84.9107,34338.0,D,,,,,,
720005,2019-10-02,RJF,Allison Paul D,,0001225208-19-013011,2019-09-30,M,5000.0,0.0,29352.0,D,,,,,,
720005,2019-10-07,RJF,DUTKOWSKY ROBERT M,,0001225208-19-013210,2019-10-04,M,662.0,0.0,662.0,D,,,,,,
720005,2019-10-10,RJF,Perry Jodi,,0001225208-19-013303,2019-10-03,G,65.0,0.0,1317.0,D,,,,,,
720005,2019-10-29,RJF,Bunn James E,,0001225208-19-013895,2019-10-28,S,6395.0,84.599,10320.0,D,,,,,,
