cik,filingDate,issuerTradingSymbol,reportingOwnerName,reportingOwnerRelationship,accessionNumber,transactionDate,transactionCode,transactionShares,transactionPricePerShare,sharesOwnedFollowingTransaction,directOrIndirectOwnership,transactionType,securityTitle,underlyingSecurityTitle,underlyingSecurityShares,exercisePrice,expirationDate
1428439,2017-10-02,ROKU,"MV Management X, L.L.C.",,0001209191-17-054764,2017-10-02,C,6900000.0,,6900000.0,I,,,,,,
1428439,2017-10-02,ROKU,"MV Management X, L.L.C.",,0001209191-17-054764,2017-10-02,S,6900000.0,14.0,0.0,I,,,,,,
1428439,2017-10-02,ROKU,CAROLAN SHAWN T,,0001209191-17-054761,2017-10-02,C,6900000.0,,6900000.0,I,,,,,,
1428439,2017-10-02,ROKU,CAROLAN SHAWN T,,0001209191-17-054761,2017-10-02,S,6900000.0,14.0,0.0,I,,,,,,
1428439,2018-03-26,ROKU,Globespan Capital Partners V LP,,0000899243-18-008524,2018-03-22,C,4681527.0,,4681527.0,I,,,,,,
1428439,2018-03-28,ROKU,CAROLAN SHAWN T,,0000899243-18-008706,2018-03-26,J,4300000.0,,19088668.0,I,,,,,,
1428439,2018-03-28,ROKU,"MV Management X, L.L.C.",,0000899243-18-008708,2018-03-26,J,4300000.0,,19088668.0,I,,,,,,
1428439,2018-03-28,ROKU,CAROLAN SHAWN T,,0000899243-18-008706,2018-03-26,C,23388668.0,0.0,23388668.0,I,,,,,,
1428439,2018-03-28,ROKU,LEFF DANIEL V,,0001209191-18-022005,2017-03-27,J,561632.0,0.0,90377.0,D,,,,,,
1428439,2018-03-28,ROKU,LEFF DANIEL V,,0001209191-18-022005,2017-03-27,C,652009.0,0.0,652009.0,I,,,,,,
1428439,2018-03-28,ROKU,"MV Management X, L.L.C.",,0000899243-18-008708,2018-03-26,C,23388668.0,0.0,23388668.0,I,,,,,,
1428439,2018-03-29,ROKU,Globespan Capital Partners V LP,,0000899243-18-008954,2018-03-27,S,1013457.0,33.39,3668070.0,I,,,,,,
1428439,2018-03-29,ROKU,Globespan Capital Partners V LP,,0000899243-18-008954,2018-03-28,S,135901.0,31.22,3519019.0,I,,,,,,
1428439,2018-03-29,ROKU,Globespan Capital Partners V LP,,0000899243-18-008954,2018-03-29,S,75462.0,31.09,3310744.0,I,,,,,,
1428439,2018-03-29,ROKU,Smith Chas,,0001716837-18-000006,2018-03-27,C,120000.0,5.64,120000.0,D,,,,,,
1428439,2018-03-29,ROKU,Smith Chas,,0001716837-18-000006,2018-03-27,S,120000.0,33.34,0.0,D,,,,,,
1428439,2018-04-04,ROKU,KAY STEPHEN H,,0001716837-18-000013,2018-04-04,S,6000.0,32.0,0.0,D,,,,,,
1428439,2018-04-04,ROKU,Rosenberg Scott A.,,0001716837-18-000011,2018-04-02,S,5434.0,30.46,0.0,D,,,,,,
1428439,2018-04-04,ROKU,Rosenberg Scott A.,,0001716837-18-000011,2018-04-02,C,5434.0,2.76,5434.0,D,,,,,,
1428439,2018-04-04,ROKU,KAY STEPHEN H,,0001716837-18-000013,2018-04-02,S,30000.0,30.47,0.0,D,,,,,,
1428439,2018-04-04,ROKU,KAY STEPHEN H,,0001716837-18-000013,2018-04-02,C,30000.0,2.94,30000.0,D,,,,,,
1428439,2018-04-04,ROKU,KAY STEPHEN H,,0001716837-18-000013,2018-04-04,C,6000.0,2.94,6000.0,D,,,,,,
1428439,2018-04-27,ROKU,Smith Chas,,0001716837-18-000016,2018-04-25,C,87272.0,5.64,87272.0,D,,,,,,
1428439,2018-04-27,ROKU,Smith Chas,,0001716837-18-000016,2018-04-25,S,87272.0,31.9463,0.0,D,,,,,,
1428439,2018-05-03,ROKU,KAY STEPHEN H,,0001716837-18-000018,2018-05-01,C,30000.0,2.94,30000.0,D,,,,,,
1428439,2018-05-03,ROKU,KAY STEPHEN H,,0001716837-18-000018,2018-05-01,S,30000.0,32.38,0.0,D,,,,,,
