cik,filingDate,issuerTradingSymbol,reportingOwnerName,reportingOwnerRelationship,accessionNumber,transactionDate,transactionCode,transactionShares,transactionPricePerShare,sharesOwnedFollowingTransaction,directOrIndirectOwnership,transactionType,securityTitle,underlyingSecurityTitle,underlyingSecurityShares,exercisePrice,expirationDate
84839,2016-01-26,ROL,Luczynski Thomas E,,0001552781-16-001249,2016-01-22,F,580.0,26.1,162279,D,,,,,,
84839,2016-01-26,ROL,Wilson John F,,0001552781-16-001248,2016-01-22,F,2122.0,26.1,325344,D,,,,,,
84839,2016-01-26,ROL,Iarocci Eugene A,,0001552781-16-001247,2016-01-22,F,2624.0,26.1,168823,D,,,,,,
84839,2016-01-26,ROL,ROLLINS GARY W,,0001552781-16-001246,2016-01-22,F,5058.0,26.1,2813963,D,,,,,,
84839,2016-01-26,ROL,ROLLINS RANDALL R,,0001552781-16-001245,2016-01-22,F,4573.0,26.1,571392,D,,,,,,
84839,2016-01-27,ROL,Luczynski Thomas E,,0001552781-16-001269,2016-01-25,F,2092.0,25.86,160187,D,,,,,,
84839,2016-01-27,ROL,Wilson John F,,0001552781-16-001268,2016-01-25,F,4502.0,25.86,320842,D,,,,,,
84839,2016-01-27,ROL,Iarocci Eugene A,,0001552781-16-001267,2016-01-25,F,5580.0,25.86,163243,D,,,,,,
84839,2016-01-27,ROL,ROLLINS GARY W,,0001552781-16-001266,2016-01-25,F,10006.0,25.86,2803957,D,,,,,,
84839,2016-01-27,ROL,ROLLINS RANDALL R,,0001552781-16-001265,2016-01-25,F,9004.0,25.86,562388,D,,,,,,
84839,2016-01-28,ROL,ROLLINS RANDALL R,,0001552781-16-001278,2016-01-26,D,6753.0,26.45,612635,D,,,,,,
84839,2016-01-28,ROL,ROLLINS RANDALL R,,0001552781-16-001278,2016-01-26,A,57000.0,0.0,619388,D,,,,,,
84839,2016-01-28,ROL,ROLLINS GARY W,,0001552781-16-001279,2016-01-26,F,7504.0,26.45,2859453,D,,,,,,
84839,2016-01-28,ROL,ROLLINS GARY W,,0001552781-16-001279,2016-01-26,A,63000.0,0.0,2866957,D,,,,,,
84839,2016-01-28,ROL,Iarocci Eugene A,,0001552781-16-001280,2016-01-26,F,3722.0,26.45,159521,D,,,,,,
84839,2016-01-28,ROL,Wilson John F,,0001552781-16-001282,2016-01-26,F,3001.0,26.45,347841,D,,,,,,
