cik,filingDate,issuerTradingSymbol,reportingOwnerName,reportingOwnerRelationship,accessionNumber,transactionDate,transactionCode,transactionShares,transactionPricePerShare,sharesOwnedFollowingTransaction,directOrIndirectOwnership,transactionType,securityTitle,underlyingSecurityTitle,underlyingSecurityShares,exercisePrice,expirationDate
882835,2016-01-25,ROP,Soni Paul J,,0001209191-16-093444,2016-01-21,A,6000,0.0,53212.0,D,,,,,,
882835,2016-01-25,ROP,Liner David B,,0001209191-16-093442,2016-01-21,A,6000,0.0,62366.0,D,,,,,,
882835,2016-01-25,ROP,JELLISON BRIAN D,,0001209191-16-093441,2016-01-21,A,150000,0.0,1318730.0,D,,,,,,
882835,2016-01-25,ROP,Humphrey John,,0001209191-16-093440,2016-01-21,A,30000,0.0,124522.0,D,,,,,,
882835,2016-02-29,ROP,WRIGHT CHRISTOPHER,,0001209191-16-103406,2016-02-25,S,2500,170.0,66904.0,D,,,,,,
882835,2016-03-02,ROP,Humphrey John,,0001209191-16-104788,2016-03-01,S,2800,170.63,121427.0,D,,,,,,
882835,2016-03-03,ROP,PREZZANO WILBUR J,,0001209191-16-105404,2016-03-03,S,6000,171.2562,16000.0,D,,,,,,
882835,2016-04-25,ROP,BRINKLEY AMY WOODS,,0001209191-16-115543,2016-03-28,S,10,181.8,4000.0,D,,,,,,
882835,2016-05-25,ROP,JOHNSON ROBERT D,,0001209191-16-123257,2016-05-25,S,600,174.2704,7900.0,D,,,,,,
882835,2016-06-01,ROP,BRINKLEY AMY WOODS,,0001209191-16-124642,2016-05-31,A,4000,0.0,8000.0,D,,,,,,
882835,2016-06-01,ROP,FORT JOHN F III,,0001209191-16-124659,2016-05-31,A,4000,0.0,21900.0,D,,,,,,
882835,2016-06-01,ROP,JOHNSON ROBERT D,,0001209191-16-124660,2016-05-31,A,4000,0.0,11900.0,D,,,,,,
882835,2016-06-01,ROP,KNOWLING ROBERT E JR,,0001209191-16-124664,2016-05-31,A,4000,0.0,18037.82,D,,,,,,
882835,2016-06-01,ROP,PREZZANO WILBUR J,,0001209191-16-124672,2016-05-31,A,4000,0.0,20000.0,D,,,,,,
882835,2016-06-01,ROP,Thatcher Laura G,,0001209191-16-124678,2016-05-31,A,4000,0.0,8000.0,D,,,,,,
882835,2016-06-01,ROP,WALLMAN RICHARD F,,0001209191-16-124682,2016-05-31,A,4000,0.0,43965.0,D,,,,,,
882835,2016-06-01,ROP,WRIGHT CHRISTOPHER,,0001209191-16-124685,2016-05-31,A,4000,0.0,70904.0,D,,,,,,
882835,2016-06-07,ROP,WRIGHT CHRISTOPHER,,0001209191-16-126287,2016-06-06,S,1000,173.689,69904.0,D,,,,,,
882835,2016-06-24,ROP,Stipancich John K,,0001209191-16-129567,2016-06-22,A,12000,0.0,12000.0,D,,,,,,
882835,2016-08-02,ROP,KNOWLING ROBERT E JR,,0001209191-16-134950,2016-08-01,S,4000,171.5388,14037.82,D,,,,,,
882835,2016-08-12,ROP,WRIGHT CHRISTOPHER,,0001209191-16-136860,2016-08-10,G,200,0.0,69704.0,D,,,,,,
882835,2016-08-12,ROP,Humphrey John,,0001209191-16-136859,2016-08-12,M,40000,55.22,146812.0,D,,,,,,
