cik,filingDate,issuerTradingSymbol,reportingOwnerName,reportingOwnerRelationship,accessionNumber,transactionDate,transactionCode,transactionShares,transactionPricePerShare,sharesOwnedFollowingTransaction,directOrIndirectOwnership,transactionType,securityTitle,underlyingSecurityTitle,underlyingSecurityShares,exercisePrice,expirationDate
101829,2017-01-05,UTX,Whitehouse David R,,0001225208-17-000716,2017-01-03,M,1025.0,0.0,4232.0,D,,,,,,
101829,2017-01-05,UTX,Whitehouse David R,,0001225208-17-000716,2017-01-03,F,407.0,110.83,3825.0,D,,,,,,
101829,2017-02-08,UTX,Gill Charles D,,0001225208-17-002661,2017-02-06,M,45000.0,70.81,76778.0,D,,,,,,
101829,2017-02-08,UTX,Gill Charles D,,0001225208-17-002661,2017-02-06,D,9556.0,111.15,67222.0,D,,,,,,
101829,2017-02-08,UTX,Gill Charles D,,0001225208-17-002661,2017-02-06,S,16329.0,111.1007,50893.0,D,,,,,,
101829,2017-02-08,UTX,JOHRI AKHIL,,0001225208-17-002660,2017-02-07,M,6800.0,75.21,19100.0,D,,,,,,
101829,2017-02-08,UTX,JOHRI AKHIL,,0001225208-17-002660,2017-02-07,S,2209.0,111.413,16891.0,D,,,,,,
101829,2017-02-08,UTX,JOHRI AKHIL,,0001225208-17-002660,2017-02-07,D,4591.0,111.39,12300.0,D,,,,,,
101829,2017-02-08,UTX,MCDONOUGH ROBERT J,,0001225208-17-002659,2017-02-07,S,300.0,111.3208,11049.0,D,,,,,,
101829,2017-02-10,UTX,HAYES GREGORY,,0001225208-17-002771,2017-02-08,S,17450.0,110.6366,101869.0,D,,,,,,
101829,2017-02-10,UTX,HAYES GREGORY,,0001225208-17-002771,2017-02-08,D,9856.0,110.64,146513.0,D,,,,,,
101829,2017-02-10,UTX,HAYES GREGORY,,0001225208-17-002771,2017-02-08,M,54500.0,75.21,156369.0,D,,,,,,
101829,2017-02-15,UTX,Gitlin David L.,,0001225208-17-003390,2017-02-13,M,17800.0,74.66,17800.0,D,,,,,,
101829,2017-02-15,UTX,Gitlin David L.,,0001225208-17-003390,2017-02-13,S,8968.0,111.665,19332.0,D,,,,,,
101829,2017-02-15,UTX,Gitlin David L.,,0001225208-17-003390,2017-02-13,D,19332.0,111.64,0.0,D,,,,,,
101829,2017-02-17,UTX,Dumais Michael R,,0001225208-17-003768,2017-02-16,M,8600.0,78.99,27548.0,D,,,,,,
101829,2017-02-17,UTX,Dumais Michael R,,0001225208-17-003768,2017-02-16,S,2541.0,112.1237,25007.0,D,,,,,,
101829,2017-02-17,UTX,Dumais Michael R,,0001225208-17-003768,2017-02-16,D,6059.0,112.1,18948.0,D,,,,,,
101829,2017-02-17,UTX,Amato Elizabeth B,,0001225208-17-003767,2017-02-16,M,9100.0,75.21,30427.8277,D,,,,,,
101829,2017-02-17,UTX,Amato Elizabeth B,,0001225208-17-003767,2017-02-16,S,2991.0,112.0218,27436.8277,D,,,,,,
101829,2017-02-17,UTX,Amato Elizabeth B,,0001225208-17-003767,2017-02-16,D,6109.0,112.02,21327.8277,D,,,,,,
101829,2017-02-21,UTX,Gill Charles D,,0001225208-17-003944,2017-02-17,M,74500.0,54.95,106278.0,D,,,,,,
101829,2017-02-21,UTX,Gill Charles D,,0001225208-17-003944,2017-02-17,D,36525.0,112.08,69753.0,D,,,,,,
101829,2017-02-21,UTX,Gill Charles D,,0001225208-17-003944,2017-02-17,S,37975.0,112.0149,31778.0,D,,,,,,
101829,2017-02-28,WSO,UNITED TECHNOLOGIES CORP /DE/,,0001209191-17-015347,2017-02-28,S,2985685.0,140.68,0.0,I,,,,,,
101829,2017-02-28,UTX,Bailey Robert J.,,0001225208-17-004899,2017-02-24,M,2000.0,54.95,2000.0,D,,,,,,
101829,2017-02-28,UTX,Bailey Robert J.,,0001225208-17-004899,2017-02-24,D,978.0,112.26,1022.0,D,,,,,,
101829,2017-02-28,UTX,Bailey Robert J.,,0001225208-17-004899,2017-02-24,S,1022.0,112.2619,0.0,D,,,,,,
101829,2017-05-03,UTX,MCDONOUGH ROBERT J,,0001225208-17-009061,2017-05-01,M,12064.0,0.0,23113.0,D,,,,,,
101829,2017-05-03,UTX,MCDONOUGH ROBERT J,,0001225208-17-009061,2017-05-01,F,5062.0,118.92,18051.0,D,,,,,,
101829,2017-05-04,UTX,Bailey Robert J.,,0001225208-17-009149,2017-05-03,M,5000.0,54.95,5000.0,D,,,,,,
101829,2017-05-04,UTX,Bailey Robert J.,,0001225208-17-009149,2017-05-03,D,2298.0,119.56,2702.0,D,,,,,,
101829,2017-05-04,UTX,Bailey Robert J.,,0001225208-17-009149,2017-05-03,S,2702.0,119.5297,0.0,D,,,,,,
101829,2017-05-04,UTX,DELPECH PHILIPPE,,0001225208-17-009148,2017-05-03,M,25500.0,84.0,63621.0,D,,,,,,
101829,2017-05-04,UTX,DELPECH PHILIPPE,,0001225208-17-009148,2017-05-03,S,7696.0,120.3213,55925.0,D,,,,,,
101829,2017-05-04,UTX,DELPECH PHILIPPE,,0001225208-17-009148,2017-05-03,D,17804.0,120.31,38121.0,D,,,,,,
101829,2017-07-06,UTX,DELPECH PHILIPPE,,0001225208-17-012348,2017-07-01,M,11574.0,0.0,49695.0,D,,,,,,
101829,2017-07-06,UTX,DELPECH PHILIPPE,,0001225208-17-012348,2017-07-01,F,1060.0,122.08,48635.0,D,,,,,,
101829,2017-11-07,UTX,Dumais Michael R,,0001225208-17-017044,2017-11-03,S,2986.0,120.981,24562.0,D,,,,,,
101829,2017-11-07,UTX,Dumais Michael R,,0001225208-17-017044,2017-11-03,M,8600.0,78.99,27548.0,D,,,,,,
101829,2017-11-07,UTX,Dumais Michael R,,0001225208-17-017044,2017-11-03,D,5614.0,121.0,18948.0,D,,,,,,
101829,2017-11-17,UTX,Amato Elizabeth B,,0001225208-17-017467,2017-11-07,G,125.0,0.0,21368.6919,D,,,,,,
101829,2017-12-01,UTX,Bailey Robert J.,,0001225208-17-017982,2017-11-29,M,2100.0,71.63,2100.0,D,,,,,,
101829,2017-12-01,UTX,Bailey Robert J.,,0001225208-17-017982,2017-11-29,S,827.0,118.0596,1273.0,D,,,,,,
101829,2017-12-01,UTX,Bailey Robert J.,,0001225208-17-017982,2017-11-29,D,1273.0,118.08,0.0,D,,,,,,
101829,2017-12-04,UTX,JOHRI AKHIL,,0001225208-17-018091,2017-12-01,M,10950.0,54.95,23295.0,D,,,,,,
101829,2017-12-04,UTX,JOHRI AKHIL,,0001225208-17-018091,2017-12-01,D,4971.0,121.03,18324.0,D,,,,,,
101829,2017-12-04,UTX,JOHRI AKHIL,,0001225208-17-018091,2017-12-01,S,5979.0,121.0301,12345.0,D,,,,,,
101829,2017-12-11,UTX,Bailey Robert J.,,0001225208-17-018481,2017-12-07,M,2000.0,71.63,2000.0,D,,,,,,
101829,2017-12-11,UTX,Bailey Robert J.,,0001225208-17-018481,2017-12-07,S,833.0,122.66,1167.0,D,,,,,,
101829,2017-12-11,UTX,Bailey Robert J.,,0001225208-17-018481,2017-12-07,D,1167.0,122.67,0.0,D,,,,,,
101829,2017-12-15,UTX,Bailey Robert J.,,0001225208-17-018744,2017-12-13,M,1500.0,71.63,1500.0,D,,,,,,
101829,2017-12-15,UTX,Bailey Robert J.,,0001225208-17-018744,2017-12-13,S,636.0,124.3523,864.0,D,,,,,,
101829,2017-12-15,UTX,Bailey Robert J.,,0001225208-17-018744,2017-12-13,D,864.0,124.35,0.0,D,,,,,,
101829,2017-12-18,UTX,Amato Elizabeth B,,0001225208-17-018786,2017-12-15,M,7700.0,54.95,29122.2957,D,,,,,,
101829,2017-12-18,UTX,Amato Elizabeth B,,0001225208-17-018786,2017-12-15,S,4341.0,125.9158,21422.2957,D,,,,,,
101829,2017-12-18,UTX,Amato Elizabeth B,,0001225208-17-018786,2017-12-15,D,3359.0,125.95,25763.2957,D,,,,,,
101829,2017-12-18,UTX,Bailey Robert J.,,0001225208-17-018787,2017-12-15,S,864.0,126.0101,1136.0,D,,,,,,
