cik,filingDate,issuerTradingSymbol,reportingOwnerName,reportingOwnerRelationship,accessionNumber,transactionDate,transactionCode,transactionShares,transactionPricePerShare,sharesOwnedFollowingTransaction,directOrIndirectOwnership,transactionType,securityTitle,underlyingSecurityTitle,underlyingSecurityShares,exercisePrice,expirationDate
1419612,2015-12-15,SEDG,Faier Ronen,,0001178913-15-003724,2015-12-11,M,2100,2.01,2100,D,,,,,,
1419612,2015-12-15,SEDG,Faier Ronen,,0001178913-15-003724,2015-12-11,S,2100,20.01,0,D,,,,,,
1419612,2015-12-15,SEDG,Faier Ronen,,0001178913-15-003724,2015-12-14,M,28200,2.01,28200,D,,,,,,
1419612,2015-12-15,SEDG,Faier Ronen,,0001178913-15-003724,2015-12-14,S,28200,20.73,0,D,,,,,,
1419612,2015-12-15,SEDG,Prishkolnik Rachel,,0001178913-15-003722,2015-12-11,M,4000,2.46,4000,D,,,,,,
1419612,2015-12-15,SEDG,Prishkolnik Rachel,,0001178913-15-003722,2015-12-11,S,4000,20.01,0,D,,,,,,
1419612,2015-12-15,SEDG,Prishkolnik Rachel,,0001178913-15-003722,2015-12-14,M,15000,2.46,15000,D,,,,,,
1419612,2015-12-15,SEDG,Prishkolnik Rachel,,0001178913-15-003722,2015-12-14,S,15000,20.71,0,D,,,,,,
1419612,2015-12-17,SEDG,Faier Ronen,,0001178913-15-003750,2015-12-16,M,10000,2.01,10000,D,,,,,,
1419612,2015-12-17,SEDG,Faier Ronen,,0001178913-15-003750,2015-12-16,S,9800,25.41,200,D,,,,,,
1419612,2015-12-17,SEDG,Faier Ronen,,0001178913-15-003750,2015-12-15,S,8086,21.97,1614,D,,,,,,
1419612,2015-12-17,SEDG,Faier Ronen,,0001178913-15-003750,2015-12-15,M,9700,2.01,9700,D,,,,,,
1419612,2015-12-18,SEDG,Handelsman Lior,,0001178913-15-003754,2015-12-16,S,32600,25.0,317400,D,,,,,,
1419612,2015-12-22,SEDG,Handelsman Lior,,0001178913-15-003774,2015-12-18,S,800,28.0425,289200,D,,,,,,
1419612,2015-12-22,SEDG,Handelsman Lior,,0001178913-15-003774,2015-12-21,S,5625,28.0423,283575,D,,,,,,
1419612,2015-12-24,SEDG,Handelsman Lior,,0001178913-15-003796,2015-12-22,S,1400,28.0,282175,D,,,,,,
1419612,2015-12-24,SEDG,Handelsman Lior,,0001178913-15-003796,2015-12-23,S,1600,28.0,280575,D,,,,,,
1419612,2015-12-28,SEDG,Adest Meir,,0001178913-15-003809,2015-12-24,S,2686,27.81,430647,D,,,,,,
1419612,2015-12-28,SEDG,Handelsman Lior,,0001178913-15-003807,2015-12-24,S,4975,28.0,277200,D,,,,,,
1419612,2015-12-31,SEDG,Handelsman Lior,,0001178913-15-003849,2015-12-30,S,36254,28.64,240946,D,,,,,,
1419612,2016-01-04,SEDG,Adest Meir,,0001178913-16-003863,2015-12-31,S,2619,28.17,428028,D,,,,,,
1419612,2016-01-06,SEDG,Galin Yoav,,0001178913-16-003903,2016-01-06,S,11600,27.93,434233,D,,,,,,
1419612,2016-01-06,SEDG,Galin Yoav,,0001178913-16-003903,2016-01-06,M,12500,1.5,445833,D,,,,,,
1419612,2016-01-07,SEDG,Prishkolnik Rachel,,0001178913-16-003917,2016-01-05,M,10000,2.46,10000,D,,,,,,
1419612,2016-01-07,SEDG,Prishkolnik Rachel,,0001178913-16-003917,2016-01-05,S,10000,30.0,0,D,,,,,,
1419612,2016-01-11,SEDG,Adest Meir,,0001178913-16-003949,2015-01-07,S,2274,27.86,425754,D,,,,,,
1419612,2016-01-19,SEDG,Adest Meir,,0001178913-16-004008,2015-01-14,S,1200,22.88,424254,D,,,,,,
1419612,2016-01-25,SEDG,Adest Meir,,0001178913-16-004036,2015-01-21,S,1541,24.91,420821,D,,,,,,
1419612,2016-02-01,SEDG,Adest Meir,,0001178913-16-004106,2015-01-28,S,1400,27.07,417862,D,,,,,,
1419612,2016-02-04,SEDG,Galin Yoav,,0001178913-16-004167,2016-02-01,M,12500,1.5,445833,D,,,,,,
1419612,2016-02-04,SEDG,Galin Yoav,,0001178913-16-004167,2016-02-01,S,11800,28.5141,434033,D,,,,,,
1419612,2016-02-08,SEDG,Adest Meir,,0001178913-16-004189,2016-02-04,S,600,28.41,415915,D,,,,,,
1419612,2016-02-10,SEDG,GENESIS PARTNERS III LP,,0001178913-16-004205,2016-01-04,S,48470,28.09,4113328,D,,,,,,
1419612,2016-02-10,SEDG,Avida Dan,,0001178913-16-004238,2016-02-08,J,2985,0.0,2985,I,,,,,,
1419612,2016-02-10,SEDG,GENESIS PARTNERS III LP,,0001178913-16-004205,2016-01-05,S,51530,29.49,4061798,D,,,,,,
1419612,2016-02-10,SEDG,GENESIS PARTNERS III LP,,0001178913-16-004205,2016-01-06,S,50000,29.08,4011798,D,,,,,,
1419612,2016-02-10,SEDG,GENESIS PARTNERS III LP,,0001178913-16-004207,2016-01-05,S,51530,29.49,4061798,D,,,,,,
1419612,2016-02-10,SEDG,GENESIS PARTNERS III LP,,0001178913-16-004209,2016-01-06,S,50000,29.08,4011798,D,,,,,,
1419612,2016-02-11,SEDG,Lando Zvi,,0001178913-16-004267,2016-02-09,M,61667,1.5,61667,D,,,,,,
1419612,2016-02-11,SEDG,Lando Zvi,,0001178913-16-004267,2016-02-09,S,55758,25.64,5909,D,,,,,,
1419612,2016-02-11,SEDG,Cheifetz Jonathan,,0001178913-16-004266,2016-02-09,J,7035,0.0,21119,D,,,,,,
1419612,2016-02-11,SEDG,"Opus Capital Venture Partners V, L.P.",,0000899243-16-013135,2016-02-08,J,549944,,4000000,D,,,,,,
1419612,2016-02-16,SEDG,Adest Meir,,0001178913-16-004399,2016-02-11,S,2995,23.05,410787,D,,,,,,
1419612,2016-02-25,SEDG,Adest Meir,,0001178913-16-004531,2016-02-22,S,600,26.17,396467,D,,,,,,
1419612,2016-02-25,SEDG,Adest Meir,,0001178913-16-004531,2016-02-18,S,12820,26.04,397767,D,,,,,,
1419612,2016-03-01,SEDG,Adest Meir,,0001178913-16-004579,2016-02-25,S,2412,24.52,394055,D,,,,,,
1419612,2016-03-07,SEDG,Adest Meir,,0001178913-16-004624,2016-03-03,S,1975,27.55,352780,D,,,,,,
1419612,2016-03-08,SEDG,Adest Meir,,0001178913-16-004634,2016-03-01,S,38700,26.0,354755,D,,,,,,
1419612,2016-03-10,SEDG,Prishkolnik Rachel,,0001178913-16-004656,2016-03-09,M,15000,2.46,15000,D,,,,,,
1419612,2016-03-10,SEDG,Prishkolnik Rachel,,0001178913-16-004656,2016-03-09,S,14800,26.79,200,D,,,,,,
1419612,2016-03-10,SEDG,Faier Ronen,,0001178913-16-004654,2016-03-09,M,16014,2.01,16014,D,,,,,,
1419612,2016-03-10,SEDG,Faier Ronen,,0001178913-16-004654,2016-03-09,S,16014,26.76,0,D,,,,,,
1419612,2016-03-14,SEDG,Galin Yoav,,0001178913-16-004691,2016-03-01,M,12500,1.5,433333,D,,,,,,
1419612,2016-03-14,SEDG,Adest Meir,,0001178913-16-004693,2016-03-13,S,1804,26.53,350276,D,,,,,,
1419612,2016-03-14,SEDG,Faier Ronen,,0001178913-16-004695,2016-03-10,M,27399,2.01,27399,D,,,,,,
1419612,2016-03-14,SEDG,Faier Ronen,,0001178913-16-004695,2016-03-10,S,19979,26.61,7420,D,,,,,,
1419612,2016-03-14,SEDG,Faier Ronen,,0001178913-16-004697,2016-03-11,S,5987,27.37,600,D,,,,,,
1419612,2016-03-14,SEDG,Faier Ronen,,0001178913-16-004697,2016-03-11,M,6587,2.01,6587,D,,,,,,
1419612,2016-03-14,SEDG,Galin Yoav,,0001178913-16-004691,2016-03-01,S,9842,24.84,423491,D,,,,,,
1419612,2016-03-21,SEDG,Adest Meir,,0001178913-16-004765,2016-03-17,S,2870,27.2,346406,D,,,,,,
1419612,2016-03-28,SEDG,Adest Meir,,0001178913-16-004881,2016-03-24,S,2913,23.94,343493,D,,,,,,
1419612,2016-04-04,SEDG,Adest Meir,,0001178913-16-004976,2016-03-31,S,2979,25.34,340314,D,,,,,,
1419612,2016-04-04,SEDG,Galin Yoav,,0001178913-16-004974,2016-04-01,M,7411,1.5,420833,D,,,,,,
1419612,2016-04-04,SEDG,Galin Yoav,,0001178913-16-004974,2016-04-01,S,7411,24.53,413422,D,,,,,,
1419612,2016-04-07,SEDG,Galin Yoav,,0001178913-16-005032,2016-04-04,M,5089,1.5,413422,D,,,,,,
1419612,2016-04-07,SEDG,Galin Yoav,,0001178913-16-005032,2016-04-04,S,3939,25.32,409483,D,,,,,,
1419612,2016-04-11,SEDG,Adest Meir,,0001178913-16-005045,2016-04-07,S,2957,25.23,337357,D,,,,,,
1419612,2016-04-19,SEDG,Adest Meir,,0001178913-16-005103,2016-04-14,S,2976,25.27,334381,D,,,,,,
1419612,2016-04-25,SEDG,Adest Meir,,0001178913-16-005168,2016-04-21,S,2735,27.73,331646,D,,,,,,
1419612,2016-05-03,SEDG,Galin Yoav,,0001178913-16-005250,2016-02-05,M,11003,1.5,408333,D,,,,,,
1419612,2016-05-03,SEDG,Galin Yoav,,0001178913-16-005250,2016-02-05,S,11003,26.66,397330,D,,,,,,
1419612,2016-05-03,SEDG,Adest Meir,,0001178913-16-005248,2016-04-28,S,1333,27.2,330313,D,,,,,,
1419612,2016-05-10,SEDG,Galin Yoav,,0001178913-16-005381,2016-03-05,M,700,1.5,397330,D,,,,,,
1419612,2016-05-10,SEDG,Galin Yoav,,0001178913-16-005381,2016-03-05,S,700,26.66,396630,D,,,,,,
1419612,2016-05-17,SEDG,Adest Meir,,0001178913-16-005463,2016-05-12,S,260,18.13,325624,D,,,,,,
1419612,2016-05-17,SEDG,Adest Meir,,0001178913-16-005461,2016-05-05,S,2029,22.51,326984,D,,,,,,
1419612,2016-06-06,SEDG,Galin Yoav,,0001178913-16-005646,2016-06-02,M,1626,2.46,434959,D,,,,,,
1419612,2016-06-06,SEDG,Galin Yoav,,0001178913-16-005646,2016-06-02,S,1626,21.37,433333,D,,,,,,
1419612,2016-06-06,SEDG,Galin Yoav,,0001178913-16-005644,2016-06-01,M,10833,1.5,444166,D,,,,,,
1419612,2016-06-06,SEDG,Galin Yoav,,0001178913-16-005644,2016-06-01,S,10874,21.01,433333,D,,,,,,
1419612,2016-06-30,SEDG,Handelsman Lior,,0001178913-16-005770,2016-05-31,M,437,0.0,292712,D,,,,,,
1419612,2016-06-30,SEDG,Galin Yoav,,0001178913-16-005768,2015-11-30,M,750,0.0,434083,D,,,,,,
1419612,2016-06-30,SEDG,Galin Yoav,,0001178913-16-005768,2016-02-22,A,2400,0.0,436483,D,,,,,,
1419612,2016-06-30,SEDG,Faier Ronen,,0001178913-16-005766,2015-11-30,M,750,0.0,750,D,,,,,,
1419612,2016-06-30,SEDG,Galin Yoav,,0001178913-16-005768,2016-05-31,M,750,0.0,437983,D,,,,,,
1419612,2016-06-30,SEDG,Faier Ronen,,0001178913-16-005766,2016-02-22,A,2400,0.0,3150,D,,,,,,
1419612,2016-06-30,SEDG,Adest Meir,,0001178913-16-005764,2016-02-29,M,313,0.0,406380,D,,,,,,
1419612,2016-06-30,SEDG,Adest Meir,,0001178913-16-005764,2016-02-26,A,1000,0.0,406067,D,,,,,,
1419612,2016-06-30,SEDG,Faier Ronen,,0001178913-16-005766,2016-05-31,M,750,0.0,4650,D,,,,,,
1419612,2016-06-30,SEDG,Galin Yoav,,0001178913-16-005768,2016-02-29,M,750,0.0,437233,D,,,,,,
1419612,2016-06-30,SEDG,Faier Ronen,,0001178913-16-005766,2016-02-29,M,750,0.0,3900,D,,,,,,
1419612,2016-06-30,SEDG,Adest Meir,,0001178913-16-005764,2016-05-31,M,312,0.0,377561,D,,,,,,
1419612,2016-06-30,SEDG,Handelsman Lior,,0001178913-16-005770,2016-02-29,M,438,0.0,292275,D,,,,,,
1419612,2016-06-30,SEDG,Adest Meir,,0001178913-16-005764,2015-11-30,M,312,0.0,433645,D,,,,,,
1419612,2016-06-30,SEDG,Handelsman Lior,,0001178913-16-005770,2015-11-30,M,437,0.0,350437,D,,,,,,
1419612,2016-06-30,SEDG,Sella Guy,,0001178913-16-005776,2015-11-30,M,1875,0.0,435208,D,,,,,,
1419612,2016-06-30,SEDG,Sella Guy,,0001178913-16-005776,2016-02-22,A,6000,0.0,441208,D,,,,,,
1419612,2016-06-30,SEDG,Sella Guy,,0001178913-16-005776,2016-02-29,M,1875,0.0,443083,D,,,,,,
1419612,2016-06-30,SEDG,Prishkolnik Rachel,,0001178913-16-005774,2016-02-22,A,1400,0.0,1837,D,,,,,,
1419612,2016-06-30,SEDG,Handelsman Lior,,0001178913-16-005770,2016-02-22,A,1400,0.0,291837,D,,,,,,
1419612,2016-06-30,SEDG,Prishkolnik Rachel,,0001178913-16-005774,2016-02-29,M,438,0.0,2275,D,,,,,,
1419612,2016-06-30,SEDG,Sella Guy,,0001178913-16-005776,2016-05-31,M,1875,0.0,444958,D,,,,,,
1419612,2016-06-30,SEDG,Lando Zvi,,0001178913-16-005772,2016-02-22,A,2400,0.0,3150,D,,,,,,
1419612,2016-06-30,SEDG,Prishkolnik Rachel,,0001178913-16-005774,2016-05-31,M,437,0.0,2712,D,,,,,,
1419612,2016-06-30,SEDG,Prishkolnik Rachel,,0001178913-16-005774,2015-11-30,M,437,0.0,437,D,,,,,,
1419612,2016-06-30,SEDG,Lando Zvi,,0001178913-16-005772,2016-05-31,M,750,0.0,4650,D,,,,,,
1419612,2016-06-30,SEDG,Lando Zvi,,0001178913-16-005772,2016-02-29,M,750,0.0,3900,D,,,,,,
1419612,2016-06-30,SEDG,Lando Zvi,,0001178913-16-005772,2015-11-30,M,750,0.0,750,D,,,,,,
1419612,2016-08-16,SEDG,AVERY MORE,,0001178913-16-006248,2016-02-23,M,4496,0.0,692670,I,,,,,,
1419612,2016-08-16,SEDG,Cheifetz Jonathan,,0001178913-16-006250,2016-04-01,M,2248,0.0,6744,D,,,,,,
1419612,2016-08-16,SEDG,Cheifetz Jonathan,,0001178913-16-006250,2016-02-23,M,4496,0.0,4496,D,,,,,,
1419612,2016-08-16,SEDG,Avida Dan,,0001178913-16-006252,2016-04-01,M,2248,0.0,4013488,I,,,,,,
1419612,2016-08-16,SEDG,Avida Dan,,0001178913-16-006252,2016-02-23,M,4496,0.0,4011240,I,,,,,,
1419612,2016-08-16,SEDG,AVERY MORE,,0001178913-16-006248,2016-04-01,M,4248,0.0,694918,I,,,,,,
1419612,2016-08-16,SEDG,GANI MARCEL,,0001178913-16-006254,2016-02-23,M,4496,0.0,15606,I,,,,,,
1419612,2016-08-16,SEDG,Payne Tal,,0001178913-16-006258,2016-02-23,M,4496,0.0,4496,D,,,,,,
1419612,2016-08-16,SEDG,Inbar Doron,,0001178913-16-006256,2016-04-01,M,2248,0.0,236821,D,,,,,,
1419612,2016-08-16,SEDG,Inbar Doron,,0001178913-16-006256,2016-02-23,M,4496,0.0,234573,D,,,,,,
1419612,2016-08-16,SEDG,Payne Tal,,0001178913-16-006258,2016-04-01,M,2248,0.0,6744,D,,,,,,
1419612,2016-08-16,SEDG,GANI MARCEL,,0001178913-16-006254,2016-04-01,M,2248,0.0,17854,I,,,,,,
1419612,2016-08-18,SEDG,Inbar Doron,,0001178913-16-006294,2016-08-16,A,4016,0.0,245333,D,,,,,,
1419612,2016-08-18,SEDG,Avida Dan,,0001178913-16-006292,2016-08-16,A,4016,0.0,4022000,I,,,,,,
1419612,2016-08-18,SEDG,GANI MARCEL,,0001178913-16-006296,2016-08-16,A,4016,0.0,26366,I,,,,,,
