cik,filingDate,issuerTradingSymbol,reportingOwnerName,reportingOwnerRelationship,accessionNumber,transactionDate,transactionCode,transactionShares,transactionPricePerShare,sharesOwnedFollowingTransaction,directOrIndirectOwnership,transactionType,securityTitle,underlyingSecurityTitle,underlyingSecurityShares,exercisePrice,expirationDate
89800,2016-04-04,SHW,WUNNING STEVEN H,,0001209191-16-112177,2016-04-01,A,97.0,283.97,434.0,I,,,,,,
89800,2016-04-04,SHW,POON CHRISTINE A,,0001209191-16-112168,2016-04-01,A,28.0,283.97,263.0,I,,,,,,
89800,2016-04-04,SHW,KRAMER RICHARD J,,0001209191-16-112153,2016-04-01,A,97.0,283.97,1689.0,I,,,,,,
89800,2016-04-04,SHW,Kadien Thomas G,,0001209191-16-112137,2016-04-01,A,56.0,283.97,2442.0,I,,,,,,
89800,2016-04-25,SHW,Hodnik David F,,0001209191-16-115474,2016-04-22,S,243.0,297.44,11895.0,D,,,,,,
89800,2016-04-28,SHW,KROPF SUSAN J,,0001209191-16-116111,2016-04-27,S,2000.0,297.99,11225.0,D,,,,,,
89800,2016-05-11,SHW,Davisson Robert J,,0001209191-16-118989,2016-05-09,S,3591.0,292.21,8650.0,D,,,,,,
89800,2016-05-11,SHW,Mistysyn Allen J,,0001209191-16-118988,2016-05-09,M,1020.0,154.4325,10881.0,D,,,,,,
89800,2016-05-11,SHW,Mistysyn Allen J,,0001209191-16-118988,2016-05-09,S,3353.0,291.58,9861.0,D,,,,,,
89800,2016-05-13,SHW,Knight Timothy A,,0001209191-16-119743,2016-04-27,G,520.0,0.0,15860.0,I,,,,,,
89800,2016-05-13,SHW,Knight Timothy A,,0001209191-16-119743,2016-05-05,G,2084.0,0.0,5925.0,D,,,,,,
89800,2016-05-17,SHW,HENNESSY SEAN P,,0001209191-16-120584,2016-05-13,M,20353.0,154.4325,92747.0,D,,,,,,
89800,2016-05-17,SHW,HENNESSY SEAN P,,0001209191-16-120584,2016-05-13,S,20353.0,294.88,72394.0,D,,,,,,
89800,2016-05-17,SHW,Sewell David B,,0001209191-16-120673,2016-05-16,S,4598.0,297.39,8517.0,D,,,,,,
89800,2016-05-17,SHW,Sewell David B,,0001209191-16-120673,2016-05-16,M,3200.0,154.4325,13115.0,D,,,,,,
89800,2016-07-05,SHW,WUNNING STEVEN H,,0001209191-16-131126,2016-07-01,A,93.0,294.87,528.0,I,,,,,,
89800,2016-07-05,SHW,POON CHRISTINE A,,0001209191-16-131119,2016-07-01,A,26.0,294.87,290.0,I,,,,,,
89800,2016-07-05,SHW,KRAMER RICHARD J,,0001209191-16-131110,2016-07-01,A,93.0,294.87,1787.0,I,,,,,,
89800,2016-07-05,SHW,Kadien Thomas G,,0001209191-16-131102,2016-07-01,A,55.0,294.87,2504.0,I,,,,,,
89800,2016-08-02,SHW,MORIKIS JOHN G,,0001209191-16-134732,2016-08-01,M,30353.0,154.4325,119804.0,D,,,,,,
89800,2016-08-02,SHW,MORIKIS JOHN G,,0001209191-16-134732,2016-08-01,S,4139.0,297.2,115665.0,D,,,,,,
89800,2016-08-04,SHW,Wells Robert J,,0001209191-16-135422,2016-08-03,G,85.0,0.0,17119.0,D,,,,,,
89800,2016-08-09,SHW,Baxter Joel D.,,0001209191-16-135979,2016-08-05,S,3853.0,300.16,4494.0,D,,,,,,
89800,2016-08-09,SHW,Baxter Joel D.,,0001209191-16-135979,2016-08-05,M,2853.0,154.4325,8347.0,D,,,,,,
89800,2016-10-11,SHW,KRAMER RICHARD J,,0001209191-16-145507,2016-10-07,A,103.0,266.36,1896.0,I,,,,,,
89800,2016-10-11,SHW,POON CHRISTINE A,,0001209191-16-145506,2016-10-07,A,29.0,266.36,320.0,I,,,,,,
89800,2016-10-11,SHW,WUNNING STEVEN H,,0001209191-16-145504,2016-10-07,A,103.0,266.36,633.0,I,,,,,,
89800,2016-10-11,SHW,Kadien Thomas G,,0001209191-16-145503,2016-10-07,A,61.0,266.36,2573.0,I,,,,,,
89800,2016-10-20,SHW,Wells Robert J,,0001209191-16-146444,2016-10-18,A,1686.0,0.0,18805.0,D,,,,,,
89800,2016-10-31,SHW,STROPKI JOHN M,,0001209191-16-147371,2016-10-27,P,500.0,247.3,10305.0,D,,,,,,
89800,2016-11-01,SHW,MORIKIS JOHN G,,0001209191-16-147554,2016-10-31,M,554.0,180.46,90005.0,D,,,,,,
89800,2016-11-21,SHW,Baxter Joel D.,,0001209191-16-151470,2016-11-18,M,554.0,180.46,5048.0,D,,,,,,
89800,2016-12-02,SHW,Connor Christopher M,,0001209191-16-152838,2016-12-01,M,554.0,180.46,456216.0,D,,,,,,
89800,2017-01-09,SHW,Kadien Thomas G,,0001209191-17-002925,2017-01-06,A,61.0,277.55,2643.0,I,,,,,,
89800,2017-01-09,SHW,KRAMER RICHARD J,,0001209191-17-002927,2017-01-06,A,104.0,277.55,2006.0,I,,,,,,
89800,2017-01-09,SHW,POON CHRISTINE A,,0001209191-17-002933,2017-01-06,A,30.0,277.55,351.0,I,,,,,,
89800,2017-01-09,SHW,WUNNING STEVEN H,,0001209191-17-002934,2017-01-06,A,104.0,277.55,739.0,I,,,,,,
89800,2017-01-31,SHW,Mistysyn Allen J,,0001209191-17-006292,2017-01-27,M,38.0,127.985,703.0,I,,,,,,
89800,2017-01-31,SHW,Mistysyn Allen J,,0001209191-17-006292,2017-01-27,S,425.0,304.76,1570.0,I,,,,,,
89800,2017-01-31,SHW,Davisson Robert J,,0001209191-17-006270,2017-01-27,M,5000.0,154.4325,13650.0,D,,,,,,
89800,2017-01-31,SHW,Davisson Robert J,,0001209191-17-006270,2017-01-27,S,5000.0,306.69,8650.0,D,,,,,,
89800,2017-02-01,SHW,Connor Christopher M,,0001209191-17-006532,2017-01-30,M,3131.0,54.09,459347.0,D,,,,,,
89800,2017-02-01,SHW,Connor Christopher M,,0001209191-17-006532,2017-01-30,S,109700.0,304.69,463974.0,D,,,,,,
89800,2017-02-03,SHW,CRONIN JANE M.,,0001209191-17-007352,2017-02-01,S,939.0,304.85,3875.0,D,,,,,,
89800,2017-02-03,SHW,CRONIN JANE M.,,0001209191-17-007352,2017-02-01,G,216.0,0.0,3659.0,D,,,,,,
89800,2017-02-09,SHW,Mistysyn Allen J,,0001209191-17-009067,2017-02-08,S,186.0,302.22,2571.0,I,,,,,,
89800,2017-02-09,SHW,Mistysyn Allen J,,0001209191-17-009067,2017-02-08,M,815.0,154.4325,1980.0,I,,,,,,
89800,2017-02-13,SHW,Hodnik David F,,0001209191-17-009859,2017-02-10,S,1066.0,305.42,10229.0,D,,,,,,
89800,2017-02-13,SHW,Hodnik David F,,0001209191-17-009859,2017-02-10,G,165.0,0.0,10064.0,D,,,,,,
89800,2017-02-15,SHW,POON CHRISTINE A,,0001209191-17-011010,2017-02-14,A,539.0,0.0,2077.0,D,,,,,,
89800,2017-02-15,SHW,KROPF SUSAN J,,0001209191-17-011008,2017-02-14,A,539.0,0.0,11764.0,D,,,,,,
89800,2017-02-15,SHW,KRAMER RICHARD J,,0001209191-17-011007,2017-02-14,A,539.0,0.0,4534.0,D,,,,,,
89800,2017-02-15,SHW,WUNNING STEVEN H,,0001209191-17-011013,2017-02-14,A,539.0,0.0,1446.0,D,,,,,,
89800,2017-02-15,SHW,Thornton Matthew III,,0001209191-17-011012,2017-02-14,A,539.0,0.0,2047.0,D,,,,,,
89800,2017-02-15,SHW,STROPKI JOHN M,,0001209191-17-011011,2017-02-14,A,539.0,0.0,10844.0,D,,,,,,
89800,2017-02-15,SHW,Kadien Thomas G,,0001209191-17-011004,2017-02-14,A,539.0,0.0,2154.0,D,,,,,,
89800,2017-02-15,SHW,Hodnik David F,,0001209191-17-011002,2017-02-14,A,539.0,0.0,10603.0,D,,,,,,
89800,2017-02-15,SHW,Anton Arthur F,,0001209191-17-010999,2017-02-14,A,539.0,0.0,14914.0,D,,,,,,
