cik,filingDate,issuerTradingSymbol,reportingOwnerName,reportingOwnerRelationship,accessionNumber,transactionDate,transactionCode,transactionShares,transactionPricePerShare,sharesOwnedFollowingTransaction,directOrIndirectOwnership,transactionType,securityTitle,underlyingSecurityTitle,underlyingSecurityShares,exercisePrice,expirationDate
87347,2017-10-25,SLB,SANDVOLD TORE I,,0001127602-17-030285,2017-10-24,S,3500,62.63,1500,D,,,,,,
87347,2017-12-07,SLB,Floridia Aaron Gatt,,0001127602-17-034147,2017-12-06,M,1603,37.845,58637,D,,,,,,
87347,2017-12-07,SLB,Floridia Aaron Gatt,,0001127602-17-034147,2017-12-06,F,4841,62.53,60193,D,,,,,,
87347,2018-01-24,SLB,AYAT SIMON,,0001127602-18-002366,2018-01-24,S,75000,78.86,138827,D,,,,,,
87347,2018-01-24,SLB,Guild Howard,,0001127602-18-002317,2018-01-22,M,2645,37.845,22410,D,,,,,,
87347,2018-01-24,SLB,Guild Howard,,0001127602-18-002317,2018-01-22,S,2645,78.2577,42120,D,,,,,,
87347,2018-03-26,SLB,Schorn Patrick,,0001127602-18-012799,2018-03-26,P,5000,64.79,25000,D,,,,,,
87347,2018-03-26,SLB,KIBSGAARD PAAL,,0001127602-18-012794,2018-03-26,P,10000,64.68,115000,D,,,,,,
87347,2018-03-28,SLB,Al Mogharbel Khaled,,0001127602-18-012927,2018-03-28,P,3000,64.3,30482,D,,,,,,
87347,2018-05-01,SLB,CURRIE PETER L S,,0001127602-18-015757,2018-05-01,A,2771,0.0,13146,I,,,,,,
87347,2018-05-01,SLB,Galuccio Miguel Matias,,0001127602-18-015768,2018-05-01,A,2771,0.0,5021,D,,,,,,
87347,2018-05-01,SLB,KEMPSTON DARKES V MAUREEN,,0001127602-18-015770,2018-05-01,A,2771,0.0,14771,D,,,,,,
87347,2018-05-01,SLB,Kudryavtsev Nikolay,,0001127602-18-015772,2018-05-01,A,2771,0.0,12771,D,,,,,,
87347,2018-05-01,SLB,Kudryavtsev Nikolay,,0001127602-18-015772,2018-05-01,G,2771,0.0,10000,D,,,,,,
87347,2018-05-01,SLB,MARKS MICHAEL E,,0001127602-18-015778,2018-05-01,A,2771,0.0,60021,I,,,,,,
87347,2018-05-01,SLB,NOOYI INDRA K,,0001127602-18-015775,2018-05-01,A,2771,0.0,2771,D,,,,,,
87347,2018-05-01,SLB,Olayan Lubna S.,,0001127602-18-015781,2018-05-01,A,2771,0.0,25021,D,,,,,,
87347,2018-05-01,SLB,Reif Leo Rafael,,0001127602-18-015782,2018-05-01,A,2771,0.0,27021,D,,,,,,
87347,2018-05-01,SLB,Seydoux Henri,,0001127602-18-015783,2018-05-01,A,2771,0.0,23021,D,,,,,,
87347,2018-05-17,SLB,Jaramillo Claudia,,0001127602-18-017815,2018-05-16,M,3000,67.87,6162,D,,,,,,
87347,2018-05-17,SLB,Jaramillo Claudia,,0001127602-18-017815,2018-05-16,S,3000,72.6831,3162,D,,,,,,
87347,2018-08-21,SLB,AYAT SIMON,,0001127602-18-025898,2018-08-20,M,2645,37.845,141653,D,,,,,,
87347,2018-09-07,SLB,MARKS MICHAEL E,,0001127602-18-027016,2018-09-06,P,8000,60.31,68021,I,,,,,,
87347,2018-09-13,SLB,Poupeau Jean-Francois,,0001127602-18-027514,2017-12-29,G,2000,67.39,55934,D,,,,,,
87347,2018-09-13,SLB,Poupeau Jean-Francois,,0001127602-18-027514,2018-09-11,M,5286,37.845,61729,D,,,,,,
87347,2018-10-30,SLB,AYAT SIMON,,0001127602-18-031280,2018-09-24,S,30000,62.0,234008,D,,,,,,
87347,2018-10-30,SLB,AYAT SIMON,,0001127602-18-031280,2018-10-30,S,30000,51.2,204008,D,,,,,,
87347,2018-12-03,SLB,MARKS MICHAEL E,,0001127602-18-035015,2017-10-26,P,16000,63.56,84205,I,,,,,,
87347,2018-12-12,SLB,Jaramillo Claudia,,0001127602-18-036033,2018-12-11,M,2401,37.845,5744,D,,,,,,
87347,2018-12-21,SLB,Schorn Patrick,,0001127602-18-037026,2018-12-20,P,10000,37.55,35000,D,,,,,,
87347,2019-01-16,SLB,Cox Stephanie,,0001127602-19-002197,2019-01-14,F,7477,41.24,38191,D,,,,,,
87347,2019-01-16,SLB,Cox Stephanie,,0001127602-19-002197,2019-01-14,M,2398,37.845,40066,D,,,,,,
87347,2019-01-18,SLB,Fyfe Kevin,,0001127602-19-002361,2019-01-16,M,2000,37.845,5352,D,,,,,,
