cik,filingDate,issuerTradingSymbol,reportingOwnerName,reportingOwnerRelationship,accessionNumber,transactionDate,transactionCode,transactionShares,transactionPricePerShare,sharesOwnedFollowingTransaction,directOrIndirectOwnership,transactionType,securityTitle,underlyingSecurityTitle,underlyingSecurityShares,exercisePrice,expirationDate
91440,2016-02-01,SNA,FIEDLER JOHN F,,0001127602-16-038784,2016-01-29,A,65.0,161.56,10606.0,D,,,,,,
91440,2016-02-01,SNA,HOLDEN JAMES P,,0001127602-16-038774,2016-01-29,A,65.0,161.56,15599.1397,D,,,,,,
91440,2016-02-01,SNA,Daniel Karen L,,0001127602-16-038770,2016-01-29,A,26.0,161.56,10571.0,D,,,,,,
91440,2016-02-16,SNA,Boyd Iain,,0001127602-16-041425,2016-02-11,M,2577.0,,12303.4271,D,,,,,,
91440,2016-02-16,SNA,Banerjee Anup R,,0001127602-16-041423,2016-02-11,M,63.0,,63.0,D,,,,,,
91440,2016-02-16,SNA,PINCHUK NICHOLAS T,,0001127602-16-041448,2016-02-11,F,11777.0,138.03,295364.2776,D,,,,,,
91440,2016-02-16,SNA,Pagliari Aldo John,,0001127602-16-041443,2016-02-11,M,5838.0,,39149.5095,D,,,,,,
91440,2016-02-16,SNA,Pagliari Aldo John,,0001127602-16-041443,2016-02-11,F,2896.0,138.03,36253.5095,D,,,,,,
91440,2016-02-16,SNA,Pagliari Aldo John,,0001127602-16-041443,2016-02-12,S,57.0,140.3,36196.5095,D,,,,,,
91440,2016-02-16,SNA,Johnsen Constance,,0001127602-16-041429,2016-02-11,F,35.0,138.03,1937.0,D,,,,,,
91440,2016-02-16,SNA,MORENO JEANNE M,,0001127602-16-041433,2016-02-11,F,827.0,138.03,11444.077,D,,,,,,
91440,2016-02-16,SNA,Boyd Iain,,0001127602-16-041425,2016-02-11,F,902.0,138.03,11401.4271,D,,,,,,
91440,2016-02-16,SNA,KASSOUF THOMAS L.,,0001127602-16-041431,2016-02-11,M,6845.0,,32008.0,D,,,,,,
91440,2016-02-16,SNA,Banerjee Anup R,,0001127602-16-041423,2016-02-11,F,63.0,138.03,0.0,D,,,,,,
91440,2016-02-16,SNA,KASSOUF THOMAS L.,,0001127602-16-041431,2016-02-11,F,3396.0,138.03,28612.0,D,,,,,,
91440,2016-02-16,SNA,Johnsen Constance,,0001127602-16-041429,2016-02-11,M,35.0,,1972.0,D,,,,,,
91440,2016-02-16,SNA,PINCHUK NICHOLAS T,,0001127602-16-041448,2016-02-11,M,25770.0,,307141.2776,D,,,,,,
91440,2016-02-16,SNA,MORENO JEANNE M,,0001127602-16-041433,2016-02-11,M,2658.0,,12271.077,D,,,,,,
91440,2016-02-16,SNA,Shur Irwin M,,0001127602-16-041453,2016-02-11,M,61.0,,9074.0,D,,,,,,
91440,2016-02-16,SNA,JONES NATHAN J,,0001127602-16-041470,2016-02-11,A,825.0,,3220.0,D,,,,,,
91440,2016-02-16,SNA,HOLDEN JAMES P,,0001127602-16-041466,2016-02-11,A,825.0,,16424.1397,D,,,,,,
91440,2016-02-16,SNA,Daniel Karen L,,0001127602-16-041457,2016-02-11,A,825.0,,11396.0,D,,,,,,
91440,2016-02-16,SNA,Ward Thomas J,,0001127602-16-041501,2016-02-11,M,8859.0,,52433.8342,D,,,,,,
91440,2016-02-16,SNA,Ward Thomas J,,0001127602-16-041501,2016-02-11,F,4049.0,138.03,48384.8342,D,,,,,,
91440,2016-02-16,SNA,Ward Thomas J,,0001127602-16-041501,2016-02-16,S,10965.0,141.6598,37419.8342,D,,,,,,
91440,2016-02-16,SNA,STEBBINS DONALD J,,0001127602-16-041495,2016-02-11,A,825.0,,1785.0,D,,,,,,
91440,2016-02-16,SNA,Sherrill Gregg M,,0001127602-16-041489,2016-02-11,A,825.0,,4577.9683,D,,,,,,
91440,2016-02-16,SNA,JONES NATHAN J,,0001127602-16-041470,2016-02-16,S,960.0,142.62,2260.0,D,,,,,,
91440,2016-02-16,SNA,LEHMAN WILLIAM DUDLEY,,0001127602-16-041484,2016-02-11,A,825.0,,8881.0,D,,,,,,
91440,2016-02-16,SNA,GILLIS RUTH ANN M,,0001127602-16-041463,2016-02-11,A,825.0,,3306.1327,D,,,,,,
91440,2016-02-16,SNA,Shur Irwin M,,0001127602-16-041453,2016-02-11,F,61.0,138.03,9013.0,D,,,,,,
91440,2016-02-16,SNA,LEHMAN WILLIAM DUDLEY,,0001127602-16-041484,2016-02-16,S,480.0,142.4938,8401.0,D,,,,,,
91440,2016-02-16,SNA,KNUEPPEL HENRY W,,0001127602-16-041472,2016-02-11,A,825.0,,5677.0,D,,,,,,
91440,2016-02-18,SNA,STEBBINS DONALD J,,0001127602-16-042279,2016-02-18,P,1500.0,144.8799,3285.0,D,,,,,,
91440,2016-02-19,SNA,Boyd Iain,,0001127602-16-042492,2016-02-19,S,1455.0,145.0,9946.4271,D,,,,,,
91440,2016-02-23,SNA,Pagliari Aldo John,,0001127602-16-043045,2016-02-22,S,6480.0,146.7662,36196.5095,D,,,,,,
