cik,filingDate,issuerTradingSymbol,reportingOwnerName,reportingOwnerRelationship,accessionNumber,transactionDate,transactionCode,transactionShares,transactionPricePerShare,sharesOwnedFollowingTransaction,directOrIndirectOwnership,transactionType,securityTitle,underlyingSecurityTitle,underlyingSecurityShares,exercisePrice,expirationDate
883241,2016-02-22,SNPS,CHAN CHI-FOON,,0001199719-16-000105,2016-02-19,S,2000.0,44.0196,197738,D,,,,,,
883241,2016-03-01,SNPS,RUNKEL JOHN F JR,,0001199719-16-000118,2016-02-29,J,216.0,34.6715,5109,D,,,,,,
883241,2016-03-01,SNPS,Pham Trac,,0001199719-16-000117,2016-02-29,J,197.0,38.0375,6906,D,,,,,,
883241,2016-03-01,SNPS,Kankanwadi Sudhindra,,0001199719-16-000116,2016-02-29,J,216.0,34.6715,2415,D,,,,,,
883241,2016-03-01,SNPS,DE GEUS AART,,0001199719-16-000115,2016-02-29,J,197.0,38.0375,689760,D,,,,,,
883241,2016-03-01,SNPS,CHAN CHI-FOON,,0001199719-16-000114,2016-02-29,J,197.0,38.0375,197935,D,,,,,,
883241,2016-03-01,SNPS,BEATTIE BRIAN M,,0001199719-16-000113,2016-02-29,J,197.0,38.0375,34427,D,,,,,,
883241,2016-03-17,SNPS,Kankanwadi Sudhindra,,0001594376-16-000002,2016-03-15,F,164.0,46.41,2251,D,,,,,,
883241,2016-03-17,SNPS,Kankanwadi Sudhindra,,0001594376-16-000002,2016-03-15,M,375.0,0.0,2626,D,,,,,,
883241,2016-03-21,SNPS,CHAN CHI-FOON,,0001594376-16-000004,2016-03-18,M,35000.0,27.65,232935,D,,,,,,
883241,2016-03-21,SNPS,CHAN CHI-FOON,,0001594376-16-000004,2016-03-18,S,35000.0,47.5211,197935,D,,,,,,
883241,2016-03-30,SNPS,COLEMAN DEBORAH A,,0001199719-16-000130,2016-03-29,A,2589.0,0.0,48019,D,,,,,,
883241,2016-03-30,SNPS,CASTINO ALFRED,,0001199719-16-000127,2016-03-29,A,2589.0,0.0,42982,D,,,,,,
883241,2016-03-30,SNPS,CHAFFIN JANICE,,0001199719-16-000128,2016-03-29,A,2589.0,0.0,5279,D,,,,,,
883241,2016-03-30,SNPS,CHIZEN BRUCE R,,0001199719-16-000129,2016-03-29,A,2589.0,0.0,30819,D,,,,,,
883241,2016-03-30,SNPS,VALLEE ROY,,0001199719-16-000133,2016-03-29,A,2589.0,0.0,57819,D,,,,,,
883241,2016-03-30,SNPS,WALSKE STEVEN,,0001199719-16-000134,2016-03-29,A,2589.0,0.0,26154,D,,,,,,
883241,2016-03-30,SNPS,Nikias Chrysostomos L,,0001199719-16-000131,2016-03-29,A,2589.0,0.0,17866,D,,,,,,
883241,2016-03-30,SNPS,SCHWARZ JOHN,,0001199719-16-000132,2016-03-29,A,2589.0,0.0,38367,D,,,,,,
883241,2016-05-20,SNPS,CHAN CHI-FOON,,0001594376-16-000006,2016-05-20,S,2000.0,49.6525,195935,D,,,,,,
883241,2016-05-27,SNPS,COLEMAN DEBORAH A,,0001594376-16-000008,2016-05-27,S,2000.0,51.6373,46019,D,,,,,,
883241,2016-06-03,SNPS,RUNKEL JOHN F JR,,0001594376-16-000010,2016-06-02,M,15000.0,39.09,20109,D,,,,,,
883241,2016-06-03,SNPS,RUNKEL JOHN F JR,,0001594376-16-000010,2016-06-02,S,15000.0,52.3439,5109,D,,,,,,
883241,2016-06-10,SNPS,CASTINO ALFRED,,0001199719-16-000136,2016-06-09,S,5000.0,53.2372,37982,D,,,,,,
883241,2016-06-13,SNPS,BEATTIE BRIAN M,,0001199719-16-000138,2016-06-10,M,25700.0,27.65,60127,D,,,,,,
883241,2016-06-13,SNPS,BEATTIE BRIAN M,,0001199719-16-000138,2016-06-10,S,25700.0,52.5114,34427,D,,,,,,
883241,2016-06-14,SNPS,BEATTIE BRIAN M,,0001199719-16-000140,2016-06-14,S,5701.0,52.1164,34427,D,,,,,,
883241,2016-06-14,SNPS,BEATTIE BRIAN M,,0001199719-16-000140,2016-06-14,M,5701.0,27.65,40128,D,,,,,,
883241,2016-06-14,SNPS,BEATTIE BRIAN M,,0001199719-16-000140,2016-06-13,S,2427.0,52.3025,34427,D,,,,,,
883241,2016-06-14,SNPS,BEATTIE BRIAN M,,0001199719-16-000140,2016-06-13,M,2427.0,27.65,36854,D,,,,,,
883241,2016-06-17,SNPS,Kankanwadi Sudhindra,,0001594376-16-000016,2016-06-15,M,300.0,0.0,2926,D,,,,,,
883241,2016-06-17,SNPS,Kankanwadi Sudhindra,,0001594376-16-000016,2016-06-15,F,111.0,52.53,4144,D,,,,,,
883241,2016-06-17,SNPS,Pham Trac,,0001594376-16-000014,2016-06-15,M,1750.0,0.0,8656,D,,,,,,
883241,2016-06-17,SNPS,Pham Trac,,0001594376-16-000014,2016-06-15,F,654.0,52.53,10816,D,,,,,,
883241,2016-06-17,SNPS,RUNKEL JOHN F JR,,0001594376-16-000012,2016-06-15,M,5000.0,0.0,10109,D,,,,,,
883241,2016-06-17,SNPS,RUNKEL JOHN F JR,,0001594376-16-000012,2016-06-15,F,1880.0,52.53,8229,D,,,,,,
883241,2016-06-20,SNPS,COLEMAN DEBORAH A,,0001594376-16-000018,2016-06-20,S,2000.0,53.304,44019,D,,,,,,
883241,2016-08-22,SNPS,DE GEUS AART,,0001199719-16-000142,2016-08-22,S,41266.0,58.5695,1057,D,,,,,,
883241,2016-08-22,SNPS,CHAN CHI-FOON,,0001594376-16-000020,2016-08-19,S,2000.0,58.225,193935,D,,,,,,
883241,2016-08-22,SNPS,DE GEUS AART,,0001199719-16-000142,2016-08-19,S,158734.0,58.3566,1057,D,,,,,,
883241,2016-08-22,SNPS,DE GEUS AART,,0001199719-16-000142,2016-08-19,M,158734.0,26.56,159791,D,,,,,,
883241,2016-08-22,SNPS,DE GEUS AART,,0001199719-16-000142,2016-08-22,M,41266.0,26.56,42323,D,,,,,,
883241,2016-08-23,SNPS,Kankanwadi Sudhindra,,0001199719-16-000144,2016-08-22,M,499.0,29.89,4148,D,,,,,,
883241,2016-08-23,SNPS,Kankanwadi Sudhindra,,0001199719-16-000144,2016-08-22,S,499.0,58.5543,3649,D,,,,,,
883241,2016-08-24,SNPS,RUNKEL JOHN F JR,,0001199719-16-000146,2016-08-23,M,10000.0,39.09,18229,D,,,,,,
883241,2016-08-24,SNPS,RUNKEL JOHN F JR,,0001199719-16-000146,2016-08-23,S,10000.0,58.8689,8229,D,,,,,,
883241,2016-09-01,SNPS,BEATTIE BRIAN M,,0001199719-16-000148,2016-08-30,M,40073.0,32.38,74500,D,,,,,,
