cik,filingDate,issuerTradingSymbol,reportingOwnerName,reportingOwnerRelationship,accessionNumber,transactionDate,transactionCode,transactionShares,transactionPricePerShare,sharesOwnedFollowingTransaction,directOrIndirectOwnership,transactionType,securityTitle,underlyingSecurityTitle,underlyingSecurityShares,exercisePrice,expirationDate
1818874,2021-06-02,SOFI,YESIL MAGDALENA,,0001104659-21-076009,2021-05-28,A,348560.0,,348560.0,D,,,,,,
1818874,2021-06-02,SOFI,Trieu Steven,,0001104659-21-075801,2021-05-28,A,240000.0,10.0,240000.0,I,,,,,,
1818874,2021-06-02,SOFI,Osborne Ian,,0001104659-21-075802,2021-05-28,M,19925000.0,,19925000.0,I,,,,,,
1818874,2021-06-02,SOFI,Freiberg Steven J,,0001104659-21-075991,2021-05-28,A,453563.0,,453560.0,D,,,,,,
1818874,2021-06-02,SOFI,SOFTBANK GROUP CORP,,0001062993-21-005315,2021-05-28,D,15000000.0,10.0,53111494.0,I,,,,,,
1818874,2021-06-02,SOFI,Palihapitiya Chamath,,0001104659-21-075805,2021-05-28,A,13100000.0,10.0,13100000.0,I,,,,,,
1818874,2021-06-02,SOFI,"Silver Lake Group, L.L.C.",,0000899243-21-021640,2021-05-28,A,37883895.0,,37883895.0,I,,,,,,
1818874,2021-06-02,SOFI,Palihapitiya Chamath,,0001104659-21-075805,2021-05-28,M,19925000.0,,19925000.0,I,,,,,,
1818874,2021-06-02,SOFI,SOFTBANK GROUP CORP,,0001062993-21-005315,2021-05-28,A,68111494.0,,68111494.0,I,,,,,,
1818874,2021-06-02,SOFI,Gill Michelle,,0001104659-21-075992,2021-05-28,A,1181940.0,,1181940.0,D,,,,,,
1818874,2021-06-02,SOFI,Heavener Micah,,0001104659-21-075993,2021-05-28,A,99996.0,,99996.0,D,,,,,,
1818874,2021-06-02,SOFI,Osborne Ian,,0001104659-21-075802,2021-05-28,A,12000000.0,10.0,12000000.0,I,,,,,,
