cik,filingDate,issuerTradingSymbol,reportingOwnerName,reportingOwnerRelationship,accessionNumber,transactionDate,transactionCode,transactionShares,transactionPricePerShare,sharesOwnedFollowingTransaction,directOrIndirectOwnership,transactionType,securityTitle,underlyingSecurityTitle,underlyingSecurityShares,exercisePrice,expirationDate
1063761,2016-03-22,SPG,CONTIS DAVID J,,0001179110-16-022053,2016-03-21,S,11000.0,202.6299,15163.0,D,,,,,,
1063761,2016-04-14,SPG,McDade Brian J.,,0001179110-16-023034,2016-04-01,A,1225.0,,3747.0,D,,,,,,
1063761,2016-04-14,SPG,McDade Brian J.,,0001179110-16-023034,2016-04-01,F,181.0,207.69,3566.0,D,,,,,,
1063761,2016-04-14,SPG,Broadwater Steven K.,,0001179110-16-023032,2016-04-01,A,1470.0,,3910.0,D,,,,,,
1063761,2016-04-28,SPG,HUBBARD ALLAN B,,0001179110-16-023388,2016-04-28,P,136.0,204.92,8809.0,D,,,,,,
1063761,2016-05-13,SPG,HUBBARD ALLAN B,,0001179110-16-024557,2016-05-11,A,790.0,,9599.0,D,,,,,,
1063761,2016-05-13,SPG,Aeppel Glyn,,0001179110-16-024548,2016-05-11,A,728.0,,728.0,D,,,,,,
1063761,2016-05-13,SPG,SMITH J ALBERT JR,,0001179110-16-024544,2016-05-11,A,850.0,,36803.0,D,,,,,,
1063761,2016-05-13,SPG,Smith Daniel C.,,0001179110-16-024543,2016-05-11,A,790.0,,9104.0,D,,,,,,
1063761,2016-05-13,SPG,HORN KAREN N,,0001179110-16-024542,2016-05-11,A,789.0,,15670.0,D,,,,,,
1063761,2016-05-13,SPG,GLASSCOCK LARRY C,,0001179110-16-024541,2016-05-11,A,912.0,,9277.0,D,,,,,,
1063761,2016-05-13,SPG,RODKIN GARY M,,0001179110-16-024540,2016-05-11,A,728.0,,1421.0,D,,,,,,
1063761,2016-05-13,SPG,LEIBOWITZ REUBEN S,,0001179110-16-024539,2016-05-11,A,850.0,,31218.0,D,,,,,,
1063761,2016-08-29,SPG,JUSTER ANDREW,,0001179110-16-029060,2016-08-29,S,2220.0,215.75,7188.0,D,,,,,,
1063761,2016-09-06,SPG,Broadwater Steven K.,,0001179110-16-029308,2016-09-01,S,945.0,215.41,2965.0,D,,,,,,
1063761,2016-12-07,SPG,JUSTER ANDREW,,0001179110-16-032517,2016-12-06,G,588.0,0.0,6600.0,D,,,,,,
1063761,2016-12-15,SPG,SOKOLOV RICHARD S,,0001179110-16-032973,2016-12-14,G,2746.0,0.0,341660.0,D,,,,,,
1063761,2017-03-30,SPG,LEIBOWITZ REUBEN S,,0001179110-17-005245,2017-03-28,P,1400.0,166.0,1400.0,I,,,,,,
1063761,2017-04-04,SPG,Snyder Alexander L.W.,,0001179110-17-005552,2017-04-01,A,891.0,,891.0,D,,,,,,
1063761,2017-04-04,SPG,McDade Brian J.,,0001179110-17-005505,2017-04-01,A,743.0,,4334.0,D,,,,,,
1063761,2017-04-04,SPG,McDade Brian J.,,0001179110-17-005505,2017-04-01,F,211.0,172.03,4123.0,D,,,,,,
1063761,2017-04-04,SPG,Broadwater Steven K.,,0001179110-17-005498,2017-04-01,A,891.0,,3199.0,D,,,,,,
1063761,2017-04-04,SPG,Broadwater Steven K.,,0001179110-17-005498,2017-04-01,F,288.0,172.03,2911.0,D,,,,,,
1063761,2017-05-11,SPG,GLASSCOCK LARRY C,,0001179110-17-007065,2017-05-10,A,1109.0,,10654.0,D,,,,,,
1063761,2017-05-11,SPG,HUBBARD ALLAN B,,0001179110-17-007064,2017-05-10,A,961.0,,10960.0,D,,,,,,
1063761,2017-05-11,SPG,LEIBOWITZ REUBEN S,,0001179110-17-007061,2017-05-10,A,1035.0,,30313.0,D,,,,,,
1063761,2017-05-11,SPG,Aeppel Glyn,,0001179110-17-007059,2017-05-10,A,916.0,,1656.0,D,,,,,,
1063761,2017-05-11,SPG,RODKIN GARY M,,0001179110-17-007058,2017-05-10,A,916.0,,2385.0,D,,,,,,
1063761,2017-05-11,SPG,HORN KAREN N,,0001179110-17-007057,2017-05-10,A,961.0,,17296.0,D,,,,,,
1063761,2017-05-11,SPG,Smith Daniel C.,,0001179110-17-007056,2017-05-10,A,931.0,,10344.0,D,,,,,,
1063761,2017-05-11,SPG,SMITH J ALBERT JR,,0001179110-17-007055,2017-05-10,A,1035.0,,38737.0,D,,,,,,
1063761,2017-11-13,SPG,SELIG STEFAN M,,0001179110-17-014040,2017-11-10,A,486.0,,486.0,D,,,,,,
1063761,2017-12-18,SPG,SOKOLOV RICHARD S,,0001179110-17-015524,2017-12-15,G,4000.0,0.0,337081.0,D,,,,,,
1063761,2018-01-02,SPG,Broadwater Steven K.,,0001179110-18-000057,2017-12-29,S,621.0,171.95,2290.0,D,,,,,,
1063761,2018-02-13,SPG,STEWART MARTA R,,0001179110-18-001994,2018-02-12,A,236.0,,236.0,D,,,,,,
1063761,2018-04-04,SPG,Broadwater Steven K.,,0001179110-18-005372,2018-04-02,A,650.0,,2940.0,D,,,,,,
1063761,2018-04-04,SPG,Broadwater Steven K.,,0001179110-18-005372,2018-04-02,F,334.0,154.35,2606.0,D,,,,,,
1063761,2018-04-04,SPG,Snyder Alexander L.W.,,0001179110-18-005371,2018-04-02,A,1462.0,,2353.0,D,,,,,,
1063761,2018-04-04,SPG,McDade Brian J.,,0001179110-18-005370,2018-04-02,A,650.0,,4773.0,D,,,,,,
1063761,2018-04-04,SPG,McDade Brian J.,,0001179110-18-005370,2018-04-02,F,253.0,154.35,4520.0,D,,,,,,
1063761,2018-04-10,SPG,McDade Brian J.,,0001179110-18-005548,2018-04-09,F,8.0,154.1,4512.0,D,,,,,,
1063761,2018-04-10,SPG,Broadwater Steven K.,,0001179110-18-005547,2018-04-09,F,13.0,154.1,2593.0,D,,,,,,
1063761,2018-05-10,SPG,Aeppel Glyn,,0001179110-18-006522,2018-05-08,A,1174.0,,2896.0,D,,,,,,
1063761,2018-05-10,SPG,GLASSCOCK LARRY C,,0001179110-18-006523,2018-05-08,A,1386.0,,12400.0,D,,,,,,
1063761,2018-05-10,SPG,HORN KAREN N,,0001179110-18-006524,2018-05-08,A,1223.0,,19329.0,D,,,,,,
1063761,2018-05-10,SPG,HUBBARD ALLAN B,,0001179110-18-006525,2018-05-08,A,1223.0,,12690.0,D,,,,,,
1063761,2018-05-10,SPG,LEIBOWITZ REUBEN S,,0001179110-18-006526,2018-05-08,A,1305.0,,32309.0,D,,,,,,
1063761,2018-05-10,SPG,SELIG STEFAN M,,0001179110-18-006528,2018-05-08,A,1240.0,,1732.0,D,,,,,,
1063761,2018-05-10,SPG,SMITH J ALBERT JR,,0001179110-18-006530,2018-05-08,A,1305.0,,41124.0,D,,,,,,
1063761,2018-05-10,SPG,STEWART MARTA R,,0001179110-18-006531,2018-05-08,A,1191.0,,1427.0,D,,,,,,
1063761,2018-05-10,SPG,Smith Daniel C.,,0001179110-18-006533,2018-05-08,A,1191.0,,11933.0,D,,,,,,
1063761,2018-05-10,SPG,RODKIN GARY M,,0001179110-18-006527,2018-05-08,A,1174.0,,3659.0,D,,,,,,
1063761,2018-07-03,SPG,Broadwater Steven K.,,0001179110-18-009320,2018-06-29,S,859.0,170.28,1734.0,D,,,,,,
1063761,2018-08-08,SPG,RULLI JOHN,,0001179110-18-010391,2018-08-06,S,1330.0,177.05,44806.0,D,,,,,,
1063761,2018-10-31,SPG,RULLI JOHN,,0001179110-18-012412,2018-10-30,S,6000.0,186.52,38806.0,D,,,,,,
