cik,filingDate,issuerTradingSymbol,reportingOwnerName,reportingOwnerRelationship,accessionNumber,transactionDate,transactionCode,transactionShares,transactionPricePerShare,sharesOwnedFollowingTransaction,directOrIndirectOwnership,transactionType,securityTitle,underlyingSecurityTitle,underlyingSecurityShares,exercisePrice,expirationDate
1032208,2018-10-26,SRE,Walker Cynthia Lynn,,0001228379-18-000095,2018-10-25,A,1565.0,0.0,1565.0,D,,,,,,
1032208,2018-11-13,SRE,MIHALIK TREVOR I,,0001228379-18-000099,2018-11-09,S,4744.0,116.97,15718.56,D,,,,,,
1032208,2018-11-13,SRE,Martin Jeffrey W,,0001228379-18-000098,2018-11-09,S,5705.0,117.58,29660.17,D,,,,,,
1032208,2018-11-13,SRE,REED DEBRA L,,0001228379-18-000097,2018-11-09,M,17400.0,55.9,145255.91,D,,,,,,
1032208,2018-11-13,SRE,REED DEBRA L,,0001228379-18-000097,2018-11-09,S,23400.0,117.11,131755.91,D,,,,,,
1032208,2018-11-27,SRE,Mayer Bethany,,0001228379-18-000102,2018-11-26,A,13389.0,0.0,13389.0,D,,,,,,
1032208,2018-12-03,SRE,HOUSEHOLDER JOSEPH A,,0001228379-18-000103,2018-11-30,M,11600.0,55.9,95527.15,D,,,,,,
1032208,2018-12-03,SRE,HOUSEHOLDER JOSEPH A,,0001228379-18-000103,2018-11-30,S,11600.0,115.14,83927.15,D,,,,,,
1032208,2018-12-13,SRE,ARRIOLA DENNIS V,,0001228379-18-000104,2018-12-13,G,4.0,0.0,22008.16,D,,,,,,
1032208,2019-01-03,SRE,ROWLAND G JOYCE,,0001228379-19-000015,2019-01-02,A,9721.0,0.0,12439.04,D,,,,,,
1032208,2019-01-03,SRE,WALL PETER R,,0001228379-19-000014,2019-01-02,A,742.0,0.0,4501.42,D,,,,,,
1032208,2019-01-03,SRE,WALL PETER R,,0001228379-19-000014,2019-01-02,F,661.99,106.76,3839.43,D,,,,,,
1032208,2019-01-03,SRE,SCHENK LYNN,,0001228379-19-000010,2019-01-02,S,5000.0,107.09,11306.03,D,,,,,,
1032208,2019-01-04,SRE,Mayer Bethany,,0001228379-19-000018,2019-01-02,D,1432.82,107.36,13389.0,D,,,,,,
1032208,2019-01-04,SRE,Martin Jeffrey W,,0001228379-19-000016,2019-01-02,A,14051.0,0.0,43711.17,D,,,,,,
1032208,2019-01-04,SRE,HOUSEHOLDER JOSEPH A,,0001228379-19-000017,2019-01-02,A,11709.0,0.0,95636.15,D,,,,,,
1032208,2019-01-04,SRE,Mayer Bethany,,0001228379-19-000018,2019-01-02,A,4368.0,0.0,17757.0,D,,,,,,
1032208,2019-01-04,SRE,MIHALIK TREVOR I,,0001228379-19-000020,2019-01-02,F,1445.31,106.76,16191.25,D,,,,,,
1032208,2019-01-04,SRE,MIHALIK TREVOR I,,0001228379-19-000020,2019-01-02,A,1918.0,0.0,17636.56,D,,,,,,
1032208,2019-01-04,SRE,Mayer Bethany,,0001228379-19-000018,2019-01-02,M,1432.82,,14821.82,D,,,,,,
1032208,2019-01-04,SRE,ARRIOLA DENNIS V,,0001228379-19-000019,2019-01-02,A,12664.0,0.0,34672.16,D,,,,,,
1032208,2019-01-16,SRE,WALL PETER R,,0001228379-19-000023,2019-01-15,F,5.53,112.69,3850.19,D,,,,,,
1032208,2019-01-16,SRE,MIHALIK TREVOR I,,0001228379-19-000022,2019-01-15,F,11.53,112.69,16265.3,D,,,,,,
1032208,2019-01-25,SRE,WALL PETER R,,0001228379-19-000024,2019-01-24,S,1049.0,112.26,2814.72,D,,,,,,
1032208,2019-02-22,SRE,ARRIOLA DENNIS V,,0001228379-19-000025,2019-02-21,A,4701.27,0.0,39420.17,D,,,,,,
1032208,2019-02-22,SRE,HOUSEHOLDER JOSEPH A,,0001228379-19-000026,2019-02-21,A,8221.76,0.0,104081.92,D,,,,,,
1032208,2019-02-22,SRE,Martin Jeffrey W,,0001228379-19-000027,2019-02-21,F,1640.01,117.67,47051.74,D,,,,,,
1032208,2019-02-22,SRE,Martin Jeffrey W,,0001228379-19-000027,2019-02-21,A,4745.01,0.0,48691.74,D,,,,,,
1032208,2019-02-22,SRE,MIHALIK TREVOR I,,0001228379-19-000028,2019-02-21,F,930.57,117.67,18055.83,D,,,,,,
1032208,2019-02-22,SRE,ARRIOLA DENNIS V,,0001228379-19-000025,2019-02-21,F,1637.27,117.67,37782.9,D,,,,,,
1032208,2019-02-22,SRE,HOUSEHOLDER JOSEPH A,,0001228379-19-000026,2019-02-21,F,2840.76,117.67,101241.16,D,,,,,,
1032208,2019-02-22,SRE,WALL PETER R,,0001228379-19-000030,2019-02-21,A,634.13,0.0,3448.84,D,,,,,,
1032208,2019-02-22,SRE,WYRSCH MARTHA B,,0001228379-19-000031,2019-02-21,F,1753.27,117.67,22519.65,D,,,,,,
1032208,2019-02-22,SRE,MIHALIK TREVOR I,,0001228379-19-000028,2019-02-21,A,2689.57,0.0,18986.4,D,,,,,,
1032208,2019-02-22,SRE,WYRSCH MARTHA B,,0001228379-19-000031,2019-02-21,A,5029.27,0.0,24272.92,D,,,,,,
1032208,2019-02-22,SRE,ROWLAND G JOYCE,,0001228379-19-000029,2019-02-21,F,1302.42,117.67,14853.62,D,,,,,,
1032208,2019-02-22,SRE,ROWLAND G JOYCE,,0001228379-19-000029,2019-02-21,A,3695.42,0.0,16156.04,D,,,,,,
1032208,2019-02-22,SRE,WALL PETER R,,0001228379-19-000030,2019-02-21,F,220.13,117.67,3228.72,D,,,,,,
