cik,filingDate,issuerTradingSymbol,reportingOwnerName,reportingOwnerRelationship,accessionNumber,transactionDate,transactionCode,transactionShares,transactionPricePerShare,sharesOwnedFollowingTransaction,directOrIndirectOwnership,transactionType,securityTitle,underlyingSecurityTitle,underlyingSecurityShares,exercisePrice,expirationDate
1022671,2018-09-20,STLD,Graham Christopher A,,0001022671-18-000067,2018-09-19,S,10800,47.61,26087,D,,,,,,
1022671,2018-10-15,STLD,BYRNE FRANK D,,0001022671-18-000069,2018-10-12,A,126,0.0,69541,D,,,,,,
1022671,2018-10-15,STLD,Cornew Kenneth W.,,0001022671-18-000070,2018-10-12,A,12,0.0,11208,D,,,,,,
1022671,2018-10-15,STLD,DOLAN TRACI M,,0001022671-18-000071,2018-10-12,A,132,0.0,35289,D,,,,,,
1022671,2018-10-15,STLD,Seaman Bradley S,,0001022671-18-000073,2018-10-12,A,113,0.0,25098,D,,,,,,
1022671,2018-10-15,STLD,KOLB JURGEN DR,,0001022671-18-000072,2018-10-12,A,12,0.0,36499,D,,,,,,
1022671,2018-10-15,STLD,Shaheen Gabriel,,0001022671-18-000074,2018-10-12,A,204,0.0,53046,D,,,,,,
1022671,2018-10-15,STLD,TEETS RICHARD P JR,,0001022671-18-000075,2018-10-12,A,65,0.0,5002141,D,,,,,,
1022671,2018-10-15,STLD,MARCUCCILLI JAMES C,,0001022671-18-000076,2018-10-12,A,216,0.0,71154,D,,,,,,
1022671,2018-10-15,STLD,BUSSE KEITH E,,0001022671-18-000068,2018-10-12,A,12,0.0,1002653,D,,,,,,
1022671,2018-11-16,STLD,TEETS RICHARD P JR,,0001022671-18-000083,2018-11-15,A,638,0.0,5002779,D,,,,,,
1022671,2018-11-16,STLD,Sonnenberg Steven Alan,,0001022671-18-000082,2018-11-14,A,2421,0.0,2421,D,,,,,,
1022671,2018-11-16,STLD,BARGABOS SHEREE L,,0001022671-18-000081,2018-11-14,A,2421,0.0,2421,D,,,,,,
1022671,2018-11-26,STLD,MILLETT MARK D,,0001022671-18-000085,2018-11-21,A,2292,0.0,3221548,D,,,,,,
1022671,2018-11-26,STLD,Pushis Glenn,,0001022671-18-000086,2018-11-21,A,1376,0.0,66613,D,,,,,,
1022671,2018-11-26,STLD,Pushis Glenn,,0001022671-18-000086,2018-11-21,F,689,37.96,65924,D,,,,,,
1022671,2018-11-26,STLD,Graham Christopher A,,0001022671-18-000084,2018-11-21,F,694,37.96,26769,D,,,,,,
1022671,2018-11-26,STLD,MILLETT MARK D,,0001022671-18-000085,2018-11-21,F,1024,37.96,3220524,D,,,,,,
1022671,2018-11-26,STLD,Graham Christopher A,,0001022671-18-000084,2018-11-21,A,1376,0.0,27463,D,,,,,,
1022671,2018-11-26,STLD,Wagler Theresa E,,0001022671-18-000089,2018-11-21,A,1834,0.0,314685,D,,,,,,
1022671,2018-11-26,STLD,SCHNEIDER BARRY,,0001022671-18-000088,2018-11-21,F,689,37.96,62484,D,,,,,,
1022671,2018-11-26,STLD,Wagler Theresa E,,0001022671-18-000089,2018-11-21,F,919,37.96,313766,D,,,,,,
1022671,2018-11-26,STLD,RINN RUSSELL B,,0001022671-18-000087,2018-11-21,F,808,37.96,176023,D,,,,,,
1022671,2018-11-26,STLD,RINN RUSSELL B,,0001022671-18-000087,2018-11-21,A,1834,0.0,176831,D,,,,,,
1022671,2018-11-26,STLD,SCHNEIDER BARRY,,0001022671-18-000088,2018-11-21,A,1376,0.0,63173,D,,,,,,
1022671,2018-11-28,STLD,TEETS RICHARD P JR,,0001022671-18-000090,2018-11-28,P,20000,33.85,5022779,D,,,,,,
1022671,2019-01-15,STLD,BYRNE FRANK D,,0001022671-19-000003,2019-01-11,A,156,0.0,69697,D,,,,,,
1022671,2019-01-15,STLD,Sonnenberg Steven Alan,,0001022671-19-000010,2019-01-11,A,14,0.0,2435,D,,,,,,
1022671,2019-01-15,STLD,Cornew Kenneth W.,,0001022671-19-000004,2019-01-11,A,15,0.0,11223,D,,,,,,
1022671,2019-01-15,STLD,BUSSE KEITH E,,0001022671-19-000002,2019-01-11,A,15,0.0,1002668,D,,,,,,
1022671,2019-01-15,STLD,DOLAN TRACI M,,0001022671-19-000005,2019-01-11,A,167,0.0,35456,D,,,,,,
1022671,2019-01-15,STLD,KOLB JURGEN DR,,0001022671-19-000006,2019-01-11,A,15,0.0,36514,D,,,,,,
1022671,2019-01-15,STLD,MARCUCCILLI JAMES C,,0001022671-19-000007,2019-01-11,A,273,0.0,71427,D,,,,,,
1022671,2019-01-15,STLD,Shaheen Gabriel,,0001022671-19-000009,2019-01-11,A,259,0.0,53305,D,,,,,,
1022671,2019-01-15,STLD,TEETS RICHARD P JR,,0001022671-19-000011,2019-01-11,A,87,0.0,5022866,D,,,,,,
1022671,2019-01-15,STLD,Seaman Bradley S,,0001022671-19-000008,2019-01-11,A,143,0.0,25241,D,,,,,,
1022671,2019-01-15,STLD,BARGABOS SHEREE L,,0001022671-19-000001,2019-01-11,A,14,0.0,2435,D,,,,,,
1022671,2019-02-04,STLD,Pushis Glenn,,0001022671-19-000014,2019-02-01,A,12982,0.0,78906,D,,,,,,
1022671,2019-02-04,STLD,Graham Christopher A,,0001022671-19-000012,2019-02-01,F,1750,36.59,26195,D,,,,,,
1022671,2019-02-04,STLD,Graham Christopher A,,0001022671-19-000012,2019-02-01,A,1176,0.0,27945,D,,,,,,
1022671,2019-02-04,STLD,MILLETT MARK D,,0001022671-19-000013,2019-02-01,F,12940,36.59,3222616,D,,,,,,
1022671,2019-02-04,STLD,MILLETT MARK D,,0001022671-19-000013,2019-02-01,A,34163,0.0,3235556,D,,,,,,
1022671,2019-02-04,STLD,Pushis Glenn,,0001022671-19-000014,2019-02-01,F,3977,36.59,74929,D,,,,,,
1022671,2019-02-04,STLD,SCHNEIDER BARRY,,0001022671-19-000016,2019-02-01,F,5451,36.59,70015,D,,,,,,
1022671,2019-02-04,STLD,SCHNEIDER BARRY,,0001022671-19-000016,2019-02-01,A,12982,0.0,75466,D,,,,,,
1022671,2019-02-04,STLD,Wagler Theresa E,,0001022671-19-000017,2019-02-01,F,7081,36.59,324313,D,,,,,,
1022671,2019-02-04,STLD,Wagler Theresa E,,0001022671-19-000017,2019-02-01,A,17628,0.0,331394,D,,,,,,
1022671,2019-02-04,STLD,RINN RUSSELL B,,0001022671-19-000015,2019-02-01,F,4535,36.59,185731,D,,,,,,
1022671,2019-02-04,STLD,RINN RUSSELL B,,0001022671-19-000015,2019-02-01,A,14243,0.0,190266,D,,,,,,
1022671,2019-02-07,STLD,MILLETT MARK D,,0001022671-19-000018,2019-02-05,G,3200,0.0,3219416,D,,,,,,
1022671,2019-02-14,STLD,TEETS RICHARD P JR,,0001022671-19-000032,2019-02-12,A,691,0.0,5023557,D,,,,,,
1022671,2019-03-15,STLD,MILLETT MARK D,,0001022671-19-000034,2019-03-15,F,58678,34.66,3331347,D,,,,,,
1022671,2019-03-15,STLD,MILLETT MARK D,,0001022671-19-000034,2019-03-15,A,170609,0.0,3390025,D,,,,,,
1022671,2019-03-15,STLD,Graham Christopher A,,0001022671-19-000033,2019-03-15,F,4830,34.66,35318,D,,,,,,
1022671,2019-03-15,STLD,Graham Christopher A,,0001022671-19-000033,2019-03-15,A,13953,0.0,40148,D,,,,,,
1022671,2019-03-15,STLD,Pushis Glenn,,0001022671-19-000035,2019-03-15,A,16482,0.0,91411,D,,,,,,
1022671,2019-03-15,STLD,Pushis Glenn,,0001022671-19-000035,2019-03-15,F,3953,34.66,87458,D,,,,,,
1022671,2019-03-15,STLD,RINN RUSSELL B,,0001022671-19-000036,2019-03-15,A,57433,0.0,243164,D,,,,,,
1022671,2019-03-15,STLD,RINN RUSSELL B,,0001022671-19-000036,2019-03-15,F,22705,34.66,220459,D,,,,,,
1022671,2019-03-15,STLD,SCHNEIDER BARRY,,0001022671-19-000037,2019-03-15,A,15778,0.0,85793,D,,,,,,
1022671,2019-03-15,STLD,Wagler Theresa E,,0001022671-19-000038,2019-03-15,F,25283,34.66,364346,D,,,,,,
1022671,2019-03-15,STLD,Wagler Theresa E,,0001022671-19-000038,2019-03-15,A,65316,0.0,389629,D,,,,,,
1022671,2019-03-15,STLD,SCHNEIDER BARRY,,0001022671-19-000037,2019-03-15,F,3850,34.66,81943,D,,,,,,
1022671,2019-04-16,STLD,BARGABOS SHEREE L,,0001022671-19-000039,2019-04-12,A,18,0.0,2453,D,,,,,,
1022671,2019-04-16,STLD,BUSSE KEITH E,,0001022671-19-000040,2019-04-12,A,19,0.0,1002687,D,,,,,,
1022671,2019-04-16,STLD,BYRNE FRANK D,,0001022671-19-000041,2019-04-12,A,199,0.0,69896,D,,,,,,
1022671,2019-04-16,STLD,Cornew Kenneth W.,,0001022671-19-000042,2019-04-12,A,19,0.0,11242,D,,,,,,
1022671,2019-04-16,STLD,DOLAN TRACI M,,0001022671-19-000043,2019-04-12,A,212,0.0,35668,D,,,,,,
1022671,2019-04-16,STLD,KOLB JURGEN DR,,0001022671-19-000044,2019-04-12,A,19,0.0,36533,D,,,,,,
1022671,2019-04-16,STLD,MARCUCCILLI JAMES C,,0001022671-19-000045,2019-04-12,A,347,0.0,71774,D,,,,,,
1022671,2019-04-16,STLD,Seaman Bradley S,,0001022671-19-000046,2019-04-12,A,182,0.0,25423,D,,,,,,
1022671,2019-04-16,STLD,Shaheen Gabriel,,0001022671-19-000047,2019-04-12,A,330,0.0,53635,D,,,,,,
1022671,2019-04-16,STLD,Sonnenberg Steven Alan,,0001022671-19-000048,2019-04-12,A,18,0.0,2453,D,,,,,,
1022671,2019-04-16,STLD,TEETS RICHARD P JR,,0001022671-19-000049,2019-04-12,A,115,0.0,5023672,D,,,,,,
1022671,2019-05-17,STLD,TEETS RICHARD P JR,,0001022671-19-000050,2019-05-16,A,805,0.0,5024477,D,,,,,,
1022671,2019-05-28,STLD,Shaheen Gabriel,,0001022671-19-000051,2019-05-24,P,5000,27.03,58635,D,,,,,,
1022671,2019-06-04,STLD,RINN RUSSELL B,,0001022671-19-000052,2019-05-31,P,2000,25.58,2000,I,,,,,,
1022671,2019-06-05,STLD,BUSSE KEITH E,,0001022671-19-000054,2019-06-03,A,5169,0.0,1007856,D,,,,,,
1022671,2019-06-05,STLD,BYRNE FRANK D,,0001022671-19-000055,2019-06-03,A,5169,0.0,75065,D,,,,,,
1022671,2019-06-05,STLD,Cornew Kenneth W.,,0001022671-19-000056,2019-06-03,A,5169,0.0,16411,D,,,,,,
1022671,2019-06-05,STLD,DOLAN TRACI M,,0001022671-19-000057,2019-06-03,A,5169,0.0,40837,D,,,,,,
1022671,2019-06-05,STLD,BARGABOS SHEREE L,,0001022671-19-000053,2019-06-03,A,5169,0.0,7622,D,,,,,,
1022671,2019-06-05,STLD,Seaman Bradley S,,0001022671-19-000059,2019-06-03,A,5169,0.0,30592,D,,,,,,
1022671,2019-06-05,STLD,Shaheen Gabriel,,0001022671-19-000060,2019-06-03,A,5169,0.0,63804,D,,,,,,
1022671,2019-06-05,STLD,Sonnenberg Steven Alan,,0001022671-19-000061,2019-06-03,A,5169,0.0,7622,D,,,,,,
1022671,2019-06-05,STLD,TEETS RICHARD P JR,,0001022671-19-000062,2019-06-03,A,5169,0.0,5029646,D,,,,,,
1022671,2019-06-05,STLD,MARCUCCILLI JAMES C,,0001022671-19-000058,2019-06-03,A,5169,0.0,76943,D,,,,,,
1022671,2019-06-07,STLD,Pushis Glenn,,0001022671-19-000063,2019-06-05,P,3831,26.1,91289,D,,,,,,
1022671,2019-07-16,STLD,BUSSE KEITH E,,0001022671-19-000065,2019-07-12,A,43,0.0,1007899,D,,,,,,
1022671,2019-07-16,STLD,BYRNE FRANK D,,0001022671-19-000066,2019-07-12,A,219,0.0,75284,D,,,,,,
1022671,2019-07-16,STLD,MARCUCCILLI JAMES C,,0001022671-19-000069,2019-07-12,A,392,0.0,77335,D,,,,,,
1022671,2019-07-16,STLD,DOLAN TRACI M,,0001022671-19-000068,2019-07-12,A,289,0.0,41126,D,,,,,,
1022671,2019-07-16,STLD,BARGABOS SHEREE L,,0001022671-19-000064,2019-07-12,A,64,0.0,7686,D,,,,,,
1022671,2019-07-16,STLD,Seaman Bradley S,,0001022671-19-000070,2019-07-12,A,253,0.0,30845,D,,,,,,
