cik,filingDate,issuerTradingSymbol,reportingOwnerName,reportingOwnerRelationship,accessionNumber,transactionDate,transactionCode,transactionShares,transactionPricePerShare,sharesOwnedFollowingTransaction,directOrIndirectOwnership,transactionType,securityTitle,underlyingSecurityTitle,underlyingSecurityShares,exercisePrice,expirationDate
93751,2016-07-06,STT,CARP JEFFREY N,,0000093751-16-000635,2016-07-01,S,40200.0,53.74,297383,D,non_derivative,Common Stock,,,,
93751,2016-07-15,STT,CARP JEFFREY N,,0000093751-16-000640,2016-07-13,S,5000.0,55.0,287583,D,non_derivative,Common Stock,,,,
93751,2016-07-22,STT,Keenan Karen C,,0000093751-16-000642,2016-07-20,S,1000.0,57.51,65883,D,non_derivative,Common Stock,,,,
93751,2016-07-29,STT,CARP JEFFREY N,,0000093751-16-000647,2016-07-27,S,23238.0,61.43,264360,D,non_derivative,Common Stock,,,,
93751,2016-08-01,STT,Keenan Karen C,,0000093751-16-000649,2016-07-28,S,7500.0,65.0,58383,D,non_derivative,Common Stock,,,,
93751,2016-08-17,STT,Maiuri Louis D,,0000093751-16-000662,2016-08-15,F,1013.0,69.21,41925,D,non_derivative,Common Stock,,,,
93751,2016-08-17,STT,Sullivan George E,,0000093751-16-000665,2016-08-15,F,3360.0,69.21,82977,D,non_derivative,Common Stock,,,,
93751,2016-08-17,STT,Shagoury Antoine,,0000093751-16-000664,2016-08-15,F,572.0,69.21,92670,D,non_derivative,Common Stock,,,,
93751,2016-08-17,STT,Newth Sean P,,0000093751-16-000663,2016-08-15,F,133.0,69.21,12717,D,non_derivative,Common Stock,,,,
93751,2016-08-17,STT,Newth Sean P,,0000093751-16-000663,2016-08-16,S,54.0,68.64,12663,D,non_derivative,Common Stock,,,,
93751,2016-08-17,STT,Conway Jeff D,,0000093751-16-000660,2016-08-15,F,2417.0,69.21,53090,D,non_derivative,Common Stock,,,,
93751,2016-08-17,STT,Keenan Karen C,,0000093751-16-000661,2016-08-15,F,1336.0,69.21,57047,D,non_derivative,Common Stock,,,,
93751,2016-08-31,STT,Keenan Karen C,,0000093751-16-000667,2016-08-30,S,7500.0,70.0,49547,D,non_derivative,Common Stock,,,,
93751,2016-10-05,STT,CARP JEFFREY N,,0000093751-16-000673,2016-10-03,S,15000.0,69.26,232402,D,non_derivative,Common Stock,,,,
93751,2016-10-21,STT,Keenan Karen C,,0000093751-16-000690,2016-10-20,S,1000.0,70.57,48547,D,non_derivative,Common Stock,,,,
93751,2016-11-15,STT,CARP JEFFREY N,,0000093751-16-000699,2016-11-11,M,74457.0,70.59,306874,D,non_derivative,Common Stock,,,,
93751,2016-11-15,STT,CARP JEFFREY N,,0000093751-16-000699,2016-11-11,M,74457.0,70.59,0,D,derivative,Stock Appreciation Right,Common Stock,74457.0,70.59,2017-02-14
93751,2016-11-15,STT,CARP JEFFREY N,,0000093751-16-000699,2016-11-11,D,68931.0,76.25,237943,D,non_derivative,Common Stock,,,,
93751,2016-11-15,STT,CARP JEFFREY N,,0000093751-16-000699,2016-11-14,S,2926.0,77.38,232417,D,non_derivative,Common Stock,,,,
93751,2016-11-15,STT,CARP JEFFREY N,,0000093751-16-000699,2016-11-11,F,2600.0,76.25,235343,D,non_derivative,Common Stock,,,,
93751,2016-11-17,STT,Conway Jeff D,,0000093751-16-000706,2016-11-15,F,2349.0,79.25,50741,D,non_derivative,Common Stock,,,,
93751,2016-11-17,STT,Keenan Karen C,,0000093751-16-000707,2016-11-15,F,1318.0,79.25,47229,D,non_derivative,Common Stock,,,,
93751,2016-11-17,STT,Newth Sean P,,0000093751-16-000709,2016-11-15,F,133.0,79.25,12530,D,non_derivative,Common Stock,,,,
93751,2016-11-17,STT,Newth Sean P,,0000093751-16-000709,2016-11-16,S,54.0,77.58,12476,D,non_derivative,Common Stock,,,,
93751,2016-11-17,STT,Sullivan George E,,0000093751-16-000711,2016-11-15,F,3751.0,79.25,79226,D,non_derivative,Common Stock,,,,
93751,2016-11-17,STT,Maiuri Louis D,,0000093751-16-000708,2016-11-15,F,1230.0,79.25,40695,D,non_derivative,Common Stock,,,,
93751,2016-11-17,STT,Shagoury Antoine,,0000093751-16-000710,2016-11-15,F,9319.0,79.25,83351,D,non_derivative,Common Stock,,,,
93751,2017-01-04,STT,Aboaf Eric W.,,0000093751-17-000002,2016-12-30,A,16825.0,0.0,16825,D,non_derivative,Common Stock,,,,
93751,2017-01-23,STT,Phalen James S,,0000093751-17-000015,2017-01-20,F,1122.0,79.01,365696,D,non_derivative,Common Stock,,,,
93751,2017-01-23,STT,Keenan Karen C,,0000093751-17-000014,2017-01-20,S,1000.0,79.12,46229,D,non_derivative,Common Stock,,,,
93751,2017-01-23,STT,Phalen James S,,0000093751-17-000015,2017-01-19,A,27935.0,0.0,366818,D,non_derivative,Common Stock,,,,
93751,2017-02-17,STT,ROGERS MICHAEL F,,0000093751-17-000277,2017-02-15,F,27707.0,81.91,713439,D,non_derivative,Common Stock,,,,
93751,2017-02-17,STT,Quirk Alison A.,,0000093751-17-000276,2017-02-15,F,9299.0,81.91,54405,D,non_derivative,Common Stock,,,,
93751,2017-02-17,STT,Shagoury Antoine,,0000093751-17-000278,2017-02-15,F,395.0,81.91,82956,D,non_derivative,Common Stock,,,,
93751,2017-02-17,STT,Sullivan George E,,0000093751-17-000279,2017-02-15,F,2242.0,81.91,76984,D,non_derivative,Common Stock,,,,
93751,2017-02-17,STT,Kuritzkes Andrew P,,0000093751-17-000272,2017-02-15,F,15711.0,81.91,84750,D,non_derivative,Common Stock,,,,
93751,2017-02-17,STT,Newth Sean P,,0000093751-17-000274,2017-02-16,S,176.0,80.59,11285,D,non_derivative,Common Stock,,,,
93751,2017-02-17,STT,Newth Sean P,,0000093751-17-000274,2017-02-15,F,1015.0,81.91,11461,D,non_derivative,Common Stock,,,,
93751,2017-02-17,STT,Kuritzkes Andrew P,,0000093751-17-000272,2017-02-16,S,4675.0,80.59,80075,D,non_derivative,Common Stock,,,,
93751,2017-02-17,STT,O HANLEY RONALD P,,0000093751-17-000275,2017-02-15,F,3060.0,81.91,59496,D,non_derivative,Common Stock,,,,
93751,2017-02-17,STT,CARP JEFFREY N,,0000093751-17-000267,2017-02-15,F,19379.0,81.91,213051,D,non_derivative,Common Stock,,,,
93751,2017-02-17,STT,BELL MICHAEL W,,0000093751-17-000266,2017-02-15,F,13255.0,81.91,102343,D,non_derivative,Common Stock,,,,
93751,2017-02-17,STT,Horgan Kathryn M,,0000093751-17-000270,2017-02-15,F,845.0,81.91,51553,D,non_derivative,Common Stock,,,,
93751,2017-02-17,STT,Keenan Karen C,,0000093751-17-000271,2017-02-15,F,2974.0,81.91,49305,D,non_derivative,Common Stock,,,,
93751,2017-02-17,STT,Maiuri Louis D,,0000093751-17-000273,2017-02-15,F,2911.0,81.91,37784,D,non_derivative,Common Stock,,,,
93751,2017-02-17,STT,HOOLEY JOSEPH L,,0000093751-17-000269,2017-02-15,F,51925.0,81.91,768401,D,non_derivative,Common Stock,,,,
93751,2017-02-17,STT,Conway Jeff D,,0000093751-17-000268,2017-02-15,F,1723.0,81.91,49018,D,non_derivative,Common Stock,,,,
93751,2017-02-23,STT,Maiuri Louis D,,0000093751-17-000284,2017-02-21,S,6000.0,80.57,6634,I,non_derivative,Common Stock,,,,
93751,2017-02-23,STT,Newth Sean P,,0000093751-17-000286,2017-02-21,S,3719.0,80.82,7566,D,non_derivative,Common Stock,,,,
93751,2017-02-23,STT,Sullivan George E,,0000093751-17-000285,2017-02-21,S,12961.0,80.65,64023,D,non_derivative,Common Stock,,,,
93751,2017-02-23,STT,Conway Jeff D,,0000093751-17-000287,2017-02-21,S,33819.0,80.59,15199,D,non_derivative,Common Stock,,,,
