cik,filingDate,issuerTradingSymbol,reportingOwnerName,reportingOwnerRelationship,accessionNumber,transactionDate,transactionCode,transactionShares,transactionPricePerShare,sharesOwnedFollowingTransaction,directOrIndirectOwnership,transactionType,securityTitle,underlyingSecurityTitle,underlyingSecurityShares,exercisePrice,expirationDate
1137789,2017-05-16,STX,RE MARK,,0001137789-17-000026,2017-05-15,S,9607.0,43.47,40470.0,D,,,,,,
1137789,2017-05-16,STX,MASSARONI KENNETH M,,0001137789-17-000025,2017-05-12,S,7500.0,42.58,115633.0,D,,,,,,
1137789,2017-05-18,STX,PARK CHONG SUP,,0001137789-17-000027,2017-05-16,S,3809.0,43.63,25658.0,I,,,,,,
1137789,2017-06-13,STX,MORTON DAVID H JR,,0001137789-17-000029,2017-06-09,S,3040.0,43.26,9063.0,D,,,,,,
1137789,2017-06-14,STX,MASSARONI KENNETH M,,0001137789-17-000030,2017-06-12,S,7200.0,40.93,108433.0,D,,,,,,
1137789,2017-07-21,STX,SCHUELKE KATHERINE,,0001137789-17-000037,2017-07-20,A,27670.0,0.0,27670.0,D,,,,,,
1137789,2017-07-26,STX,BRACE PHILIP G,,0001137789-17-000038,2017-07-24,A,16250.0,0.0,45359.0,D,,,,,,
1137789,2017-07-26,STX,LUCZO STEPHEN J,,0001137789-17-000039,2017-07-24,A,11950.0,0.0,39138.0,D,,,,,,
1137789,2017-07-26,STX,LUCZO STEPHEN J,,0001137789-17-000039,2017-05-24,G,10000.0,0.0,1224158.0,I,,,,,,
1137789,2017-07-26,STX,MORTON DAVID H JR,,0001137789-17-000040,2017-07-24,A,20000.0,0.0,29539.0,D,,,,,,
1137789,2017-07-26,STX,MOSLEY WILLIAM D,,0001137789-17-000041,2017-07-24,A,7500.0,0.0,160465.0,D,,,,,,
1137789,2017-07-26,STX,MURPHY JAMES J,,0001137789-17-000042,2017-07-24,A,20963.0,0.0,20963.0,D,,,,,,
1137789,2017-08-03,STX,BRACE PHILIP G,,0001137789-17-000047,2017-08-01,P,1000.0,33.336,62855.0,D,,,,,,
1137789,2017-08-03,STX,BRACE PHILIP G,,0001137789-17-000047,2017-08-01,S,6000.0,33.341,56855.0,D,,,,,,
1137789,2017-09-12,STX,LUCZO STEPHEN J,,0001137789-17-000048,2017-09-09,F,6236.0,0.0,81499.0,D,,,,,,
1137789,2017-09-12,STX,LUCZO STEPHEN J,,0001137789-17-000048,2017-09-08,M,34375.0,11.065,87735.0,D,,,,,,
1137789,2017-09-12,STX,LUCZO STEPHEN J,,0001137789-17-000048,2017-08-17,G,10000.0,0.0,1214158.0,I,,,,,,
1137789,2017-09-12,STX,MORTON DAVID H JR,,0001137789-17-000050,2017-09-09,F,5189.0,0.0,34761.0,D,,,,,,
1137789,2017-09-12,STX,BRACE PHILIP G,,0001137789-17-000049,2017-09-02,F,6847.0,0.0,50008.0,D,,,,,,
1137789,2017-09-12,STX,MOSLEY WILLIAM D,,0001137789-17-000051,2017-09-09,F,3914.0,0.0,179479.0,D,,,,,,
1137789,2017-09-12,STX,BRACE PHILIP G,,0001137789-17-000049,2017-09-09,F,2138.0,0.0,47870.0,D,,,,,,
1137789,2017-09-15,STX,MOSLEY WILLIAM D,,0001137789-17-000055,2017-09-13,A,14700.0,0.0,182214.0,D,,,,,,
1137789,2017-09-15,STX,MOSLEY WILLIAM D,,0001137789-17-000055,2017-09-13,F,7671.0,0.0,174543.0,D,,,,,,
1137789,2017-09-15,STX,MORTON DAVID H JR,,0001137789-17-000054,2017-09-13,A,2156.0,0.0,34596.0,D,,,,,,
1137789,2017-09-15,STX,MORTON DAVID H JR,,0001137789-17-000054,2017-09-13,F,1126.0,0.0,33470.0,D,,,,,,
1137789,2017-09-15,STX,LUCZO STEPHEN J,,0001137789-17-000053,2017-09-13,A,44632.0,0.0,118709.0,D,,,,,,
1137789,2017-09-15,STX,LUCZO STEPHEN J,,0001137789-17-000053,2017-09-13,F,23289.0,0.0,95420.0,D,,,,,,
1137789,2017-10-19,STX,PARK CHONG SUP,,0001137789-17-000076,2017-10-17,F,3038.0,33.96,8715.0,D,,,,,,
1137789,2017-10-19,STX,BIONDI FRANK,,0001137789-17-000070,2017-10-17,F,3038.0,33.96,5399.0,D,,,,,,
1137789,2017-10-19,STX,ZANDER EDWARD J,,0001137789-17-000078,2017-10-17,F,3038.0,33.96,8715.0,D,,,,,,
1137789,2017-10-19,STX,Geldmacher Jay L,,0001137789-17-000074,2017-10-17,F,3038.0,33.96,14080.0,D,,,,,,
1137789,2017-10-19,STX,Adams Mark,,0001137789-17-000069,2017-10-17,F,1970.0,33.96,3500.0,D,,,,,,
1137789,2017-10-19,STX,CHENG MEI WEI,,0001137789-17-000072,2017-10-17,F,4556.0,33.96,16162.0,D,,,,,,
1137789,2017-10-19,STX,COLEMAN WILLIAM T III,,0001137789-17-000073,2017-10-17,F,3038.0,33.96,15319.0,D,,,,,,
1137789,2017-10-19,STX,Adams Mark,,0001137789-17-000069,2017-10-17,M,5470.0,0.0,5470.0,D,,,,,,
1137789,2017-10-19,STX,Moyo Dambisa F,,0001137789-17-000075,2017-10-17,F,3038.0,33.96,8715.0,D,,,,,,
1137789,2017-10-19,STX,CANNON MICHAEL R,,0001137789-17-000071,2017-10-17,F,3038.0,33.96,15234.0,D,,,,,,
1137789,2017-10-19,STX,Tilenius Stephanie,,0001137789-17-000077,2017-10-17,F,3038.0,33.96,11425.0,D,,,,,,
1137789,2017-10-25,STX,Moyo Dambisa F,,0001137789-17-000080,2017-10-24,S,5399.0,39.5,3316.0,D,,,,,,
1137789,2017-10-25,STX,Moyo Dambisa F,,0001137789-17-000080,2017-10-25,S,3316.0,38.21,0.0,D,,,,,,
1137789,2017-10-25,STX,MORTON DAVID H JR,,0001137789-17-000079,2017-10-23,S,7909.0,40.0,25561.0,D,,,,,,
1137789,2017-10-31,STX,BRACE PHILIP G,,0001137789-17-000087,2017-10-27,M,40393.0,36.09,83416.0,D,,,,,,
