cik,filingDate,issuerTradingSymbol,reportingOwnerName,reportingOwnerRelationship,accessionNumber,transactionDate,transactionCode,transactionShares,transactionPricePerShare,sharesOwnedFollowingTransaction,directOrIndirectOwnership,transactionType,securityTitle,underlyingSecurityTitle,underlyingSecurityShares,exercisePrice,expirationDate
93556,2019-10-17,SWK,Raff Robert H Jr,,0001127602-19-030743,2019-10-15,A,3661.0,148.35,17760.0,D,,,,,,
93556,2019-10-31,SWK,Raff Robert H Jr,,0001127602-19-031370,2019-10-29,S,3661.0,151.36,14099.0,D,,,,,,
93556,2019-10-31,SWK,Raff Robert H Jr,,0001127602-19-031370,2019-10-29,I,1294.1848,154.1,1.2423,I,,,,,,
93556,2019-11-06,SWK,Wyatt John H,,0001127602-19-032058,2019-11-05,M,2500.0,63.715,66351.0,D,,,,,,
93556,2019-11-06,SWK,Wyatt John H,,0001127602-19-032058,2019-11-05,S,2500.0,159.8691,78851.0,D,,,,,,
93556,2019-11-12,SWK,Ansell Jeffrey D,,0001127602-19-032544,2019-11-07,M,20000.0,95.18,46574.0,D,,,,,,
93556,2019-11-12,SWK,Ansell Jeffrey D,,0001127602-19-032544,2019-11-07,S,20000.0,161.9,26574.0,D,,,,,,
93556,2019-11-14,SWK,LOREE JAMES M,,0001127602-19-032759,2019-11-12,G,3160.0,0.0,132006.0,D,,,,,,
93556,2019-11-14,SWK,Allan Donald,,0001127602-19-032761,2019-11-13,S,1300.0,154.9788,97693.6619,D,,,,,,
93556,2019-11-14,SWK,Allan Donald,,0001127602-19-032761,2019-11-13,M,2912.0,79.7,98993.6619,D,,,,,,
93556,2019-11-14,SWK,Allan Donald,,0001127602-19-032761,2019-11-12,S,44230.0,157.6633,97990.6619,D,,,,,,
93556,2019-11-14,SWK,Allan Donald,,0001127602-19-032761,2019-11-12,G,2270.0,0.0,142220.6619,D,,,,,,
93556,2019-11-14,SWK,Allan Donald,,0001127602-19-032761,2019-11-12,M,20000.0,70.61,127402.6619,D,,,,,,
93556,2019-11-26,SWK,BELISLE JOCELYN,,0001127602-19-033773,2019-11-26,S,206.0,158.7239,12329.0,D,,,,,,
93556,2019-11-26,SWK,Ramirez Jaime A,,0001127602-19-033770,2019-11-25,M,12500.0,79.7,50856.0,D,,,,,,
93556,2019-11-26,SWK,Ramirez Jaime A,,0001127602-19-033770,2019-11-25,S,16107.0,158.93,34749.0,D,,,,,,
93556,2019-12-04,SWK,Wyatt John H,,0001127602-19-034238,2019-12-02,D,394.0,155.463,63457.0,D,,,,,,
93556,2019-12-04,SWK,Ansell Jeffrey D,,0001127602-19-034232,2019-12-02,D,657.0,155.463,25917.0,D,,,,,,
93556,2019-12-04,SWK,BELISLE JOCELYN,,0001127602-19-034236,2019-12-02,D,127.0,155.463,12202.0,D,,,,,,
93556,2019-12-04,SWK,Allan Donald,,0001127602-19-034229,2019-12-02,D,630.0,155.463,95451.6619,D,,,,,,
93556,2019-12-04,SWK,Ramirez Jaime A,,0001127602-19-034240,2019-12-02,D,321.0,155.463,34428.0,D,,,,,,
93556,2019-12-04,SWK,LOREE JAMES M,,0001127602-19-034244,2019-12-02,D,1889.0,155.463,130117.0,D,,,,,,
93556,2019-12-04,SWK,VOELKER JOSEPH R,,0001127602-19-034246,2019-12-02,D,378.0,155.463,9283.0,D,,,,,,
93556,2019-12-04,SWK,Raff Robert H Jr,,0001127602-19-034248,2019-12-02,D,161.0,155.463,13938.0,D,,,,,,
93556,2019-12-05,SWK,Link Janet,,0001127602-19-034380,2019-12-04,D,370.0,154.3398,19215.0,D,,,,,,
93556,2019-12-05,SWK,LOREE JAMES M,,0001127602-19-034376,2019-12-04,D,1449.0,154.3398,142890.0,D,,,,,,
93556,2019-12-05,SWK,Allan Donald,,0001127602-19-034378,2019-12-03,A,3906.0,150.695,99357.6619,D,,,,,,
93556,2019-12-05,SWK,Allan Donald,,0001127602-19-034378,2019-12-04,D,580.0,154.3398,98777.6619,D,,,,,,
93556,2019-12-05,SWK,LOREE JAMES M,,0001127602-19-034376,2019-12-03,A,14222.0,150.695,144339.0,D,,,,,,
93556,2019-12-05,SWK,Link Janet,,0001127602-19-034380,2019-12-03,A,3906.0,150.695,19585.0,D,,,,,,
93556,2019-12-05,SWK,Ansell Jeffrey D,,0001127602-19-034374,2019-12-03,A,3906.0,150.695,29823.0,D,,,,,,
93556,2019-12-05,SWK,Ansell Jeffrey D,,0001127602-19-034374,2019-12-04,S,702.0,153.56,27875.0,D,,,,,,
93556,2019-12-05,SWK,Blackburn Robert,,0001127602-19-034383,2019-12-03,A,2344.0,150.695,2344.0,D,,,,,,
93556,2019-12-05,SWK,Ansell Jeffrey D,,0001127602-19-034374,2019-12-04,D,604.0,154.3398,29219.0,D,,,,,,
