cik,filingDate,issuerTradingSymbol,reportingOwnerName,reportingOwnerRelationship,accessionNumber,transactionDate,transactionCode,transactionShares,transactionPricePerShare,sharesOwnedFollowingTransaction,directOrIndirectOwnership,transactionType,securityTitle,underlyingSecurityTitle,underlyingSecurityShares,exercisePrice,expirationDate
1601712,2021-03-03,SYF,QUINDLEN THOMAS M,,0001601712-21-000121,2021-03-01,A,25875.0,40.0,196022.0,D,,,,,,
1601712,2021-03-03,SYF,MOTHNER JONATHAN S,,0001601712-21-000114,2021-03-01,A,19125.0,40.0,167259.0,D,,,,,,
1601712,2021-03-03,SYF,MOTHNER JONATHAN S,,0001601712-21-000114,2021-03-01,F,6294.0,40.0,160965.0,D,,,,,,
1601712,2021-03-03,SYF,MOTHNER JONATHAN S,,0001601712-21-000114,2021-03-01,M,10000.0,23.0,170965.0,D,,,,,,
1601712,2021-03-03,SYF,MOTHNER JONATHAN S,,0001601712-21-000114,2021-03-01,S,10000.0,39.46,160965.0,D,,,,,,
1601712,2021-03-03,SYF,Casellas Alberto,,0001601712-21-000113,2021-03-01,A,23625.0,40.0,96364.0,D,,,,,,
1601712,2021-03-03,SYF,Whynott Paul,,0001601712-21-000112,2021-03-02,S,5852.0,39.83,61096.0,D,,,,,,
1601712,2021-03-03,SYF,Whynott Paul,,0001601712-21-000112,2021-03-01,S,2669.0,39.46,78907.0,D,,,,,,
1601712,2021-03-03,SYF,Whynott Paul,,0001601712-21-000112,2021-03-01,M,2669.0,24.55,81576.0,D,,,,,,
1601712,2021-03-03,SYF,Whynott Paul,,0001601712-21-000112,2021-03-01,F,5618.0,40.0,78907.0,D,,,,,,
1601712,2021-03-03,SYF,Casellas Alberto,,0001601712-21-000113,2021-03-01,F,7273.0,40.0,89091.0,D,,,,,,
1601712,2021-03-03,SYF,Casellas Alberto,,0001601712-21-000113,2021-03-01,M,20292.0,23.0,109383.0,D,,,,,,
1601712,2021-03-03,SYF,Casellas Alberto,,0001601712-21-000113,2021-03-01,S,20292.0,39.46,89091.0,D,,,,,,
1601712,2021-03-03,SYF,Casellas Alberto,,0001601712-21-000113,2021-03-02,S,9882.0,39.83,57688.0,D,,,,,,
1601712,2021-03-03,SYF,QUINDLEN THOMAS M,,0001601712-21-000121,2021-03-01,M,124307.0,23.0,311011.0,D,,,,,,
1601712,2021-03-03,SYF,QUINDLEN THOMAS M,,0001601712-21-000121,2021-03-01,F,9318.0,40.0,186704.0,D,,,,,,
1601712,2021-03-03,SYF,Howse Curtis,,0001601712-21-000116,2021-03-01,A,19688.0,40.0,79789.0,D,,,,,,
1601712,2021-03-03,SYF,Whynott Paul,,0001601712-21-000112,2021-03-01,A,14063.0,40.0,84525.0,D,,,,,,
1601712,2021-03-03,SYF,Howse Curtis,,0001601712-21-000116,2021-03-01,M,73879.0,23.0,149508.0,D,,,,,,
1601712,2021-03-03,SYF,DOUBLES BRIAN D,,0001601712-21-000115,2021-03-01,F,13437.0,40.0,252439.0,D,,,,,,
1601712,2021-03-03,SYF,QUINDLEN THOMAS M,,0001601712-21-000121,2021-03-01,S,124307.0,39.8,186704.0,D,,,,,,
1601712,2021-03-03,SYF,KEANE MARGARET M,,0001601712-21-000117,2021-03-01,S,53205.0,39.87,911443.0,D,,,,,,
1601712,2021-03-03,SYF,MELITO DAVID P,,0001601712-21-000120,2021-03-01,A,6088.0,40.0,25904.0,D,,,,,,
1601712,2021-03-03,SYF,MELITO DAVID P,,0001601712-21-000120,2021-03-01,F,1677.0,40.0,24227.0,D,,,,,,
1601712,2021-03-03,SYF,MELITO DAVID P,,0001601712-21-000120,2021-03-02,A,3670.0,39.83,20557.0,D,,,,,,
1601712,2021-03-03,SYF,Wenzel Brian J. Sr.,,0001601712-21-000119,2021-03-01,A,29250.0,40.0,91364.0,D,,,,,,
1601712,2021-03-03,SYF,Wenzel Brian J. Sr.,,0001601712-21-000119,2021-03-01,F,7597.0,40.0,83767.0,D,,,,,,
1601712,2021-03-03,SYF,Wenzel Brian J. Sr.,,0001601712-21-000119,2021-03-01,M,4935.0,24.55,88702.0,D,,,,,,
1601712,2021-03-03,SYF,KEANE MARGARET M,,0001601712-21-000117,2021-03-01,M,53205.0,24.55,866430.0,D,,,,,,
1601712,2021-03-03,SYF,KEANE MARGARET M,,0001601712-21-000117,2021-03-01,F,41453.0,40.0,813225.0,D,,,,,,
1601712,2021-03-03,SYF,KEANE MARGARET M,,0001601712-21-000117,2021-03-01,A,101250.0,40.0,854678.0,D,,,,,,
1601712,2021-03-03,SYF,Wenzel Brian J. Sr.,,0001601712-21-000119,2021-03-01,S,4935.0,39.46,83767.0,D,,,,,,
1601712,2021-03-03,SYF,GREIG HENRY F,,0001601712-21-000118,2021-03-01,A,20813.0,40.0,196375.0,D,,,,,,
1601712,2021-03-03,SYF,GREIG HENRY F,,0001601712-21-000118,2021-03-01,D,6870.0,40.0,189505.0,D,,,,,,
1601712,2021-03-03,SYF,GREIG HENRY F,,0001601712-21-000118,2021-03-01,M,35000.0,23.0,224505.0,D,,,,,,
1601712,2021-03-03,SYF,DOUBLES BRIAN D,,0001601712-21-000115,2021-03-01,A,33750.0,40.0,265876.0,D,,,,,,
1601712,2021-03-03,SYF,Howse Curtis,,0001601712-21-000116,2021-03-02,S,5028.0,39.83,65694.0,D,,,,,,
1601712,2021-03-03,SYF,Howse Curtis,,0001601712-21-000116,2021-03-01,S,73879.0,39.8,75629.0,D,,,,,,
1601712,2021-03-03,SYF,Howse Curtis,,0001601712-21-000116,2021-03-01,F,4160.0,40.0,75629.0,D,,,,,,
1601712,2021-03-03,SYF,GREIG HENRY F,,0001601712-21-000118,2021-03-01,S,35000.0,39.46,189505.0,D,,,,,,
1601712,2021-04-02,SYF,Graylin Will W,,0001601712-21-000160,2021-03-31,A,831.0,40.66,54692.0,D,,,,,,
1601712,2021-04-02,SYF,Alves Paget Leonard,,0001601712-21-000165,2021-03-31,A,831.0,40.66,26692.0,D,,,,,,
1601712,2021-04-02,SYF,KEANE MARGARET M,,0001601712-21-000151,2021-04-01,F,19608.0,41.66,793617.0,D,,,,,,
1601712,2021-04-02,SYF,DOUBLES BRIAN D,,0001601712-21-000153,2021-04-01,A,24304.0,41.66,276743.0,D,,,,,,
1601712,2021-04-02,SYF,DOUBLES BRIAN D,,0001601712-21-000153,2021-04-01,F,5170.0,41.66,271573.0,D,,,,,,
1601712,2021-04-02,SYF,Casellas Alberto,,0001601712-21-000159,2021-04-01,F,1813.0,41.66,55875.0,D,,,,,,
1601712,2021-04-02,SYF,NAYLOR JEFFREY G,,0001601712-21-000167,2021-03-31,A,831.0,40.66,61990.0,D,,,,,,
1601712,2021-04-02,SYF,QUINDLEN THOMAS M,,0001601712-21-000157,2021-04-01,F,4806.0,41.66,161898.0,D,,,,,,
1601712,2021-04-02,SYF,COVIELLO ARTHUR W JR,,0001601712-21-000149,2021-03-31,A,831.0,40.66,30878.0,D,,,,,,
1601712,2021-04-02,SYF,MOTHNER JONATHAN S,,0001601712-21-000156,2021-04-01,F,3669.0,41.66,137296.0,D,,,,,,
1601712,2021-04-02,SYF,Whynott Paul,,0001601712-21-000150,2021-04-01,F,2542.0,41.66,58554.0,D,,,,,,
