cik,filingDate,issuerTradingSymbol,reportingOwnerName,reportingOwnerRelationship,accessionNumber,transactionDate,transactionCode,transactionShares,transactionPricePerShare,sharesOwnedFollowingTransaction,directOrIndirectOwnership,transactionType,securityTitle,underlyingSecurityTitle,underlyingSecurityShares,exercisePrice,expirationDate
1583708,2021-07-02,S,YABUKI JEFFERY W,,0001209191-21-045158,2021-07-02,P,10000,35.0,10000,D,,,,,,
1583708,2021-07-02,S,PEEK MARK S,,0001209191-21-045157,2021-07-02,P,10000,35.0,10000,D,,,,,,
1583708,2021-07-02,S,BEGLEY CHARLENE T,,0001209191-21-045154,2021-07-02,P,10000,35.0,10000,D,,,,,,
1583708,2021-07-02,S,Hughes Aaron,,0001209191-21-045147,2021-07-02,P,1450,35.0,1450,D,,,,,,
1583708,2021-07-02,S,Scheinman Daniel,,0001209191-21-045142,2021-07-02,P,10000,35.0,10000,D,,,,,,
1583708,2021-07-06,S,"Insight Holdings Group, LLC",,0001567619-21-013044,2021-07-02,P,84734,35.0,84734,I,,,,,,
1583708,2021-07-07,S,Loeb Daniel S,,0001567619-21-013073,2021-07-02,P,143575,35.0,143575,I,,,,,,
1583708,2021-07-07,S,Loeb Daniel S,,0001567619-21-013073,2021-07-06,P,227884,49.5158,1993575,I,,,,,,
1583708,2021-07-16,S,Loeb Daniel S,,0001567619-21-013586,2021-07-14,P,29289,45.0,2022864,I,,,,,,
1583708,2021-07-16,S,Loeb Daniel S,,0001567619-21-013586,2021-07-15,P,170711,44.8851,2193575,I,,,,,,
1583708,2021-09-13,S,BEGLEY CHARLENE T,,0001209191-21-055793,2021-09-09,A,218,0.0,10218,D,,,,,,
1583708,2021-09-13,S,YABUKI JEFFERY W,,0001209191-21-055791,2021-09-09,A,175,0.0,10175,D,,,,,,
1583708,2021-09-13,S,PEEK MARK S,,0001209191-21-055790,2021-09-09,A,225,0.0,10225,D,,,,,,
1583708,2021-09-13,S,Scheinman Daniel,,0001209191-21-055789,2021-09-09,A,4542,0.0,14542,D,,,,,,
1583708,2021-09-13,S,Conder Keenan Michael,,0001209191-21-055788,2021-09-09,A,112676,0.0,112676,D,,,,,,
1583708,2021-09-23,S,"Insight Holdings Group, LLC",,0001567619-21-017556,2021-09-21,C,122122,,122122,I,,,,,,
1583708,2021-09-23,S,"Insight Holdings Group, LLC",,0001567619-21-017555,2021-09-21,C,1573422,,1573422,I,,,,,,
1583708,2021-09-23,S,Weingarten Tomer,,0001209191-21-057520,2021-09-21,C,2033653,,2033653,D,,,,,,
1583708,2021-09-23,S,Weingarten Tomer,,0001209191-21-057520,2021-09-21,J,2033653,0.0,0,D,,,,,,
1583708,2021-09-30,S,Warner Nicholas,,0001209191-21-058292,2021-09-28,C,352644,,352644,D,,,,,,
1583708,2021-09-30,S,Warner Nicholas,,0001209191-21-058292,2021-09-28,S,157053,54.6332,222442,D,,,,,,
1583708,2021-09-30,S,Weingarten Tomer,,0001209191-21-058291,2021-09-28,C,125000,1.1967,125000,D,,,,,,
1583708,2021-09-30,S,Weingarten Tomer,,0001209191-21-058291,2021-09-28,S,121100,54.9206,3900,D,,,,,,
1583708,2021-10-01,S,Bernhardt David J.,,0001209191-21-058574,2021-09-29,C,37640,3.02,37640,D,,,,,,
1583708,2021-10-01,S,Bernhardt David J.,,0001209191-21-058574,2021-09-29,S,8808,55.033,28832,D,,,,,,
