cik,filingDate,issuerTradingSymbol,reportingOwnerName,reportingOwnerRelationship,accessionNumber,transactionDate,transactionCode,transactionShares,transactionPricePerShare,sharesOwnedFollowingTransaction,directOrIndirectOwnership,transactionType,securityTitle,underlyingSecurityTitle,underlyingSecurityShares,exercisePrice,expirationDate
1260221,2017-11-16,TDG,Laubenthal Raymond F,,0001209191-17-061111,2017-11-15,M,6000.0,27.08,75818.0,D,,,,,,
1260221,2017-11-16,TDG,Laubenthal Raymond F,,0001209191-17-061111,2017-11-15,S,4100.0,263.5301,71718.0,D,,,,,,
1260221,2017-11-17,TDG,Howley W Nicholas,,0001209191-17-061353,2017-11-16,M,63776.0,27.08,63776.0,I,,,,,,
1260221,2017-11-17,TDG,Howley W Nicholas,,0001209191-17-061353,2017-11-16,S,18588.0,267.7978,45188.0,I,,,,,,
1260221,2017-11-20,TDG,Howley W Nicholas,,0001209191-17-061686,2017-11-17,M,35924.0,27.08,35924.0,I,,,,,,
1260221,2017-11-20,TDG,Howley W Nicholas,,0001209191-17-061686,2017-11-17,S,19526.0,263.2618,16398.0,I,,,,,,
1260221,2017-12-04,TDG,Graff Michael,,0001209191-17-063488,2017-12-01,M,896.0,179.67,9482.0,D,,,,,,
1260221,2017-12-04,TDG,Graff Michael,,0001209191-17-063488,2017-12-01,S,1512.0,278.7519,8700.0,D,,,,,,
1260221,2017-12-08,TDG,Graff Michael,,0001209191-17-064609,2017-12-06,G,4000.0,0.0,4340.0,D,,,,,,
1260221,2017-12-15,TDG,Laubenthal Raymond F,,0001209191-17-065840,2017-12-15,M,6000.0,27.08,75818.0,D,,,,,,
1260221,2017-12-15,TDG,Laubenthal Raymond F,,0001209191-17-065840,2017-12-15,S,100.0,274.98,75718.0,D,,,,,,
1260221,2018-01-02,TDG,Stein Kevin M,,0001209191-18-000033,2017-12-31,D,2119.0,274.62,6811.0,D,,,,,,
1260221,2018-01-17,TDG,Laubenthal Raymond F,,0001209191-18-003772,2018-01-16,M,11900.0,27.08,81718.0,D,,,,,,
1260221,2018-01-17,TDG,Laubenthal Raymond F,,0001209191-18-003772,2018-01-16,S,100.0,292.77,81618.0,D,,,,,,
1260221,2018-01-17,TDG,Jones Roger,,0001209191-18-003861,2018-01-17,S,2700.0,294.0025,6300.0,D,,,,,,
1260221,2018-01-17,TDG,Jones Roger,,0001209191-18-003861,2018-01-17,M,5000.0,27.08,9000.0,D,,,,,,
1260221,2018-01-18,TDG,Skulina James,,0001209191-18-004158,2017-05-12,P,4000.0,242.84,4000.0,D,,,,,,
1260221,2018-01-18,TDG,Skulina James,,0001209191-18-004158,2017-05-11,P,2422.0,245.52,29000.0,I,,,,,,
1260221,2018-02-12,TDG,Feil Alex,,0001209191-18-009095,2018-02-09,M,5444.0,27.08,5444.0,D,,,,,,
1260221,2018-02-12,TDG,Feil Alex,,0001209191-18-009095,2018-02-09,S,400.0,275.1925,5044.0,D,,,,,,
1260221,2018-02-15,TDG,Laubenthal Raymond F,,0001209191-18-010285,2018-02-15,M,11900.0,27.08,81718.0,D,,,,,,
1260221,2018-02-15,TDG,Laubenthal Raymond F,,0001209191-18-010285,2018-02-15,S,600.0,292.4567,81118.0,D,,,,,,
1260221,2018-02-20,TDG,Peacock Douglas W,,0001209191-18-011148,2018-02-16,M,15900.0,27.08,16687.0,D,,,,,,
1260221,2018-02-20,TDG,Peacock Douglas W,,0001209191-18-011148,2018-02-16,S,3170.0,297.7607,13517.0,D,,,,,,
1260221,2018-02-21,TDG,Jones Roger,,0001209191-18-011794,2018-02-20,M,5000.0,27.08,9000.0,D,,,,,,
1260221,2018-02-21,TDG,Jones Roger,,0001209191-18-011794,2018-02-20,S,200.0,297.12,8800.0,D,,,,,,
1260221,2018-03-01,TDG,Stein Kevin M,,0001209191-18-014793,2018-02-22,P,1347.0,296.7885,1347.0,D,,,,,,
1260221,2018-03-02,TDG,Laubenthal Raymond F,,0001209191-18-015412,2018-03-01,J,19100.0,0.0,88918.0,D,,,,,,
1260221,2018-03-09,TDG,Laubenthal Raymond F,,0001209191-18-018457,2018-03-09,J,73130.0,0.0,15788.0,D,,,,,,
1260221,2018-03-15,TDG,Laubenthal Raymond F,,0001209191-18-019805,2018-03-15,M,11900.0,27.08,27688.0,D,,,,,,
1260221,2018-03-15,TDG,Laubenthal Raymond F,,0001209191-18-019805,2018-03-15,S,3400.0,291.6325,24288.0,D,,,,,,
1260221,2018-03-15,TDG,Howley W Nicholas,,0001209191-18-019799,2018-03-14,M,9500.0,82.67,9500.0,I,,,,,,
1260221,2018-03-15,TDG,Howley W Nicholas,,0001209191-18-019799,2018-03-14,S,9400.0,294.9856,100.0,I,,,,,,
1260221,2018-03-16,TDG,BARR DAVID,,0001209191-18-020114,2018-03-15,A,101.0,296.0,31382.0,D,,,,,,
1260221,2018-03-16,TDG,MCCULLOUGH GARY E,,0001209191-18-020110,2018-03-15,A,101.0,296.0,391.0,D,,,,,,
1260221,2018-03-16,TDG,Dunn Mervin,,0001209191-18-020108,2018-03-15,A,101.0,296.0,2468.0,D,,,,,,
1260221,2018-03-16,TDG,Graff Michael,,0001209191-18-020106,2018-03-15,A,101.0,296.0,4441.0,D,,,,,,
