cik,filingDate,issuerTradingSymbol,reportingOwnerName,reportingOwnerRelationship,accessionNumber,transactionDate,transactionCode,transactionShares,transactionPricePerShare,sharesOwnedFollowingTransaction,directOrIndirectOwnership,transactionType,securityTitle,underlyingSecurityTitle,underlyingSecurityShares,exercisePrice,expirationDate
1094285,2016-01-28,TDY,VanWees Jason,,0001094285-16-000168,2016-01-26,A,1362.0,83.27,25017.293,D,,,,,,
1094285,2016-01-28,TDY,Cibik Melanie Susan,,0001094285-16-000166,2016-01-26,A,1424.0,83.27,28067.0207,D,,,,,,
1094285,2016-01-28,TDY,Bobb George C III,,0001094285-16-000164,2016-01-26,A,1255.0,83.27,5964.8507,D,,,,,,
1094285,2016-01-28,TDY,MAIN SUE,,0001094285-16-000162,2016-01-26,A,2354.0,83.27,32179.479,D,,,,,,
1094285,2016-01-28,TDY,MEHRABIAN ROBERT,,0001094285-16-000160,2016-01-26,D,152.0,0.0,237286.0,D,,,,,,
1094285,2016-01-28,TDY,MEHRABIAN ROBERT,,0001094285-16-000160,2016-01-26,A,11468.0,83.27,248754.0,D,,,,,,
1094285,2016-01-28,TDY,PICHELLI ALDO,,0001094285-16-000158,2016-01-26,A,3962.0,83.27,78108.4657,D,,,,,,
1094285,2016-01-28,TDY,Belak Cynthia Y,,0001094285-16-000156,2016-01-26,A,1163.0,83.27,5257.6394,D,,,,,,
1094285,2016-02-09,TDY,VanWees Jason,,0001094285-16-000174,2016-02-08,M,3000.0,39.47,28017.293,D,,,,,,
1094285,2016-03-08,TDY,SMITH MICHAEL T,,0001094285-16-000179,2016-03-07,M,239.0,25.06,28333.0,D,,,,,,
1094285,2016-03-08,TDY,SMITH MICHAEL T,,0001094285-16-000179,2016-03-07,S,5323.0,90.0,28094.0,D,,,,,,
1094285,2016-03-08,TDY,SMITH MICHAEL T,,0001094285-16-000179,2016-03-08,M,929.0,21.52,29023.0,D,,,,,,
1094285,2016-04-25,TDY,Sherburne Jane Cecile,,0001094285-16-000195,2016-04-22,M,1002.0,,1093.0,D,,,,,,
1094285,2016-04-25,TDY,MILLER PAUL DAVID,,0001094285-16-000194,2016-04-22,M,1002.0,,19741.0,D,,,,,,
1094285,2016-04-25,TDY,DAHLBERG KENNETH C,,0001094285-16-000193,2016-04-22,M,1002.0,,10012.0,D,,,,,,
1094285,2016-04-25,TDY,CROCKER CHARLES,,0001094285-16-000192,2016-04-22,M,1002.0,,41524.0,D,,,,,,
1094285,2016-04-25,TDY,SMITH MICHAEL T,,0001094285-16-000191,2016-04-22,M,1002.0,,30025.0,D,,,,,,
1094285,2016-04-25,TDY,CAHOUET FRANK V,,0001094285-16-000190,2016-04-22,M,1002.0,,124437.0,D,,,,,,
1094285,2016-04-25,TDY,LORNE SIMON M,,0001094285-16-000189,2016-04-22,M,1002.0,,28051.0,D,,,,,,
1094285,2016-04-25,TDY,VON SCHACK WESLEY W,,0001094285-16-000188,2016-04-22,M,1002.0,,10600.0,D,,,,,,
1094285,2016-04-27,TDY,LORNE SIMON M,,0001094285-16-000214,2016-04-27,A,1145.0,0.0,29196.0,D,,,,,,
1094285,2016-04-27,TDY,Sherburne Jane Cecile,,0001094285-16-000216,2016-04-27,A,1145.0,0.0,2238.0,D,,,,,,
1094285,2016-04-27,TDY,MILLER PAUL DAVID,,0001094285-16-000212,2016-04-27,A,1145.0,0.0,20886.0,D,,,,,,
1094285,2016-04-27,TDY,SMITH MICHAEL T,,0001094285-16-000211,2016-04-27,A,1145.0,0.0,31170.0,D,,,,,,
1094285,2016-04-27,TDY,AUSTIN ROXANNE S,,0001094285-16-000208,2016-04-27,A,1145.0,0.0,6639.0,D,,,,,,
1094285,2016-04-27,TDY,CROCKER CHARLES,,0001094285-16-000213,2016-04-27,A,1145.0,0.0,42669.0,D,,,,,,
1094285,2016-04-27,TDY,DAHLBERG KENNETH C,,0001094285-16-000209,2016-04-27,A,1145.0,0.0,11157.0,D,,,,,,
1094285,2016-04-27,TDY,Malone Robert A,,0001094285-16-000215,2016-04-27,A,1145.0,0.0,1145.0,D,,,,,,
1094285,2016-04-27,TDY,VON SCHACK WESLEY W,,0001094285-16-000210,2016-04-27,A,1145.0,0.0,11745.0,D,,,,,,
1094285,2016-05-16,TDY,VON SCHACK WESLEY W,,0001094285-16-000227,2016-05-16,M,4000.0,32.84,15745.0,D,,,,,,
1094285,2016-05-16,TDY,VON SCHACK WESLEY W,,0001094285-16-000227,2016-05-16,S,4000.0,94.0,11745.0,D,,,,,,
1094285,2016-07-01,TDY,Malone Robert A,,0001094285-16-000236,2016-07-01,M,516.0,0.0,1661.0,D,,,,,,
1094285,2016-08-08,TDY,MEHRABIAN ROBERT,,0001094285-16-000243,2016-08-08,S,35000.0,105.5747,248754.0,D,,,,,,
1094285,2016-08-08,TDY,MEHRABIAN ROBERT,,0001094285-16-000243,2016-08-08,M,35000.0,39.47,283754.0,D,,,,,,
1094285,2016-08-09,TDY,VanWees Jason,,0001094285-16-000251,2016-08-08,S,3000.0,105.4407,28017.293,D,,,,,,
1094285,2016-08-09,TDY,AUSTIN ROXANNE S,,0001094285-16-000249,2016-08-08,M,4000.0,46.0,10639.0,D,,,,,,
1094285,2016-08-09,TDY,AUSTIN ROXANNE S,,0001094285-16-000249,2016-08-08,S,4000.0,105.5492,6639.0,D,,,,,,
1094285,2016-08-09,TDY,PICHELLI ALDO,,0001094285-16-000253,2016-08-08,M,3094.0,39.47,81202.4657,D,,,,,,
1094285,2016-08-09,TDY,PICHELLI ALDO,,0001094285-16-000253,2016-08-08,S,3094.0,106.0553,78108.4657,D,,,,,,
1094285,2016-08-09,TDY,PICHELLI ALDO,,0001094285-16-000253,2016-08-09,M,5441.0,39.47,83549.4657,D,,,,,,
1094285,2016-08-09,TDY,PICHELLI ALDO,,0001094285-16-000253,2016-08-09,S,5441.0,106.0,78108.4657,D,,,,,,
1094285,2016-08-09,TDY,VanWees Jason,,0001094285-16-000251,2016-08-08,M,3000.0,39.47,31017.293,D,,,,,,
1094285,2016-08-10,TDY,PICHELLI ALDO,,0001094285-16-000255,2016-08-10,S,1465.0,106.0,78108.4657,D,,,,,,
