cik,filingDate,issuerTradingSymbol,reportingOwnerName,reportingOwnerRelationship,accessionNumber,transactionDate,transactionCode,transactionShares,transactionPricePerShare,sharesOwnedFollowingTransaction,directOrIndirectOwnership,transactionType,securityTitle,underlyingSecurityTitle,underlyingSecurityShares,exercisePrice,expirationDate
842023,2016-02-08,TECH,LUCAS ROGER C,isDirector,0001562180-16-001537,2016-02-05,M,5000.0,70.35,9515.0,D,,,,,,
842023,2016-02-08,TECH,LUCAS ROGER C,isDirector,0001562180-16-001537,2016-02-05,S,5000.0,83.68,4515.0,D,,,,,,
842023,2016-03-18,TECH,LUCAS ROGER C,isDirector,0001562180-16-002001,2016-03-16,S,100.0,92.9,4415.0,D,,,,,,
842023,2016-04-04,TECH,Hippel James,isOfficer,0001562180-16-002064,2016-03-31,M,1666.0,,6100.0,D,,,,,,
842023,2016-04-04,TECH,Hippel James,isOfficer,0001562180-16-002064,2016-03-31,F,556.0,94.52,5544.0,D,,,,,,
842023,2016-04-22,TECH,LUCAS ROGER C,,0000914190-16-000627,2016-04-20,S,100.0,92.4,4315.0,D,,,,,,
842023,2016-05-09,TECH,Dinarello Charles A,isDirector,0001562180-16-002218,2016-05-05,M,5000.0,56.17,11559.0,D,,,,,,
842023,2016-05-09,TECH,LUCAS ROGER C,isDirector,0001562180-16-002217,2016-05-06,S,500.0,100.24,3915.0,D,,,,,,
842023,2016-05-10,TECH,Dinarello Charles A,isDirector,0001562180-16-002300,2016-05-09,S,5000.0,101.91,6559.0,D,,,,,,
842023,2016-05-19,TECH,LUCAS ROGER C,isDirector,0001562180-16-002393,2016-05-18,S,100.0,102.53,3815.0,D,,,,,,
842023,2016-06-16,TECH,LUCAS ROGER C,isDirector,0001562180-16-002639,2016-06-15,S,100.0,112.15,3715.0,D,,,,,,
842023,2016-07-06,TECH,Furlow Brenda S.,,0000914190-16-000691,2016-07-01,F,277.0,112.24,1946.0,D,,,,,,
842023,2016-07-06,TECH,Eansor Norman David,,0000914190-16-000690,2016-07-01,F,533.0,112.24,3936.0,D,,,,,,
842023,2016-07-12,TECH,Gould Kevin S,isOfficer,0001562180-16-002785,2016-07-09,F,309.0,115.17,2191.0,D,,,,,,
842023,2016-07-21,TECH,LUCAS ROGER C,isDirector,0001562180-16-002829,2016-07-20,S,100.0,111.03,3615.0,D,,,,,,
842023,2016-08-19,TECH,LUCAS ROGER C,,0000914190-16-000750,2016-08-17,S,100.0,113.7,3415.0,D,,,,,,
842023,2016-08-22,TECH,Kummeth Charles R.,,0000914190-16-000760,2016-08-18,A,16653.0,0.0,61030.0,D,,,,,,
842023,2016-08-26,TECH,BAUMGARTNER ROBERT V,,0000914190-16-000797,2016-08-24,M,3533.0,66.59,9592.0,D,,,,,,
842023,2016-08-26,TECH,BAUMGARTNER ROBERT V,,0000914190-16-000797,2016-08-24,S,3533.0,107.0981,6059.0,D,,,,,,
842023,2016-09-06,TECH,BAUMGARTNER ROBERT V,,0000914190-16-000813,2016-09-01,M,2387.0,65.47,8446.0,D,,,,,,
842023,2016-09-06,TECH,BAUMGARTNER ROBERT V,,0000914190-16-000813,2016-09-01,S,3854.0,107.175,6059.0,D,,,,,,
842023,2016-09-06,TECH,BAUMGARTNER ROBERT V,,0000914190-16-000813,2016-09-02,M,2613.0,65.47,8672.0,D,,,,,,
842023,2016-09-06,TECH,BAUMGARTNER ROBERT V,,0000914190-16-000813,2016-09-02,S,2613.0,107.1514,6059.0,D,,,,,,
842023,2016-09-12,TECH,Gould Kevin S,,0000914190-16-000832,2016-09-08,S,524.0,110.503,1667.0,D,,,,,,
842023,2016-09-12,TECH,HIGGINS JOHN L,,0000914190-16-000831,2016-09-08,S,1700.0,109.8329,1359.0,D,,,,,,
842023,2016-09-23,TECH,LUCAS ROGER C,,0000914190-16-000839,2016-09-21,S,100.0,108.91,3315.0,D,,,,,,
842023,2016-10-31,TECH,STEER RANDOLPH C,,0000914190-16-000857,2016-10-27,A,914.0,0.0,2973.0,D,,,,,,
