cik,filingDate,issuerTradingSymbol,reportingOwnerName,reportingOwnerRelationship,accessionNumber,transactionDate,transactionCode,transactionShares,transactionPricePerShare,sharesOwnedFollowingTransaction,directOrIndirectOwnership,transactionType,securityTitle,underlyingSecurityTitle,underlyingSecurityShares,exercisePrice,expirationDate
1385157,2017-01-30,TEL,Wainwright Joan,,0001225208-17-002008,2017-01-30,M,25200.0,34.05,65018.0,D,,,,,,
1385157,2017-01-30,TEL,Wainwright Joan,,0001225208-17-002008,2017-01-30,S,43138.0,73.8146,39818.0,D,,,,,,
1385157,2017-01-30,TEL,O'Toole James,,0001225208-17-002007,2017-01-30,M,20988.0,34.05,32688.0,D,,,,,,
1385157,2017-01-30,TEL,O'Toole James,,0001225208-17-002007,2017-01-30,S,32688.0,73.4,0.0,D,,,,,,
1385157,2017-02-02,TEL,LYNCH THOMAS J,,0001225208-17-002218,2017-02-01,M,123633.0,24.6,462420.0,D,,,,,,
1385157,2017-02-02,TEL,LYNCH THOMAS J,,0001225208-17-002218,2017-02-01,S,8100.0,74.8119,454320.0,D,,,,,,
1385157,2017-02-06,TEL,RESCH ERIC,,0001225208-17-002397,2017-02-03,M,19800.0,39.97,48788.0,D,,,,,,
1385157,2017-02-06,TEL,RESCH ERIC,,0001225208-17-002397,2017-02-03,S,35550.0,74.7583,28988.0,D,,,,,,
1385157,2017-02-06,TEL,CALASTRI MARIO,,0001225208-17-002396,2017-02-03,M,17600.0,39.97,46678.0,D,,,,,,
1385157,2017-02-06,TEL,CALASTRI MARIO,,0001225208-17-002396,2017-02-03,S,17600.0,74.65,29078.0,D,,,,,,
1385157,2017-02-13,TEL,CURTIN TERRENCE R,,0001225208-17-002927,2017-02-10,M,125000.0,33.73,165181.0,D,,,,,,
1385157,2017-02-13,TEL,CURTIN TERRENCE R,,0001225208-17-002927,2017-02-10,S,150000.0,75.0252,40181.0,D,,,,,,
1385157,2017-02-22,TEL,Donahue Joseph B,,0001225208-17-004066,2017-02-22,S,6832.0,74.8729,47509.0,D,,,,,,
1385157,2017-02-28,TEL,Murphy Tim,,0001225208-17-004815,2017-02-27,S,1752.0,74.4646,4084.0,D,,,,,,
1385157,2017-03-02,TEL,LYNCH THOMAS J,,0001225208-17-005265,2017-02-21,G,20000.0,0.0,318787.0,D,,,,,,
1385157,2017-03-02,TEL,LYNCH THOMAS J,,0001225208-17-005265,2017-03-01,M,131875.0,33.73,450662.0,D,,,,,,
1385157,2017-03-02,TEL,LYNCH THOMAS J,,0001225208-17-005265,2017-03-01,S,15519.0,75.3562,435143.0,D,,,,,,
1385157,2017-03-10,TEL,TALWALKAR ABHIJIT Y,,0001225208-17-006063,2017-03-09,A,1438.0,0.0,1438.0,D,,,,,,
1385157,2017-03-10,TEL,Rock Kevin N,,0001225208-17-006062,2017-03-09,M,291.0,0.0,17102.0,D,,,,,,
1385157,2017-03-10,TEL,Rock Kevin N,,0001225208-17-006062,2017-03-09,F,110.0,74.3879,16992.0,D,,,,,,
1385157,2017-03-10,TEL,CURTIN TERRENCE R,,0001225208-17-006061,2017-03-09,M,547.0,0.0,40728.0,D,,,,,,
1385157,2017-03-10,TEL,CURTIN TERRENCE R,,0001225208-17-006061,2017-03-09,F,253.0,74.3879,40475.0,D,,,,,,
1385157,2017-04-04,TEL,LYNCH THOMAS J,,0001225208-17-007225,2017-04-03,M,131875.0,33.73,450662.0,D,,,,,,
1385157,2017-04-04,TEL,LYNCH THOMAS J,,0001225208-17-007225,2017-04-03,S,23982.0,74.3767,426680.0,D,,,,,,
