cik,filingDate,issuerTradingSymbol,reportingOwnerName,reportingOwnerRelationship,accessionNumber,transactionDate,transactionCode,transactionShares,transactionPricePerShare,sharesOwnedFollowingTransaction,directOrIndirectOwnership,transactionType,securityTitle,underlyingSecurityTitle,underlyingSecurityShares,exercisePrice,expirationDate
97210,2016-01-26,TER,Beecher Gregory R,,0001127602-16-037971,2016-01-25,M,14492.0,19.44,113115.0,D,,,,,,
97210,2016-01-26,TER,BRADLEY MICHAEL A,,0001127602-16-037964,2016-01-25,F,9816.0,19.44,153748.0,D,,,,,,
97210,2016-01-26,TER,BRADLEY MICHAEL A,,0001127602-16-037964,2016-01-25,M,32608.0,19.44,163564.0,D,,,,,,
97210,2016-01-26,TER,Robbins Brad,,0001127602-16-037969,2016-01-25,F,2517.0,19.44,43697.0,D,,,,,,
97210,2016-01-26,TER,JAGIELA MARK E,,0001127602-16-037966,2016-01-25,F,6075.0,19.44,279824.0,D,,,,,,
97210,2016-01-26,TER,Gray Charles Jeffrey,,0001127602-16-037962,2016-01-25,M,6944.0,19.44,59343.0,D,,,,,,
97210,2016-01-26,TER,Beecher Gregory R,,0001127602-16-037971,2016-01-25,F,4687.0,19.44,108428.0,D,,,,,,
97210,2016-01-26,TER,Robbins Brad,,0001127602-16-037969,2016-01-25,M,6002.0,19.44,46214.0,D,,,,,,
97210,2016-01-26,TER,Gray Charles Jeffrey,,0001127602-16-037962,2016-01-25,F,2333.0,19.44,57010.0,D,,,,,,
97210,2016-01-26,TER,JAGIELA MARK E,,0001127602-16-037966,2016-01-25,M,18720.0,19.44,285899.0,D,,,,,,
97210,2016-01-26,TER,Vahey Walter G.,,0001127602-16-037970,2016-01-25,F,1884.0,19.44,51189.0,D,,,,,,
97210,2016-01-26,TER,Vahey Walter G.,,0001127602-16-037970,2016-01-25,M,5496.0,19.44,53073.0,D,,,,,,
97210,2016-01-28,TER,Vahey Walter G.,,0001127602-16-038132,2016-01-27,M,3688.0,19.94,58221.0,D,,,,,,
97210,2016-01-28,TER,Robbins Brad,,0001127602-16-038134,2016-01-27,M,3835.0,19.94,51283.0,D,,,,,,
97210,2016-01-28,TER,Robbins Brad,,0001127602-16-038134,2016-01-27,F,1442.0,19.94,49841.0,D,,,,,,
97210,2016-01-28,TER,BRADLEY MICHAEL A,,0001127602-16-038130,2016-01-27,F,11680.0,19.94,179162.0,D,,,,,,
97210,2016-01-28,TER,Vahey Walter G.,,0001127602-16-038132,2016-01-27,F,1197.0,19.94,57024.0,D,,,,,,
97210,2016-01-28,TER,BRADLEY MICHAEL A,,0001127602-16-038130,2016-01-27,M,26128.0,19.94,190842.0,D,,,,,,
97210,2016-01-28,TER,Beecher Gregory R,,0001127602-16-038142,2016-01-27,M,11726.0,19.94,129449.0,D,,,,,,
97210,2016-01-28,TER,JAGIELA MARK E,,0001127602-16-038140,2016-01-27,F,4050.0,19.94,302500.0,D,,,,,,
97210,2016-01-28,TER,Beecher Gregory R,,0001127602-16-038142,2016-01-27,F,3806.0,19.94,125643.0,D,,,,,,
97210,2016-01-28,TER,Gray Charles Jeffrey,,0001127602-16-038136,2016-01-27,F,2040.0,19.94,65633.0,D,,,,,,
97210,2016-01-28,TER,Gray Charles Jeffrey,,0001127602-16-038136,2016-01-27,M,6284.0,19.94,67673.0,D,,,,,,
97210,2016-01-28,TER,JAGIELA MARK E,,0001127602-16-038140,2016-01-27,M,11726.0,19.94,306550.0,D,,,,,,
97210,2016-02-02,TER,Gray Charles Jeffrey,,0001127602-16-039207,2016-02-01,F,1157.0,19.47,70161.0,D,,,,,,
97210,2016-02-02,TER,Vahey Walter G.,,0001127602-16-039203,2016-02-01,M,2624.0,19.47,59648.0,D,,,,,,
97210,2016-02-02,TER,JAGIELA MARK E,,0001127602-16-039214,2016-02-01,F,7596.0,19.47,314151.0,D,,,,,,
97210,2016-02-02,TER,Robbins Brad,,0001127602-16-039195,2016-02-01,M,2624.0,19.47,52465.0,D,,,,,,
97210,2016-02-02,TER,Gray Charles Jeffrey,,0001127602-16-039207,2016-02-02,S,17000.0,19.21,53161.0,D,,,,,,
97210,2016-02-02,TER,Vahey Walter G.,,0001127602-16-039203,2016-02-01,F,852.0,19.47,58796.0,D,,,,,,
97210,2016-02-02,TER,Gray Charles Jeffrey,,0001127602-16-039207,2016-02-01,M,3563.0,19.47,71318.0,D,,,,,,
97210,2016-02-02,TER,Beecher Gregory R,,0001127602-16-039212,2016-02-01,M,7735.0,19.47,137338.0,D,,,,,,
97210,2016-02-02,TER,JAGIELA MARK E,,0001127602-16-039214,2016-02-01,M,16143.0,19.47,321747.0,D,,,,,,
97210,2016-02-02,TER,Robbins Brad,,0001127602-16-039195,2016-02-01,F,987.0,19.47,51478.0,D,,,,,,
97210,2016-02-02,TER,Beecher Gregory R,,0001127602-16-039212,2016-02-01,F,3416.0,19.47,133922.0,D,,,,,,
97210,2016-03-21,TER,BRADLEY MICHAEL A,,0001127602-16-047031,2016-03-17,S,1535.0,20.735,184851.0,D,,,,,,
97210,2016-03-21,TER,BRADLEY MICHAEL A,,0001127602-16-047031,2016-03-18,S,4300.0,21.21,160086.0,D,,,,,,
97210,2016-05-12,TER,CHRISTMAN DANIEL W,,0001127602-16-051952,2016-05-10,M,7335.0,18.95,24596.0,D,,,,,,
97210,2016-05-12,TER,BRADLEY MICHAEL A,,0001127602-16-051968,2016-05-10,M,7335.0,18.95,159721.0,D,,,,,,
97210,2016-05-12,TER,CHRISTMAN DANIEL W,,0001127602-16-051952,2016-05-11,S,3668.0,18.86,20928.0,D,,,,,,
97210,2016-05-12,TER,GILLIS EDWIN J,,0001127602-16-052010,2016-05-10,M,7335.0,18.95,81403.0,D,,,,,,
97210,2016-05-12,TER,JOHNSON MERCEDES,,0001127602-16-051991,2016-05-10,M,7335.0,18.95,13538.0,D,,,,,,
