cik,filingDate,issuerTradingSymbol,reportingOwnerName,reportingOwnerRelationship,accessionNumber,transactionDate,transactionCode,transactionShares,transactionPricePerShare,sharesOwnedFollowingTransaction,directOrIndirectOwnership,transactionType,securityTitle,underlyingSecurityTitle,underlyingSecurityShares,exercisePrice,expirationDate
92230,2019-12-10,TFC,SCRUGGS FRANK P JR,,0000899243-19-028879,2019-12-06,A,9713.0,,9713.0,D,,,,,,
92230,2019-12-10,TFC,VOORHEES STEVEN C,,0000899243-19-028878,2019-12-06,A,12950.0,,12950.0,D,,,,,,
92230,2019-12-10,TFC,FITZSIMMONS ELLEN M,,0000899243-19-028874,2019-12-06,A,1574.0,,1614.0,D,,,,,,
92230,2019-12-10,TFC,MOREA DONNA S,,0000899243-19-028871,2019-12-06,A,36487.0,,36487.0,D,,,,,,
92230,2019-12-10,TFC,Case Scott,,0000899243-19-028869,2019-12-06,A,1234.0,,1234.0,D,,,,,,
92230,2019-12-10,TFC,RATCLIFFE DAVID M,,0000899243-19-028867,2019-12-06,A,25900.0,,25900.0,I,,,,,,
92230,2019-12-10,TFC,GARCIA PAUL R,,0000899243-19-028865,2019-12-06,A,20459.0,,21108.0,D,,,,,,
92230,2019-12-10,TFC,Scanlan Agnes Bundy,,0000899243-19-028863,2019-12-06,A,3285.0,,3285.0,D,,,,,,
92230,2019-12-10,TFC,ROGERS WILLIAM H JR,,0000899243-19-028862,2019-12-06,A,862885.0,,862885.0,D,,,,,,
92230,2019-12-10,TFC,Koebler Ellen,,0000899243-19-028858,2019-12-06,A,5955.0,,5955.0,D,,,,,,
92230,2019-12-10,TFC,Cummins Hugh S. III,,0000899243-19-028854,2019-12-06,A,88583.0,,88583.0,D,,,,,,
92230,2019-12-10,TFC,Thompson Joseph M,,0000899243-19-028851,2019-12-06,A,1699.0,,1699.0,I,,,,,,
92230,2019-12-12,TFC,QUBEIN NIDO R,,0001225208-19-015699,2019-12-11,S,2457.0,54.2295,42402.0,D,,,,,,
92230,2019-12-12,TFC,VOORHEES STEVEN C,,0001225208-19-015698,2019-12-10,P,5000.0,55.1575,17950.0,D,,,,,,
92230,2019-12-20,TFC,KING KELLY S,,0001225208-19-016022,2019-12-18,G,8979.0,0.0,356827.747,D,,,,,,
92230,2020-01-29,TFC,Powell Cynthia B,,0001225208-20-001299,2020-01-27,A,1057.0,0.0,1057.0,D,,,,,,
92230,2020-01-29,TFC,Wilson Donta L,,0001225208-20-001298,2020-01-27,A,5378.0,0.0,9422.099,D,,,,,,
