cik,filingDate,issuerTradingSymbol,reportingOwnerName,reportingOwnerRelationship,accessionNumber,transactionDate,transactionCode,transactionShares,transactionPricePerShare,sharesOwnedFollowingTransaction,directOrIndirectOwnership,transactionType,securityTitle,underlyingSecurityTitle,underlyingSecurityShares,exercisePrice,expirationDate
109198,2016-02-02,TJX,Herrman Ernie,,0001209191-16-094683,2016-01-29,A,70186.0,0.0,460186.0,D,,,,,,
109198,2016-02-02,TJX,MEYROWITZ CAROL,,0001209191-16-094668,2016-01-29,A,140371.0,0.0,519331.0,D,,,,,,
109198,2016-02-29,TJX,MacMillan Michael,,0001209191-16-103522,2016-02-26,M,9596.0,45.17,166611.0,D,,,,,,
109198,2016-02-29,TJX,MacMillan Michael,,0001209191-16-103522,2016-02-26,S,37015.0,74.629,120000.0,D,,,,,,
109198,2016-02-29,TJX,LANE AMY B,,0001209191-16-103306,2016-02-26,S,750.0,75.637,15308.0,D,,,,,,
109198,2016-03-01,TJX,Goldenberg Scott,,0001209191-16-103990,2016-02-29,M,15500.0,45.17,107565.0,D,,,,,,
109198,2016-03-01,TJX,Goldenberg Scott,,0001209191-16-103990,2016-02-29,S,4672.0,74.9229,87393.0,D,,,,,,
109198,2016-03-01,TJX,Herrman Ernie,,0001209191-16-103983,2016-02-29,M,25000.0,20.565,485186.0,D,,,,,,
109198,2016-03-04,TJX,Herrman Ernie,,0001209191-16-106192,2016-03-04,M,20000.0,26.555,480186.0,D,,,,,,
109198,2016-03-08,TJX,MEYROWITZ CAROL,,0001209191-16-106988,2016-03-04,S,53000.0,75.4557,466331.0,D,,,,,,
109198,2016-03-30,TJX,MEYROWITZ CAROL,,0001209191-16-111097,2016-03-28,F,117738.0,77.76,336793.0,D,,,,,,
109198,2016-03-30,TJX,MEYROWITZ CAROL,,0001209191-16-111097,2016-03-29,A,63598.0,0.0,400391.0,D,,,,,,
109198,2016-03-30,TJX,Herrman Ernie,,0001209191-16-111096,2016-03-29,A,114475.0,0.0,574661.0,D,,,,,,
109198,2016-03-31,TJX,Goldenberg Scott,,0001209191-16-111190,2016-03-29,A,35000.0,0.0,122393.0,D,,,,,,
109198,2016-03-31,TJX,MacMillan Michael,,0001209191-16-111189,2016-03-29,A,40000.0,0.0,160000.0,D,,,,,,
109198,2016-03-31,TJX,Sherr Richard,,0001209191-16-111192,2016-03-29,A,40000.0,0.0,155000.0,D,,,,,,
109198,2016-03-31,TJX,Canestrari Kenneth,,0001209191-16-111191,2016-03-29,A,25000.0,0.0,76268.0,D,,,,,,
109198,2016-04-18,TJX,Sherr Richard,,0001209191-16-114593,2016-04-15,F,2353.0,77.3,152647.0,D,,,,,,
109198,2016-04-18,TJX,Canestrari Kenneth,,0001209191-16-114590,2016-04-15,F,4696.0,77.3,71572.0,D,,,,,,
109198,2016-04-18,TJX,MacMillan Michael,,0001209191-16-114580,2016-04-15,F,18820.0,77.3,141180.0,D,,,,,,
109198,2016-04-18,TJX,Herrman Ernie,,0001209191-16-114577,2016-04-15,F,61224.0,77.3,513437.0,D,,,,,,
109198,2016-04-18,TJX,Goldenberg Scott,,0001209191-16-114561,2016-04-15,F,9429.0,77.3,112964.0,D,,,,,,
109198,2016-04-18,TJX,Goldenberg Scott,,0001209191-16-114561,2016-04-18,S,7393.0,77.15,105571.0,D,,,,,,
109198,2016-05-23,TJX,Herrman Ernie,,0001209191-16-122495,2016-05-20,S,24000.0,75.7503,469437.0,D,,,,,,
109198,2016-05-23,TJX,Herrman Ernie,,0001209191-16-122495,2016-05-19,S,20000.0,75.5,493437.0,D,,,,,,
109198,2016-05-23,TJX,Sherr Richard,,0001209191-16-122525,2016-05-19,S,1032.0,75.3601,137500.0,D,,,,,,
109198,2016-05-23,TJX,Sherr Richard,,0001209191-16-122525,2016-05-23,S,15000.0,75.47,122500.0,D,,,,,,
109198,2016-05-23,TJX,Goldenberg Scott,,0001209191-16-122505,2016-05-19,M,11760.0,56.72,107331.0,D,,,,,,
109198,2016-05-26,TJX,Herrman Ernie,,0001209191-16-123417,2016-05-24,S,24776.0,75.4007,444661.0,D,,,,,,
109198,2016-06-02,TJX,MEYROWITZ CAROL,,0001209191-16-124930,2016-06-01,S,64160.0,76.5595,336231.0,D,,,,,,
109198,2016-06-09,TJX,CHING DAVID T,,0001209191-16-126867,2016-06-07,M,1158.0,0.0,14572.0,D,,,,,,
109198,2016-06-09,TJX,SHIRE WILLOW B,,0001209191-16-126877,2016-06-07,M,1158.0,0.0,17322.0,D,,,,,,
109198,2016-06-09,TJX,Alvarez Jose B,,0001209191-16-126866,2016-06-07,M,1158.0,0.0,1858.0,D,,,,,,
109198,2016-06-09,TJX,SWANSON WILLIAM H,,0001209191-16-126900,2016-06-07,M,1158.0,0.0,5240.0,D,,,,,,
109198,2016-06-09,TJX,OBRIEN JOHN F,,0001209191-16-126872,2016-06-07,M,1158.0,0.0,60130.0,D,,,,,,
109198,2016-06-09,TJX,Abdalla Zein,,0001209191-16-126910,2016-06-07,M,1158.0,0.0,10282.0,D,,,,,,
109198,2016-06-09,TJX,LANE AMY B,,0001209191-16-126869,2016-06-07,M,1158.0,0.0,16466.0,D,,,,,,
109198,2016-06-15,TJX,MEYROWITZ CAROL,,0001209191-16-128003,2016-06-13,M,11383.0,18.87,347614.0,D,,,,,,
109198,2016-06-15,TJX,MEYROWITZ CAROL,,0001209191-16-128003,2016-06-14,M,30000.0,20.565,366231.0,D,,,,,,
109198,2016-06-16,TJX,Alvarez Jose B,,0001209191-16-128109,2016-06-15,S,1158.0,76.5138,700.0,D,,,,,,
109198,2016-09-21,TJX,Sherr Richard,,0001209191-16-142330,2016-09-20,M,7640.0,56.72,127640.0,D,,,,,,
109198,2016-11-23,TJX,Canestrari Kenneth,,0001209191-16-151920,2016-11-22,S,6701.0,79.5554,64871.0,D,,,,,,
109198,2016-11-28,TJX,SHIRE WILLOW B,,0001209191-16-152127,2016-11-23,G,180.0,,17142.0,D,,,,,,
109198,2016-11-30,TJX,MEYROWITZ CAROL,,0001209191-16-152528,2016-11-30,M,63680.0,45.17,399911.0,D,,,,,,
109198,2017-02-24,TJX,Herrman Ernie,,0001209191-17-014423,2017-02-24,M,25000.0,26.555,469661.0,D,,,,,,
109198,2017-03-03,TJX,MacMillan Michael,,0001209191-17-017700,2017-03-03,M,7640.0,56.72,148820.0,D,,,,,,
109198,2017-03-03,TJX,MacMillan Michael,,0001209191-17-017700,2017-03-03,S,21180.0,78.5036,120000.0,D,,,,,,
109198,2017-03-03,TJX,Herrman Ernie,,0001209191-17-017283,2017-03-02,M,25000.0,26.555,469661.0,D,,,,,,
109198,2017-03-16,TJX,MEYROWITZ CAROL,,0001209191-17-021099,2017-03-16,M,35334.0,59.7,371565.0,D,,,,,,
109198,2017-03-16,TJX,MEYROWITZ CAROL,,0001209191-17-021004,2017-03-14,M,50710.0,56.72,386941.0,D,,,,,,
109198,2017-03-16,TJX,Herrman Ernie,,0001209191-17-021109,2017-03-16,M,20380.0,26.555,465041.0,D,,,,,,
109198,2017-04-05,TJX,Sherr Richard,,0001209191-17-025641,2017-04-04,A,40000.0,0.0,160000.0,D,,,,,,
109198,2017-04-05,TJX,MacMillan Michael,,0001209191-17-025634,2017-04-04,A,40000.0,0.0,160000.0,D,,,,,,
109198,2017-04-05,TJX,Goldenberg Scott,,0001209191-17-025630,2017-04-04,A,40000.0,0.0,135571.0,D,,,,,,
109198,2017-04-05,TJX,Canestrari Kenneth,,0001209191-17-025620,2017-04-04,A,30000.0,0.0,94871.0,D,,,,,,
109198,2017-04-05,TJX,Herrman Ernie,,0001209191-17-025526,2017-04-04,A,117325.0,0.0,561986.0,D,,,,,,
109198,2017-04-05,TJX,MEYROWITZ CAROL,,0001209191-17-025525,2017-04-03,F,33055.0,78.33,303176.0,D,,,,,,
109198,2017-04-05,TJX,MEYROWITZ CAROL,,0001209191-17-025525,2017-04-04,A,65181.0,0.0,368357.0,D,,,,,,
109198,2017-04-18,TJX,Goldenberg Scott,,0001209191-17-027262,2017-04-15,F,14156.0,76.81,121415.0,D,,,,,,
109198,2017-04-18,TJX,Canestrari Kenneth,,0001209191-17-027260,2017-04-15,F,4628.0,76.81,90243.0,D,,,,,,
109198,2017-04-18,TJX,Sherr Richard,,0001209191-17-027264,2017-04-15,F,2353.0,76.81,157647.0,D,,,,,,
109198,2017-04-18,TJX,Herrman Ernie,,0001209191-17-027261,2017-04-15,F,61165.0,76.81,500821.0,D,,,,,,
109198,2017-04-18,TJX,MacMillan Michael,,0001209191-17-027263,2017-04-15,F,18820.0,76.81,141180.0,D,,,,,,
109198,2017-04-19,TJX,Goldenberg Scott,,0001209191-17-027534,2017-04-19,S,15571.0,77.14,105844.0,D,,,,,,
109198,2017-04-21,TJX,Sherr Richard,,0001209191-17-027906,2017-04-21,S,20000.0,78.13,121179.0,D,,,,,,
109198,2017-05-19,TJX,Sherr Richard,,0001209191-17-033828,2017-05-17,S,1179.0,75.5807,120000.0,D,,,,,,
109198,2017-06-02,TJX,Canestrari Kenneth,,0001209191-17-037393,2017-06-01,S,4000.0,75.8028,86243.0,D,,,,,,
109198,2017-06-08,TJX,LANE AMY B,,0001209191-17-038618,2017-06-06,M,532.0,0.0,16998.0,D,,,,,,
109198,2017-06-08,TJX,SHIRE WILLOW B,,0001209191-17-038505,2017-06-06,M,1065.0,0.0,18207.0,D,,,,,,
109198,2017-06-08,TJX,Abdalla Zein,,0001209191-17-038493,2017-06-06,M,1065.0,0.0,11347.0,D,,,,,,
109198,2017-06-08,TJX,OBRIEN JOHN F,,0001209191-17-038489,2017-06-06,M,1065.0,0.0,61195.0,D,,,,,,
109198,2017-06-08,TJX,CHING DAVID T,,0001209191-17-038475,2017-06-06,M,1065.0,0.0,15637.0,D,,,,,,
109198,2017-06-08,TJX,Alvarez Jose B,,0001209191-17-038472,2017-06-06,M,1065.0,0.0,1765.0,D,,,,,,
109198,2017-09-05,TJX,Herrman Ernie,,0001209191-17-051222,2017-09-01,S,20000.0,72.5162,480821.0,D,,,,,,
109198,2017-09-11,TJX,Sherr Richard,,0001209191-17-052287,2017-09-11,M,9213.0,59.7,129213.0,D,,,,,,
109198,2017-09-21,TJX,Herrman Ernie,,0001209191-17-053585,2017-09-12,G,15000.0,0.0,465821.0,D,,,,,,
109198,2017-11-20,TJX,SHIRE WILLOW B,,0001209191-17-061847,2017-11-20,G,180.0,,18027.0,D,,,,,,
109198,2018-02-05,TJX,MEYROWITZ CAROL,,0001209191-18-007405,2018-02-03,F,31239.0,78.47,337118.0,D,,,,,,
109198,2018-03-02,TJX,Canestrari Kenneth,,0001209191-18-015692,2018-03-01,M,12350.0,56.72,98593.0,D,,,,,,
109198,2018-03-02,TJX,Goldenberg Scott,,0001209191-18-015715,2018-03-02,M,5880.0,56.72,112312.0,D,,,,,,
109198,2018-03-02,TJX,Herrman Ernie,,0001209191-18-015728,2018-03-02,S,11000.0,83.64,454821.0,D,,,,,,
109198,2018-03-02,TJX,Sherr Richard,,0001209191-18-015757,2018-03-01,M,15167.0,72.54,135167.0,D,,,,,,
109198,2018-03-02,TJX,MEYROWITZ CAROL,,0001209191-18-015802,2018-03-02,S,89242.0,83.7724,204856.0,D,,,,,,
109198,2018-03-02,TJX,MEYROWITZ CAROL,,0001209191-18-015802,2018-03-01,S,43020.0,83.7707,294098.0,D,,,,,,
109198,2018-03-02,TJX,LANE AMY B,,0001209191-18-015736,2018-03-01,S,1000.0,82.805,15998.0,D,,,,,,
109198,2018-03-07,TJX,Herrman Ernie,,0001209191-18-017676,2018-03-06,S,10000.0,84.0,444821.0,D,,,,,,
109198,2018-03-15,TJX,Herrman Ernie,,0001209191-18-019804,2018-03-13,S,12835.0,82.2639,431986.0,D,,,,,,
109198,2018-04-05,TJX,Sherr Richard,,0001209191-18-024075,2018-04-03,A,10495.0,0.0,130495.0,D,,,,,,
109198,2018-04-05,TJX,MEYROWITZ CAROL,,0001209191-18-024072,2018-04-03,A,14576.0,0.0,219432.0,D,,,,,,
109198,2018-04-05,TJX,Mizzi Douglas W.,,0001209191-18-024110,2018-04-03,A,5661.0,0.0,64575.0,D,,,,,,
109198,2018-04-05,TJX,Canestrari Kenneth,,0001209191-18-024040,2018-04-03,A,7665.0,0.0,93908.0,D,,,,,,
109198,2018-04-05,TJX,Herrman Ernie,,0001209191-18-024054,2018-04-03,A,27208.0,0.0,459194.0,D,,,,,,
109198,2018-04-05,TJX,Goldenberg Scott,,0001209191-18-024067,2018-04-03,A,9900.0,0.0,115744.0,D,,,,,,
109198,2018-04-16,TJX,Goldenberg Scott,,0001209191-18-024954,2018-04-15,F,13376.0,81.26,102368.0,D,,,,,,
109198,2018-04-16,TJX,Herrman Ernie,,0001209191-18-024955,2018-04-15,F,57785.0,81.26,401409.0,D,,,,,,
109198,2018-04-16,TJX,Canestrari Kenneth,,0001209191-18-024945,2018-04-15,F,8900.0,81.26,85008.0,D,,,,,,
109198,2018-04-16,TJX,MacMillan Michael,,0001209191-18-025010,2018-04-15,F,21412.0,81.26,119768.0,D,,,,,,
109198,2018-04-16,TJX,Mizzi Douglas W.,,0001209191-18-025024,2018-04-15,F,4392.0,81.26,60183.0,D,,,,,,
109198,2018-04-16,TJX,Sherr Richard,,0001209191-18-024956,2018-04-15,F,17780.0,81.26,112715.0,D,,,,,,
109198,2018-04-19,TJX,Sherr Richard,,0001209191-18-025594,2018-04-18,S,20000.0,83.67,92715.0,D,,,,,,
109198,2018-04-19,TJX,Goldenberg Scott,,0001209191-18-025588,2018-04-19,S,16344.0,83.01,86024.0,D,,,,,,
109198,2018-04-24,TJX,Abdalla Zein,,0001209191-18-026001,2017-08-11,G,10282.0,0.0,0.0,I,,,,,,
109198,2018-04-30,TJX,MacMillan Michael,,0001209191-18-026840,2018-04-27,D,40000.0,0.0,79768.0,D,,,,,,
109198,2018-05-24,TJX,Sherr Richard,,0001209191-18-032931,2018-05-23,S,2220.0,88.0291,90495.0,D,,,,,,
109198,2018-05-24,TJX,Herrman Ernie,,0001209191-18-032927,2018-05-23,M,27000.0,45.17,428409.0,D,,,,,,
109198,2018-05-24,TJX,LANE AMY B,,0001209191-18-032934,2018-05-23,S,500.0,88.05,15498.0,D,,,,,,
