cik,filingDate,issuerTradingSymbol,reportingOwnerName,reportingOwnerRelationship,accessionNumber,transactionDate,transactionCode,transactionShares,transactionPricePerShare,sharesOwnedFollowingTransaction,directOrIndirectOwnership,transactionType,securityTitle,underlyingSecurityTitle,underlyingSecurityShares,exercisePrice,expirationDate
97745,2018-07-03,TMO,Boxer Michael A,,0001127602-18-022524,2018-07-02,F,59.0,205.57,2461.0,D,,,,,,
97745,2018-07-24,TMO,Lagarde Michel,,0001127602-18-023778,2018-07-20,F,7055.0,216.08,41287.205,D,,,,,,
97745,2018-08-03,TMO,Durbin Patrick M,,0001127602-18-024604,2018-08-01,S,2500.0,234.0849,34177.0,D,,,,,,
97745,2018-08-03,TMO,Durbin Patrick M,,0001127602-18-024604,2018-08-01,M,5800.0,73.24,39977.0,D,,,,,,
97745,2018-08-08,TMO,CASPER MARC N,,0001127602-18-024969,2018-08-06,M,50000.0,46.56,320121.53,D,,,,,,
97745,2018-08-08,TMO,CASPER MARC N,,0001127602-18-024969,2018-08-06,S,8981.0,232.97,311140.53,D,,,,,,
97745,2018-08-08,TMO,ULLIAN ELAINE,,0001127602-18-024966,2018-08-06,G,858.0,0.0,7626.0,D,,,,,,
97745,2018-08-28,TMO,Williamson Stephen,,0001127602-18-026396,2018-08-25,F,641.0,234.71,35603.0,D,,,,,,
97745,2018-08-28,TMO,Williamson Stephen,,0001127602-18-026396,2018-08-24,F,721.0,234.71,36244.0,D,,,,,,
97745,2018-08-28,TMO,Stevenson Mark,,0001127602-18-026397,2018-08-27,F,581.0,237.92,78553.0,D,,,,,,
97745,2018-08-28,TMO,Stevenson Mark,,0001127602-18-026397,2018-08-25,F,1481.0,234.71,79134.0,D,,,,,,
97745,2018-08-28,TMO,Stevenson Mark,,0001127602-18-026397,2018-08-24,F,1534.0,234.71,80615.0,D,,,,,,
97745,2018-08-28,TMO,Lagarde Michel,,0001127602-18-026398,2018-08-27,F,147.0,237.92,41140.205,D,,,,,,
97745,2018-08-28,TMO,HORNSTRA PETER E,,0001127602-18-026400,2018-08-27,F,18.0,237.92,17977.0,D,,,,,,
97745,2018-08-28,TMO,HORNSTRA PETER E,,0001127602-18-026400,2018-08-25,F,54.0,234.71,17995.0,D,,,,,,
