cik,filingDate,issuerTradingSymbol,reportingOwnerName,reportingOwnerRelationship,accessionNumber,transactionDate,transactionCode,transactionShares,transactionPricePerShare,sharesOwnedFollowingTransaction,directOrIndirectOwnership,transactionType,securityTitle,underlyingSecurityTitle,underlyingSecurityShares,exercisePrice,expirationDate
1283699,2019-06-04,TMUS,McAuliffe Elizabeth A.,,0001283699-19-000080,2019-06-01,F,2114.0,73.44,62065.0,D,,,,,,
1283699,2019-06-17,TMUS,Taylor Teresa,,0001283699-19-000090,2019-06-13,A,2911.0,0.0,27017.0,D,,,,,,
1283699,2019-06-17,TMUS,Guffey Lawrence,,0001283699-19-000089,2019-06-13,A,2911.0,0.0,27017.0,D,,,,,,
1283699,2019-06-17,TMUS,WESTBROOK KELVIN R,,0001283699-19-000088,2019-06-13,A,2911.0,0.0,27017.0,D,,,,,,
1283699,2019-06-17,TMUS,Datar Srikant M.,,0001283699-19-000087,2019-06-13,A,2911.0,0.0,13593.0,D,,,,,,
1283699,2019-06-19,TMUS,SIEVERT G MICHAEL,,0001283699-19-000092,2019-06-17,S,4674.0,74.9171,533965.0,D,,,,,,
1283699,2019-06-19,TMUS,SIEVERT G MICHAEL,,0001283699-19-000092,2019-06-18,S,4650.0,76.0884,529315.0,D,,,,,,
1283699,2019-06-21,TMUS,Osvaldik Peter,,0001283699-19-000095,2019-06-20,F,1552.0,77.93,30211.0,D,,,,,,
1283699,2020-01-03,TMUS,Carter J Braxton II,,0001283699-20-000002,2019-12-31,F,68821.0,78.42,405300.0,D,,,,,,
1283699,2020-01-03,TMUS,Carter J Braxton II,,0001283699-20-000002,2019-12-31,A,174888.0,0.0,474121.0,D,,,,,,
1283699,2020-02-12,TMUS,Carter J Braxton II,,0001283699-20-000029,2020-02-10,D,342000.0,80.8856,25618.0,D,,,,,,
1283699,2020-02-19,TMUS,Ray Neville R,,0001283699-20-000038,2020-02-15,F,10446.0,96.48,353421.0,D,,,,,,
1283699,2020-02-19,TMUS,SIEVERT G MICHAEL,,0001283699-20-000039,2020-02-15,A,82843.0,0.0,596358.0,D,,,,,,
1283699,2020-02-19,TMUS,SIEVERT G MICHAEL,,0001283699-20-000039,2020-02-15,F,15800.0,96.48,513515.0,D,,,,,,
1283699,2020-02-19,TMUS,Ewens Peter A,,0001283699-20-000040,2020-02-15,A,20021.0,0.0,235653.0,D,,,,,,
1283699,2020-02-19,TMUS,Ewens Peter A,,0001283699-20-000040,2020-02-15,F,4753.0,96.48,215632.0,D,,,,,,
1283699,2020-02-19,TMUS,Osvaldik Peter,,0001283699-20-000041,2020-02-15,A,10874.0,0.0,39868.0,D,,,,,,
1283699,2020-02-19,TMUS,Ray Neville R,,0001283699-20-000038,2020-02-15,A,42572.0,0.0,395993.0,D,,,,,,
1283699,2020-02-19,TMUS,McAuliffe Elizabeth A.,,0001283699-20-000042,2020-02-15,F,2104.0,96.48,60054.0,D,,,,,,
1283699,2020-02-19,TMUS,LEGERE JOHN J,,0001283699-20-000043,2020-02-15,F,16454.0,96.48,1788030.0,D,,,,,,
1283699,2020-02-19,TMUS,Miller David A,,0001283699-20-000044,2020-02-15,A,23779.0,0.0,169724.0,D,,,,,,
1283699,2020-02-19,TMUS,Miller David A,,0001283699-20-000044,2020-02-15,F,4637.0,96.48,145945.0,D,,,,,,
1283699,2020-02-19,TMUS,CAREY DAVID R,,0001283699-20-000045,2020-01-09,G,4402.0,0.0,0.0,I,,,,,,
1283699,2020-02-19,TMUS,Osvaldik Peter,,0001283699-20-000041,2020-02-15,F,1217.0,96.48,28994.0,D,,,,,,
1283699,2020-02-19,TMUS,CAREY DAVID R,,0001283699-20-000045,2020-02-15,F,7079.0,96.48,284144.0,D,,,,,,
1283699,2020-02-27,TMUS,Ray Neville R,,0001283699-20-000054,2020-02-25,A,43068.0,0.0,439061.0,D,,,,,,
1283699,2020-02-27,TMUS,Osvaldik Peter,,0001283699-20-000055,2020-02-25,F,3829.0,94.58,43576.0,D,,,,,,
1283699,2020-02-27,TMUS,Osvaldik Peter,,0001283699-20-000055,2020-02-25,A,7537.0,0.0,47405.0,D,,,,,,
1283699,2020-02-27,TMUS,CAREY DAVID R,,0001283699-20-000056,2020-02-25,F,16676.0,94.58,300173.0,D,,,,,,
1283699,2020-02-27,TMUS,SIEVERT G MICHAEL,,0001283699-20-000053,2020-02-25,F,31745.0,94.58,625985.0,D,,,,,,
1283699,2020-02-27,TMUS,SIEVERT G MICHAEL,,0001283699-20-000053,2020-02-25,A,61372.0,0.0,657730.0,D,,,,,,
