cik,filingDate,issuerTradingSymbol,reportingOwnerName,reportingOwnerRelationship,accessionNumber,transactionDate,transactionCode,transactionShares,transactionPricePerShare,sharesOwnedFollowingTransaction,directOrIndirectOwnership,transactionType,securityTitle,underlyingSecurityTitle,underlyingSecurityShares,exercisePrice,expirationDate
1113169,2017-07-27,TROW,Oestreicher David,,0001127602-17-024223,2017-07-25,M,1803.0,54.8329,69284.5579,D,,,,,,
1113169,2017-07-27,TROW,Oestreicher David,,0001127602-17-024223,2017-07-25,A,196.135,71.1814,69480.6929,D,,,,,,
1113169,2017-07-27,TROW,Oestreicher David,,0001127602-17-024223,2017-07-25,F,8441.0,83.83,71904.6929,D,,,,,,
1113169,2017-07-27,TROW,MORELAND KENNETH V,,0001127602-17-024213,2017-07-26,M,9578.0,54.8329,134263.657,D,,,,,,
1113169,2017-07-27,TROW,MORELAND KENNETH V,,0001127602-17-024213,2017-07-26,F,7912.0,84.92,126351.657,D,,,,,,
1113169,2017-07-27,TROW,MORELAND KENNETH V,,0001127602-17-024213,2017-07-26,A,101.734,70.6564,126453.391,D,,,,,,
1113169,2017-07-27,TROW,Robert W. Sharps,,0001127602-17-024200,2017-07-25,M,20000.0,45.7933,482828.8741,D,,,,,,
1113169,2017-07-27,TROW,Robert W. Sharps,,0001127602-17-024200,2017-07-25,F,15513.0,83.83,467315.8741,D,,,,,,
1113169,2017-07-28,TROW,Robert W. Sharps,,0001127602-17-024299,2017-07-26,M,19539.0,47.6474,486854.8741,D,,,,,,
1113169,2017-07-28,TROW,Robert W. Sharps,,0001127602-17-024299,2017-07-26,F,15299.0,84.92,471555.8741,D,,,,,,
1113169,2017-07-31,TROW,WHITTEMORE ANNE M,,0001127602-17-024352,2017-07-27,M,4163.0,57.1768,28981.704,D,,,,,,
1113169,2017-07-31,TROW,WHITTEMORE ANNE M,,0001127602-17-024352,2017-07-27,S,8326.0,82.0253,24818.704,D,,,,,,
1113169,2017-07-31,TROW,Oestreicher David,,0001127602-17-024348,2017-07-27,M,10394.0,48.56,82298.6929,D,,,,,,
1113169,2017-07-31,TROW,Oestreicher David,,0001127602-17-024348,2017-07-27,S,10394.0,83.0725,71904.6929,D,,,,,,
1113169,2017-08-02,TROW,ROGERS BRIAN C,,0001127602-17-024731,2017-08-01,M,51921.0,43.3725,2316807.0,D,,,,,,
1113169,2017-08-02,TROW,ROGERS BRIAN C,,0001127602-17-024731,2017-08-01,F,63546.0,83.15,2305309.0,D,,,,,,
1113169,2017-08-04,TROW,Stromberg William J,,0001127602-17-024936,2017-07-26,G,5000.0,0.0,504375.107,D,,,,,,
1113169,2017-08-29,TROW,Wiese Edward A,,0001127602-17-026619,2017-08-28,F,5758.0,84.14,156766.61,D,,,,,,
1113169,2017-08-29,TROW,Wiese Edward A,,0001127602-17-026619,2017-08-28,A,121.586,72.3314,154198.61,D,,,,,,
1113169,2017-08-29,TROW,Wiese Edward A,,0001127602-17-026619,2017-08-28,M,1820.0,48.0508,156018.61,D,,,,,,
1113169,2017-08-31,TROW,Hiebler Jessica M,,0001127602-17-026762,2017-08-31,A,210.344,65.861,8460.5124,D,,,,,,
1113169,2017-08-31,TROW,Hiebler Jessica M,,0001127602-17-026762,2017-08-31,S,1000.0,84.292,7460.5124,D,,,,,,
1113169,2017-09-15,TROW,MORELAND KENNETH V,,0001127602-17-027472,2017-09-14,A,34.022,83.2791,126487.413,D,,,,,,
1113169,2017-09-15,TROW,MORELAND KENNETH V,,0001127602-17-027472,2017-09-14,M,25051.0,54.8329,151538.413,D,,,,,,
1113169,2017-09-15,TROW,MORELAND KENNETH V,,0001127602-17-027472,2017-09-14,F,20755.0,84.27,130783.413,D,,,,,,
1113169,2017-09-19,TROW,Alderson Christopher D,,0001127602-17-027658,2017-09-06,A,8.938,74.2647,114306.278,D,,,,,,
1113169,2017-09-19,TROW,BERNARD EDWARD C,,0001127602-17-027657,2017-09-06,A,468.992,71.9661,665541.8,D,,,,,,
1113169,2017-09-19,TROW,Wiese Edward A,,0001127602-17-027660,2017-09-06,A,7264.0,0.0,164030.61,D,,,,,,
1113169,2017-09-19,TROW,MORELAND KENNETH V,,0001127602-17-027659,2017-09-06,A,3523.0,0.0,129976.391,D,,,,,,
1113169,2017-09-19,TROW,Stromberg William J,,0001127602-17-027656,2017-09-06,A,13074.0,0.0,517449.107,D,,,,,,
1113169,2017-09-19,TROW,Stromberg William J,,0001127602-17-027656,2017-09-15,M,44744.0,47.6474,562193.107,D,,,,,,
1113169,2017-09-19,TROW,Stromberg William J,,0001127602-17-027656,2017-09-15,F,35062.0,84.72,527131.107,D,,,,,,
1113169,2017-09-25,TROW,ROGERS BRIAN C,,0001127602-17-027959,2017-09-21,M,49949.0,47.6474,2355258.0,D,,,,,,
1113169,2017-09-25,TROW,ROGERS BRIAN C,,0001127602-17-027959,2017-09-21,F,29933.0,85.97,2325325.0,D,,,,,,
1113169,2017-09-29,TROW,WILSON ALAN D,,0001127602-17-028495,2017-09-28,A,64.279,90.13,10228.262,D,,,,,,
1113169,2017-09-29,TROW,TAYLOR DWIGHT S,,0001127602-17-028490,2017-09-28,A,183.54,90.13,33242.38,D,,,,,,
1113169,2017-09-29,TROW,WHITTEMORE ANNE M,,0001127602-17-028492,2017-09-28,A,88.12,90.13,24906.824,D,,,,,,
1113169,2017-09-29,TROW,WIJNBERG SANDRA S,,0001127602-17-028493,2017-09-28,A,28.154,90.13,7316.875,D,,,,,,
1113169,2017-09-29,TROW,SNOWE OLYMPIA J.,,0001127602-17-028487,2017-09-28,A,35.041,90.13,14875.799,D,,,,,,
1113169,2017-09-29,TROW,MacLellan Robert F.,,0001127602-17-028486,2017-09-28,A,31.137,90.13,7791.685,D,,,,,,
1113169,2017-09-29,TROW,HRABOWSKI FREEMAN A III,,0001127602-17-028484,2017-09-28,A,48.612,90.13,7735.265,D,,,,,,
1113169,2017-09-29,TROW,Oestreicher David,,0001127602-17-028481,2017-09-27,M,4163.0,59.0693,76108.7099,D,,,,,,
1113169,2017-09-29,TROW,Oestreicher David,,0001127602-17-028481,2017-09-27,A,41.017,83.2981,71945.7099,D,,,,,,
1113169,2017-09-29,TROW,BUSH MARY K,,0001127602-17-028483,2017-09-28,A,82.766,90.13,18606.956,D,,,,,,
1113169,2017-09-29,TROW,Oestreicher David,,0001127602-17-028481,2017-09-27,F,6622.0,88.09,73649.7099,D,,,,,,
1113169,2017-10-02,TROW,Robert W. Sharps,,0001127602-17-028591,2017-09-28,A,74.165,86.7656,471630.0391,D,,,,,,
1113169,2017-10-02,TROW,Robert W. Sharps,,0001127602-17-028591,2017-09-28,M,20000.0,47.6474,491630.0391,D,,,,,,
1113169,2017-10-02,TROW,Robert W. Sharps,,0001127602-17-028591,2017-09-28,F,24323.0,90.13,478946.0391,D,,,,,,
1113169,2017-10-02,TROW,Robert W. Sharps,,0001127602-17-028591,2017-09-28,G,2000.0,0.0,476946.0391,D,,,,,,
1113169,2017-10-02,TROW,Stromberg William J,,0001127602-17-028541,2017-09-28,A,5.197,89.7287,527136.304,D,,,,,,
1113169,2017-10-02,TROW,Stromberg William J,,0001127602-17-028541,2017-09-28,G,5000.0,0.0,522136.304,D,,,,,,
1113169,2017-10-02,TROW,MORELAND KENNETH V,,0001127602-17-028539,2017-09-28,M,1803.0,54.8329,136109.413,D,,,,,,
1113169,2017-10-02,TROW,MORELAND KENNETH V,,0001127602-17-028539,2017-09-28,F,1096.0,90.13,135013.413,D,,,,,,
1113169,2017-10-02,TROW,MORELAND KENNETH V,,0001127602-17-028539,2017-09-28,A,1.667,89.7301,135015.08,D,,,,,,
1113169,2017-10-03,TROW,MORELAND KENNETH V,,0001127602-17-028960,2017-10-02,S,13041.0,90.43,121986.948,D,,,,,,
1113169,2017-10-03,TROW,MORELAND KENNETH V,,0001127602-17-028960,2017-10-02,A,12.868,90.6652,135027.948,D,,,,,,
1113169,2017-10-03,TROW,WHITTEMORE ANNE M,,0001127602-17-028763,2017-09-29,S,4163.0,90.6368,24906.824,D,,,,,,
1113169,2017-10-03,TROW,WHITTEMORE ANNE M,,0001127602-17-028763,2017-09-29,M,4163.0,37.1957,29069.824,D,,,,,,
1113169,2017-10-06,TROW,MORELAND KENNETH V,,0001127602-17-029543,2017-10-05,M,11532.0,67.5613,133518.948,D,,,,,,
1113169,2017-10-06,TROW,MORELAND KENNETH V,,0001127602-17-029543,2017-10-05,F,18675.0,91.75,125251.948,D,,,,,,
1113169,2017-10-13,TROW,Stromberg William J,,0001127602-17-029802,2017-10-12,M,46843.0,45.7933,568979.304,D,,,,,,
1113169,2017-10-13,TROW,Stromberg William J,,0001127602-17-029802,2017-10-12,A,6.434,90.6652,568985.738,D,,,,,,
