cik,filingDate,issuerTradingSymbol,reportingOwnerName,reportingOwnerRelationship,accessionNumber,transactionDate,transactionCode,transactionShares,transactionPricePerShare,sharesOwnedFollowingTransaction,directOrIndirectOwnership,transactionType,securityTitle,underlyingSecurityTitle,underlyingSecurityShares,exercisePrice,expirationDate
86312,2017-04-26,TRV,BESSETTE ANDY F,,0001127602-17-015514,2017-04-25,G,625.0,0.0,14419.949,D,,,,,,
86312,2017-04-26,TRV,BESSETTE ANDY F,,0001127602-17-015514,2017-04-25,S,1120.0,121.59,13299.949,D,,,,,,
86312,2017-04-26,TRV,BESSETTE ANDY F,,0001127602-17-015514,2017-04-25,M,8259.0,80.35,21558.949,D,,,,,,
86312,2017-04-26,TRV,Spence Kenneth Franklin III,,0001127602-17-015512,2017-04-24,M,15971.0,80.35,22350.87,D,,,,,,
86312,2017-04-26,TRV,Spence Kenneth Franklin III,,0001127602-17-015512,2017-04-24,S,15971.0,120.064,6379.87,D,,,,,,
86312,2017-04-26,TRV,Klein Michael Frederick,,0001127602-17-015510,2017-04-24,M,20300.0,56.81,22342.115,D,,,,,,
86312,2017-04-26,TRV,Klein Michael Frederick,,0001127602-17-015510,2017-04-24,S,20300.0,119.875,2042.115,D,,,,,,
86312,2017-04-26,TRV,MACLEAN BRIAN W,,0001127602-17-015509,2017-04-24,M,87916.0,47.23,210602.241,D,,,,,,
86312,2017-04-26,TRV,MACLEAN BRIAN W,,0001127602-17-015509,2017-04-24,S,87916.0,120.01,122686.241,D,,,,,,
86312,2017-05-09,TRV,CLIFFORD JOHN P JR,,0001127602-17-017292,2017-05-05,S,5500.0,120.92,13182.874,D,,,,,,
86312,2017-05-30,TRV,RUSSELL DOUGLAS K,,0001127602-17-019621,2017-05-25,M,9686.0,59.74,29266.563,D,,,,,,
86312,2017-05-30,TRV,RUSSELL DOUGLAS K,,0001127602-17-019621,2017-05-25,S,9686.0,123.002,19580.563,D,,,,,,
86312,2017-05-30,TRV,HEYMAN WILLIAM H,,0001127602-17-019620,2017-05-25,M,7000.0,80.35,246744.046,D,,,,,,
