cik,filingDate,issuerTradingSymbol,reportingOwnerName,reportingOwnerRelationship,accessionNumber,transactionDate,transactionCode,transactionShares,transactionPricePerShare,sharesOwnedFollowingTransaction,directOrIndirectOwnership,transactionType,securityTitle,underlyingSecurityTitle,underlyingSecurityShares,exercisePrice,expirationDate
916365,2016-02-05,TSCO,SANDFORT GREGORY A,,0000916365-16-000126,2016-02-03,A,16294.0,0.0,58915.0,D,,,,,,
916365,2016-02-05,TSCO,PARRISH BENJAMIN F JR,,0000916365-16-000125,2016-02-03,A,3983.0,0.0,20645.0,D,,,,,,
916365,2016-02-05,TSCO,Mills Robert D,,0000916365-16-000123,2016-02-03,A,1810.0,0.0,5702.0,D,,,,,,
916365,2016-02-05,TSCO,Barbarick Steve K,,0000916365-16-000122,2016-02-03,A,3983.0,0.0,45282.0,D,,,,,,
916365,2016-02-05,TSCO,FRAZELL CHAD MICHAEL,,0000916365-16-000121,2016-02-03,A,1810.0,0.0,5651.0,D,,,,,,
916365,2016-02-05,TSCO,Crudele Anthony F,,0000916365-16-000120,2016-02-03,A,3983.0,0.0,56826.0,D,,,,,,
916365,2016-02-10,TSCO,SANDFORT GREGORY A,,0000916365-16-000136,2016-02-08,F,3942.0,82.375,54973.0,D,,,,,,
916365,2016-02-10,TSCO,SANDFORT GREGORY A,,0000916365-16-000136,2016-02-10,G,9690.0,0.0,45283.0,D,,,,,,
916365,2016-02-10,TSCO,Crudele Anthony F,,0000916365-16-000134,2016-02-08,F,1460.0,82.375,55366.0,D,,,,,,
916365,2016-02-10,TSCO,Barbarick Steve K,,0000916365-16-000132,2016-02-08,F,1462.0,82.375,43820.0,D,,,,,,
916365,2016-02-10,TSCO,PARRISH BENJAMIN F JR,,0000916365-16-000130,2016-02-08,F,828.0,82.375,19817.0,D,,,,,,
916365,2016-04-25,TSCO,PARRISH BENJAMIN F JR,,0000916365-16-000154,2016-04-21,M,5276.0,19.7575,25093.0,D,,,,,,
916365,2016-04-25,TSCO,PARRISH BENJAMIN F JR,,0000916365-16-000154,2016-04-21,S,5276.0,97.0,19817.0,D,,,,,,
