cik,filingDate,issuerTradingSymbol,reportingOwnerName,reportingOwnerRelationship,accessionNumber,transactionDate,transactionCode,transactionShares,transactionPricePerShare,sharesOwnedFollowingTransaction,directOrIndirectOwnership,transactionType,securityTitle,underlyingSecurityTitle,underlyingSecurityShares,exercisePrice,expirationDate
1318605,2018-01-26,TSLA,Branderiz Eric,,0001352816-18-000002,2018-01-24,M,85.0,181.45,1287.0,D,,,,,,
1318605,2018-01-26,TSLA,Branderiz Eric,,0001352816-18-000002,2018-01-24,S,85.0,354.58,1918.0,D,,,,,,
1318605,2018-02-20,TSLA,FIELD JOHN DOUGLAS,,0001352816-18-000003,2018-02-15,S,200.0,325.66,19028.0,D,,,,,,
1318605,2018-02-28,TSLA,Branderiz Eric,,0001352816-18-000004,2018-02-26,M,46.0,181.45,1248.0,D,,,,,,
1318605,2018-02-28,TSLA,Branderiz Eric,,0001352816-18-000004,2018-02-26,S,401.0,353.5,1202.0,D,,,,,,
1318605,2018-03-07,TSLA,FIELD JOHN DOUGLAS,,0001352816-18-000006,2018-03-05,M,189.0,0.0,18442.0,D,,,,,,
1318605,2018-03-07,TSLA,FIELD JOHN DOUGLAS,,0001352816-18-000006,2018-03-06,F,78.0,333.75,22499.0,D,,,,,,
1318605,2018-03-07,TSLA,Ahuja Deepak,,0001494732-18-000003,2018-03-06,F,4867.0,333.75,20733.0,D,,,,,,
1318605,2018-03-07,TSLA,Branderiz Eric,,0001352816-18-000005,2018-03-05,M,1201.0,0.0,2474.0,D,,,,,,
1318605,2018-03-07,TSLA,Branderiz Eric,,0001352816-18-000005,2018-03-07,S,452.0,325.44,1386.0,D,,,,,,
1318605,2018-03-07,TSLA,Ahuja Deepak,,0001494732-18-000003,2018-03-05,M,10666.0,0.0,25600.0,D,,,,,,
1318605,2018-03-07,TSLA,Branderiz Eric,,0001352816-18-000005,2018-03-06,F,636.0,333.75,1838.0,D,,,,,,
1318605,2018-03-20,TSLA,FIELD JOHN DOUGLAS,,0001352816-18-000007,2018-03-16,S,300.0,320.03,20561.0,D,,,,,,
1318605,2018-04-02,TSLA,Gracias Antonio J.,,0001352816-18-000008,2017-11-06,J,105.0,0.0,271778.0,I,,,,,,
1318605,2018-04-09,TSLA,Musk Kimbal,,0001494731-18-000002,2018-04-05,M,1875.0,29.66,150208.0,D,,,,,,
1318605,2018-04-09,TSLA,Musk Kimbal,,0001494731-18-000002,2018-04-05,S,1875.0,300.0,148333.0,D,,,,,,
1318605,2018-05-07,TSLA,Gracias Antonio J.,,0001494730-18-000004,2018-05-07,M,16666.0,28.43,17132.0,D,,,,,,
1318605,2018-05-07,TSLA,Buss Brad W,,0001494730-18-000003,2018-05-07,M,4666.0,28.43,11808.0,I,,,,,,
1318605,2018-05-07,TSLA,Musk Elon,,0001494730-18-000002,2018-05-07,P,5903.0,295.028,33638324.0,I,,,,,,
1318605,2018-06-07,TSLA,Ahuja Deepak,,0001494732-18-000004,2018-06-05,M,2666.0,0.0,23399.0,D,,,,,,
1318605,2018-06-07,TSLA,Ahuja Deepak,,0001494732-18-000004,2018-06-06,F,1329.0,300.52,22070.0,D,,,,,,
1318605,2018-06-07,TSLA,FIELD JOHN DOUGLAS,,0001650649-18-000001,2018-06-05,M,563.0,0.0,20424.0,D,,,,,,
1318605,2018-06-07,TSLA,FIELD JOHN DOUGLAS,,0001650649-18-000001,2018-06-06,F,95.0,300.52,22568.0,D,,,,,,
