cik,filingDate,issuerTradingSymbol,reportingOwnerName,reportingOwnerRelationship,accessionNumber,transactionDate,transactionCode,transactionShares,transactionPricePerShare,sharesOwnedFollowingTransaction,directOrIndirectOwnership,transactionType,securityTitle,underlyingSecurityTitle,underlyingSecurityShares,exercisePrice,expirationDate
1447669,2018-10-17,TWLO,Smith Karyn,,0001127602-18-030569,2018-10-15,C,1880.0,0.0,48465,D,,,,,,
1447669,2018-10-17,TWLO,Smith Karyn,,0001127602-18-030569,2018-10-15,S,939.0,74.551,47526,D,,,,,,
1447669,2018-10-17,TWLO,Smith Karyn,,0001127602-18-030569,2018-10-15,G,941.0,0.0,46585,D,,,,,,
1447669,2018-10-17,TWLO,Kirkpatrick Lee,,0001127602-18-030565,2018-10-15,C,14000.0,0.0,44582,D,,,,,,
1447669,2018-10-17,TWLO,Kirkpatrick Lee,,0001127602-18-030565,2018-10-15,S,2888.0,73.7715,41694,D,,,,,,
1447669,2018-10-22,TWLO,Smith Karyn,,0001127602-18-030766,2018-10-18,C,2580.0,0.0,49165,D,,,,,,
1447669,2018-10-22,TWLO,Smith Karyn,,0001127602-18-030766,2018-10-18,S,500.0,70.568,48665,D,,,,,,
1447669,2018-10-22,TWLO,Lawson Jeff,,0001127602-18-030765,2018-10-18,C,19712.0,0.0,126075,I,,,,,,
1447669,2018-10-22,TWLO,Lawson Jeff,,0001127602-18-030765,2018-10-18,S,2799.0,70.5496,123276,I,,,,,,
1447669,2018-11-15,TWLO,Hu George,,0001127602-18-033243,2018-11-13,M,5000.0,31.72,200150,D,,,,,,
1447669,2018-11-15,TWLO,Hu George,,0001127602-18-033243,2018-11-13,S,2497.0,84.4465,197653,D,,,,,,
1447669,2018-11-15,TWLO,Hu George,,0001127602-18-033243,2018-11-14,M,5000.0,31.72,200150,D,,,,,,
1447669,2018-11-15,TWLO,Hu George,,0001127602-18-033243,2018-11-14,S,700.0,83.4929,199450,D,,,,,,
1447669,2018-11-19,TWLO,Lawson Jeff,,0001127602-18-033861,2018-11-15,G,5957.0,0.0,129984,D,,,,,,
1447669,2018-11-19,TWLO,Lawson Jeff,,0001127602-18-033861,2018-11-19,C,20830.0,0.0,132032,I,,,,,,
1447669,2018-11-19,TWLO,Smith Karyn,,0001127602-18-033863,2018-11-15,S,1939.0,82.42,44646,D,,,,,,
1447669,2018-11-19,TWLO,Lawson Jeff,,0001127602-18-033861,2018-11-15,F,5860.0,83.96,135941,D,,,,,,
1447669,2018-11-19,TWLO,Smith Karyn,,0001127602-18-033863,2018-11-15,G,1922.0,0.0,42698,D,,,,,,
1447669,2018-11-19,TWLO,Hu George,,0001127602-18-033851,2018-11-16,S,1000.0,88.245,189233,D,,,,,,
1447669,2018-11-19,TWLO,Hu George,,0001127602-18-033851,2018-11-15,M,5000.0,31.72,192433,D,,,,,,
1447669,2018-11-19,TWLO,Hu George,,0001127602-18-033851,2018-11-16,M,2800.0,31.72,190233,D,,,,,,
1447669,2018-11-19,TWLO,Hu George,,0001127602-18-033851,2018-11-15,S,7615.0,82.42,187535,D,,,,,,
1447669,2018-11-19,TWLO,Lawson Jeff,,0001127602-18-033861,2018-11-19,S,1700.0,77.2088,130332,I,,,,,,
1447669,2018-11-23,TWLO,Smith Karyn,,0001127602-18-034227,2018-11-20,C,2538.0,0.0,45236,D,,,,,,
1447669,2018-11-23,TWLO,Smith Karyn,,0001127602-18-034227,2018-11-20,S,100.0,72.36,45136,D,,,,,,
1447669,2018-11-26,TWLO,Hu George,,0001127602-18-034324,2018-11-21,S,2650.0,76.1383,184783,D,,,,,,
1447669,2018-11-30,TWLO,Lawson Jeff,,0001127602-18-034867,2018-11-29,C,39597.0,0.0,150799,I,,,,,,
1447669,2018-11-30,TWLO,Lawson Jeff,,0001127602-18-034867,2018-11-29,G,39597.0,0.0,111202,I,,,,,,
1447669,2018-11-30,TWLO,DONIO ELENA A.,,0001127602-18-034865,2018-11-28,C,6000.0,0.0,15900,D,,,,,,
1447669,2018-11-30,TWLO,DONIO ELENA A.,,0001127602-18-034865,2018-11-28,S,6000.0,85.9051,9900,D,,,,,,
1447669,2018-11-30,TWLO,ROTTENBERG ERIKA,,0001127602-18-034863,2018-06-12,G,6005.0,0.0,0,D,,,,,,
1447669,2018-11-30,TWLO,ROTTENBERG ERIKA,,0001127602-18-034863,2018-11-28,C,5000.0,0.0,11005,I,,,,,,
1447669,2018-11-30,TWLO,ROTTENBERG ERIKA,,0001127602-18-034863,2018-11-28,S,3750.0,88.9264,7255,I,,,,,,
1447669,2018-12-04,TWLO,Hu George,,0001127602-18-035229,2018-11-30,M,5000.0,31.72,184879,D,,,,,,
1447669,2018-12-04,TWLO,Hu George,,0001127602-18-035229,2018-11-30,S,1478.0,92.839,183401,D,,,,,,
1447669,2018-12-04,TWLO,Hu George,,0001127602-18-035229,2018-12-03,M,5000.0,31.72,184879,D,,,,,,
1447669,2018-12-04,TWLO,Hu George,,0001127602-18-035229,2018-12-03,S,1414.0,93.7789,183465,D,,,,,,
1447669,2018-12-04,TWLO,Dubinsky Donna,,0001127602-18-035227,2018-12-01,A,5046.0,0.0,5046,D,,,,,,
1447669,2018-12-06,TWLO,Hu George,,0001127602-18-035452,2018-12-04,M,5000.0,31.72,184879,D,,,,,,
1447669,2018-12-06,TWLO,Hu George,,0001127602-18-035452,2018-12-04,S,710.0,89.7318,184169,D,,,,,,
