cik,filingDate,issuerTradingSymbol,reportingOwnerName,reportingOwnerRelationship,accessionNumber,transactionDate,transactionCode,transactionShares,transactionPricePerShare,sharesOwnedFollowingTransaction,directOrIndirectOwnership,transactionType,securityTitle,underlyingSecurityTitle,underlyingSecurityShares,exercisePrice,expirationDate
97476,2016-05-02,TXN,CARP DANIEL A,,0001127602-16-050575,2016-04-29,M,7000.0,28.32,40699.0,D,,,,,,
97476,2016-05-02,TXN,CARP DANIEL A,,0001127602-16-050575,2016-04-29,S,7000.0,57.351,33699.0,D,,,,,,
97476,2016-05-03,TXN,TEMPLETON RICHARD K,,0001127602-16-050916,2016-04-29,M,270000.0,29.79,1364091.0,D,,,,,,
97476,2016-05-03,TXN,TEMPLETON RICHARD K,,0001127602-16-050916,2016-04-29,S,315000.0,57.1152,1094091.0,D,,,,,,
97476,2016-05-03,TXN,TEMPLETON RICHARD K,,0001127602-16-050916,2016-05-02,M,315000.0,14.95,1409091.0,D,,,,,,
97476,2016-05-03,TXN,TEMPLETON RICHARD K,,0001127602-16-050916,2016-05-02,S,315000.0,57.6924,1094091.0,D,,,,,,
97476,2016-05-03,TXN,TEMPLETON RICHARD K,,0001127602-16-050916,2016-05-03,M,259461.0,14.95,1353552.0,D,,,,,,
97476,2016-05-03,TXN,TEMPLETON RICHARD K,,0001127602-16-050916,2016-05-03,S,304461.0,57.2958,1094091.0,D,,,,,,
97476,2016-05-09,TXN,CRUTCHER BRIAN T,,0001127602-16-051548,2016-05-09,M,59375.0,32.36,425591.0,D,,,,,,
97476,2016-05-09,TXN,CRUTCHER BRIAN T,,0001127602-16-051548,2016-05-09,S,59375.0,57.0405,366216.0,D,,,,,,
97476,2016-05-10,TXN,TROCHU CYNTHIA HOFF,,0001127602-16-051665,2016-05-04,G,175.0,0.0,2665.0,I,,,,,,
97476,2016-05-10,TXN,RITCHIE KEVIN J,,0001127602-16-051662,2016-05-09,M,43750.0,32.36,231699.0,D,,,,,,
97476,2016-05-10,TXN,RITCHIE KEVIN J,,0001127602-16-051662,2016-05-09,S,155249.0,57.0475,187949.0,D,,,,,,
97476,2016-05-13,TXN,WHITMAN CHRISTINE TODD,,0001127602-16-052173,2016-05-11,M,7000.0,28.32,46527.0,D,,,,,,
97476,2016-05-13,TXN,WHITMAN CHRISTINE TODD,,0001127602-16-052173,2016-05-11,S,7000.0,57.7412,39527.0,D,,,,,,
97476,2016-05-17,TXN,CRUTCHER BRIAN T,,0001127602-16-052510,2016-05-16,S,34126.0,57.0405,25093.0,I,,,,,,
97476,2016-07-21,TXN,Hobby Jean M.,,0001127602-16-058395,2016-07-20,A,2000.0,0.0,2000.0,D,,,,,,
97476,2016-07-27,TXN,TROCHU CYNTHIA HOFF,,0001127602-16-058779,2016-07-27,M,3125.0,34.63,61150.0,D,,,,,,
97476,2016-07-27,TXN,TROCHU CYNTHIA HOFF,,0001127602-16-058779,2016-07-27,S,20506.0,70.6506,58025.0,D,,,,,,
97476,2016-07-27,TXN,Whitaker Darla H,,0001127602-16-058777,2016-07-27,M,75000.0,34.63,174917.0,D,,,,,,
97476,2016-07-27,TXN,Whitaker Darla H,,0001127602-16-058777,2016-07-27,S,155000.0,70.98,99917.0,D,,,,,,
97476,2016-07-27,TXN,XIE BING,,0001127602-16-058775,2016-07-27,M,1875.0,23.05,200471.0,D,,,,,,
97476,2016-07-27,TXN,XIE BING,,0001127602-16-058775,2016-07-27,S,56250.0,70.5,198596.0,D,,,,,,
97476,2016-07-27,TXN,RITCHIE KEVIN J,,0001127602-16-058773,2016-07-27,M,61499.0,44.09,249548.0,D,,,,,,
97476,2016-07-27,TXN,RITCHIE KEVIN J,,0001127602-16-058773,2016-07-27,S,61499.0,70.8156,188049.0,D,,,,,,
97476,2016-07-28,TXN,WEST TERESA L,,0001127602-16-058862,2016-07-27,M,50000.0,28.32,115577.0,D,,,,,,
97476,2016-07-28,TXN,WEST TERESA L,,0001127602-16-058862,2016-07-27,S,195000.0,70.702,65577.0,D,,,,,,
97476,2016-07-28,TXN,MARCH KEVIN P,,0001127602-16-058859,2016-07-27,M,107500.0,23.05,438880.0,D,,,,,,
97476,2016-07-28,TXN,MARCH KEVIN P,,0001127602-16-058859,2016-07-27,S,215000.0,70.5415,331380.0,D,,,,,,
97476,2016-07-28,TXN,MARCH KEVIN P,,0001127602-16-058859,2016-07-27,G,30000.0,0.0,331380.0,D,,,,,,
97476,2016-07-29,TXN,CRUTCHER BRIAN T,,0001127602-16-058965,2016-07-27,M,138373.0,44.09,504689.0,D,,,,,,
97476,2016-07-29,TXN,XIE BING,,0001127602-16-058969,2016-07-29,S,8435.0,69.9289,190161.0,D,,,,,,
97476,2016-07-29,TXN,DELAGI R GREGORY,,0001127602-16-058967,2016-07-29,S,50000.0,69.9351,178002.48,D,,,,,,
97476,2016-07-29,TXN,CRUTCHER BRIAN T,,0001127602-16-058965,2016-07-29,S,42155.0,69.934,324161.0,D,,,,,,
97476,2016-07-29,TXN,CRUTCHER BRIAN T,,0001127602-16-058965,2016-07-27,G,510.0,0.0,24583.0,I,,,,,,
97476,2016-07-29,TXN,CRUTCHER BRIAN T,,0001127602-16-058965,2016-07-27,S,138373.0,70.7112,366316.0,D,,,,,,
97476,2016-08-04,TXN,XIE BING,,0001127602-16-059498,2016-08-02,S,2791.0,68.9532,187370.0,D,,,,,,
97476,2016-08-08,TXN,ANDERSON STEPHEN A.,,0001127602-16-059749,2016-08-08,M,103125.0,32.8,292446.0,D,,,,,,
97476,2016-08-08,TXN,ANDERSON STEPHEN A.,,0001127602-16-059749,2016-08-08,S,103125.0,70.0823,189321.0,D,,,,,,
97476,2016-11-15,TXN,XIE BING,,0001127602-16-067204,2016-11-08,G,288.0,0.0,178308.0,D,,,,,,
97476,2016-11-16,TXN,CRUTCHER BRIAN T,,0001127602-16-067428,2016-11-15,S,15000.0,70.6911,309250.0,D,,,,,,
97476,2016-11-28,TXN,TEMPLETON RICHARD K,,0001127602-16-068510,2016-11-15,G,1200.0,0.0,1093080.0,D,,,,,,
97476,2017-01-30,TXN,DELAGI R GREGORY,,0001127602-17-002932,2017-01-26,A,22711.0,0.0,200810.48,D,,,,,,
97476,2017-01-30,TXN,TEMPLETON RICHARD K,,0001127602-17-002980,2017-01-30,S,100000.0,77.82,1022556.0,D,,,,,,
97476,2017-01-30,TXN,TEMPLETON RICHARD K,,0001127602-17-002980,2017-01-30,M,100000.0,23.05,1122556.0,D,,,,,,
97476,2017-01-30,TXN,TEMPLETON RICHARD K,,0001127602-17-002980,2017-01-27,S,77677.0,77.95,1164879.0,D,,,,,,
97476,2017-01-30,TXN,TEMPLETON RICHARD K,,0001127602-17-002980,2017-01-26,M,40000.0,23.05,993164.0,D,,,,,,
97476,2017-01-30,TXN,TEMPLETON RICHARD K,,0001127602-17-002980,2017-01-26,S,220000.0,78.86,1022556.0,D,,,,,,
97476,2017-01-30,TXN,TEMPLETON RICHARD K,,0001127602-17-002980,2017-01-26,A,69392.0,0.0,1242556.0,D,,,,,,
