cik,filingDate,issuerTradingSymbol,reportingOwnerName,reportingOwnerRelationship,accessionNumber,transactionDate,transactionCode,transactionShares,transactionPricePerShare,sharesOwnedFollowingTransaction,directOrIndirectOwnership,transactionType,securityTitle,underlyingSecurityTitle,underlyingSecurityShares,exercisePrice,expirationDate
860731,2016-03-04,TYL,King Luther Jr,,0000310051-16-000049,2016-03-03,M,5000.0,10.26,59754.0,D,,,,,,
860731,2016-03-04,TYL,King Luther Jr,,0000310051-16-000049,2016-03-03,S,417.0,123.45,59337.0,D,,,,,,
860731,2016-04-01,TYL,MOORE H LYNN JR,,0001250902-16-000091,2016-03-31,A,69.0,109.32,56660.0,D,,,,,,
860731,2016-04-01,TYL,WOMBLE DUSTIN R,,0001250902-16-000090,2016-03-31,A,72.0,109.32,215950.0,D,,,,,,
860731,2016-04-01,TYL,MILLER BRIAN K,,0001250902-16-000089,2016-03-31,A,103.0,109.32,61082.0,D,,,,,,
860731,2016-04-01,TYL,YEAMAN JOHN M,,0001250902-16-000088,2015-03-31,A,65.0,109.32,324620.0,D,,,,,,
860731,2016-06-01,TYL,YEAMAN JOHN M,,0001250902-16-000099,2016-05-27,M,2000.0,15.0,326620.0,D,,,,,,
860731,2016-06-01,TYL,YEAMAN JOHN M,,0001250902-16-000099,2016-05-27,S,2000.0,150.0,324620.0,D,,,,,,
860731,2016-06-01,TYL,YEAMAN JOHN M,,0001250902-16-000099,2016-05-31,M,4000.0,15.0,328620.0,D,,,,,,
860731,2016-06-01,TYL,YEAMAN JOHN M,,0001250902-16-000099,2016-05-31,S,4000.0,152.36,324620.0,D,,,,,,
860731,2016-06-02,TYL,King Luther Jr,,0000310051-16-000054,2016-06-02,M,5000.0,15.0,68852.0,D,,,,,,
860731,2016-06-02,TYL,King Luther Jr,,0000310051-16-000054,2016-06-02,S,483.0,155.61,68369.0,D,,,,,,
860731,2016-06-02,TYL,MARR JOHN S JR,,0001250902-16-000102,2016-05-31,M,40000.0,15.0,411437.0,D,,,,,,
860731,2016-06-02,TYL,MARR JOHN S JR,,0001250902-16-000102,2016-05-31,S,40000.0,151.85,371437.0,D,,,,,,
860731,2016-06-02,TYL,MARR JOHN S JR,,0001250902-16-000102,2016-06-01,M,8897.0,15.0,380334.0,D,,,,,,
860731,2016-06-02,TYL,MARR JOHN S JR,,0001250902-16-000102,2016-06-01,S,8897.0,153.91,371437.0,D,,,,,,
860731,2016-06-06,TYL,YEAMAN JOHN M,,0001250902-16-000103,2016-06-02,S,2500.0,154.5,322120.0,D,,,,,,
860731,2016-06-07,TYL,MOORE H LYNN JR,,0001250902-16-000105,2016-06-07,M,13194.0,19.2,69854.0,D,,,,,,
860731,2016-06-07,TYL,MOORE H LYNN JR,,0001250902-16-000105,2016-06-07,S,13194.0,159.17,56660.0,D,,,,,,
860731,2016-06-07,TYL,YEAMAN JOHN M,,0001250902-16-000104,2016-06-06,M,3000.0,15.0,325120.0,D,,,,,,
860731,2016-06-07,TYL,YEAMAN JOHN M,,0001250902-16-000104,2016-06-06,S,3000.0,159.22,322120.0,D,,,,,,
860731,2016-06-09,TYL,YEAMAN JOHN M,,0001250902-16-000107,2016-06-08,M,5000.0,15.0,327120.0,D,,,,,,
860731,2016-06-09,TYL,YEAMAN JOHN M,,0001250902-16-000107,2016-06-08,S,5000.0,160.0,322120.0,D,,,,,,
860731,2016-06-09,TYL,MILLER BRIAN K,,0001250902-16-000106,2016-06-07,G,130.0,159.79,60952.0,D,,,,,,
860731,2016-06-16,TYL,MILLER BRIAN K,,0001250902-16-000109,2016-06-15,G,250.0,154.79,60702.0,D,,,,,,
860731,2016-06-16,TYL,MILLER BRIAN K,,0001250902-16-000109,2016-06-15,M,6000.0,24.08,66702.0,D,,,,,,
860731,2016-06-16,TYL,MILLER BRIAN K,,0001250902-16-000109,2016-06-15,S,6000.0,155.45,60702.0,D,,,,,,
860731,2016-06-16,TYL,MOORE H LYNN JR,,0001250902-16-000108,2016-06-15,M,6000.0,16.61,62660.0,D,,,,,,
860731,2016-07-01,TYL,MOORE H LYNN JR,,0001250902-16-000112,2016-06-30,A,55.0,141.7,62715.0,D,,,,,,
860731,2016-07-01,TYL,YEAMAN JOHN M,,0001250902-16-000111,2016-06-30,A,51.0,141.7,322171.0,D,,,,,,
860731,2016-07-01,TYL,MILLER BRIAN K,,0001250902-16-000110,2016-06-30,A,58.0,141.7,66760.0,D,,,,,,
860731,2016-08-05,TYL,King Luther Jr,,0000310051-16-000058,2016-08-03,S,800.0,160.25,188589.0,I,,,,,,
860731,2016-08-05,TYL,King Luther Jr,,0000310051-16-000058,2016-08-05,S,1000.0,161.1592,187589.0,I,,,,,,
860731,2016-08-10,TYL,King Luther Jr,,0000310051-16-000059,2016-08-09,S,500.0,160.4,187089.0,I,,,,,,
860731,2016-08-11,TYL,WOMBLE DUSTIN R,,0001250902-16-000113,2016-08-09,M,22500.0,21.11,238450.0,D,,,,,,
860731,2016-08-11,TYL,WOMBLE DUSTIN R,,0001250902-16-000113,2016-08-09,S,22500.0,162.5,215950.0,D,,,,,,
860731,2016-08-16,TYL,YEAMAN JOHN M,,0001250902-16-000114,2016-08-12,M,1800.0,15.0,319671.0,D,,,,,,
860731,2016-08-16,TYL,YEAMAN JOHN M,,0001250902-16-000114,2016-08-12,S,1800.0,164.01,317871.0,D,,,,,,
860731,2016-08-16,TYL,YEAMAN JOHN M,,0001250902-16-000114,2016-08-15,M,3800.0,15.0,321671.0,D,,,,,,
860731,2016-08-16,TYL,YEAMAN JOHN M,,0001250902-16-000114,2016-08-15,S,3800.0,164.02,317871.0,D,,,,,,
860731,2016-08-17,TYL,YEAMAN JOHN M,,0001250902-16-000115,2016-08-16,M,4400.0,15.0,322271.0,D,,,,,,
860731,2016-08-17,TYL,YEAMAN JOHN M,,0001250902-16-000115,2016-08-16,S,4400.0,164.05,317871.0,D,,,,,,
860731,2016-08-19,TYL,WOMBLE DUSTIN R,,0001250902-16-000116,2016-08-17,M,5755.0,15.0,221705.0,D,,,,,,
860731,2016-08-19,TYL,WOMBLE DUSTIN R,,0001250902-16-000116,2016-08-17,S,5755.0,162.53,215950.0,D,,,,,,
860731,2016-08-19,TYL,WOMBLE DUSTIN R,,0001250902-16-000116,2016-08-18,M,28006.0,15.0,243956.0,D,,,,,,
860731,2016-08-19,TYL,WOMBLE DUSTIN R,,0001250902-16-000116,2016-08-18,S,28006.0,162.78,215950.0,D,,,,,,
860731,2016-08-19,TYL,WOMBLE DUSTIN R,,0001250902-16-000116,2016-08-19,M,1239.0,15.0,217189.0,D,,,,,,
860731,2016-08-19,TYL,WOMBLE DUSTIN R,,0001250902-16-000116,2016-08-19,S,1239.0,162.5,215950.0,D,,,,,,
860731,2016-08-22,TYL,MOORE H LYNN JR,,0001250902-16-000117,2016-08-22,M,5000.0,19.2,67715.0,D,,,,,,
860731,2016-08-22,TYL,MOORE H LYNN JR,,0001250902-16-000117,2016-08-22,S,5000.0,164.55,62715.0,D,,,,,,
860731,2016-08-25,TYL,YEAMAN JOHN M,,0001250902-16-000118,2016-08-19,S,5000.0,164.0,312871.0,D,,,,,,
860731,2016-08-25,TYL,YEAMAN JOHN M,,0001250902-16-000118,2016-08-22,S,5000.0,164.4,307871.0,D,,,,,,
860731,2016-08-31,TYL,YEAMAN JOHN M,,0001250902-16-000119,2016-08-30,M,12190.0,15.0,320061.0,D,,,,,,
860731,2016-08-31,TYL,YEAMAN JOHN M,,0001250902-16-000119,2016-08-29,S,1000.0,167.06,307871.0,D,,,,,,
860731,2016-08-31,TYL,YEAMAN JOHN M,,0001250902-16-000119,2016-08-30,S,12190.0,167.03,307871.0,D,,,,,,
860731,2016-08-31,TYL,YEAMAN JOHN M,,0001250902-16-000119,2016-08-29,M,1000.0,15.0,308871.0,D,,,,,,
860731,2016-09-02,TYL,MARR JOHN S JR,,0001250902-16-000120,2016-08-31,M,11010.0,16.33,382447.0,D,,,,,,
860731,2016-09-02,TYL,MARR JOHN S JR,,0001250902-16-000120,2016-08-31,S,11010.0,165.65,371437.0,D,,,,,,
860731,2016-09-02,TYL,MARR JOHN S JR,,0001250902-16-000120,2016-09-01,M,990.0,16.33,372427.0,D,,,,,,
860731,2016-09-02,TYL,MARR JOHN S JR,,0001250902-16-000120,2016-09-01,S,990.0,165.35,371437.0,D,,,,,,
860731,2016-09-02,TYL,MARR JOHN S JR,,0001250902-16-000120,2016-09-02,M,12000.0,16.33,383437.0,D,,,,,,
860731,2016-09-02,TYL,MARR JOHN S JR,,0001250902-16-000120,2016-09-02,S,12000.0,168.45,371437.0,D,,,,,,
860731,2016-09-09,TYL,MOORE H LYNN JR,,0001250902-16-000122,2016-09-09,M,12000.0,16.61,74715.0,D,,,,,,
860731,2016-09-09,TYL,MOORE H LYNN JR,,0001250902-16-000122,2016-09-09,S,12000.0,169.74,62715.0,D,,,,,,
860731,2016-09-09,TYL,YEAMAN JOHN M,,0001250902-16-000121,2016-09-07,M,5000.0,12.14,312871.0,D,,,,,,
860731,2016-09-09,TYL,YEAMAN JOHN M,,0001250902-16-000121,2016-09-07,S,5000.0,169.0,307871.0,D,,,,,,
860731,2016-09-13,TYL,YEAMAN JOHN M,,0001250902-16-000124,2016-09-12,S,4000.0,169.01,307871.0,D,,,,,,
860731,2016-09-13,TYL,MILLER BRIAN K,,0001250902-16-000123,2016-09-09,S,4243.0,169.25,62517.0,D,,,,,,
860731,2016-09-13,TYL,YEAMAN JOHN M,,0001250902-16-000124,2016-09-12,M,4000.0,16.33,311871.0,D,,,,,,
860731,2016-09-13,TYL,MILLER BRIAN K,,0001250902-16-000123,2016-09-12,S,3257.0,169.02,59260.0,D,,,,,,
860731,2016-09-19,TYL,MILLER BRIAN K,,0001250902-16-000125,2016-09-15,S,6485.0,173.01,52775.0,D,,,,,,
860731,2016-09-19,TYL,MOORE H LYNN JR,,0001250902-16-000128,2016-09-15,S,8968.0,169.23,62715.0,D,,,,,,
860731,2016-09-19,TYL,WOMBLE DUSTIN R,,0001250902-16-000126,2016-09-15,M,25000.0,15.0,240950.0,D,,,,,,
860731,2016-09-19,TYL,WOMBLE DUSTIN R,,0001250902-16-000126,2016-09-15,S,25000.0,169.26,215950.0,D,,,,,,
860731,2016-09-19,TYL,MOORE H LYNN JR,,0001250902-16-000128,2016-09-15,M,8968.0,21.11,71683.0,D,,,,,,
860731,2016-10-03,TYL,MOORE H LYNN JR,,0001250902-16-000130,2016-09-30,A,37.0,145.55,62752.0,D,,,,,,
860731,2016-10-03,TYL,YEAMAN JOHN M,,0001250902-16-000129,2016-09-30,A,44.0,145.55,307915.0,D,,,,,,
860731,2016-11-02,TYL,King Luther Jr,,0000310051-16-000063,2016-10-31,S,500.0,160.9,186589.0,I,,,,,,
860731,2016-11-08,TYL,King Luther Jr,,0000310051-16-000064,2016-11-07,S,25000.0,156.6622,161589.0,I,,,,,,
860731,2016-11-10,TYL,King Luther Jr,,0000310051-16-000065,2016-11-09,S,21000.0,155.3057,140589.0,I,,,,,,
860731,2016-11-15,TYL,King Luther Jr,,0000310051-16-000066,2016-11-14,S,15000.0,148.1329,125589.0,I,,,,,,
860731,2016-11-15,TYL,YEAMAN JOHN M,,0001250902-16-000131,2016-11-11,S,3000.0,155.0,306415.0,D,,,,,,
860731,2016-11-17,TYL,MOORE H LYNN JR,,0001250902-16-000132,2016-11-15,M,9016.0,21.11,71768.0,D,,,,,,
860731,2016-11-17,TYL,MOORE H LYNN JR,,0001250902-16-000132,2016-11-15,S,15016.0,149.55,56752.0,D,,,,,,
860731,2016-11-21,TYL,MILLER BRIAN K,,0001250902-16-000133,2016-11-18,S,5000.0,155.36,47775.0,D,,,,,,
860731,2016-12-12,TYL,YEAMAN JOHN M,,0001250902-16-000138,2016-12-08,M,4173.0,24.08,310588.0,D,,,,,,
860731,2016-12-12,TYL,YEAMAN JOHN M,,0001250902-16-000138,2016-12-08,S,4173.0,146.0,306415.0,D,,,,,,
860731,2016-12-12,TYL,MILLER BRIAN K,,0001250902-16-000137,2016-12-08,M,6000.0,39.36,53775.0,D,,,,,,
860731,2016-12-12,TYL,MILLER BRIAN K,,0001250902-16-000137,2016-12-08,S,6000.0,147.47,47775.0,D,,,,,,
860731,2016-12-13,TYL,MOORE H LYNN JR,,0001250902-16-000140,2016-12-11,S,5806.0,142.59,50946.0,D,,,,,,
860731,2016-12-13,TYL,WOMBLE DUSTIN R,,0001250902-16-000139,2016-12-12,M,30000.0,15.0,245950.0,D,,,,,,
860731,2016-12-13,TYL,WOMBLE DUSTIN R,,0001250902-16-000139,2016-12-12,S,30000.0,146.29,215950.0,D,,,,,,
860731,2016-12-14,TYL,YEAMAN JOHN M,,0001250902-16-000144,2016-12-14,M,4897.0,39.36,311112.0,D,,,,,,
860731,2016-12-14,TYL,YEAMAN JOHN M,,0001250902-16-000144,2016-12-14,S,4897.0,149.0,306215.0,D,,,,,,
860731,2016-12-14,TYL,LEINWEBER LARRY D,,0001250902-16-000143,2016-12-12,S,12552.0,145.2,1921137.0,I,,,,,,
860731,2016-12-14,TYL,LEINWEBER LARRY D,,0001250902-16-000143,2016-12-13,S,12552.0,146.69,1908585.0,I,,,,,,
860731,2016-12-14,TYL,LEINWEBER LARRY D,,0001250902-16-000143,2016-12-14,S,12552.0,148.86,1896033.0,I,,,,,,
860731,2016-12-14,TYL,MILLER BRIAN K,,0001250902-16-000142,2016-12-13,M,6000.0,47.2,53775.0,D,,,,,,
