cik,filingDate,issuerTradingSymbol,reportingOwnerName,reportingOwnerRelationship,accessionNumber,transactionDate,transactionCode,transactionShares,transactionPricePerShare,sharesOwnedFollowingTransaction,directOrIndirectOwnership,transactionType,securityTitle,underlyingSecurityTitle,underlyingSecurityShares,exercisePrice,expirationDate
100517,2016-06-13,UAL,MUNOZ OSCAR,,0000899243-16-022654,2016-06-11,M,2361.61,,171286.61,D,,,,,,
100517,2016-06-13,UAL,Corvi Carolyn,,0000899243-16-022625,2016-06-11,D,1181.61,46.16,7166.0,D,,,,,,
100517,2016-06-13,UAL,Garvey Jane C,,0000899243-16-022629,2016-06-11,D,1181.61,46.16,3788.0,D,,,,,,
100517,2016-06-13,UAL,Garvey Jane C,,0000899243-16-022629,2016-06-11,M,2361.61,,4969.61,D,,,,,,
100517,2016-06-13,UAL,ISAACSON WALTER,,0000899243-16-022636,2016-06-11,D,1181.61,46.16,7638.0,D,,,,,,
100517,2016-06-13,UAL,ISAACSON WALTER,,0000899243-16-022636,2016-06-11,M,2361.61,,8819.61,D,,,,,,
100517,2016-06-13,UAL,NUTI WILLIAM,,0000899243-16-022638,2016-06-11,M,2361.61,,3819.61,D,,,,,,
100517,2016-06-13,UAL,NUTI WILLIAM,,0000899243-16-022638,2016-06-11,D,1181.61,46.16,2638.0,D,,,,,,
100517,2016-06-13,UAL,SIMMONS L E,,0000899243-16-022639,2016-06-11,D,1181.61,46.16,10314.0,D,,,,,,
100517,2016-06-13,UAL,SIMMONS L E,,0000899243-16-022639,2016-06-11,M,2361.61,,11495.61,D,,,,,,
100517,2016-06-13,UAL,VITALE DAVID J,,0000899243-16-022642,2016-06-11,D,1181.61,46.16,12638.0,D,,,,,,
100517,2016-06-13,UAL,VITALE DAVID J,,0000899243-16-022642,2016-06-11,M,2361.61,,13819.61,D,,,,,,
100517,2016-06-13,UAL,Corvi Carolyn,,0000899243-16-022625,2016-06-11,M,2361.61,,8347.61,D,,,,,,
100517,2016-06-13,UAL,MUNOZ OSCAR,,0000899243-16-022654,2016-06-11,D,1181.61,46.16,170105.0,D,,,,,,
100517,2016-08-24,UAL,Levy Andrew C,,0000899243-16-027999,2016-08-22,A,5791.0,0.0,5791.0,D,,,,,,
100517,2016-08-24,UAL,Haywood Julia,,0000899243-16-028001,2016-08-22,A,4610.0,0.0,4610.0,D,,,,,,
100517,2016-08-31,UAL,KIRBY J SCOTT,,0000899243-16-028290,2016-08-29,A,13297.0,0.0,103664.0,D,,,,,,
100517,2016-09-06,UAL,Levy Andrew C,,0000899243-16-028545,2016-09-02,P,15000.0,50.9595,20791.0,D,,,,,,
100517,2016-09-23,UAL,MUNOZ OSCAR,,0000899243-16-029908,2016-09-22,A,68574.0,0.0,238679.0,D,,,,,,
100517,2016-11-04,UAL,Jojo Linda P,,0000899243-16-032775,2016-11-03,M,7676.0,0.0,26468.0,D,,,,,,
100517,2016-11-04,UAL,Jojo Linda P,,0000899243-16-032775,2016-11-03,D,7676.0,54.51,18792.0,D,,,,,,
100517,2016-11-18,UAL,KENNY CHRIS,,0000899243-16-033887,2016-11-17,S,3824.0,67.3917,10179.0,D,,,,,,
100517,2016-12-12,UAL,ISAACSON WALTER,,0000899243-16-035310,2016-12-09,S,2638.0,75.7962,5000.0,D,,,,,,
100517,2017-01-04,UAL,Hart Brett J,,0000899243-17-000328,2017-01-01,F,3541.0,72.71,78266.0,D,,,,,,
100517,2017-01-04,UAL,Haywood Julia,,0000899243-17-000327,2016-12-31,M,14199.0,0.0,18809.0,D,,,,,,
100517,2017-01-04,UAL,Haywood Julia,,0000899243-17-000327,2016-12-31,D,14199.0,73.32,4610.0,D,,,,,,
100517,2017-02-21,UAL,MUNOZ OSCAR,,0000899243-17-004804,2017-02-17,F,20460.0,75.96,218219.0,D,,,,,,
100517,2017-03-02,UAL,MUNOZ OSCAR,,0000899243-17-006120,2017-02-28,F,10447.0,74.09,207772.0,D,,,,,,
100517,2017-03-02,UAL,KENNY CHRIS,,0000899243-17-006121,2017-02-28,F,661.0,74.09,9518.0,D,,,,,,
100517,2017-03-02,UAL,Jojo Linda P,,0000899243-17-006118,2017-02-28,F,189.0,74.09,18603.0,D,,,,,,
100517,2017-03-02,UAL,KIRBY J SCOTT,,0000899243-17-006119,2017-02-28,F,1370.0,74.09,102294.0,D,,,,,,
100517,2017-03-02,UAL,Haywood Julia,,0000899243-17-006126,2017-02-28,D,3074.0,0.0,842.0,D,,,,,,
