cik,filingDate,issuerTradingSymbol,reportingOwnerName,reportingOwnerRelationship,accessionNumber,transactionDate,transactionCode,transactionShares,transactionPricePerShare,sharesOwnedFollowingTransaction,directOrIndirectOwnership,transactionType,securityTitle,underlyingSecurityTitle,underlyingSecurityShares,exercisePrice,expirationDate
352915,2016-03-09,UHS,HOTZ ROBERT H,,0001127602-16-045630,2016-03-08,M,7500,36.95,47911.0,D,,,,,,
352915,2016-03-09,UHS,HOTZ ROBERT H,,0001127602-16-045630,2016-03-08,F,5923,114.39,49488.0,D,,,,,,
352915,2016-03-09,UHS,HOTZ ROBERT H,,0001127602-16-045630,2016-03-08,S,7077,113.064,42411.0,D,,,,,,
352915,2016-03-09,UHS,McDonnell Eileen C.,,0001127602-16-045629,2016-03-07,M,3750,78.17,4750.0,D,,,,,,
352915,2016-03-09,UHS,McDonnell Eileen C.,,0001127602-16-045629,2016-03-07,F,2537,115.54,2213.0,D,,,,,,
352915,2016-03-09,UHS,Gibbs Lawrence S.,,0001127602-16-045628,2016-03-07,M,3750,36.95,5186.0,D,,,,,,
352915,2016-03-09,UHS,Gibbs Lawrence S.,,0001127602-16-045628,2016-03-07,F,2932,115.54,6004.0,D,,,,,,
352915,2016-03-09,UHS,Gibbs Lawrence S.,,0001127602-16-045628,2016-03-08,S,6000,112.135,4.0,D,,,,,,
352915,2016-03-09,UHS,MILLER ALAN B,,0001127602-16-045627,2016-03-08,G,5000,0.0,711807.0,D,,,,,,
352915,2016-03-24,UHS,MILLER ALAN B,,0001127602-16-047490,2016-03-23,A,12646,0.0,724453.0,D,,,,,,
352915,2016-03-28,UHS,MILLER ALAN B,,0001127602-16-047622,2016-03-26,F,1463,117.91,722990.0,D,,,,,,
352915,2016-05-05,UHS,PANTALEONI ANTHONY,,0001127602-16-051260,2016-05-04,F,8005,133.88,6995.0,D,,,,,,
352915,2016-05-05,UHS,PANTALEONI ANTHONY,,0001127602-16-051260,2016-05-05,S,6995,133.51,0.0,D,,,,,,
352915,2016-05-05,UHS,PANTALEONI ANTHONY,,0001127602-16-051260,2016-05-04,M,3750,133.88,3750.0,D,,,,,,
352915,2016-05-11,UHS,HERRELL JOHN H,,0001127602-16-051789,2016-05-10,M,3750,135.07,18017.0,D,,,,,,
352915,2016-05-11,UHS,HERRELL JOHN H,,0001127602-16-051789,2016-05-10,F,4678,135.07,20839.0,D,,,,,,
352915,2016-05-11,UHS,HERRELL JOHN H,,0001127602-16-051789,2016-05-11,S,6000,136.09,14839.0,D,,,,,,
352915,2016-05-24,UHS,McDonnell Eileen C.,,0001127602-16-053173,2016-05-24,M,3750,132.04,5963.0,D,,,,,,
352915,2016-05-24,UHS,McDonnell Eileen C.,,0001127602-16-053173,2016-05-24,F,2220,132.04,3743.0,D,,,,,,
352915,2016-05-26,UHS,OSTEEN DEBRA K,,0001127602-16-053543,2016-05-26,M,17500,135.79,105940.0,D,,,,,,
352915,2016-05-26,UHS,OSTEEN DEBRA K,,0001127602-16-053543,2016-05-26,F,33751,135.79,107189.0,D,,,,,,
352915,2016-06-02,UHS,Miller Marc D,,0001127602-16-054455,2016-05-31,F,18036,134.69,73215.0,D,,,,,,
352915,2016-06-02,UHS,MILLER ALAN B,,0001127602-16-054453,2016-05-31,F,144369,134.69,818621.0,D,,,,,,
352915,2016-06-02,UHS,MILLER ALAN B,,0001127602-16-054453,2016-05-31,M,240000,134.69,962990.0,D,,,,,,
352915,2016-06-02,UHS,Miller Marc D,,0001127602-16-054455,2016-05-31,M,30000,134.69,91251.0,D,,,,,,
352915,2016-06-02,UHS,OSTEEN DEBRA K,,0001127602-16-054449,2016-06-01,S,18749,135.81,88440.0,D,,,,,,
352915,2016-06-02,UHS,FILTON STEVE,,0001127602-16-054439,2016-06-02,S,15000,136.01,267492.0,D,,,,,,
352915,2016-06-02,UHS,FILTON STEVE,,0001127602-16-054439,2016-05-31,M,70000,134.69,324188.0,D,,,,,,
352915,2016-06-02,UHS,FILTON STEVE,,0001127602-16-054439,2016-05-31,F,41696,134.69,282492.0,D,,,,,,
352915,2016-06-06,UHS,Pember Marvin G.,,0001127602-16-054794,2016-06-03,M,15000,137.37,25068.0,D,,,,,,
352915,2016-06-06,UHS,Pember Marvin G.,,0001127602-16-054794,2016-06-03,F,23895,137.37,26173.0,D,,,,,,
352915,2016-06-06,UHS,Pember Marvin G.,,0001127602-16-054794,2016-06-03,S,16105,135.7,10068.0,D,,,,,,
352915,2016-06-08,UHS,Miller Marc D,,0001127602-16-055038,2016-06-07,M,20000,136.96,93215.0,D,,,,,,
352915,2016-06-08,UHS,Miller Marc D,,0001127602-16-055038,2016-06-07,F,11982,136.96,81233.0,D,,,,,,
352915,2016-06-10,UHS,OSTEEN DEBRA K,,0001127602-16-055233,2016-06-09,M,17500,138.74,105940.0,D,,,,,,
352915,2016-06-10,UHS,OSTEEN DEBRA K,,0001127602-16-055233,2016-06-09,F,11723,138.74,94217.0,D,,,,,,
352915,2016-06-10,UHS,OSTEEN DEBRA K,,0001127602-16-055233,2016-06-09,S,6756,138.27,87461.0,D,,,,,,
352915,2016-12-15,UHS,Miller Marc D,,0001127602-16-070064,2016-12-14,F,11388,101.55,87345.0,D,,,,,,
352915,2016-12-15,UHS,Miller Marc D,,0001127602-16-070064,2016-12-14,M,17500,101.55,98733.0,D,,,,,,
352915,2016-12-15,UHS,MILLER ALAN B,,0001127602-16-070062,2016-12-14,F,227744,101.55,940877.0,D,,,,,,
352915,2016-12-15,UHS,MILLER ALAN B,,0001127602-16-070062,2016-12-14,M,350000,101.55,1168621.0,D,,,,,,
352915,2017-02-22,UHS,MILLER ALAN B,,0000899243-17-005029,2017-02-17,J,60042,0.0,0.0,I,,,,,,
352915,2017-02-22,UHS,Miller Marc D,,0000899243-17-005027,2017-02-17,J,60042,0.0,0.0,I,,,,,,
352915,2017-03-09,UHS,FILTON STEVE,,0001127602-17-011009,2017-03-08,S,10000,123.795,257492.0,D,,,,,,
352915,2017-03-10,UHS,McDonnell Eileen C.,,0001127602-17-011202,2017-03-10,M,3750,123.94,7509.0,D,,,,,,
352915,2017-03-10,UHS,McDonnell Eileen C.,,0001127602-17-011202,2017-03-10,F,3549,123.94,3960.0,D,,,,,,
352915,2017-03-20,UHS,MILLER ALAN B,,0001127602-17-012306,2017-03-18,F,975,120.08,920902.0,D,,,,,,
352915,2017-03-27,UHS,MILLER ALAN B,,0001127602-17-012926,2017-03-23,F,964,118.72,919938.0,D,,,,,,
352915,2017-03-27,UHS,MILLER ALAN B,,0001127602-17-012926,2017-03-26,F,1907,121.89,918031.0,D,,,,,,
352915,2017-03-30,UHS,MILLER ALAN B,,0001127602-17-013287,2017-03-29,A,16057,0.0,934088.0,D,,,,,,
352915,2017-05-18,UHS,MILLER ALAN B,,0001127602-17-018595,2017-05-15,G,8190,0.0,10810.0,I,,,,,,
352915,2017-11-29,UHS,PANTALEONI ANTHONY,,0001127602-17-033416,2017-11-29,M,3750,102.33,3750.0,D,,,,,,
352915,2017-11-29,UHS,HOTZ ROBERT H,,0001127602-17-033414,2017-11-28,M,3750,100.74,46161.0,D,,,,,,
352915,2017-11-29,UHS,PANTALEONI ANTHONY,,0001127602-17-033416,2017-11-29,F,1956,102.33,1794.0,D,,,,,,
352915,2017-11-29,UHS,HERRELL JOHN H,,0001127602-17-033420,2017-11-29,F,1956,102.33,16633.0,D,,,,,,
352915,2017-11-29,UHS,OSTEEN DEBRA K,,0001127602-17-033422,2017-11-29,F,11787,102.33,93174.0,D,,,,,,
352915,2017-11-29,UHS,Gibbs Lawrence S.,,0001127602-17-033418,2017-11-29,F,1956,102.33,1798.0,D,,,,,,
352915,2017-11-29,UHS,HERRELL JOHN H,,0001127602-17-033420,2017-11-29,M,3750,102.33,18589.0,D,,,,,,
352915,2017-11-29,UHS,Gibbs Lawrence S.,,0001127602-17-033418,2017-11-29,M,3750,102.33,3754.0,D,,,,,,
352915,2017-11-29,UHS,OSTEEN DEBRA K,,0001127602-17-033422,2017-11-29,M,17500,102.33,104961.0,D,,,,,,
352915,2017-12-01,UHS,MILLER ALAN B,,0001127602-17-033583,2017-11-29,M,200000,102.33,1134088.0,D,,,,,,
352915,2017-12-01,UHS,Miller Marc D,,0001127602-17-033585,2017-11-29,M,45000,102.33,132345.0,D,,,,,,
352915,2017-12-01,UHS,Miller Marc D,,0001127602-17-033585,2017-11-30,M,22500,107.47,122521.0,D,,,,,,
352915,2017-12-01,UHS,Miller Marc D,,0001127602-17-033585,2017-11-30,F,16283,107.47,106238.0,D,,,,,,
352915,2017-12-01,UHS,Miller Marc D,,0001127602-17-033585,2017-11-29,F,32324,102.33,100021.0,D,,,,,,
352915,2017-12-01,UHS,MILLER ALAN B,,0001127602-17-033583,2017-11-29,F,147467,102.33,986621.0,D,,,,,,
352915,2017-12-01,UHS,MILLER ALAN B,,0001127602-17-033583,2017-11-30,M,150000,107.47,1136621.0,D,,,,,,
352915,2017-12-01,UHS,MILLER ALAN B,,0001127602-17-033583,2017-12-01,M,100000,108.35,1128075.0,D,,,,,,
352915,2017-12-01,UHS,MILLER ALAN B,,0001127602-17-033583,2017-12-01,F,72142,108.35,1055933.0,D,,,,,,
352915,2017-12-01,UHS,MILLER ALAN B,,0001127602-17-033583,2017-11-30,F,108546,107.47,1028075.0,D,,,,,,
352915,2017-12-11,UHS,Pember Marvin G.,,0001127602-17-034296,2017-12-08,M,37500,110.34,47568.0,D,,,,,,
352915,2017-12-11,UHS,Pember Marvin G.,,0001127602-17-034296,2017-12-08,F,26444,110.34,21124.0,D,,,,,,
352915,2017-12-11,UHS,FILTON STEVE,,0001127602-17-034294,2017-12-08,M,70000,110.34,327492.0,D,,,,,,
352915,2017-12-11,UHS,FILTON STEVE,,0001127602-17-034294,2017-12-08,F,50158,110.34,277334.0,D,,,,,,
352915,2017-12-11,UHS,Miller Marc D,,0001127602-17-034292,2017-12-08,M,22500,110.34,128738.0,D,,,,,,
352915,2017-12-11,UHS,Miller Marc D,,0001127602-17-034292,2017-12-08,F,16123,110.34,112615.0,D,,,,,,
352915,2017-12-11,UHS,MILLER ALAN B,,0001127602-17-034290,2017-12-08,M,140000,110.34,1195933.0,D,,,,,,
352915,2017-12-11,UHS,MILLER ALAN B,,0001127602-17-034290,2017-12-08,F,100317,110.34,1095616.0,D,,,,,,
352915,2018-01-19,UHS,MILLER ALAN B,,0001127602-18-002152,2018-01-17,A,12926,0.0,1108542.0,D,,,,,,
352915,2018-03-27,UHS,MILLER ALAN B,,0001127602-18-012832,2018-03-26,F,1773,121.17,1106769.0,D,,,,,,
352915,2018-03-29,UHS,MILLER ALAN B,,0001127602-18-012993,2018-03-29,F,1706,121.38,1105063.0,D,,,,,,
352915,2018-05-02,UHS,Miller Marc D,,0000899243-18-011191,2018-04-30,J,22259,0.0,0.0,I,,,,,,
352915,2018-05-02,UHS,MILLER ALAN B,,0000899243-18-011182,2018-04-30,J,22259,0.0,0.0,I,,,,,,
352915,2018-05-11,UHS,HERRELL JOHN H,,0001127602-18-017148,2018-05-10,M,7500,117.27,24133.0,D,,,,,,
352915,2018-05-11,UHS,HERRELL JOHN H,,0001127602-18-017148,2018-05-10,F,4999,117.27,19134.0,D,,,,,,
352915,2018-05-15,UHS,HERRELL JOHN H,,0001127602-18-017485,2018-05-15,M,11250,118.71,30384.0,D,,,,,,
352915,2018-05-15,UHS,HERRELL JOHN H,,0001127602-18-017485,2018-05-15,F,18610,118.71,19274.0,D,,,,,,
352915,2018-08-24,UHS,Miller Marc D,,0001127602-18-026181,2018-08-23,J,20432,0.0,22815.0,I,,,,,,
352915,2019-01-18,UHS,MILLER ALAN B,,0001127602-19-002337,2019-01-17,F,910,129.64,1004153.0,D,,,,,,
