cik,filingDate,issuerTradingSymbol,reportingOwnerName,reportingOwnerRelationship,accessionNumber,transactionDate,transactionCode,transactionShares,transactionPricePerShare,sharesOwnedFollowingTransaction,directOrIndirectOwnership,transactionType,securityTitle,underlyingSecurityTitle,underlyingSecurityShares,exercisePrice,expirationDate
1403568,2016-03-15,ULTA,Settersten Scott M,,0001209191-16-108521,2016-03-12,F,1760,191.62,6324,D,,,,,,
1403568,2016-03-17,ULTA,DiRomualdo Robert F,,0001209191-16-109106,2016-03-15,S,12000,190.23,421037,I,,,,,,
1403568,2016-03-17,ULTA,DiRomualdo Robert F,,0001209191-16-109106,2016-03-16,S,8000,190.37,413037,I,,,,,,
1403568,2016-03-17,ULTA,Kimbell David C,,0001209191-16-109103,2016-03-15,F,75,187.87,5531,D,,,,,,
1403568,2016-03-23,ULTA,Eck Dennis K,,0001209191-16-110258,2016-03-21,G,6000,0.0,487001,D,,,,,,
1403568,2016-03-24,ULTA,CHILDS JEFFREY J,,0001209191-16-110403,2016-03-19,F,114,191.39,7242,D,,,,,,
1403568,2016-03-28,ULTA,MRKONIC GEORGE R JR,,0001209191-16-110815,2016-03-28,P,2000,191.45,2482,D,,,,,,
1403568,2016-03-29,ULTA,Settersten Scott M,,0001209191-16-110960,2016-03-25,A,1029,0.0,7353,D,,,,,,
1403568,2016-03-29,ULTA,Dillon Mary,,0001209191-16-110957,2016-03-25,A,4016,0.0,49033,D,,,,,,
1403568,2016-03-29,ULTA,CHILDS JEFFREY J,,0001209191-16-110956,2016-03-25,A,443,0.0,7685,D,,,,,,
1403568,2016-03-29,ULTA,Kimbell David C,,0001209191-16-110954,2016-03-25,A,1030,0.0,6561,D,,,,,,
1403568,2016-03-29,ULTA,Caro Jodi J,,0001209191-16-110950,2016-03-25,A,388,0.0,691,D,,,,,,
1403568,2016-06-02,ULTA,Nagler Lorna,,0001209191-16-125343,2016-06-01,A,529,0.0,4928,D,,,,,,
1403568,2016-06-02,ULTA,PHILIPPIN CHARLES J,,0001209191-16-125339,2016-06-01,A,529,0.0,89928,D,,,,,,
1403568,2016-06-02,ULTA,Halligan Catherine Ann,,0001209191-16-125349,2016-06-01,A,529,0.0,4321,D,,,,,,
1403568,2016-06-02,ULTA,MRKONIC GEORGE R JR,,0001209191-16-125345,2016-06-01,A,529,0.0,3011,D,,,,,,
1403568,2016-06-02,ULTA,MacDonald Michael R,,0001209191-16-125346,2016-06-01,A,529,0.0,3816,D,,,,,,
1403568,2016-06-02,ULTA,WITTMAN VANESSA AMES,,0001209191-16-125318,2016-06-01,A,529,0.0,2390,D,,,,,,
1403568,2016-06-02,ULTA,Eck Dennis K,,0001209191-16-125328,2016-06-01,A,529,0.0,487530,D,,,,,,
1403568,2016-06-02,ULTA,DiRomualdo Robert F,,0001209191-16-125327,2016-06-01,A,529,0.0,4309,D,,,,,,
1403568,2016-06-02,ULTA,HEILBRONN CHARLES,,0001209191-16-125330,2016-06-01,A,529,0.0,83928,D,,,,,,
1403568,2016-06-02,ULTA,COLLINS MICHELLE L,,0001209191-16-125334,2016-06-01,A,529,0.0,1859,D,,,,,,
1403568,2016-06-07,ULTA,DiRomualdo Robert F,,0001209191-16-126302,2016-06-03,S,2500,237.09,410537,I,,,,,,
1403568,2016-07-05,ULTA,Dillon Mary,,0001209191-16-131316,2016-07-01,F,1864,243.74,47169,D,,,,,,
1403568,2016-09-01,ULTA,DiRomualdo Robert F,,0001209191-16-139467,2016-08-30,S,20000,252.51,390537,I,,,,,,
1403568,2016-09-01,ULTA,Settersten Scott M,,0001209191-16-139458,2016-08-30,S,10490,251.37,7353,D,,,,,,
1403568,2016-09-01,ULTA,Dillon Mary,,0001209191-16-139465,2016-08-31,M,18517,99.01,65686,D,,,,,,
1403568,2016-09-01,ULTA,Dillon Mary,,0001209191-16-139465,2016-08-30,S,28920,245.68,47169,D,,,,,,
1403568,2016-09-01,ULTA,Dillon Mary,,0001209191-16-139465,2016-08-31,S,22965,245.8,57266,D,,,,,,
1403568,2016-09-01,ULTA,Settersten Scott M,,0001209191-16-139458,2016-08-30,M,750,14.41,8103,D,,,,,,
1403568,2016-09-01,ULTA,Dillon Mary,,0001209191-16-139465,2016-08-30,M,28920,97.89,76089,D,,,,,,
1403568,2016-09-08,ULTA,Eck Dennis K,,0001209191-16-140598,2016-09-07,P,11000,246.97,498530,D,,,,,,
1403568,2016-09-15,ULTA,HEILBRONN CHARLES,,0001209191-16-141499,2016-09-14,S,900000,229.56,2102363,I,,,,,,
1403568,2016-09-20,ULTA,Eck Dennis K,,0001209191-16-142198,2016-09-16,P,5000,234.49,503530,D,,,,,,
1403568,2016-09-20,ULTA,Eck Dennis K,,0001209191-16-142198,2016-09-19,P,6000,234.41,509530,D,,,,,,
1403568,2016-09-23,ULTA,Halligan Catherine Ann,,0001209191-16-142567,2016-09-21,S,400,239.4,3921,D,,,,,,
1403568,2017-03-15,ULTA,Eck Dennis K,,0001209191-17-020936,2017-03-15,S,20000,287.5653,488430,D,,,,,,
1403568,2017-03-15,ULTA,DiRomualdo Robert F,,0001209191-17-020790,2017-03-14,S,50000,285.1515,340537,I,,,,,,
1403568,2017-03-15,ULTA,Eck Dennis K,,0001209191-17-020936,2017-03-14,G,1100,0.0,508430,D,,,,,,
1403568,2017-03-17,ULTA,Kimbell David C,,0001209191-17-021439,2017-03-16,F,142,286.82,6343,D,,,,,,
1403568,2017-03-17,ULTA,Kimbell David C,,0001209191-17-021439,2017-03-15,F,76,287.78,6485,D,,,,,,
1403568,2017-03-17,ULTA,CHILDS JEFFREY J,,0001209191-17-021434,2016-03-16,F,145,286.32,7540,D,,,,,,
1403568,2017-03-17,ULTA,Dillon Mary,,0001209191-17-021438,2017-03-16,F,1377,286.32,55889,D,,,,,,
1403568,2017-03-20,ULTA,Eck Dennis K,,0001209191-17-021850,2017-03-16,S,4900,288.6504,483530,D,,,,,,
1403568,2017-03-20,ULTA,Eck Dennis K,,0001209191-17-021850,2017-03-20,S,5101,285.3333,478429,D,,,,,,
1403568,2017-03-20,ULTA,Dillon Mary,,0001209191-17-021855,2017-03-20,M,16733,97.89,72622,D,,,,,,
1403568,2017-03-20,ULTA,Dillon Mary,,0001209191-17-021855,2017-03-20,S,33955,286.05,55889,D,,,,,,
1403568,2017-03-20,ULTA,Nagler Lorna,,0001209191-17-021853,2017-03-17,M,4167,9.75,9095,D,,,,,,
