cik,filingDate,issuerTradingSymbol,reportingOwnerName,reportingOwnerRelationship,accessionNumber,transactionDate,transactionCode,transactionShares,transactionPricePerShare,sharesOwnedFollowingTransaction,directOrIndirectOwnership,transactionType,securityTitle,underlyingSecurityTitle,underlyingSecurityShares,exercisePrice,expirationDate
100885,2020-02-03,UNP,Hamann Jennifer L,,0000100885-20-000048,2020-01-31,M,10563.0,75.52,72894.0,D,,,,,,
100885,2020-02-03,UNP,Hamann Jennifer L,,0000100885-20-000048,2020-01-31,F,4358.0,183.07,68536.0,D,,,,,,
100885,2020-02-05,UNP,Lischer Thomas A,,0000100885-20-000055,2020-02-04,F,379.0,183.24,27798.0206,D,,,,,,
100885,2020-02-05,UNP,Hamann Jennifer L,,0000100885-20-000053,2020-02-04,F,350.0,183.24,65459.0,D,,,,,,
100885,2020-02-05,UNP,Rocker Kenyatta G,,0000100885-20-000051,2020-02-04,F,269.0,183.24,28645.0,D,,,,,,
100885,2020-02-07,UNP,FRITZ LANCE M,,0000100885-20-000067,2020-02-06,A,67702.0,0.0,558349.832,D,,,,,,
100885,2020-02-07,UNP,FRITZ LANCE M,,0000100885-20-000067,2020-02-06,F,32770.0,186.11,490647.832,D,,,,,,
100885,2020-02-07,UNP,Ferguson Rhonda S,,0000100885-20-000069,2020-02-06,A,9672.0,0.0,52976.0,D,,,,,,
100885,2020-02-07,UNP,Ferguson Rhonda S,,0000100885-20-000069,2020-02-06,F,4098.0,186.11,48878.0,D,,,,,,
100885,2020-02-07,UNP,Hamann Jennifer L,,0000100885-20-000071,2020-02-06,F,1641.0,186.11,63818.0,D,,,,,,
100885,2020-02-07,UNP,Lischer Thomas A,,0000100885-20-000073,2020-02-06,A,7094.0,0.0,33452.0206,D,,,,,,
100885,2020-02-07,UNP,Lischer Thomas A,,0000100885-20-000073,2020-02-06,F,1440.0,186.11,26358.0206,D,,,,,,
100885,2020-02-07,UNP,Hamann Jennifer L,,0000100885-20-000071,2020-02-06,A,10318.0,0.0,74136.0,D,,,,,,
100885,2020-02-10,UNP,Rocker Kenyatta G,,0000100885-20-000075,2020-02-06,A,8060.0,0.0,35167.0,D,,,,,,
100885,2020-02-10,UNP,Rocker Kenyatta G,,0000100885-20-000075,2020-02-06,F,1538.0,186.11,27107.0,D,,,,,,
100885,2020-02-10,UNP,Rynaski Todd M.,,0000100885-20-000077,2020-02-06,F,1435.0,186.11,8831.0,D,,,,,,
100885,2020-02-10,UNP,Rynaski Todd M.,,0000100885-20-000077,2020-02-06,A,3548.0,0.0,12379.0,D,,,,,,
