cik,filingDate,issuerTradingSymbol,reportingOwnerName,reportingOwnerRelationship,accessionNumber,transactionDate,transactionCode,transactionShares,transactionPricePerShare,sharesOwnedFollowingTransaction,directOrIndirectOwnership,transactionType,securityTitle,underlyingSecurityTitle,underlyingSecurityShares,exercisePrice,expirationDate
1647639,2020-12-17,UPST,Nicoll Alison,,0001209191-20-064111,2020-12-15,M,70000,0.23,70000,D,,,,,,
1647639,2020-12-17,UPST,Gu Paul,,0001209191-20-064106,2020-12-15,M,210000,0.15,410000,D,,,,,,
1647639,2020-12-17,UPST,Counselman Anna M.,,0001209191-20-064105,2020-12-15,M,77145,0.15,121645,D,,,,,,
1647639,2020-12-21,UPST,Nicoll Alison,,0001209191-20-064689,2020-12-18,S,70000,18.6,0,D,,,,,,
1647639,2020-12-21,UPST,Gu Paul,,0001209191-20-064688,2020-12-18,S,213124,18.6,200000,D,,,,,,
1647639,2020-12-21,UPST,Girouard Dave,,0001209191-20-064687,2020-12-18,C,792840,,10592840,I,,,,,,
1647639,2020-12-21,UPST,Girouard Dave,,0001209191-20-064687,2020-12-18,S,1000000,18.6,9592840,I,,,,,,
1647639,2020-12-21,UPST,Counselman Anna M.,,0001209191-20-064686,2020-12-18,S,121645,18.6,0,D,,,,,,
1647639,2020-12-22,UPST,Loeb Daniel S,,0001567619-20-021491,2020-12-18,C,6945796,,6945796,I,,,,,,
1647639,2020-12-22,UPST,Loeb Daniel S,,0001567619-20-021491,2020-12-18,P,1200000,20.0,13381222,I,,,,,,
1647639,2021-03-09,UPST,Gu Paul,,0001209191-21-018947,2021-03-05,M,10000,2.15,210000,D,,,,,,
1647639,2021-03-18,UPST,Cooper Kerry Whorton,,0001209191-21-021662,2021-03-15,A,2297,0.0,2297,D,,,,,,
1647639,2021-03-23,UPST,Nicoll Alison,,0001209191-21-022658,2021-03-20,A,12230,0.0,12230,D,,,,,,
1647639,2021-03-23,UPST,Mirgorodskaya Natalia,,0001209191-21-022657,2021-03-20,A,5914,0.0,15914,D,,,,,,
1647639,2021-03-23,UPST,Gu Paul,,0001209191-21-022654,2021-03-20,A,25412,0.0,235412,D,,,,,,
1647639,2021-03-23,UPST,Girouard Dave,,0001209191-21-022652,2021-03-20,A,53243,0.0,53243,D,,,,,,
1647639,2021-03-23,UPST,Datta Sanjay,,0001209191-21-022650,2021-03-20,A,25412,0.0,25412,D,,,,,,
1647639,2021-03-23,UPST,Counselman Anna M.,,0001209191-21-022649,2021-03-20,A,12230,0.0,12230,D,,,,,,
1647639,2021-05-24,UPST,Mirgorodskaya Natalia,,0001209191-21-035528,2021-05-20,F,186,139.08,22259,D,,,,,,
1647639,2021-06-01,UPST,Terry Hilliard C. III,,0001209191-21-036848,2021-05-27,A,1491,0.0,1491,D,,,,,,
1647639,2021-06-01,UPST,Singh Cassidy Sukhinder,,0001209191-21-036847,2021-05-27,A,1491,0.0,1491,D,,,,,,
1647639,2021-06-01,UPST,O'Kelly Ciaran,,0001209191-21-036846,2021-05-27,A,1491,0.0,1491,D,,,,,,
1647639,2021-06-01,UPST,Hentges Mary,,0001209191-21-036845,2021-05-27,A,1491,0.0,1491,D,,,,,,
1647639,2021-06-01,UPST,Cooper Kerry Whorton,,0001209191-21-036843,2021-05-27,A,294,0.0,2591,D,,,,,,
1647639,2021-06-25,UPST,Huber Jeff,,0001209191-21-043301,2021-06-23,A,1234,0.0,1234,D,,,,,,
1647639,2021-07-14,UPST,Gu Paul,,0001209191-21-046675,2021-07-13,M,10000,2.15,245412,D,,,,,,
1647639,2021-07-15,UPST,Gu Paul,,0001209191-21-046778,2021-07-14,M,10000,2.15,255412,D,,,,,,
1647639,2021-08-16,UPST,Mirgorodskaya Natalia,,0001209191-21-051689,2021-08-12,M,16000,0.43,38259,D,,,,,,
1647639,2021-08-16,UPST,Mirgorodskaya Natalia,,0001209191-21-051689,2021-08-12,S,16351,167.62,21908,D,,,,,,
1647639,2021-08-18,UPST,Gu Paul,,0001209191-21-052430,2021-08-16,M,116876,0.15,372288,D,,,,,,
1647639,2021-08-18,UPST,Gu Paul,,0001209191-21-052430,2021-08-16,S,500,189.288,409912,D,,,,,,
1647639,2021-08-20,UPST,Nicoll Alison,,0001209191-21-052836,2021-08-18,M,22500,0.23,36730,D,,,,,,
1647639,2021-08-20,UPST,Nicoll Alison,,0001209191-21-052836,2021-08-18,S,400,204.41,36330,D,,,,,,
1647639,2021-08-23,UPST,Counselman Anna M.,,0001209191-21-053047,2021-08-19,M,308355,0.15,320585,D,,,,,,
1647639,2021-08-23,UPST,Counselman Anna M.,,0001209191-21-053047,2021-08-19,S,27732,193.2263,592853,D,,,,,,
1647639,2021-08-23,UPST,Gu Paul,,0001209191-21-053044,2021-08-19,M,20000,1.35,277412,D,,,,,,
1647639,2021-08-24,UPST,Mirgorodskaya Natalia,,0001209191-21-053251,2021-08-20,S,267,195.64,23278,D,,,,,,
1647639,2021-08-24,UPST,Loeb Daniel S,,0001567619-21-016275,2021-08-20,S,396822,199.6217,12984400,I,,,,,,
1647639,2021-08-24,UPST,Loeb Daniel S,,0001567619-21-016275,2021-08-23,S,484400,202.6171,12500000,I,,,,,,
1647639,2021-08-24,UPST,Loeb Daniel S,,0001567619-21-016275,2021-08-24,S,100000,208.6938,12400000,I,,,,,,
1647639,2021-08-27,UPST,Nicoll Alison,,0001209191-21-053752,2021-08-25,S,1769,214.4715,34961,D,,,,,,
1647639,2021-08-27,UPST,Mirgorodskaya Natalia,,0001209191-21-053751,2021-08-25,S,271,218.8,23007,D,,,,,,
1647639,2021-08-27,UPST,Nicoll Alison,,0001209191-21-053752,2021-08-25,M,22500,0.23,36730,D,,,,,,
1647639,2021-09-03,UPST,Girouard Dave,,0001209191-21-054914,2021-09-01,S,15667,223.8056,162641,D,,,,,,
1647639,2021-09-03,UPST,Nicoll Alison,,0001209191-21-054911,2021-09-01,M,22500,0.23,36730,D,,,,,,
1647639,2021-09-03,UPST,Nicoll Alison,,0001209191-21-054911,2021-09-01,S,2818,223.7284,33912,D,,,,,,
1647639,2021-09-10,UPST,Nicoll Alison,,0001209191-21-055546,2021-09-08,M,22500,0.23,36730,D,,,,,,
1647639,2021-09-10,UPST,Nicoll Alison,,0001209191-21-055546,2021-09-08,S,300,261.9367,36430,D,,,,,,
1647639,2021-09-17,UPST,Gu Paul,,0001209191-21-056783,2021-09-15,M,155000,0.23,432412,D,,,,,,
1647639,2021-09-17,UPST,Gu Paul,,0001209191-21-056783,2021-09-15,S,4306,262.2716,428106,D,,,,,,
1647639,2021-09-17,UPST,Nicoll Alison,,0001209191-21-056782,2021-09-15,M,22500,0.23,36730,D,,,,,,
1647639,2021-09-17,UPST,Nicoll Alison,,0001209191-21-056782,2021-09-15,S,200,261.785,36530,D,,,,,,
1647639,2021-09-24,UPST,Nicoll Alison,,0001209191-21-057624,2021-09-22,M,22500,0.23,36730,D,,,,,,
1647639,2021-09-24,UPST,Nicoll Alison,,0001209191-21-057624,2021-09-22,S,563,313.9382,36167,D,,,,,,
1647639,2021-10-01,UPST,Nicoll Alison,,0001209191-21-058510,2021-09-29,M,22500,0.23,36730,D,,,,,,
1647639,2021-10-01,UPST,Nicoll Alison,,0001209191-21-058510,2021-09-29,S,913,318.8172,35817,D,,,,,,
1647639,2021-10-05,UPST,Girouard Dave,,0001209191-21-059751,2021-10-01,S,728,305.5352,993023,I,,,,,,
1647639,2021-10-05,UPST,Girouard Dave,,0001209191-21-059750,2021-10-01,S,4100,286.2845,174208,D,,,,,,
1647639,2021-10-08,UPST,Nicoll Alison,,0001209191-21-060047,2021-10-06,M,22500,0.23,36730,D,,,,,,
1647639,2021-10-08,UPST,Nicoll Alison,,0001209191-21-060047,2021-10-06,S,384,288.13,36346,D,,,,,,
1647639,2021-10-15,UPST,Nicoll Alison,,0001209191-21-060545,2021-10-13,M,22500,0.23,36730,D,,,,,,
1647639,2021-10-15,UPST,Nicoll Alison,,0001209191-21-060545,2021-10-13,S,450,328.81,36280,D,,,,,,
1647639,2021-10-19,UPST,Gu Paul,,0001209191-21-060995,2021-10-15,M,106876,0.23,384288,D,,,,,,
1647639,2021-10-19,UPST,Gu Paul,,0001209191-21-060995,2021-10-15,S,1300,381.8974,431112,D,,,,,,
1647639,2021-10-22,UPST,Nicoll Alison,,0001209191-21-061372,2021-10-20,M,22500,0.23,36730,D,,,,,,
1647639,2021-10-22,UPST,Nicoll Alison,,0001209191-21-061372,2021-10-20,S,177,352.62,36553,D,,,,,,
1647639,2021-10-28,UPST,Gu Paul,,0001832812-21-000002,2021-10-26,M,20000,1.35,297412,D,,,,,,
1647639,2021-10-29,UPST,Gu Paul,,0001832812-21-000004,2021-10-27,M,20000,1.35,317412,D,,,,,,
1647639,2021-10-29,UPST,Nicoll Alison,,0001833661-21-000002,2021-10-27,M,22500,0.23,36730,D,,,,,,
1647639,2021-10-29,UPST,Nicoll Alison,,0001833661-21-000002,2021-10-27,S,594,313.6885,36136,D,,,,,,
1647639,2021-11-03,UPST,Girouard Dave,,0001832805-21-000004,2021-11-01,S,679,323.9454,986823,I,,,,,,
1647639,2021-11-03,UPST,Girouard Dave,,0001832805-21-000002,2021-11-01,S,2449,323.9935,175859,D,,,,,,
1647639,2021-11-05,UPST,Nicoll Alison,,0001833661-21-000004,2021-11-03,M,22500,0.23,36730,D,,,,,,
1647639,2021-11-05,UPST,Nicoll Alison,,0001833661-21-000004,2021-11-03,S,200,320.7,36530,D,,,,,,
1647639,2021-11-12,UPST,Nicoll Alison,,0001833661-21-000006,2021-11-10,M,10435,0.23,24665,D,,,,,,
1647639,2021-11-12,UPST,Nicoll Alison,,0001833661-21-000006,2021-11-10,S,100,242.0,36630,D,,,,,,
1647639,2021-11-12,UPST,Gu Paul,,0001832812-21-000006,2021-11-09,M,25000,1.35,342412,D,,,,,,
1647639,2021-11-12,UPST,Gu Paul,,0001832812-21-000006,2021-11-10,M,25000,1.35,367412,D,,,,,,
1647639,2021-11-15,UPST,Terry Hilliard C. III,,0001628280-21-023409,2021-11-11,M,60000,3.8,61491,D,,,,,,
1647639,2021-11-15,UPST,Terry Hilliard C. III,,0001628280-21-023409,2021-11-11,S,300,245.8033,61191,D,,,,,,
1647639,2021-11-17,UPST,Hentges Mary,,0001628280-21-023759,2021-11-15,S,639,237.9413,30852,D,,,,,,
1647639,2021-11-17,UPST,Hentges Mary,,0001628280-21-023759,2021-11-15,M,30000,3.89,31491,D,,,,,,
1647639,2021-11-17,UPST,Gu Paul,,0001832812-21-000008,2021-11-15,S,852,233.24,455560,D,,,,,,
1647639,2021-11-17,UPST,Loeb Daniel S,,0001567619-21-020676,2021-11-15,S,4714,233.4459,12395286,I,,,,,,
1647639,2021-11-17,UPST,Gu Paul,,0001832812-21-000008,2021-11-15,M,40000,1.35,407412,D,,,,,,
1647639,2021-11-19,UPST,Nicoll Alison,,0001833661-21-000008,2021-11-17,M,12500,0.23,26730,D,,,,,,
1647639,2021-11-19,UPST,Nicoll Alison,,0001833661-21-000008,2021-11-17,S,260,231.626,26470,D,,,,,,
1647639,2021-11-23,UPST,Loeb Daniel S,,0001567619-21-021066,2021-11-19,S,48181,205.9872,10201819,I,,,,,,
1647639,2021-11-23,UPST,Singh Cassidy Sukhinder,,0001628280-21-024057,2021-11-19,M,5000,8.41,6491,D,,,,,,
1647639,2021-11-23,UPST,Singh Cassidy Sukhinder,,0001628280-21-024057,2021-11-19,S,5000,211.76,1491,D,,,,,,
1647639,2021-11-24,UPST,Mirgorodskaya Natalia,,0001833851-21-000003,2021-11-23,S,278,198.5245,22729,D,,,,,,
1647639,2021-11-26,UPST,Loeb Daniel S,,0000899243-21-046183,2021-11-23,S,9227,190.3126,9490773,I,,,,,,
1647639,2021-11-29,UPST,Nicoll Alison,,0001647639-21-000042,2021-11-24,M,7500,0.23,21730,D,,,,,,
1647639,2021-11-29,UPST,Nicoll Alison,,0001647639-21-000042,2021-11-24,S,273,191.7948,21457,D,,,,,,
1647639,2021-11-30,UPST,Mirgorodskaya Natalia,,0001833851-21-000005,2021-11-26,S,259,201.3,22470,D,,,,,,
1647639,2021-12-03,UPST,Girouard Dave,,0001628280-21-024547,2021-12-01,S,508,196.7538,573072,I,,,,,,
1647639,2021-12-03,UPST,Girouard Dave,,0001628280-21-024545,2021-11-30,G,101270,0.0,9116570,I,,,,,,
1647639,2021-12-03,UPST,Girouard Dave,,0001628280-21-024545,2021-12-01,S,3295,177.3633,175013,D,,,,,,
1647639,2021-12-03,UPST,Nicoll Alison,,0001833661-21-000010,2021-12-01,M,7500,0.23,21730,D,,,,,,
1647639,2021-12-03,UPST,Nicoll Alison,,0001833661-21-000010,2021-12-01,S,173,177.25,21557,D,,,,,,
1647639,2021-12-03,UPST,Loeb Daniel S,,0001567619-21-021613,2021-12-03,S,21298,168.2791,8473702,I,,,,,,
1647639,2021-12-03,UPST,Loeb Daniel S,,0001567619-21-021612,2021-12-02,S,37322,160.6481,9262678,I,,,,,,
1647639,2021-12-10,UPST,Nicoll Alison,,0001628280-21-024867,2021-12-08,M,7500,0.23,21730,D,,,,,,
1647639,2021-12-10,UPST,Nicoll Alison,,0001628280-21-024867,2021-12-08,S,500,185.1626,21230,D,,,,,,
1647639,2021-12-17,UPST,Nicoll Alison,,0001628280-21-025335,2021-12-15,M,7500,0.23,21730,D,,,,,,
1647639,2021-12-17,UPST,Nicoll Alison,,0001628280-21-025335,2021-12-15,S,425,142.2397,21305,D,,,,,,
1647639,2021-12-23,UPST,Nicoll Alison,,0001628280-21-025557,2021-12-22,M,125000,1.35,139230,D,,,,,,
1647639,2021-12-23,UPST,Nicoll Alison,,0001628280-21-025557,2021-12-22,S,300,143.3039,186480,D,,,,,,
1647639,2021-12-30,UPST,Nicoll Alison,,0001628280-21-025697,2021-12-29,M,7500,0.23,186780,D,,,,,,
1647639,2021-12-30,UPST,Nicoll Alison,,0001628280-21-025697,2021-12-29,S,214,142.27,186566,D,,,,,,
1647639,2022-01-05,UPST,Girouard Dave,,0001628280-22-000393,2022-01-03,S,7362,144.725,129279,D,,,,,,
1647639,2022-01-06,UPST,Gu Paul,,0001628280-22-000455,2022-01-04,M,29208,2.15,446620,D,,,,,,
1647639,2022-01-07,UPST,Nicoll Alison,,0001628280-22-000536,2022-01-05,M,5000,0.23,184280,D,,,,,,
1647639,2022-01-07,UPST,Nicoll Alison,,0001628280-22-000536,2022-01-05,S,824,124.0374,185956,D,,,,,,
1647639,2022-01-12,UPST,Singh Cassidy Sukhinder,,0001628280-22-000828,2022-01-10,A,434,0.0,1925,D,,,,,,
1647639,2022-01-12,UPST,Huber Jeff,,0001628280-22-000825,2022-01-10,A,102,0.0,1336,D,,,,,,
1647639,2022-01-12,UPST,Cooper Kerry Whorton,,0001628280-22-000823,2022-01-10,A,177,0.0,2768,D,,,,,,
1647639,2022-01-12,UPST,O'Kelly Ciaran,,0001628280-22-000821,2022-01-10,A,302,0.0,1793,D,,,,,,
1647639,2022-01-14,UPST,Nicoll Alison,,0001628280-22-000964,2022-01-12,M,7500,0.43,186780,D,,,,,,
1647639,2022-01-14,UPST,Nicoll Alison,,0001628280-22-000964,2022-01-12,S,731,117.9294,186049,D,,,,,,
1647639,2022-01-21,UPST,Nicoll Alison,,0001628280-22-001142,2022-01-19,M,7500,0.43,186780,D,,,,,,
1647639,2022-01-21,UPST,Nicoll Alison,,0001628280-22-001142,2022-01-19,S,1465,106.5456,185315,D,,,,,,
