cik,filingDate,issuerTradingSymbol,reportingOwnerName,reportingOwnerRelationship,accessionNumber,transactionDate,transactionCode,transactionShares,transactionPricePerShare,sharesOwnedFollowingTransaction,directOrIndirectOwnership,transactionType,securityTitle,underlyingSecurityTitle,underlyingSecurityShares,exercisePrice,expirationDate
1067701,2016-01-28,URI,PLUMMER WILLIAM B,,0001104659-16-092202,2016-01-26,A,5905.0,56.89,74387.0,D,,,,,,
1067701,2016-01-28,URI,PLUMMER WILLIAM B,,0001104659-16-092202,2016-01-26,F,2087.0,56.89,72300.0,D,,,,,,
1067701,2016-01-28,URI,KNEELAND MICHAEL,,0001104659-16-092201,2016-01-26,A,32659.0,56.89,401990.0,D,,,,,,
1067701,2016-01-28,URI,KNEELAND MICHAEL,,0001104659-16-092201,2016-01-26,F,12174.0,56.89,389816.0,D,,,,,,
1067701,2016-01-28,URI,Flannery Matthew John,,0001104659-16-092200,2016-01-26,A,5905.0,56.89,24075.0,D,,,,,,
1067701,2016-01-28,URI,Flannery Matthew John,,0001104659-16-092200,2016-01-26,F,2149.0,56.89,21926.0,D,,,,,,
1067701,2016-01-28,URI,Asplund Dale A,,0001104659-16-092198,2016-01-26,A,4200.0,56.89,28766.0,D,,,,,,
1067701,2016-01-28,URI,Asplund Dale A,,0001104659-16-092198,2016-01-26,F,1228.0,56.89,27538.0,D,,,,,,
1067701,2016-02-02,URI,Wimbush Lawrence Keith,,0001104659-16-093317,2016-01-29,P,1000.0,48.37,7061.0,D,,,,,,
1067701,2016-02-02,URI,ROOF DONALD C,,0001104659-16-093316,2016-01-29,P,4500.0,46.855,17754.0,D,,,,,,
1067701,2016-02-04,URI,BRITELL JENNE K,,0001104659-16-094029,2016-02-03,P,2200.0,46.903,30288.0,D,,,,,,
1067701,2016-02-17,URI,Alvarez Jose B,,0001104659-16-097818,2016-02-16,P,1190.0,47.425,20822.0,D,,,,,,
1067701,2016-02-19,URI,Graziano Jessica,,0001104659-16-098548,2016-01-25,A,523.0,54.64,3397.0,D,,,,,,
1067701,2016-02-19,URI,Graziano Jessica,,0001104659-16-098548,2016-01-25,F,206.0,54.64,3191.0,D,,,,,,
1067701,2016-03-03,URI,Papastavrou Jason D,,0001104659-16-102342,2016-03-01,P,1000.0,52.308,11000.0,I,,,,,,
1067701,2016-03-03,URI,Papastavrou Jason D,,0001104659-16-102342,2016-03-02,P,1000.0,54.349,12000.0,I,,,,,,
1067701,2016-03-08,URI,Flannery Matthew John,,0001104659-16-103409,2016-03-07,A,2369.0,59.85,23771.0,D,,,,,,
1067701,2016-03-08,URI,Flannery Matthew John,,0001104659-16-103409,2016-03-04,F,524.0,57.49,21402.0,D,,,,,,
1067701,2016-03-08,URI,PINTOFF CRAIG ADAM,,0001104659-16-103410,2016-03-07,F,826.0,59.85,22196.0,D,,,,,,
1067701,2016-03-08,URI,PINTOFF CRAIG ADAM,,0001104659-16-103410,2016-03-07,A,2005.0,59.85,23022.0,D,,,,,,
1067701,2016-03-08,URI,Graziano Jessica,,0001104659-16-103456,2016-03-07,A,1352.0,59.85,4543.0,D,,,,,,
1067701,2016-03-08,URI,Graziano Jessica,,0001104659-16-103456,2016-03-07,F,475.0,59.85,4068.0,D,,,,,,
1067701,2016-03-08,URI,PLUMMER WILLIAM B,,0001104659-16-103412,2016-03-04,F,508.0,57.49,71792.0,D,,,,,,
1067701,2016-03-08,URI,PLUMMER WILLIAM B,,0001104659-16-103412,2016-03-07,A,2132.0,59.85,73924.0,D,,,,,,
1067701,2016-03-08,URI,PLUMMER WILLIAM B,,0001104659-16-103412,2016-03-07,F,725.0,59.85,73199.0,D,,,,,,
1067701,2016-03-08,URI,KNEELAND MICHAEL,,0001104659-16-103411,2016-03-04,F,2069.0,57.49,387747.0,D,,,,,,
1067701,2016-03-08,URI,Flannery Matthew John,,0001104659-16-103409,2016-03-07,F,831.0,59.85,22940.0,D,,,,,,
1067701,2016-03-08,URI,Fenton Jeffrey J,,0001104659-16-103408,2016-03-04,F,131.0,57.49,20060.0,D,,,,,,
1067701,2016-03-08,URI,Fenton Jeffrey J,,0001104659-16-103408,2016-03-07,A,345.0,59.85,20405.0,D,,,,,,
1067701,2016-03-08,URI,Fenton Jeffrey J,,0001104659-16-103408,2016-03-07,F,104.0,59.85,20301.0,D,,,,,,
1067701,2016-03-08,URI,Asplund Dale A,,0001104659-16-103407,2016-03-04,F,212.0,57.49,27326.0,D,,,,,,
1067701,2016-03-08,URI,Asplund Dale A,,0001104659-16-103407,2016-03-07,A,1618.0,59.85,28944.0,D,,,,,,
1067701,2016-03-08,URI,Asplund Dale A,,0001104659-16-103407,2016-03-07,F,443.0,59.85,28501.0,D,,,,,,
1067701,2016-03-08,URI,PINTOFF CRAIG ADAM,,0001104659-16-103410,2016-03-04,F,274.0,57.49,21017.0,D,,,,,,
1067701,2016-03-08,URI,KNEELAND MICHAEL,,0001104659-16-103411,2016-03-07,S,20000.0,60.0,429321.0,D,,,,,,
1067701,2016-03-08,URI,KNEELAND MICHAEL,,0001104659-16-103411,2016-03-07,F,2893.0,59.85,391294.0,D,,,,,,
1067701,2016-03-08,URI,KNEELAND MICHAEL,,0001104659-16-103411,2016-03-07,A,6440.0,59.85,394187.0,D,,,,,,
1067701,2016-03-09,URI,Papastavrou Jason D,,0001104659-16-103987,2016-03-08,P,1000.0,56.792,13000.0,I,,,,,,
1067701,2016-03-11,URI,KNEELAND MICHAEL,,0001104659-16-104569,2016-03-10,F,2152.0,57.92,427169.0,D,,,,,,
1067701,2016-03-11,URI,PLUMMER WILLIAM B,,0001104659-16-104572,2016-03-10,F,588.0,57.92,89020.0,D,,,,,,
1067701,2016-03-11,URI,Graziano Jessica,,0001104659-16-104570,2016-03-10,F,159.0,57.92,8004.0,D,,,,,,
1067701,2016-03-11,URI,Flannery Matthew John,,0001104659-16-104571,2016-03-10,F,606.0,57.92,38709.0,D,,,,,,
1067701,2016-03-11,URI,Asplund Dale A,,0001104659-16-104566,2016-03-10,F,315.0,57.92,39547.0,D,,,,,,
1067701,2016-03-11,URI,Fenton Jeffrey J,,0001104659-16-104567,2016-03-10,F,210.0,57.92,26892.0,D,,,,,,
1067701,2016-03-11,URI,PINTOFF CRAIG ADAM,,0001104659-16-104565,2016-03-10,F,332.0,57.92,32680.0,D,,,,,,
